 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;Al;Si
;;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr
        2005;           1;      3.8188581;      3.5379684;      2.1800668;     11.8223391;      2.8140433;      0.0253275;      3.6159468;     21.3981915;      0.0610282;      9.0843458;      0.0000022;      7.6276798
        2005;           2;      0.8973739;      0.8102020;      0.4559617;      1.8407582;      0.5506706;      0.0078029;      0.6717592;      3.6009252;      0.0364620;      3.5719328;      0.0000025;      1.4974157
        2005;           3;      1.3671571;      1.1801764;      0.6015526;      1.8386326;      0.8015266;      0.0162299;      0.7620599;      3.5612533;      0.0643730;      8.1204653;      0.0000033;      2.1656468
        2005;           4;      0.6526250;      0.5476744;      0.2439284;      0.6817616;      0.3837527;      0.0085645;      0.2572984;      1.2715216;      0.0352074;      4.5329361;      0.0000034;      0.9652992
        2005;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000077;      0.0000000
        2005;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000032;      0.0000000
        2005;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000007;      0.0000000
        2005;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000004;      0.0000000
        2005;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2005;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000004;      0.0000000
        2005;          11;     10.0716619;      7.2086926;      3.3535562;      8.9855785;     10.0015812;      0.1155952;      3.1415780;     16.4094372;      0.0644204;     44.5681343;      0.0000146;     56.1001587
        2005;          12;      5.3552070;      3.6057229;      2.1868722;      5.6715002;      4.6532774;      0.0794691;      2.4546692;     10.1178284;      0.0463851;     21.2268028;      0.0000064;     28.8066673
        2006;           1;      4.6196575;      2.9573228;      2.5192409;      6.3354096;      2.7495344;      0.1035378;      3.6660886;     10.9089518;      0.0707131;     18.1851101;      0.0000029;     16.8863964
        2006;           2;      0.9365673;      0.5898408;      0.4855202;      1.1816124;      0.5147237;      0.0216445;      0.6667408;      1.8917835;      0.0323455;      4.3834386;      0.0000023;      2.6689909
        2006;           3;      1.5364907;      0.9456344;      0.7475868;      1.8148928;      0.8849947;      0.0364907;      0.9548416;      2.6067302;      0.0445012;      8.0970936;      0.0000022;      3.6270721
        2006;           4;      0.7079302;      0.4268993;      0.2917106;      0.6866791;      0.4141730;      0.0161619;      0.3085442;      0.8980696;      0.0390593;      4.6013889;      0.0000032;      1.3743818
        2006;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000112;      0.0000000
        2006;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000024;      0.0000000
        2006;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000008;      0.0000000
        2006;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000004;      0.0000000
        2006;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000002;      0.0000000
        2006;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2006;          11;      9.5719233;      5.5231524;      3.4424767;      8.6973190;     10.0000305;      0.1597731;      3.1208906;     11.0768547;      0.0765504;     43.5118904;      0.0000167;     53.0931320
        2006;          12;      5.1368232;      2.9371669;      2.2659552;      5.5211577;      4.8100243;      0.1061067;      2.4520872;      7.5712681;      0.0486550;     21.6822624;      0.0000080;     27.6789665
        2007;           1;      2.2957892;      1.3011417;      1.1106150;      2.6205196;      1.8947682;      0.0524392;      1.2992463;      3.7516713;      0.0326498;      9.3503017;      0.0000049;     10.4171515
        2007;           2;      2.4709930;      1.3900681;      1.3112770;      3.0217311;      1.6508875;      0.0661059;      1.6565368;      4.5938172;      0.0531389;     11.2003212;      0.0000043;      8.1316557
        2007;           3;      0.9053972;      0.5028407;      0.4283147;      0.9429079;      0.5690512;      0.0241989;      0.4773770;      1.3461819;      0.0463440;      5.2245274;      0.0000054;      2.1939673
        2007;           4;      0.7915227;      0.4344136;      0.3252020;      0.7067442;      0.5044362;      0.0197907;      0.3076881;      0.9560702;      0.0330775;      5.0163703;      0.0000061;      1.6128637
        2007;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000122;      0.0000000
        2007;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000084;      0.0000000
        2007;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000029;      0.0000000
        2007;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000024;      0.0000000
        2007;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000023;      0.0000000
        2007;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000031;      0.0000000
        2007;          11;      2.2461791;      1.2141328;      0.6075096;      1.4500546;      2.5120416;      0.0273176;      0.3812624;      2.0828099;      0.0241658;      9.7612114;      0.0000964;     10.3431435
        2007;          12;      9.0068350;      5.1079631;      3.3438420;      7.7612410;      9.6225891;      0.1489215;      2.7844985;     13.0990734;      0.0513861;     36.3564262;      0.0000415;     54.3728447
