"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"57";88,0589523;29,7359753;22,3215103;2,3208661;0,3169226;494,5202026;"1";2009-09-01
"58";87,7720184;29,2553825;23,0452404;2,483593;0,4671502;494,7574158;"1";2009-10-01
"59";87,137352;28,9585514;22,7322998;3,1890869;0,7002041;495,5066528;"1";2009-11-01
"60";86,7059555;28,6697025;22,8887348;3,7472503;0,8444911;495,7434387;"1";2009-12-01
"61";86,2993469;28,4760647;22,8670502;4,2013302;1,0222681;496,0607605;"1";2010-01-01
"62";85,9712143;28,0433712;23,3206348;3,7838333;1,0278567;496,4846191;"1";2010-02-01
"63";85,4811249;27,6052971;23,7259502;3,7989943;1,0927447;496,8755188;"1";2010-03-01
"64";85,269783;27,2535324;24,1404819;3,5988481;0,8643716;497,0280151;"1";2010-04-01
"65";84,0678024;26,695076;23,5239677;3,4347889;0,7200247;497,0266113;"1";2010-05-01
"66";82,7364655;26,0995598;22,7318954;3,1022785;0,7091343;497,215332;"1";2010-06-01
"67";80,4181366;25,2898846;21,2875519;3,0455015;0,6184093;498,049408;"1";2010-07-01
"68";79,8638153;25,4743786;19,1924381;3,4577744;0,1971816;497,1710815;"1";2010-08-01
"69";79,6260452;25,188446;18,5638237;3,0743885;0,3135448;497,0436707;"1";2010-09-01
"70";79,4108429;24,7977486;19,3578148;3,0115094;0,4620544;497,3159485;"1";2010-10-01
"71";78,9757233;24,4055309;19,1197224;2,2938509;0,6986955;498,6415405;"1";2010-11-01
"72";78,2656021;24,2436867;19,3901978;3,8703978;0,8156443;498,6921082;"1";2010-12-01
"73";78,0314255;23,9854126;19,4705486;3,1750855;1,0108001;499,3091736;"1";2011-01-01
"74";77,6770325;23,5646591;19,9765377;2,7178659;0,998739;499,7849426;"1";2011-02-01
"75";77,9068985;23,5704041;20,5571079;3,2352049;1,1138847;499,5094604;"1";2011-03-01
"76";77,6352768;23,2248592;20,9989243;2,8805227;0,8721333;499,7611084;"1";2011-04-01
"77";76,4835205;22,7186852;20,4485073;2,6205449;0,7232588;499,7735291;"1";2011-05-01
"78";75,13797;22,1902962;19,6977882;2,4087946;0,7084715;499,9249878;"1";2011-06-01
"79";72,8849258;21,4492702;18,2687111;2,3638277;0,6164306;500,7200317;"1";2011-07-01
"80";72,34198;21,595644;16,1348763;2,6944432;0,1970041;499,9290771;"1";2011-08-01
"81";71,9636917;21,3846016;15,5866489;3,2935023;0,3104494;499,4867554;"1";2011-09-01
"82";71,7910156;21,0470257;16,3675404;2,9743507;0,4571026;499,8591919;"1";2011-10-01
"83";71,1182251;20,9401455;16,4397621;3,3794866;0,6725372;500,8808899;"1";2011-11-01
