"";"SO4";"PO4";"Cl";"group_id";"Date"
"388";43,8051529;227,2285767;35,1251526;"3";2015-04-01
"389";43,8051529;227,2285767;35,4088707;"3";2015-05-01
"390";43,8051529;227,2285767;35,721447;"3";2015-06-01
"391";43,8685684;227,2285767;36,2086945;"3";2015-07-01
"392";43,9319458;227,2285767;36,7718544;"3";2015-08-01
"393";43,9319458;227,2285767;36,9598045;"3";2015-09-01
"394";43,9319458;227,2285767;36,9598045;"3";2015-10-01
"395";43,6146431;227,2285767;35,8277779;"3";2015-11-01
"396";43,4237633;227,2285767;35,5960274;"3";2015-12-01
"397";92,638916;347,9394836;55,9249191;"4";2005-01-01
"398";92,638916;347,9394836;55,4068642;"4";2005-02-01
"399";92,3611069;347,9394836;54,5357857;"4";2005-03-01
"400";92,3611069;347,9394836;55,0313263;"4";2005-04-01
"401";92,3611069;347,9394836;55,1506081;"4";2005-05-01
"402";92,3611069;347,9394836;55,2268372;"4";2005-06-01
"403";92,3611069;347,9394836;54,9901924;"4";2005-07-01
"404";92,5000916;347,9394836;55,4411736;"4";2005-08-01
"405";92,638916;347,9394836;56,5159035;"4";2005-09-01
"406";92,638916;347,9394836;57,23526;"4";2005-10-01
"407";92,0827255;347,9394836;55,0717697;"4";2005-11-01
"408";91,8037491;347,9394836;54,0609016;"4";2005-12-01
"409";91,2440643;347,9394836;52,8610458;"4";2006-01-01
"410";91,2440643;347,9394836;52,5908203;"4";2006-02-01
"411";91,1037827;347,9394836;52,0902061;"4";2006-03-01
"412";90,9633408;347,9394836;52,0362778;"4";2006-04-01
"413";90,9633408;347,9394836;52,1433868;"4";2006-05-01
"414";90,9633408;347,9394836;52,3489418;"4";2006-06-01
"415";90,9633408;347,9394836;52,4959831;"4";2006-07-01
"416";91,1037827;347,9394836;52,9886665;"4";2006-08-01
"417";91,2440643;347,9394836;54,3288879;"4";2006-09-01
"418";91,2440643;347,9394836;54,7275391;"4";2006-10-01
"419";90,6820374;347,9394836;53,3070412;"4";2006-11-01
"420";90,4001541;347,9394836;52,7285194;"4";2006-12-01
"421";89,8346024;347,9394836;52,11689;"4";2007-01-01
"422";89,8346024;347,9394836;52,1958313;"4";2007-02-01
"423";89,6928406;347,9394836;52,4718857;"4";2007-03-01
"424";89,5509338;347,9394836;52,5908203;"4";2007-04-01
"425";89,5509338;347,9394836;52,7285194;"4";2007-05-01
"426";89,5509338;347,9394836;53,1116714;"4";2007-06-01
"427";89,5509338;347,9394836;53,3447456;"4";2007-07-01
"428";89,6928406;347,9394836;53,8299446;"4";2007-08-01
"429";89,8346024;347,9394836;54,9057274;"4";2007-09-01
"430";89,8346024;347,9394836;55,4411736;"4";2007-10-01
"431";89,2666779;347,9394836;52,6603355;"4";2007-11-01
"432";88,8391647;347,9394836;53,3070412;"4";2007-12-01
"433";88,2670441;347,9394836;51,5759735;"4";2008-01-01
"434";88,1236343;347,9394836;51,3569031;"4";2008-02-01
"435";87,9800873;347,9394836;50,8816376;"4";2008-03-01
"436";87,9800873;347,9394836;50,9879456;"4";2008-04-01
"437";87,9800873;347,9394836;51,1931152;"4";2008-05-01
"438";87,9800873;347,9394836;51,5759735;"4";2008-06-01
"439";87,9800873;347,9394836;51,869854;"4";2008-07-01
"440";88,1236343;347,9394836;52,3489418;"4";2008-08-01
"441";88,2670441;347,9394836;53,3820152;"4";2008-09-01
"442";88,2670441;347,9394836;53,7322426;"4";2008-10-01
"443";87,6924973;347,9394836;53,8618126;"4";2008-11-01
"444";87,2600174;347,9394836;53,6312675;"4";2008-12-01
"445";86,6812134;347,9394836;52,6832085;"4";2009-01-01
"446";86,6812134;347,9394836;52,4959831;"4";2009-02-01
"447";86,5361404;347,9394836;52,0362778;"4";2009-03-01
"448";86,5361404;347,9394836;51,9815903;"4";2009-04-01
"449";86,5361404;347,9394836;52,0902061;"4";2009-05-01
"450";86,5361404;347,9394836;52,3489418;"4";2009-06-01
"451";86,5361404;347,9394836;52,5908203;"4";2009-07-01
"452";86,6812134;347,9394836;53,071167;"4";2009-08-01
"453";86,8261337;347,9394836;54,10495;"4";2009-09-01
"454";86,8261337;347,9394836;54,3821259;"4";2009-10-01
"455";86,2455063;347,9394836;53,2108154;"4";2009-11-01
"456";85,808403;347,9394836;52,7732544;"4";2009-12-01
"457";85,2234268;347,9394836;52,11689;"4";2010-01-01
"458";85,2234268;347,9394836;52,1958313;"4";2010-02-01
"459";85,0767975;347,9394836;52,4718857;"4";2010-03-01
"460";85,0767975;347,9394836;52,5908203;"4";2010-04-01
"461";85,0767975;347,9394836;52,7285194;"4";2010-05-01
"462";85,0767975;347,9394836;53,1116714;"4";2010-06-01
"463";85,0767975;347,9394836;53,3447456;"4";2010-07-01
"464";85,2234268;347,9394836;53,8299446;"4";2010-08-01
"465";85,3698959;347,9394836;54,9057274;"4";2010-09-01
"466";85,3698959;347,9394836;55,4411736;"4";2010-10-01
"467";84,7830582;347,9394836;52,6603355;"4";2010-11-01
"468";84,4886932;347,9394836;53,3070412;"4";2010-12-01
