"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min"
"1";2005;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;3,1787884;0;0;0;0;0;0;0,4171845;0,2598494;0,0547698;0,0920288;0,9227217;1,8307918;0,1410981;NA;2005;70,2934875;9,7303114;4,1735153;27,6944771;4,8756485;0,5037329;55,5835686;11,0287828;4,4871631;25,3457813;3,6524439;4,2899365;80,8083267;25,4170704;7,1477842;8,4039783;6,1437998;4,2114005;-589,711792;-0,0031926;-0,0019361;-0,0031145;-61,5573044;-0,0740972
"2";2006;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;3,0044084;0;0;0;0;0;0;0,4491292;0,272326;0,0542425;0,0946165;0,9313077;1,9391013;0,1454239;NA;2006;70,0365601;10,0098677;4,2110276;27,5213871;4,8595285;0,5074985;48,582428;8,9551029;3,6156595;21,243515;3,1655407;2,6004269;69,6574554;15,1357508;4,6267662;10,9663038;3,9438729;3,0722494;-126,6725922;-0,0051258;-0,0031085;-0,0050005;-15,6235723;-0,025892
"3";2007;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;2,3670511;0;0;0;0;0;0;0,4620498;0,2766787;0,0531911;0,0939622;0,9226286;1,9744891;0,1470641;NA;2007;42,0570526;10,266243;4,0430713;26,8177795;4,8581414;0,5092208;34,1395912;6,3066993;2,6626608;15,7462702;2,400301;1,5159384;73,1753845;13,744607;4,3944392;13,0713797;3,7781928;2,8957024;-5,6372876;-0,0056682;-0,0034375;-0,0055297;-2,6629879;-0,012362
"4";2008;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;2,010016;0;0;0;0;0;0;0,4695887;0,28027;0,0527504;0,0932761;0,9188589;1,9965292;0,1483629;NA;2008;29,475832;10,5411196;3,726716;25,7428322;4,8699121;0,5110325;22,7670975;4,7812524;2,0518315;12,2319527;1,8895316;0,9448694;70,2010269;12,1548347;4,0191121;13,4864264;3,4865026;2,545485;10,558527;-0,0058228;-0,0035312;-0,0056804;0,9851626;-0,0085452
"5";2009;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;1,6715167;0;0;0;0;0;0;0,4883697;0,2877785;0,0542419;0,0989857;0,9498972;2,078361;0,1506252;NA;2009;28,0874043;10,5313168;3,457479;24,1265755;4,8678122;0,512981;15,3831911;3,7295306;1,5733656;9,418292;1,4857274;0,6308823;63,7883606;10,5962219;3,5840056;12,9425678;3,1388545;2,1636524;10,8599472;-0,005856;-0,0035513;-0,0057129;2,0035636;-0,0074501
"6";2010;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;1,3640234;0;0;0;0;0;0;0,5066525;0,2949136;0,0543243;0,1012133;0,9595568;2,1438758;0,1530211;NA;2010;27,3740082;10,3552122;3,2181742;21,6891823;4,8595743;0,5145512;10,6833839;2,9349136;1,2075011;7,1655655;1,1648455;0,4481689;56,2819405;9,1588326;3,1389804;11,8594217;2,7758667;1,8098269;10,6066151;-0,0058427;-0,0035433;-0,0056999;2,279305;-0,0071031
"7";2011;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;1,1036968;0;0;0;0;0;0;0,5297565;0,3045942;0,0548811;0,105034;0,9789546;2,2330668;0,1558021;NA;2011;26,9299717;9,9651814;2,9920747;18,3719139;4,8455167;0,5165374;7,6849208;2,3512003;0,9431356;5,4544506;0,9284701;0,339736;48,8837318;7,8762317;2,7161498;10,5253181;2,4246476;1,5042063;10,5293398;-0,0058045;-0,0035201;-0,0056626;2,3454666;-0,006947
"8";2012;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0,8893895;0;0;0;0;0;0;0,5508626;0,3136314;0,0554049;0,1088457;0,9987648;2,3156667;0,1583937;NA;2012;25,9214458;9,1486158;2,814188;15,0127859;4,8348756;0,5186599;5,7003956;1,9071535;0,7522441;4,1527457;0,7557915;0,2725961;42,1416779;6,7584414;2,3339686;9,1332169;2,1027961;1,2498844;10,6130276;-0,0057531;-0,0034889;-0,0056124;2,352401;-0,0068351
"9";2013;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0,7311646;0;0;0;0;0;0;0,5783712;0,3243401;0,0556603;0,1128582;1,0163418;2,4179361;0,1614563;NA;2013;25,3856678;8,3398027;2,6644762;12,335865;4,8286448;0,5212494;4,3733277;1,5693808;0,6009467;3,2681324;0,6319006;0,230726;36,2414398;5,7974353;1,9980952;7,8056235;1,8182559;1,0426811;10,8150654;-0,0056965;-0,0034546;-0,0055573;2,3428168;-0,0067333
"10";2014;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0,6093297;0;0;0;0;0;0;0,6021242;0,3343521;0,056324;0,1168712;1,0365078;2,5118356;0,1638157;NA;2014;25,1604633;7,582448;2,5143363;10,2399406;4,8224134;0,5231754;3,4546344;1,3055879;0,4891674;2,5990515;0,5401212;0,2035298;31,1978855;4,9789047;1,706907;6,6146121;1,5726585;0,8759709;11,103528;-0,0056403;-0,0034205;-0,0055025;2,3289573;-0,0066373
"11";2015;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0,5241201;0;0;0;0;0;0;0,6329136;0,346729;0,0573135;0,123319;1,0678674;2,6364584;0,1665994;NA;2015;24,3678226;6,9845581;2,4053397;8,7170153;4,8220959;0,525981;2,8125582;1,103;0,4084953;2,1834805;0,4730704;0,1832266;26,9425621;4,2858243;1,4590024;5,5786901;1,3638757;0,7426034;11,4637899;-0,0055874;-0,0033884;-0,0054508;2,3135099;-0,0065487
"12";2016;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0,5064481;0;0;0;0;0;0;0,6848956;0,366383;0,0569976;0,1307414;1,0971783;2,8255761;0,1722592;NA;2016;24,0222569;6,3719239;2,3056369;7,4806256;4,8107982;0,5311148;2,3530343;0,9432924;0,3486644;2,0756128;0,4225482;0,1626073;23,3783741;3,7017043;1,2506237;4,7364669;1,1883539;0,6349842;11,9128141;-0,0055397;-0,0033595;-0,0054043;2,2979376;-0,0064696
"13";2017;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0,5760989;0;0;0;0;0;0;0,696373;0,3723233;0,0572301;0,1315154;1,1023818;2,871743;0,1729706;NA;2017;23,6392307;5,8260417;2,2012444;6,4524488;4,8088832;0,5314949;1,9922191;0,8037762;0,2987798;2,32324;0,3780984;0,1342611;20,3977966;3,2086873;1,0761933;4,1168089;1,0410178;0,5459893;12,3940973;-0,0054972;-0,0033337;-0,0053628;2,2825572;-0,0063992
"14";2018;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0,670588;0;0;0;0;0;0;0,709239;0,3785463;0,0576613;0,1334257;1,1130816;2,9258077;0,1737086;NA;2018;22,813633;5,3293533;2,1122153;5,8919511;4,7845969;0,5314212;1,704291;0,6837412;0,2569216;2,5754046;0,3387131;0,108957;17,8951263;2,7898328;0,9296229;3,7342789;0,916321;0,4695802;12,7699223;-0,0054555;-0,0033084;-0,0053221;2,2673485;-0,00633
"15";2019;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0,7644594;0;0;0;0;0;0;0,7388828;0,3903894;0,0563684;0,1341404;1,1110625;3,0213151;0,1774079;NA;2019;22,5459061;4,8485036;2,0328367;5,5244451;4,7578688;0,5340454;1,4631726;0,5777848;0,2204607;2,8427923;0,3019626;0,0850049;15,7814455;2,4318335;0,8058425;3,5066121;0,8097122;0,4040336;13,1703243;-0,0054106;-0,0032812;-0,0052783;2,252188;-0,0062557
"16";2020;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0,846019;0;0;0;0;0;0;0,7498029;0,3957833;0,0569457;0,1359181;1,1213588;3,069366;0,177782;NA;2020;22,4064407;4,4641881;1,9541993;5,200458;4,7585816;0,534133;1,262181;0,4872746;0,1893398;3,0352457;0,2687584;0,0654344;13,9841824;2,1243048;0,7007831;3,4018621;0,7176939;0,3470378;13,5818129;-0,0053603;-0,0032507;-0,0052293;2,2371614;-0,0061717
"17";2021;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0,9006592;0;0;0;0;0;0;0,7581286;0,4001393;0,0574479;0,1373928;1,1302704;3,1075354;0,1779198;NA;2021;21,8704319;4,1678958;1,8989872;5,1405263;4,7550163;0,5341647;1,0923719;0,4105048;0,1627734;3,1293328;0,2390809;0,0508515;12,4449739;1,8592566;0,6112029;3,3572085;0,637647;0,2980187;14,0004492;-0,0053042;-0,0032167;-0,0051746;2,2225845;-0,0060783
"18";2022;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;0,9432915;0;0;0;0;0;0;0,7852349;0,4105878;0,0566739;0,139128;1,1342583;3,1980162;0,1813158;NA;2022;21,4077682;3,8537273;1,8502007;5,0965309;4,7410522;0,5368994;0,9593732;0,3495855;0,1419026;3,1962309;0,2153333;0,0402688;11,1204138;1,6309003;0,5347999;3,3418856;0,5680389;0,2562785;14,3467512;-0,0052442;-0,0031803;-0,005116;2,2080169;-0,0059783
"19";2023;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;0,974594;0;0;0;0;0;0;0,804499;0,4192314;0,0572583;0,1422571;1,1502516;3,2778153;0,1824189;NA;2023;21,4159698;3,5758634;1,796085;4,9574332;4,749723;0,5379522;0,8487355;0,2988265;0,1245159;3,2215025;0,1949916;0,0322913;9,9761362;1,4343363;0,4697093;3,3403654;0,507704;0,2209758;14,6894464;-0,0051839;-0,0031437;-0,0050571;2,1935351;-0,005878
"20";2024;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;0,999765;0;0;0;0;0;0;0,8252708;0,4285715;0,0577071;0,1453584;1,1658657;3,3623979;0,1836753;NA;2024;20,4634228;3,3232975;1,7542138;4,9929347;4,7280641;0,5384327;0,7555975;0,2569685;0,1102319;3,2318819;0,1780078;0,0262544;8,9818649;1,2648106;0,4141099;3,3403206;0,4553199;0,1911933;15,0277367;-0,005125;-0,003108;-0,0049997;2,1792643;-0,0057802
