"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"13";0,0301698;0,0344858;0,0635704;0,0083246;0,2181367;0,3370725;0,0035212;0,0271317;0,0317082;0,0585455;0,0074908;0,1992036;0,3081942;0,003162;0,0249567;0,0288316;0,0532052;0,0069219;0,1820254;0,2813534;0,0028192;0,0403696;0,0389258;0,0238875;0,0195689;0,1554728;0,3232771;0,0045959;0,0004981;0,0004687;0,0002818;0,0002406;0,001865;0,0039037;5,65e-05;0,0042148;0,0040517;0,0024797;0,0020421;0,0161592;0,0336408;0,0004786;0,0061035;0,0058854;0,0035996;0,0029099;0,0232824;0,0485501;0,0006973;0,0048125;0,0046877;0,0028859;0,0022893;0,0185275;0,0385569;0,0005524;2005-11-01;0,1382567
"14";0,0254696;0,0280022;0,0513943;0,0070362;0,1795011;0,2767451;0,0029149;0,0224518;0,0241924;0,0443182;0,0063027;0,1566077;0,2409554;0,002304;0,0206326;0,0223723;0,0410187;0,0057789;0,144528;0,2224706;0,0021487;0,0302073;0,0289852;0,0177692;0,0149509;0,1166807;0,2424311;0,0033781;0,0003804;0,0003548;0,0002129;0,0001876;0,0014257;0,0029817;4,28e-05;0,0032629;0,0031045;0,0018929;0,0016157;0,0125;0,0260176;0,0003648;0,0047656;0,0045618;0,0027819;0,0023125;0,018169;0,037884;0,0005381;0,0037552;0,0036328;0,002229;0,0018181;0,0144467;0,0300672;0,0004249;2005-12-01;0,1109254
"15";0,0264219;0,0289095;0,053086;0,0073136;0,1857406;0,286236;0,002989;0,0224369;0,0239667;0,0438441;0,0063162;0,1555324;0,2391605;0,0022632;0,0205973;0,0220521;0,0403536;0,0057951;0,1430172;0,2199487;0,0020841;0,0256371;0,0250159;0,0153895;0,0126336;0,0999565;0,207499;0,0028409;0,0003476;0,0003245;0,0001951;0,0001726;0,0013061;0,0027306;3,87e-05;0,0029979;0,0028549;0,0017409;0,0014902;0,0114921;0,0239246;0,0003321;0,0040512;0,0038618;0,0023506;0,0019869;0,0154356;0,0321901;0,0004526;0,0031646;0,0030545;0,0018712;0,0015473;0,0121782;0,0253486;0,0003537;2006-01-01;0,1056545
"16";0,0236501;0,0252521;0,0461305;0,0066728;0,1637529;0,2517967;0,0023545;0,0211151;0,0227584;0,0417064;0,0059291;0,1472498;0,2265593;0,0021719;0,0192474;0,0208075;0,0381217;0,0054074;0,1344862;0,2069585;0,0019716;0,0222005;0,0221591;0,0134696;0,0105576;0,0862844;0,1796749;0,0024967;0,0002467;0,0002435;0,000149;0,0001193;0,0009586;0,0019945;2,74e-05;0,002724;0,0026171;0,0016005;0,0013448;0,0104787;0,0218102;0,0003017;0,0036232;0,0034619;0,0021092;0,0017748;0,0138202;0,0288186;0,0004045;0,002761;0,0026848;0,0016481;0,001344;0,0106657;0,0221904;0,0003088;2006-02-01;0,095568
"17";0,0306684;0,0334923;0,0613964;0,008626;0,2153592;0,3316284;0,0031568;0,026217;0,0288388;0,052912;0,007365;0,1850656;0,2851066;0,0027167;0,0240117;0,026521;0,0486812;0,0067404;0,1700069;0,2619738;0,0024973;0,0289291;0,0285527;0,0175813;0,0139729;0,1128156;0,2343473;0,0032539;0,000359;0,0003436;0,0002095;0,000176;0,0013713;0,0028588;4e-05;0,0034895;0,0033377;0,0020352;0,0017115;0,0133316;0,0277895;0,0003892;0,0039873;0,0038428;0,0023504;0,0019433;0,0152897;0,0318553;0,0004461;0,003368;0,0032405;0,0019814;0,0016432;0,0129096;0,0268945;0,0003771;2006-03-01;0,12103
"18";0,0297542;0,0428858;0,0742811;0,0083259;0,2378886;0,3752919;0,0036048;0,0361635;0,0423544;0,078297;0,0101076;0,2658472;0,4111207;0,0039761;0,0331122;0,0390305;0,0722276;0,0092408;0,2446414;0,3784645;0,0036678;0,0451286;0,0436659;0,0267534;0,0216071;0,1726752;0,3599282;0,0051331;0,0005027;0,000482;0,0002934;0,0002409;0,001904;0,0039787;5,69e-05;0,0047364;0,0045635;0,0027856;0,0022669;0,0180133;0,0376091;0,0005365;0,0047059;0,004538;0,0027741;0,0022669;0,0179704;0,0374787;0,0005315;0,0031139;0,0031549;0,0019199;0,0014235;0,0120581;0,0251497;0,0003631;2006-04-01;0,1572174
"19";0,0405471;0,0639199;0,110471;0,0112058;0,3425743;0,5440573;0,0054391;0,0514043;0,0647325;0,1209933;0,0142329;0,3977365;0,6175817;0,0061024;0,043432;0,0549321;0,1016223;0,0121602;0,3349833;0,5205423;0,004855;0,078244;0,0745922;0,045022;0,036693;0,2915983;0,6119856;0,0088776;0,0007105;0,0006956;0,0004277;0,0003307;0,0027122;0,0056612;8,2e-05;0,0069607;0,006798;0,0041714;0,0032409;0,0264869;0,0553331;0,0008017;0,006375;0,006225;0,0038274;0,0030044;0,0244277;0,0509234;0,0007324;0,0045194;0,0045569;0,0028128;0,0020654;0,0175255;0,0364978;0,0005321;2006-05-01;0,232193
"20";0,0543794;0,083831;0,1486243;0,0150829;0,4603579;0,7280363;0,0071279;0,0616138;0,0844257;0,1592041;0,0168084;0,5055971;0,7889549;0,0081101;0,042003;0,0607175;0,1095955;0,0117258;0,3467221;0,5447746;0,0050513;0,0886685;0,0864796;0,0531718;0,0411115;0,3386275;0,7063172;0,0102137;0,0008961;0,0008828;0,000547;0,0004149;0,0034601;0,0071975;0,0001041;0,0086487;0,0084953;0,0052411;0,0039876;0,0330905;0,069021;0,0010038;0,0083104;0,0080602;0,0049424;0,0038981;0,0317353;0,0661676;0,0009556;0,0066141;0,0064528;0,0039705;0,0030937;0,0253247;0,0527862;0,0007632;2006-06-01;0,271134
"21";0,0808702;0,119025;0,225731;0,0218951;0,6989731;1,0949224;0,011193;0,0495876;0,0805237;0,1475256;0,012099;0,4399684;0,6990614;0,0105355;0,046754;0,0703968;0,1263892;0,0130001;0,3944336;0,6218166;0,0058716;0,1011242;0,0994462;0,0614624;0,0464704;0,3877185;0,8082023;0,011725;0,0009331;0,0009422;0,000591;0,000423;0,003658;0,0075858;0,0001116;0,0094705;0,0094611;0,0058909;0,0043011;0,0366399;0,0762435;0,0011198;0,008157;0,0081893;0,0051316;0,0037624;0,0320858;0,0664507;0,0009663;0,0065736;0,0066371;0,0041602;0,0030094;0,0258634;0,053583;0,0007843;2006-07-01;0,3034702
"22";0,0888497;0,1247394;0,236294;0,0246302;0,747146;1,1659989;0,0105685;0,0555416;0,090895;0,1663367;0,0133801;0,4935803;0,7851735;0,0123213;0,0480137;0,077695;0,1373831;0,0132344;0,4198035;0,6661566;0,0065223;0,106902;0,1068515;0,066541;0,0482194;0,4124979;0,8590528;0,0126523;0,0009724;0,0010036;0,0006315;0,0004264;0,0038304;0,0079422;0,0001204;0,011018;0,0110193;0,0068598;0,0049611;0,0424781;0,0884908;0,0013058;0,0088282;0,0089879;0,0056553;0,0039948;0,0348812;0,0722042;0,0010654;0,0069091;0,0071203;0,0044756;0,0030712;0,0273337;0,0566061;0,0008489;2006-08-01;0,3270347
