"";"Ca_Dep";"Mg_Dep";"K_Dep";"Na_Dep";"Al_Dep";"Ca_Weather";"Date"
"2";0,6890624;1,0964528;0,4703729;9,8638172;0;6,0853605;2005-01-01
"3";1,2230386;1,3830981;0,5561507;12,6242867;0;5,2407975;2006-01-01
"4";0,8206001;1,3684;0,5965037;12,1611061;0;5,5474305;2007-01-01
"5";0,6723022;1,0436436;0,4366547;9,544137;0;5,4516568;2008-01-01
"6";0,7315131;0,9010688;0,3754577;8,0099487;0;5,4356341;2009-01-01
"7";1,0023521;1,5417438;0,6590122;13,5957594;0;5,9335418;2010-01-01
"8";0,6996511;1,0399318;0,4555539;9,3617697;0;5,7153873;2011-01-01
"9";1,2558422;1,5523875;0,6175141;13,7546577;0;5,6243038;2012-01-01
"10";0,478072;0,6674975;0,2876568;5,907629;0;5,6734118;2013-01-01
"11";0,8207645;1,2755183;0,5514421;11,4876795;0;5,5156975;2014-01-01
"12";0,7234281;1,0068587;0,3998119;9,1873302;0;5,1594524;2015-01-01
