"";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"N_W";"Ca_W";"Mg_W";"K_W";"S_W";"P_W";"WoodBiomass";"FoliarBiomass"
"15";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"16";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"17";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"18";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"19";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"20";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"21";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"22";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"23";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"24";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"25";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"26";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"27";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"28";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"29";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"30";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"31";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"32";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
