"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"Al";"Si";"P";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;1;0,1380263;0,1689498;0,3070702;0,0367511;1,0188431;1,5870769;0,0203877;"Layer 1";2005-01-01
"2";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;2;0,1159996;0,1467345;0,2616627;0,0292066;0,8523151;1,3371648;0,0218211;"Layer 1";2005-02-01
"3";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;3;0,1576794;0,2033867;0,3686077;0,041074;1,1943514;1,8695391;0,0261024;"Layer 1";2005-03-01
"4";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;4;0,2132943;0,2966104;0,53192;0,0523561;1,6620872;2,6250832;0,0447356;"Layer 1";2005-04-01
"5";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;5;0,30476;0,4473797;0,804562;0,0735546;2,4586663;3,8977935;0,0680644;"Layer 1";2005-05-01
"6";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;6;0,3626711;0,5548619;0,9977621;0,0861419;3,0037687;4,7766342;0,0851218;"Layer 1";2005-06-01
"7";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;7;0,4337306;0,6961909;1,2875208;0,110854;3,8442554;6,0881538;0,0812556;"Layer 1";2005-07-01
"8";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;8;0,3437636;0,5501858;0,9557172;0,0750072;2,8756921;4,6147218;0,0944394;"Layer 1";2005-08-01
"9";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;9;0,2971445;0,4836749;0,8807325;0,0744274;2,6396835;4,1932068;0,0581112;"Layer 1";2005-09-01
"10";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;10;0,1656209;0,2429797;0,4295941;0,0401799;1,3374208;2,1218736;0,0349014;"Layer 1";2005-10-01
"11";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;11;0,1632141;0,2024353;0,3711044;0,0443162;1,2282302;1,9110584;0,0217709;"Layer 1";2005-11-01
"12";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2005;12;0,1360426;0,1639774;0,2986261;0,0365765;0,9985666;1,552757;0,0190294;"Layer 1";2005-12-01
"13";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;1;0,1396953;0,1696656;0,3089039;0,037422;1,02888;1,6010793;0,019974;"Layer 1";2006-01-01
"14";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;2;0,1136771;0,1436312;0,2547988;0,0282358;0,8294993;1,3029084;0,0224028;"Layer 1";2006-02-01
"15";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;3;0,1526722;0,1985042;0,3574607;0,0390613;1,1528192;1,8083893;0,0272323;"Layer 1";2006-03-01
"16";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;4;0,212042;0,2955684;0,5298882;0,0520291;1,6549033;2,6142004;0,0445047;"Layer 1";2006-04-01
"17";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;5;0,2970409;0,4336404;0,7743084;0,0702946;2,3683639;3,759872;0,0698755;"Layer 1";2006-05-01
"18";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;6;0,3561601;0,5445586;0,9757602;0,0838259;2,9385026;4,6763659;0,0854465;"Layer 1";2006-06-01
"19";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;7;0,421284;0,6806134;1,2535228;0,1065422;3,7351208;5,922986;0,0818477;"Layer 1";2006-07-01
"20";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;8;0,336714;0,5362004;0,9268845;0,072627;2,7962353;4,490284;0,0942972;"Layer 1";2006-08-01
"21";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;9;0,2777004;0,445449;0,7942719;0,0660829;2,3906548;3,8120496;0,0628605;"Layer 1";2006-09-01
"22";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;10;0,1614925;0,2342269;0,4101204;0,0382495;1,2811155;2,0355761;0,0363304;"Layer 1";2006-10-01
"23";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;11;0,156114;0,2004585;0,3657114;0,041553;1,191577;1,8610533;0,0232783;"Layer 1";2006-11-01
"24";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2006;12;0,1302301;0,161002;0,2913761;0,034297;0,9623455;1,501569;0,0202877;"Layer 1";2006-12-01
"25";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;1;0,1444027;0,1707647;0,3119647;0,039241;1,0519968;1,6323608;0,0190051;"Layer 1";2007-01-01
"26";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;2;0,1153132;0,1464259;0,2611762;0,0290711;0,8500214;1,333733;0,0215798;"Layer 1";2007-02-01
"27";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;3;0,1553342;0,2015134;0,3645157;0,0402555;1,1783173;1,8459599;0,0262858;"Layer 1";2007-03-01
"28";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;4;0,2124126;0,2968813;0,5330434;0,0523531;1,664155;2,6281898;0,0439597;"Layer 1";2007-04-01
"29";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;5;0,2985702;0,4391212;0,7870985;0,0714711;2,4043629;3,8148744;0,068119;"Layer 1";2007-05-01
"30";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;6;0,360868;0,5571386;1,004671;0,0865137;3,0203092;4,8015661;0,0825401;"Layer 1";2007-06-01
"31";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;7;0,4221564;0,6824729;1,2585424;0,1071455;3,7508302;5,9461923;0,0809618;"Layer 1";2007-07-01
"32";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;8;0,3366979;0,5361828;0,9268537;0,0726241;2,796144;4,4901376;0,0942904;"Layer 1";2007-08-01
"33";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;9;0,2761655;0,4420025;0,7865661;0,0653933;2,3690791;3,7788227;0,0632968;"Layer 1";2007-09-01
"34";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;10;0,1588136;0,2280646;0,3965237;0,0369506;1,2423508;1,9759549;0,0373632;"Layer 1";2007-10-01
"35";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;11;0,171461;0,1985671;0,3642535;0,0477457;1,2432168;1,9230595;0,0193924;"Layer 1";2007-11-01
"36";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2007;12;0,1230683;0,1544805;0,2765231;0,0314427;0,9053509;1,4179571;0,0218537;"Layer 1";2007-12-01
"37";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;1;0,1312743;0,1479307;0,2633377;0,0374795;0,9195992;1,4218367;0,0127653;"Layer 1";2008-01-01
"38";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;2;0,1157779;0,1466073;0,2614337;0,0291553;0,8513613;1,3357384;0,0217641;"Layer 1";2008-02-01
"39";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;3;0,1499958;0,1953141;0,3502569;0,0379462;1,1278393;1,7712029;0,0279194;"Layer 1";2008-03-01
"40";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;4;0,2151603;0,3003269;0,5404883;0,0533486;1,6883876;2,6648154;0,0437107;"Layer 1";2008-04-01
"41";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;5;0,3007643;0,441494;0,7918833;0,072091;2,4197702;3,8384423;0,0684165;"Layer 1";2008-05-01
"42";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;6;0,3595143;0,551306;0,9906886;0,0852911;2,9816027;4,7425017;0,0845663;"Layer 1";2008-06-01
"43";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;7;0,4223057;0,6816469;1,2553951;0,1067772;3,7411301;5,932344;0,0821362;"Layer 1";2008-07-01
"44";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;8;0,3378081;0,5373925;0,9289659;0,0728259;2,8024058;4,5001192;0,0947584;"Layer 1";2008-08-01
"45";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;9;0,2814362;0,4542145;0,8142682;0,0678853;2,4467363;3,8981183;0,0614599;"Layer 1";2008-09-01
"46";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;10;0,1703476;0,2518714;0,4495587;0,0422869;1,3965945;2,2121038;0,0334924;"Layer 1";2008-10-01
"47";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;11;0,1527925;0,1984753;0,3610137;0,0402832;1,1700443;1,8302629;0,0238905;"Layer 1";2008-11-01
"48";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2008;12;0,1341794;0,1632618;0,2968194;0,0358556;0,9881265;1,5382465;0,0194108;"Layer 1";2008-12-01
"49";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;1;0,1506518;0,1684959;0,3083782;0,0418532;1,0673144;1,6477413;0,0171386;"Layer 1";2009-01-01
"50";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;2;0,1189233;0,150363;0,2698469;0,0304589;0,8805187;1,3791887;0,0209789;"Layer 1";2009-02-01
"51";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;3;0,1488774;0,193767;0,3467494;0,0374474;1,1161308;1,7536901;0,0282907;"Layer 1";2009-03-01
"52";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;4;0,2131785;0,2971819;0,5334251;0,052476;1,6661415;2,6312118;0,0443093;"Layer 1";2009-04-01
"53";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;5;0,3035153;0,4461121;0,8020248;0,0732111;2,4503427;3,8850853;0,0678762;"Layer 1";2009-05-01
"54";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;6;0,3574984;0,5466692;0,9802494;0,084296;2,9517937;4,6968045;0,0853971;"Layer 1";2009-06-01
"55";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;7;0,4207383;0,6791892;1,2495915;0,106088;3,7230177;5,9051175;0,0826128;"Layer 1";2009-07-01
"56";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;8;0,3362827;0,5332016;0,9199213;0,0721144;2,7780011;4,4620647;0,0952339;"Layer 1";2009-08-01
"57";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;9;0,2765757;0,4420956;0,786417;0,0654045;2,3690071;3,7788737;0,063634;"Layer 1";2009-09-01
"58";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;10;0,1589584;0,2279728;0,3962028;0,0369348;1,241622;1,9748714;0,0375334;"Layer 1";2009-10-01
"59";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;11;0,1711099;0,1972083;0,3615383;0,0477647;1,2371824;1,9129645;0,0190224;"Layer 1";2009-11-01
"60";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2009;12;0,1380233;0,1644509;0,2999708;0,0373549;1,0085446;1,566262;0,0185826;"Layer 1";2009-12-01
"61";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;1;0,1452942;0,1708499;0,3122564;0,0395756;1,0556515;1,6371472;0,0188498;"Layer 1";2010-01-01
"62";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;2;0,1151005;0,1459425;0,2600288;0,0289276;0,8463947;1,3283002;0,0217836;"Layer 1";2010-02-01
"63";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;3;0,1552917;0,2013817;0,3641328;0,0401943;1,1769691;1,8440146;0,0264213;"Layer 1";2010-03-01
"64";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;4;0,2120381;0,2957833;0,5304345;0,0520769;1,6564187;2,6164923;0,0443724;"Layer 1";2010-04-01
"65";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;5;0,2982141;0,4373094;0,7827758;0,0710883;2,3923531;3,7965486;0,0688169;"Layer 1";2010-05-01
"66";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;6;0,3603009;0,554356;0,9979247;0,0859288;3,0016873;4,7731853;0,0835827;"Layer 1";2010-06-01
"67";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;7;0,4199843;0,6784283;1,248214;0,1059154;3,7185979;5,8982339;0,0823976;"Layer 1";2010-07-01
"68";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;8;0,337327;0,5362371;0,926515;0,0726298;2,7957423;4,4897108;0,0948355;"Layer 1";2010-08-01
"69";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;9;0,276866;0,4427727;0,7879366;0,0655393;2,3732471;3,7854037;0,0635402;"Layer 1";2010-09-01
"70";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;10;0,1588129;0,227386;0,3948496;0,0368154;1,2378836;1,9691337;0,0377176;"Layer 1";2010-10-01
"71";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;11;0,1716044;0,1987834;0,3646751;0,0477711;1,2443844;1,9249219;0,0194516;"Layer 1";2010-11-01
"72";"C:/Users/siahl/Documents/NutsforSEDLN/80_BO/Output data/Weathering/Weathering Layer 1.csv";2010;12;0,1230019;0,1543687;0,2762556;0,0314041;0,9044515;1,4166225;0,0219016;"Layer 1";2010-12-01
