"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9175.8574219
"2","H1","Sedimentary","Low","DW_Brk",24098.4257812
"3","H1","Sedimentary","Low","DW_Brh",10080.2695312
"4","H1","Sedimentary","Low","DW_Bol",177198.78125
"5","H2","Sedimentary","Low","DW_F",11119.2578125
"6","H2","Sedimentary","Low","DW_Brk",21117.3515625
"7","H2","Sedimentary","Low","DW_Brh",10220.9091797
"8","H2","Sedimentary","Low","DW_Bol",139828.03125
"9","H3","Sedimentary","Low","DW_F",11106.9228516
"10","H3","Sedimentary","Low","DW_Brk",20485.109375
"11","H3","Sedimentary","Low","DW_Brh",9999.6044922
"12","H3","Sedimentary","Low","DW_Bol",135807.515625
"13","H4","Sedimentary","Low","DW_F",11158.4765625
"14","H4","Sedimentary","Low","DW_Brk",21232.2734375
"15","H4","Sedimentary","Low","DW_Brh",10256.5712891
"16","H4","Sedimentary","Low","DW_Bol",140776.90625
"17","H5","Sedimentary","Low","DW_F",11171.6064453
"18","H5","Sedimentary","Low","DW_Brk",21827.7714844
"19","H5","Sedimentary","Low","DW_Brh",10489.9980469
"20","H5","Sedimentary","Low","DW_Bol",144520.828125
"21","H6","Sedimentary","Low","DW_F",11171.8574219
"22","H6","Sedimentary","Low","DW_Brk",22114.5097656
"23","H6","Sedimentary","Low","DW_Brh",10605.0693359
"24","H6","Sedimentary","Low","DW_Bol",146280.796875
"25","H7","Sedimentary","Low","DW_F",11157.8476562
"26","H7","Sedimentary","Low","DW_Brk",22144.6367188
"27","H7","Sedimentary","Low","DW_Brh",10614.3554688
"28","H7","Sedimentary","Low","DW_Bol",146418.578125
"29","H8","Sedimentary","Low","DW_F",11140.2783203
"30","H8","Sedimentary","Low","DW_Brk",21956.2792969
"31","H8","Sedimentary","Low","DW_Brh",10528.5546875
"32","H8","Sedimentary","Low","DW_Bol",145193
"33","H9","Sedimentary","Low","DW_F",11117.7919922
"34","H9","Sedimentary","Low","DW_Brk",21676.2070312
"35","H9","Sedimentary","Low","DW_Brh",10410.6796875
"36","H9","Sedimentary","Low","DW_Bol",143395.109375
"37","H10","Sedimentary","Low","DW_F",11085.9296875
"38","H10","Sedimentary","Low","DW_Brk",21356.9023438
"39","H10","Sedimentary","Low","DW_Brh",10278.2246094
"40","H10","Sedimentary","Low","DW_Bol",141354.59375
"41","H11","Sedimentary","Low","DW_F",11036.7626953
"42","H11","Sedimentary","Low","DW_Brk",21019.5078125
"43","H11","Sedimentary","Low","DW_Brh",10135.3730469
"44","H11","Sedimentary","Low","DW_Bol",139224.765625
"45","H12","Sedimentary","Low","DW_F",10729.1689453
"46","H12","Sedimentary","Low","DW_Brk",16807.6503906
"47","H12","Sedimentary","Low","DW_Brh",9141.4150391
"48","H12","Sedimentary","Low","DW_Bol",108601.5703125
"49","H1","Sedimentary","High","DW_F",9164.8066406
"50","H1","Sedimentary","High","DW_Brk",32107.5019531
"51","H1","Sedimentary","High","DW_Brh",12153.5068359
