"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9175.8632812
"2","H1","Sedimentary","Low","DW_Brk",24093.6601562
"3","H1","Sedimentary","Low","DW_Brh",10078.5498047
"4","H1","Sedimentary","Low","DW_Bol",177169.5
"5","H2","Sedimentary","Low","DW_F",11119.2578125
"6","H2","Sedimentary","Low","DW_Brk",21117.5546875
"7","H2","Sedimentary","Low","DW_Brh",10220.9394531
"8","H2","Sedimentary","Low","DW_Bol",139829.46875
"9","H3","Sedimentary","Low","DW_F",11106.9453125
"10","H3","Sedimentary","Low","DW_Brk",20484.5859375
"11","H3","Sedimentary","Low","DW_Brh",9999.4599609
"12","H3","Sedimentary","Low","DW_Bol",135803.9375
"13","H4","Sedimentary","Low","DW_F",11158.5058594
"14","H4","Sedimentary","Low","DW_Brk",21232.5605469
"15","H4","Sedimentary","Low","DW_Brh",10256.6162109
"16","H4","Sedimentary","Low","DW_Bol",140779
"17","H5","Sedimentary","Low","DW_F",11171.6269531
"18","H5","Sedimentary","Low","DW_Brk",21827.8300781
"19","H5","Sedimentary","Low","DW_Brh",10489.9433594
"20","H5","Sedimentary","Low","DW_Bol",144521.609375
"21","H6","Sedimentary","Low","DW_F",11171.8164062
"22","H6","Sedimentary","Low","DW_Brk",22114.15625
"23","H6","Sedimentary","Low","DW_Brh",10604.7548828
"24","H6","Sedimentary","Low","DW_Bol",146279.140625
"25","H7","Sedimentary","Low","DW_F",11157.7851562
"26","H7","Sedimentary","Low","DW_Brk",22143.4570312
"27","H7","Sedimentary","Low","DW_Brh",10613.7128906
"28","H7","Sedimentary","Low","DW_Bol",146411.375
"29","H8","Sedimentary","Low","DW_F",11140.2001953
"30","H8","Sedimentary","Low","DW_Brk",21954.1875
"31","H8","Sedimentary","Low","DW_Brh",10527.5478516
"32","H8","Sedimentary","Low","DW_Bol",145180.015625
"33","H9","Sedimentary","Low","DW_F",11117.6875
"34","H9","Sedimentary","Low","DW_Brk",21673.7617188
"35","H9","Sedimentary","Low","DW_Brh",10409.5585938
"36","H9","Sedimentary","Low","DW_Bol",143379.90625
"37","H10","Sedimentary","Low","DW_F",11085.7929688
"38","H10","Sedimentary","Low","DW_Brk",21354.1113281
"39","H10","Sedimentary","Low","DW_Brh",10276.9902344
"40","H10","Sedimentary","Low","DW_Bol",141337.203125
"41","H11","Sedimentary","Low","DW_F",11036.6152344
"42","H11","Sedimentary","Low","DW_Brk",21016.4082031
"43","H11","Sedimentary","Low","DW_Brh",10134.0205078
"44","H11","Sedimentary","Low","DW_Bol",139205.390625
"45","H12","Sedimentary","Low","DW_F",10749.1738281
"46","H12","Sedimentary","Low","DW_Brk",17095.765625
"47","H12","Sedimentary","Low","DW_Brh",9220.3496094
"48","H12","Sedimentary","Low","DW_Bol",110563.0078125
"49","H1","Sedimentary","High","DW_F",9067.1796875
"50","H1","Sedimentary","High","DW_Brk",27504.84375
"51","H1","Sedimentary","High","DW_Brh",11198.265625
"52","H1","Sedimentary","High","DW_Bol",198717.640625
"53","H2","Sedimentary","High","DW_F",10839.3261719
"54","H2","Sedimentary","High","DW_Brk",6360.4926758
"55","H2","Sedimentary","High","DW_Brh",4060.8901367
"56","H2","Sedimentary","High","DW_Bol",46761.4414062
"57","H3","Sedimentary","High","DW_F",10617.8037109
"58","H3","Sedimentary","High","DW_Brk",4917.6191406
"59","H3","Sedimentary","High","DW_Brh",3809.9450684
"60","H3","Sedimentary","High","DW_Bol",47211.2304688
"61","H4","Sedimentary","High","DW_F",10576.3496094
"62","H4","Sedimentary","High","DW_Brk",4881.2426758
"63","H4","Sedimentary","High","DW_Brh",3924.8842773
"64","H4","Sedimentary","High","DW_Bol",46878.5390625
"65","H5","Sedimentary","High","DW_F",10591.3232422
"66","H5","Sedimentary","High","DW_Brk",4912.1611328
"67","H5","Sedimentary","High","DW_Brh",3939.28125
"68","H5","Sedimentary","High","DW_Bol",47109.1015625
"69","H6","Sedimentary","High","DW_F",10608.1777344
"70","H6","Sedimentary","High","DW_Brk",4957.6582031
"71","H6","Sedimentary","High","DW_Brh",3965.4748535
"72","H6","Sedimentary","High","DW_Bol",47434.03125
"73","H7","Sedimentary","High","DW_F",10623.5244141
"74","H7","Sedimentary","High","DW_Brk",5003.9238281
"75","H7","Sedimentary","High","DW_Brh",3998.2905273
"76","H7","Sedimentary","High","DW_Bol",47775.2539062
"77","H8","Sedimentary","High","DW_F",10638.4677734
"78","H8","Sedimentary","High","DW_Brk",5049.7563477
"79","H8","Sedimentary","High","DW_Brh",4030.541748
"80","H8","Sedimentary","High","DW_Bol",48115.6484375
"81","H9","Sedimentary","High","DW_F",10652.9345703
"82","H9","Sedimentary","High","DW_Brk",5086.9956055
"83","H9","Sedimentary","High","DW_Brh",4049.5200195
"84","H9","Sedimentary","High","DW_Bol",48373.4140625
"85","H10","Sedimentary","High","DW_F",10667.1875
"86","H10","Sedimentary","High","DW_Brk",5122.9389648
"87","H10","Sedimentary","High","DW_Brh",4067.519043
"88","H10","Sedimentary","High","DW_Bol",48624.3671875
"89","H11","Sedimentary","High","DW_F",10678.2509766
"90","H11","Sedimentary","High","DW_Brk",5158.8823242
"91","H11","Sedimentary","High","DW_Brh",4087.7822266
"92","H11","Sedimentary","High","DW_Bol",48875.7890625
"93","H12","Sedimentary","High","DW_F",10685.1015625
"94","H12","Sedimentary","High","DW_Brk",5199.8774414
"95","H12","Sedimentary","High","DW_Brh",4115.2441406
"96","H12","Sedimentary","High","DW_Bol",49175.8164062
"97","H1","Basalt","High","DW_F",7703.7133789
"98","H1","Basalt","High","DW_Brk",19294.5488281
"99","H1","Basalt","High","DW_Brh",9292.8974609
"100","H1","Basalt","High","DW_Bol",139222.765625
"101","H2","Basalt","High","DW_F",6247.1298828
"102","H2","Basalt","High","DW_Brk",4448.8842773
"103","H2","Basalt","High","DW_Brh",4255.2089844
"104","H2","Basalt","High","DW_Bol",31747.2753906
"105","H3","Basalt","High","DW_F",5784.3056641
"106","H3","Basalt","High","DW_Brk",3475.8974609
"107","H3","Basalt","High","DW_Brh",3392.8076172
"108","H3","Basalt","High","DW_Bol",26292.8046875
"109","H4","Basalt","High","DW_F",5696.0112305
"110","H4","Basalt","High","DW_Brk",3310.0124512
"111","H4","Basalt","High","DW_Brh",3230.6694336
"112","H4","Basalt","High","DW_Bol",25289.1914062
"113","H5","Basalt","High","DW_F",5704.2421875
"114","H5","Basalt","High","DW_Brk",3296.1606445
"115","H5","Basalt","High","DW_Brh",3208.6501465
"116","H5","Basalt","High","DW_Bol",25139.28125
"117","H6","Basalt","High","DW_F",5739.3774414
"118","H6","Basalt","High","DW_Brk",3321.9482422
"119","H6","Basalt","High","DW_Brh",3219.6923828
"120","H6","Basalt","High","DW_Bol",25230.8632812
"121","H7","Basalt","High","DW_F",5774.128418
"122","H7","Basalt","High","DW_Brk",3375.4211426
"123","H7","Basalt","High","DW_Brh",3271.9077148
"124","H7","Basalt","High","DW_Bol",25580.8320312
"125","H8","Basalt","High","DW_F",5802.878418
"126","H8","Basalt","High","DW_Brk",3410.3544922
"127","H8","Basalt","High","DW_Brh",3301.0698242
"128","H8","Basalt","High","DW_Bol",25776.4804688
"129","H9","Basalt","High","DW_F",5814.5048828
"130","H9","Basalt","High","DW_Brk",3418.3549805
"131","H9","Basalt","High","DW_Brh",3306.5183105
"132","H9","Basalt","High","DW_Bol",25807.3847656
"133","H10","Basalt","High","DW_F",5824.1796875
"134","H10","Basalt","High","DW_Brk",3425.0170898
"135","H10","Basalt","High","DW_Brh",3311.8452148
"136","H10","Basalt","High","DW_Bol",25841.8945312
"137","H11","Basalt","High","DW_F",5840.4794922
"138","H11","Basalt","High","DW_Brk",3445.9604492
"139","H11","Basalt","High","DW_Brh",3329.0961914
"140","H11","Basalt","High","DW_Bol",25952.1015625
"141","H12","Basalt","High","DW_F",5860.5400391
"142","H12","Basalt","High","DW_Brk",3474.3371582
"143","H12","Basalt","High","DW_Brh",3351.7783203
"144","H12","Basalt","High","DW_Bol",26090.4023438
"145","H1","Basalt","Low","DW_F",9158.6582031
"146","H1","Basalt","Low","DW_Brk",23930.7070312
"147","H1","Basalt","Low","DW_Brh",10041.8066406
"148","H1","Basalt","Low","DW_Bol",175969.625
"149","H2","Basalt","Low","DW_F",11140.5576172
"150","H2","Basalt","Low","DW_Brk",22434.7382812
"151","H2","Basalt","Low","DW_Brh",10652.5234375
"152","H2","Basalt","Low","DW_Bol",147979.59375
"153","H3","Basalt","Low","DW_F",11169.1357422
"154","H3","Basalt","Low","DW_Brk",22501.8925781
"155","H3","Basalt","Low","DW_Brh",10590.7714844
"156","H3","Basalt","Low","DW_Bol",148954.296875
"157","H4","Basalt","Low","DW_F",11198.6171875
"158","H4","Basalt","Low","DW_Brk",23098.3164062
"159","H4","Basalt","Low","DW_Brh",10852.3535156
"160","H4","Basalt","Low","DW_Bol",152759.8125
"161","H5","Basalt","Low","DW_F",11188.8583984
"162","H5","Basalt","Low","DW_Brk",23318.4394531
"163","H5","Basalt","Low","DW_Brh",10960.3701172
"164","H5","Basalt","Low","DW_Bol",154005.171875
"165","H6","Basalt","Low","DW_F",11141.7978516
"166","H6","Basalt","Low","DW_Brk",22800.0625
"167","H6","Basalt","Low","DW_Brh",10750.0214844
"168","H6","Basalt","Low","DW_Bol",150659.34375
"169","H7","Basalt","Low","DW_F",11093.3710938
"170","H7","Basalt","Low","DW_Brk",22037.8730469
"171","H7","Basalt","Low","DW_Brh",10439.2597656
"172","H7","Basalt","Low","DW_Bol",145800.453125
