"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9175.8632812
"2","H1","Sedimentary","Low","DW_Brk",24093.6640625
"3","H1","Sedimentary","Low","DW_Brh",10078.5507812
"4","H1","Sedimentary","Low","DW_Bol",177169.53125
"5","H2","Sedimentary","Low","DW_F",11119.2578125
"6","H2","Sedimentary","Low","DW_Brk",21117.5546875
"7","H2","Sedimentary","Low","DW_Brh",10220.9394531
"8","H2","Sedimentary","Low","DW_Bol",139829.5
"9","H3","Sedimentary","Low","DW_F",11106.9453125
"10","H3","Sedimentary","Low","DW_Brk",20484.5585938
"11","H3","Sedimentary","Low","DW_Brh",9999.4511719
"12","H3","Sedimentary","Low","DW_Bol",135803.75
"13","H4","Sedimentary","Low","DW_F",11158.5058594
"14","H4","Sedimentary","Low","DW_Brk",21232.5800781
"15","H4","Sedimentary","Low","DW_Brh",10256.6210938
"16","H4","Sedimentary","Low","DW_Bol",140779.078125
"17","H5","Sedimentary","Low","DW_F",11171.6259766
"18","H5","Sedimentary","Low","DW_Brk",21827.8164062
"19","H5","Sedimentary","Low","DW_Brh",10489.9375
"20","H5","Sedimentary","Low","DW_Bol",144521.5
"21","H6","Sedimentary","Low","DW_F",11171.8125
"22","H6","Sedimentary","Low","DW_Brk",22114.1308594
"23","H6","Sedimentary","Low","DW_Brh",10604.7373047
"24","H6","Sedimentary","Low","DW_Bol",146279.09375
"25","H7","Sedimentary","Low","DW_F",11157.7832031
"26","H7","Sedimentary","Low","DW_Brk",22143.3769531
"27","H7","Sedimentary","Low","DW_Brh",10613.6757812
"28","H7","Sedimentary","Low","DW_Bol",146410.84375
"29","H8","Sedimentary","Low","DW_F",11140.1914062
"30","H8","Sedimentary","Low","DW_Brk",21954.0722656
"31","H8","Sedimentary","Low","DW_Brh",10527.5
"32","H8","Sedimentary","Low","DW_Bol",145179.25
"33","H9","Sedimentary","Low","DW_F",11117.6757812
"34","H9","Sedimentary","Low","DW_Brk",21673.6054688
"35","H9","Sedimentary","Low","DW_Brh",10409.5009766
"36","H9","Sedimentary","Low","DW_Bol",143378.859375
"37","H10","Sedimentary","Low","DW_F",11085.78125
"38","H10","Sedimentary","Low","DW_Brk",21353.9648438
"39","H10","Sedimentary","Low","DW_Brh",10276.9287109
"40","H10","Sedimentary","Low","DW_Bol",141336.15625
"41","H11","Sedimentary","Low","DW_F",11036.6064453
"42","H11","Sedimentary","Low","DW_Brk",21016.21875
"43","H11","Sedimentary","Low","DW_Brh",10133.9443359
"44","H11","Sedimentary","Low","DW_Bol",139204.1875
"45","H12","Sedimentary","Low","DW_F",10711.6171875
"46","H12","Sedimentary","Low","DW_Brk",16638.671875
"47","H12","Sedimentary","Low","DW_Brh",9095.8486328
"48","H12","Sedimentary","Low","DW_Bol",107434.15625
