YEAR;Total Uptake kg/ha/yr;;;;;;Litterfall kg/ha/yr;;;;;;Litter mineralisation kg/ha/yr;;;;;;SOM mineralisation kg/ha/yr;;;;;;
;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;
        2005;      9.5089531;      8.3807182;      1.4470637;     14.4450760;      1.0985022;      0.4446153;      6.1059499;      2.9897053;      0.8502178;      4.0827503;      0.6930506;      0.5178333;      8.3142166;      3.7909653;      1.0411860;      0.9355483;      0.0900830;      0.5819054;   -358.5372009;      0.0000000;      0.0000000;     -0.0003556;      0.0000000;    -80.6282959;
        2006;      9.9211159;      8.7842903;      1.5111177;     15.6682892;      1.1463245;      0.4505767;      6.3341737;      3.0928524;      0.8808752;      4.2053618;      0.7189295;      0.5130575;      8.2611570;      3.7795172;      1.0398694;      1.1414361;      0.1287200;      0.5833417;   -179.8982239;      0.0000000;      0.0000000;     -0.0009615;      0.0000000;    -39.0826340;
        2007;     10.1681995;      8.9595919;      1.5473166;     15.2606726;      1.1746495;      0.5780266;      6.0490098;      2.9649107;      0.8494876;      4.0253882;      0.6935686;      0.4840805;      7.8919654;      3.6221437;      0.9984583;      1.2844712;      0.1592349;      0.5609160;    -90.6023407;      0.0000000;      0.0000000;     -0.0013089;      0.0000000;    -17.8153229;
        2008;     10.4203539;      9.1761742;      1.5855024;     14.9857111;      1.2037499;      0.6396273;      5.7332802;      2.8045533;      0.8068715;      3.8064053;      0.6633042;      0.4507132;      7.8960943;      3.6345797;      1.0038016;      1.4569268;      0.1918091;      0.5640481;    -29.2272816;      0.0000000;      0.0000000;     -0.0014694;      0.0000000;     -4.2370019;
        2009;     10.6998520;      9.4527054;      1.6290333;     14.8091726;      1.2361940;      0.5903951;      5.4691458;      2.6700461;      0.7695138;      3.6283581;      0.6379859;      0.4217891;      7.5605950;      3.4888873;      0.9653422;      1.5421562;      0.2118756;      0.5420571;     -9.1190834;      0.0000000;      0.0000000;     -0.0017169;      0.0000000;      0.8293779;
        2010;     10.8851767;      9.6132870;      1.6571449;     14.6248827;      1.2575889;      0.7458923;      5.2406178;      2.5529890;      0.7358270;      3.4750912;      0.6162187;      0.3974038;      9.0124321;      4.1679306;      1.1551949;      1.9972038;      0.2834094;      0.6477512;     26.4034977;      0.0000000;      0.0000000;     -0.0018464;      0.0000000;      8.6216984;
        2011;     11.0563107;      9.7514019;      1.6827680;     14.4678431;      1.2772933;      0.6654537;      5.0449505;      2.4488833;      0.7061189;      3.3350201;      0.5972499;      0.3762645;      7.2903285;      3.3780079;      0.9377432;      1.7354840;      0.2528495;      0.5248268;     14.5419092;      0.0000000;      0.0000000;     -0.0018801;      0.0000000;      6.5055141;
        2012;     11.1413622;      9.7697678;      1.6938424;     14.2551441;      1.2868273;      0.6454210;      4.8436971;      2.3306239;      0.6772591;      3.1765962;      0.5743163;      0.3557364;      7.1827483;      3.3333354;      0.9268025;      1.8176513;      0.2706465;      0.5175216;     25.9964161;      0.0000000;      0.0000000;     -0.0018235;      0.0000000;      8.8576584;
        2013;     11.2618713;      9.8442917;      1.7111348;     14.0846539;      1.3005855;      0.7361559;      4.6790047;      2.2343626;      0.6566344;      3.0512953;      0.5577794;      0.3392047;      8.5007963;      3.9492233;      1.1000174;      2.2658191;      0.3436385;      0.6126127;     35.2598953;      0.0000000;      0.0000000;     -0.0018608;      0.0000000;     10.7488289;
        2014;     11.3449039;      9.8927088;      1.7229533;     13.9458656;      1.3100500;      0.6649423;      4.5373774;      2.1631663;      0.6424055;      2.9562228;      0.5461216;      0.3242562;      8.7223539;      4.0554023;      1.1320220;      2.4358823;      0.3756571;      0.6283609;     35.9141655;      0.0000000;      0.0000000;     -0.0020665;      0.0000000;     11.4869871;
        2015;     11.4279385;      9.9411240;      1.7347714;     13.8468761;      1.3195148;      0.4239178;      4.4176359;      2.1106586;      0.6323616;      2.8842406;      0.5378689;      0.3092301;      7.0596914;      3.2848594;      0.9191650;      2.0569406;      0.3221033;      0.5080958;     20.0398750;      0.0000000;      0.0000000;     -0.0020148;      0.0000000;      7.9488029;
