YEAR;Wet Deposition kg/ha/yr;;;;;;;;;;Dry Deposition kg/ha/yr;;;;;;;;;;Total Deposition kg/ha/yr;;;;;;;;;;Throughfall kg/ha/yr;;;;;;;;;;Net Foliar exhanges kg/ha/yr;;;;;;;;;;Litterflow flux kg/ha/yr;;;;;;;;;;Leaching flux kg/ha/yr;;;;;;;;;;Weathering flux kg/ha/yr;;;;;;;
;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;Na;Al;Si;P;
        2005;      1.2278032;      1.9669576;      0.8485563;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.2278032;      1.9669576;      0.8485563;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      1.2278032;      1.9669576;      9.5897436;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      0.0000000;      0.0000000;      8.7411871;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.0187678;      3.0081434;      2.5190005;      5.8342614;      1.3644757;      7.1987376;      2.3404505;     18.1370316;     32.9326515;      0.0000000;     24.4825840;     17.3453598;     13.6038847;     15.1023474;      4.8730402;     19.9753876;      6.4100251;     45.9938698;     51.8650055;      0.0005677;     40.1777534;     31.3512802;      7.9693027;     14.7305737;    122.9244232;    257.4503174;      0.0000000;
        2006;      1.7354697;      1.9960107;      0.8007448;      0.5367520;      0.2228113;      0.7595634;      2.5736566;     18.1626148;     32.5074997;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.7354697;      1.9960107;      0.8007448;      0.5367520;      0.2228113;      0.7595634;      2.5736566;     18.1626148;     32.5074997;      0.0000000;      1.7354697;      1.9960107;      9.7502899;      0.5367519;      0.2228113;      0.7595633;      2.5736566;     18.1626148;     32.5074959;      0.0000000;      0.0000000;      0.0000000;      8.9495459;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.5149875;      3.0358803;      1.9421819;      5.5667567;      1.3722336;      6.9389901;      2.7022562;     18.1626148;     32.5074959;      0.0000000;     17.3917732;     12.6224079;     10.9061708;     19.0867729;      4.9557810;     24.0425549;      6.5617223;     36.5867119;     35.5282249;      0.0010561;     46.5516281;     34.2950325;      8.1714687;     15.9256411;    128.6736145;    285.5044861;      0.0000000;
        2007;      1.1175578;      1.8584390;      0.7791315;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.1175578;      1.8584390;      0.7791315;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      1.1175578;      1.8584390;      9.1546707;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      0.0000000;      0.0000000;      8.3755388;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.7397013;      2.8568969;      2.0636034;      5.4018626;      1.1951301;      6.5969925;      2.4175560;     16.5240726;     30.2306385;      0.0000000;     15.1037273;     11.1929045;      7.7859654;     15.9221973;      5.2975621;     21.2197590;      4.1378498;     24.0610390;     25.9045296;      0.0009025;     38.7341423;     30.5817757;      8.1068316;     14.9334526;    124.2133026;    252.5849915;      0.0000000;
        2008;      1.0586964;      1.6681712;      0.7000706;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0586964;      1.6681712;      0.7000706;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      1.0586964;      1.6681712;      8.6300268;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      0.0000000;      0.0000000;      7.9299564;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.6932755;      2.6719723;      2.1569982;      5.5169921;      1.3143914;      6.8313837;      2.3906646;     15.1959076;     27.5807381;      0.0000000;     19.1769333;     14.4381666;      9.0697117;     20.3882084;      5.2091904;     25.5973988;      4.8109751;     27.4783764;     30.2621689;      0.0012685;     43.8758545;     33.1754494;      8.2282810;     15.7752619;    128.5653381;    275.3311157;      0.0000000;
        2009;      1.2023857;      1.4673746;      0.5938997;      0.4605203;      0.2283966;      0.6889169;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.2023857;      1.4673746;      0.5938997;      0.4605203;      0.2283966;      0.6889169;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      1.2023857;      1.4673746;      8.1574097;      0.4605204;      0.2283966;      0.6889170;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      0.0000000;      0.0000000;      7.5635104;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.6912732;      2.4327166;      2.1360569;      5.1322308;      1.2329227;      6.3651528;      2.2722404;     12.9780483;     23.4686279;      0.0000000;     17.1322784;     13.0376015;      7.7406955;     17.6104908;      5.2302170;     22.8407059;      3.9969192;     24.3721428;     26.5967159;      0.0007774;     37.0745277;     30.0640125;      7.8653789;     14.3656359;    121.3739243;    244.4996033;      0.0000000;
        2010;      1.5207080;      2.3192356;      1.0080230;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296265;     37.5112877;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.5207080;      2.3192356;      1.0080230;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296265;     37.5112877;      0.0000000;      1.5207080;      2.3192356;      8.2618151;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296284;     37.5112877;      0.0000000;      0.0000000;      0.0000000;      7.2537909;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.6886377;      3.4744301;      3.0052280;      6.1561623;      1.5955235;      7.7516861;      3.4095721;     20.4296284;     37.5112877;      0.0000000;     24.7852020;     19.0349808;     10.6049538;     26.3521614;      8.5441589;     34.8963203;      5.8088899;     36.5479584;     38.0973587;      0.0018053;     50.7255249;     36.0166092;      8.9926348;     18.1958199;    141.3075867;    309.4945374;      0.0000000;
        2011;      1.1393536;      1.7076086;      0.7358245;      0.7821590;      0.3771561;      1.1593152;      2.2812150;     15.4312725;     28.2076893;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.1393536;      1.7076086;      0.7358245;      0.7821590;      0.3771561;      1.1593152;      2.2812150;     15.4312725;     28.2076893;      0.0000000;      1.1385736;      1.7060726;      7.1266451;      0.7819558;      0.3771468;      1.1591024;      2.2780106;     15.4179955;     28.1848793;      0.0000000;      0.0000000;      0.0000000;      6.9811497;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.5165820;      2.6438158;      2.4707632;      5.1679668;      1.3675858;      6.5355525;      2.5306234;     15.4179955;     28.1848793;      0.0000000;     15.5834103;     12.0991640;      7.5109253;     15.7284899;      5.7967887;     21.5252781;      5.1996675;     27.4264622;     27.9476528;      0.0007891;     35.3807259;     29.8741703;      7.4027414;     13.1476908;    115.3128967;    234.7282867;      0.0000000;
        2012;      1.9081720;      2.4432185;      0.9702218;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.9081720;      2.4432185;      0.9702218;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      1.9081722;      2.4432182;      7.6823030;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      0.0000000;      0.0000000;      6.7120805;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.2415075;      3.3700209;      2.7878737;      4.6825075;      1.6618376;      6.3443456;      3.5645807;     21.5319824;     38.9500084;      0.0000000;     20.9580097;     16.4846916;     10.4700203;     20.1460400;      8.4206343;     28.5666752;      8.0417223;     39.8147697;     42.0293732;      0.0013019;     42.2596092;     32.5212898;      8.0191345;     15.3652172;    126.2880173;    267.4962158;      0.0000000;
        2013;      0.8577881;      1.2337577;      0.5467663;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.8577881;      1.2337577;      0.5467663;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.8577881;      1.2337577;      6.4685030;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.0000000;      0.0000000;      6.4606781;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.8070111;      2.3337750;      2.8125861;      5.9806776;      1.1082472;      7.0889254;      2.1696305;     10.8601274;     19.8937721;      0.0000000;     15.5074682;     12.3288765;      4.3319483;     16.9095402;      5.5956430;     22.5051842;      2.2567742;     17.4649982;     16.0528526;      0.0006303;     48.1067886;     34.8879738;      8.5952358;     17.0545444;    135.0382996;    295.4885559;      0.0000000;
        2014;      1.3629998;      2.1131113;      0.9137254;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.3629998;      2.1131113;      0.9137254;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      1.3629998;      2.1131113;      7.1799259;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      0.0000000;      0.0000000;      6.2662015;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.4184027;      3.2451332;      3.3496084;      6.1799598;      1.6125917;      7.7925520;      3.1341763;     19.0352097;     34.7411957;      0.0000000;     26.0015068;     20.8774815;      9.6633892;     30.5865555;      8.5988808;     39.1854324;      6.4017692;     41.8079338;     30.9673939;      0.0015150;     44.7031746;     33.6337166;      8.0516348;     15.6209736;    127.3417053;    277.6257324;      0.0000000;
