"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"54";6;2009;20331,2714844;32,0733871;5,2311912;20,8762531;2,3039167;4,5892615;2009-06-01
"55";7;2009;20435,2714844;32,2420425;5,2587562;20,9864502;2,3145652;4,5961146;2009-07-01
"56";8;2009;20526,2695312;32,3902206;5,2828751;21,0835247;2,3238893;4,6045308;2009-08-01
"57";9;2009;20610,7695312;32,5278168;5,3052721;21,1736679;2,3330901;4,6144366;2009-09-01
"58";10;2009;20614,0195312;32,5315323;5,3061337;21,1763344;2,3334711;4,6152315;2009-10-01
"59";11;2009;20617,2675781;32,5315323;5,3063269;21,1764526;2,3335342;4,6154785;2009-11-01
"60";12;2009;20620,5175781;32,5315323;5,3063269;21,1764812;2,3335502;4,6155205;2009-12-01
"61";1;2010;20623,5429688;32,5315323;5,3063269;21,1764946;2,3335586;4,6155415;2010-01-01
"62";2;2010;20626,5664062;32,5315323;5,3063269;21,1765156;2,333571;4,6155686;2010-02-01
"63";3;2010;20632,6191406;32,5315323;5,3063269;21,1765499;2,3336105;4,615644;2010-03-01
"64";4;2010;20708,265625;32,5387383;5,3071876;21,1796894;2,3351321;4,6179218;2010-04-01
"65";5;2010;20859,5585938;32,6782494;5,3305969;21,2620163;2,3467987;4,6356087;2010-05-01
"66";6;2010;20956,3847656;32,8359222;5,3562613;21,3653145;2,3548195;4,6483836;2010-06-01
"67";7;2010;21053,2109375;32,9935875;5,3819261;21,4686069;2,364851;4,6637788;2010-07-01
"68";8;2010;21137,9335938;33,1315498;5,4043822;21,5589848;2,3736215;4,6714935;2010-08-01
"69";9;2010;21216,6054688;33,259655;5,4252338;21,6429119;2,3822255;4,6811357;2010-09-01
"70";10;2010;21219,6308594;33,2640762;5,4260354;21,6456966;2,3825798;4,6818762;2010-10-01
"71";11;2010;21222,65625;33,2640762;5,4262609;21,6458015;2,3826318;4,6820803;2010-11-01
"72";12;2010;21225,6816406;33,2640762;5,4262609;21,6458244;2,3826461;4,6821165;2010-12-01
"73";1;2011;21228,484375;33,2640762;5,4262609;21,6458416;2,3826542;4,6821356;2011-01-01
"74";2;2011;21231,2871094;33,2640762;5,4262609;21,6458569;2,3826652;4,6821599;2011-02-01
"75";3;2011;21236,890625;33,2640762;5,4262609;21,6458893;2,3827021;4,6822295;2011-03-01
