"";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"N_W";"Ca_W";"Mg_W";"K_W";"S_W";"P_W";"WoodBiomass";"FoliarBiomass";"TotBiomass"
"16";182,8571014;47,4110489;13,7839918;47,7966995;6,1833763;13,8377218;50,9711838;37,8147659;6,6672459;37,190464;3,9457786;8,5297222;"  17670.4375000";"    122.1428375";"     40.6295319";"     10.9051638";"     27.2845650";"      3.6522689";"      7.8951302";"     30.2309914";"     28.7736626";"      4.6835494";"     18.8504734";"      2.0693848";"      4.3211675";" 156902.8437500";"    118.9475403";"    126.3844147";"     17.9708862";"     82.1735840";"     10.5081463";"     17.9283676";NA;"    107.0497818";"     27.7802811";"      7.9002075";"     37.9368401";"      6.4337945";"     10.8182373";"     37.7453690";"     59.7959900";"      6.6200914";"     26.1326485";"      4.4929819";"      5.0774765";1193313,671875;83723,232422;2386627,34375
"17";182,8571014;47,4110489;13,7839909;47,7900352;6,1833763;13,8359089;51,0067291;37,8411331;6,6718955;37,2112122;3,9485302;8,5345526;"  17678.9550781";"    122.1428452";"     40.6295319";"     10.9051647";"     27.2786560";"      3.6522691";"      7.8944144";"     30.2455597";"     28.7875309";"      4.6858072";"     18.8554726";"      2.0703824";"      4.3228583";" 157003.2656250";"    119.0223312";"    126.4637451";"     17.9821224";"     82.2129974";"     10.5148325";"     17.9375820";NA;"    107.0420761";"     27.7782841";"      7.8996391";"     37.8540154";"      6.4333329";"     10.8083448";"     37.7700462";"     59.8350830";"      6.6244197";"     26.1463146";"      4.4959197";"      5.0801721";1194093,90625;83717,207031;2388187,8125
"18";182,8571014;47,4110489;13,7771301;47,7667465;6,1833763;13,8222189;51,1313896;37,9336205;6,6848722;37,2839813;3,9581807;8,5469465;"  17785.4199219";"    122.1428375";"     40.6295319";"     10.8918381";"     27.1405869";"      3.6522691";"      7.8752308";"     30.4277039";"     28.9608936";"      4.7082653";"     18.8730125";"      2.0828507";"      4.3383231";" 157432.0625000";"    119.4157028";"    126.8667221";"     18.0296402";"     82.3512573";"     10.5472546";"     17.9723587";NA;"    107.2164307";"     27.8235321";"      7.9048052";"     37.7628784";"      6.4438109";"     10.8053493";"     37.8566055";"     59.9722061";"      6.6365023";"     26.1942558";"      4.5062227";"      5.0870891";1196830,46875;83853,574219;2393660,9375
"19";182,8571167;47,1410103;13,6999226;47,5599709;6,1833763;13,7296038;52,2654915;38,5541382;6,7948494;37,945961;4,0459733;8,6779795;"  17998.3496094";"    122.1428375";"     40.5033569";"     10.8586283";"     27.0462322";"      3.6522691";"      7.8465428";"     30.7919884";"     29.2166042";"      4.7501054";"     19.0325661";"      2.1077867";"      4.3742700";" 160577.2656250";"    121.7015152";"    128.6629486";"     18.2838459";"     83.6089249";"     10.7537155";"     18.2124710";NA;"    106.8925247";"     27.7165565";"      7.8745270";"     37.6140480";"      6.4243441";"     10.7625246";"     38.6440430";"     60.8922195";"      6.7388902";"     26.6303978";"      4.5999546";"      5.1602225";1221725,3125;83600,234375;2443450,625
"20";182,8571167;47,0837708;13,701231;47,5421677;6,1833763;13,5823927;53,0921402;39,1163788;6,9029789;38,5317001;4,1099663;8,7207155;"  18134.6250000";"    122.1428452";"     40.4788933";"     10.8589773";"     27.0421028";"      3.6522689";"      7.8059058";"     31.0251350";"     29.4200363";"      4.7862248";"     19.1737423";"      2.1237459";"      4.3845630";" 162850.9062500";"    123.3352890";"    130.2622375";"     18.5287609";"     84.7217484";"     10.9019899";"     18.2893543";NA;"    106.9284210";"     27.7117844";"      7.8772583";"     37.6215858";"      6.4265013";"     10.7206135";"     39.2180176";"     61.7258224";"      6.8395572";"     27.0163078";"      4.6682773";"      5.1840744";1239871,40625;83628,310547;2479742,8125
"21";182,8571014;47,0315437;13,7025003;47,5331993;6,1833763;13,4255066;53,9187927;39,6813583;7,0111094;39,1242676;4,1739588;8,7542;"  18270.8984375";"    122.1428452";"     40.4561539";"     10.8593216";"     27.0403366";"      3.6522689";"      7.7619367";"     31.2582722";"     29.6244678";"      4.8223443";"     19.3165646";"      2.1397047";"      4.3926287";" 165124.5468750";"    124.9690628";"    131.8693390";"     18.7736797";"     85.8475494";"     11.0502634";"     18.3495922";NA;"    107.0873718";"     27.7404480";"      7.8890505";"     37.6752205";"      6.4360547";"     10.6894350";"     39.7919922";"     62.5634995";"      6.9402261";"     27.4067154";"      4.7365994";"      5.2027631";1258017,5;83752,636719;2516035
"22";182,8571014;47,0365677;13,703578;47,5366859;6,1833763;13,309967;54,6421165;40,2179794;7,1057224;39,6520271;4,2299528;8,795289;"  18390.1386719";"    122.1428452";"     40.4572792";"     10.8596191";"     27.0419216";"      3.6522689";"      7.7289839";"     31.4622746";"     29.8186321";"      4.8539491";"     19.4437675";"      2.1536691";"      4.4025254";" 167113.9843750";"    126.3986130";"    133.3957367";"     18.9879837";"     86.8502274";"     11.1800041";"     18.4235115";NA;"    106.8754349";"     27.6857586";"      7.8734961";"     37.6018524";"      6.4233165";"     10.6380119";"     40.2942200";"     63.3591270";"      7.0283108";"     27.7544250";"      4.7963815";"      5.2256961";1273895,3125;83586,875;2547790,625
"23";182,8571014;47,0411186;13,7045555;47,5398445;6,1833763;13,2283525;55,3137703;40,7162781;7,1935778;40,1420898;4,2819471;8,8488045;"  18500.8613281";"    122.1428452";"     40.4583092";"     10.8598919";"     27.0433731";"      3.6522689";"      7.7052226";"     31.6517010";"     29.9989262";"      4.8832960";"     19.5618839";"      2.1666358";"      4.4154162";" 168961.3125000";"    127.7260513";"    134.8131256";"     19.1869774";"     87.7812729";"     11.3004761";"     18.5197868";NA;"    106.1729050";"     27.5040855";"      7.8218279";"     37.3563957";"      6.3810940";"     10.5339403";"     40.7605743";"     64.0979233";"      7.1101041";"     28.0773010";"      4.8518934";"      5.2555647";1288638,984375;83037,431641;2577277,96875
"24";182,8571167;47,0404396;13,704361;47,537487;6,1833768;13,2283983;55,3178864;40,7187195;7,1940117;40,1430893;4,2822657;8,849494;"  18505.1210938";"    122.1428452";"     40.4501877";"     10.8594122";"     27.0392284";"      3.6522686";"      7.7052665";"     31.6589851";"     29.9998074";"      4.8842044";"     19.5633888";"      2.1671343";"      4.4164572";" 168976.2187500";"    127.7403030";"    134.8200684";"     19.1887245";"     87.7844315";"     11.3016338";"     18.5219021";NA;"    103.4012833";"     26.4858818";"      7.5986614";"     36.0696716";"      6.2145166";"     10.2628603";"     40.7634315";"     64.1015472";"      7.1105075";"     28.0779591";"      4.8522339";"      5.2559495";1288729,296875;80869,755859;2577458,59375
"25";182,8572693;47,0409088;13,7044973;47,5375824;6,1833792;13,2284651;55,3173866;40,7187195;7,1940117;40,1427689;4,2822247;8,8494511;"  18509.3789062";"    122.1403809";"     40.4408798";"     10.8569126";"     27.0328979";"      3.6522377";"      7.7043471";"     31.6656342";"     29.9998074";"      4.8842044";"     19.5633106";"      2.1676149";"      4.4169469";" 168979.0468750";"    127.7461014";"    134.8200684";"     19.1887226";"     87.7838287";"     11.3020306";"     18.5223255";NA;"    100.5061035";"     26.0703773";"      7.4794550";"     35.4790840";"      6.0362411";"     10.0348682";"     40.7630844";"     64.1015472";"      7.1105065";"     28.0777473";"      4.8521895";"      5.2559252";1288717,1875;78509,580078;2577434,375
"26";182,8577271;47,0410347;13,7045345;47,5376091;6,1833959;13,2284994;55,3173752;40,7187195;7,1940117;40,1426849;4,2822247;8,8494492;"  18513.6386719";"    122.1135712";"     40.4315758";"     10.8544149";"     27.0266495";"      3.6514084";"      7.7026696";"     31.6659679";"     29.9998074";"      4.8842044";"     19.5632896";"      2.1676214";"      4.4170017";" 168982.9062500";"    127.7464066";"    134.8200684";"     19.1887245";"     87.7836609";"     11.3020363";"     18.5223770";NA;"     99.8714218";"     25.9135361";"      7.4344578";"     35.2540665";"      5.9994102";"      9.9710093";"     40.7630768";"     64.1015472";"      7.1105075";"     28.0776882";"      4.8521895";"      5.2559247";1288713,984375;77526,259766;2577427,96875
