"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"23";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;11;2,8092322;2,1288843;2,1120195;4,369122;0,0777502;0,0923746;0,9713117;9,4445705;0,0574549;6,4817061;0,0001999;10,1701603;NA;NA;NA;NA;1;2006-11-01
"24";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;12;1,180001;0,8938897;1,0149511;2,1253109;0,0376818;0,0489388;0,5232652;5,4297767;0,0349885;2,3235869;0,0004776;1,7018784;NA;NA;NA;NA;1;2006-12-01
"25";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;1;1,3879651;1,0510088;1,3856871;3,5629938;0,0593326;0,0708652;0,8085659;7,9284039;0,0515419;2,4169693;0,0002972;1,0738984;NA;NA;NA;NA;1;2007-01-01
"26";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;2;0,5216176;0,3948284;0,3786635;0,9460816;0,0152665;0,0346683;0,1639751;1,68971;0,0127819;1,8509282;0,0009303;0,512221;NA;NA;NA;NA;1;2007-02-01
"27";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;3;1,0254092;0,7758327;0,7495425;1,9194763;0,0482754;0,0772126;0,3312492;3,7232411;0,0209423;3,2303259;0,0007803;0,9927386;NA;NA;NA;NA;1;2007-03-01
"28";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;4;0,6174419;0,4669966;0,3738601;0,9430329;0;0;0,1276409;1,5803905;0;2,3445618;0,0012795;0,961621;NA;NA;NA;NA;1;2007-04-01
"29";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;5;0,6227799;0,4709035;0,2953588;0,7172092;0;0;0,0745819;1,054786;0;2,6846771;0,0022603;1,1809232;NA;NA;NA;NA;1;2007-05-01
"30";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;6;0,60037;0,4539016;0,2441364;0,5807694;0;0;0,0608638;0,6490557;0,0022534;2,7297103;0,0027162;1,4942234;NA;NA;NA;NA;1;2007-06-01
"31";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;7;0;0;0;0;0;0;0;0;0;0;0,0126767;0;NA;NA;NA;NA;1;2007-07-01
"32";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2007-08-01
"33";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;9;0;0;0;0;0;0;0;0;0;0;1e-07;0;NA;NA;NA;NA;1;2007-09-01
"34";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;10;0,5300838;0,4010614;0,1554453;0,3369805;0,0015667;0,0071273;0,0300805;0,3659247;0,0023435;1,6861255;7,69e-05;2,1837089;NA;NA;NA;NA;1;2007-10-01
"35";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;11;2,8095019;2,1253216;2,1041884;5,7962446;0,0880635;0,086155;1,2054812;5,7992969;0,0556206;6,5117269;0;10,232646;NA;NA;NA;NA;1;2007-11-01
"36";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;12;1,3362839;1,0106934;1,075964;2,5328882;0,032163;0,0421837;0,5013008;6,9386826;0,0354434;2,3349149;0,0005859;1,6702937;NA;NA;NA;NA;1;2007-12-01
"37";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;1;1,2729958;0,9620885;1,3219867;4,4313016;0,1221212;0,0599802;0,7632279;5,2126975;0,0500131;2,4282808;0;1,0679135;NA;NA;NA;NA;1;2008-01-01
"38";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;2;0,3798324;0,2869904;0,3219636;1,0055658;0,0315088;0,0393155;0,1545384;1,1095521;0,0127191;1,8587974;0,0008631;0,5180326;NA;NA;NA;NA;1;2008-02-01
"39";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;3;0,8574243;0,647633;0,6829821;1,9813514;0,0641145;0,0786834;0,3091138;3,1437483;0,021273;3,24263;0,0008313;0,9734694;NA;NA;NA;NA;1;2008-03-01
"40";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;4;0,524546;0,3960822;0,343396;0,9733357;0;0;0,119875;1,1972654;0;2,3529866;0,0011958;0,9710897;NA;NA;NA;NA;1;2008-04-01
"41";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;5;0,5414085;0,4087217;0,2744569;0,7283543;0;0;0,0691452;0,7105927;0;2,6924453;0,0021885;1,1913182;NA;NA;NA;NA;1;2008-05-01
"42";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;6;0,5510297;0,4159506;0,2330961;0,5895724;0;0;0,0569662;0,4763231;0,002568;2,7364564;0,0028287;1,4846649;NA;NA;NA;NA;1;2008-06-01
"43";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;7;0;0;0;0;0;0;0;0;0;0;0,0129127;0;NA;NA;NA;NA;1;2008-07-01
"44";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2008-08-01
"45";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2008-09-01
"46";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;10;0,6206027;0,4686112;0,1675964;0,4861804;0,0017171;0,0071435;0,028474;0,4847314;0,0020336;1,6892847;0;2,1482475;NA;NA;NA;NA;1;2008-10-01
"47";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;11;2,7618775;2,087841;2,0802438;5,2732868;0,0723763;0,097874;0,8811479;11,2464952;0,0576511;6,5273581;0,0003221;10,0582008;NA;NA;NA;NA;1;2008-11-01
"48";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;12;1,1415056;0,8627557;0,9917324;2,694546;0,0466893;0,0472421;0,4806066;6,1270747;0,0347114;2,3428047;0,0004525;1,7110568;NA;NA;NA;NA;1;2008-12-01
"49";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;1;1,240477;0,9371616;1,3016036;4,0881238;0,0511817;0,052186;0,7384738;8,0195341;0,0510372;2,4364944;0,0002383;1,0938303;NA;NA;NA;NA;1;2009-01-01
"50";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;2;0,392287;0,2962539;0,3263226;1,0007359;0,0219157;0,0370963;0,1622971;1,131308;0,0125907;1,8643864;0,0008316;0,5304894;NA;NA;NA;NA;1;2009-02-01
"51";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;3;0,8003311;0,604176;0,6581075;1,7371809;0,0357603;0,059993;0,2947075;2,6077173;0,0214574;3,2510483;0,000872;0,9616495;NA;NA;NA;NA;1;2009-03-01
"52";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;4;0,5413094;0,4085136;0,3479077;0,8794844;0;0;0,1145128;1,1733202;0;2,3588016;0,0012941;0,952096;NA;NA;NA;NA;1;2009-04-01
"53";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;5;0,5407903;0,4080136;0,273562;0,6639935;0;0;0,0644511;0,5995626;0;2,6972601;0,0021468;1,198965;NA;NA;NA;NA;1;2009-05-01
"54";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;6;0,5456404;0,411631;0,2313242;0,5251228;0;0;0,0537561;0,376871;0,0025546;2,7403324;0,002927;1,4782141;NA;NA;NA;NA;1;2009-06-01
"55";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;7;0;0;0;0;0;0;0;0;0;0;0,0127941;0;NA;NA;NA;NA;1;2009-07-01
"56";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2009-08-01
"57";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;9;0;0;0;0;0;0;0;0;0;0;1e-07;0;NA;NA;NA;NA;1;2009-09-01
"58";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;10;0,5122001;0,3867244;0,1518756;0,3110035;0,0015026;0,0075056;0,0271085;0,247118;0,0023328;1,6910925;7,41e-05;2,1795075;NA;NA;NA;NA;1;2009-10-01
"59";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;11;3,289196;2,4832168;2,2629297;6,6928034;0,0789967;0,0977591;0,8530011;9,4445705;0,0555431;6,5382771;0;10,2077532;NA;NA;NA;NA;1;2009-11-01
"60";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;12;0,9613407;0,725759;0,9074992;2,8225815;0,0381842;0,0518021;0,4599011;5,4297767;0,0342532;2,3493321;0,0003534;1,7543311;NA;NA;NA;NA;1;2009-12-01
"61";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;1;1,133393;0,8555318;1,2408922;4,2019854;0,0596814;0,073909;0,7229973;7,9284039;0,051468;2,4434152;0,0003001;1,0868741;NA;NA;NA;NA;1;2010-01-01
"62";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;2;0,451236;0,3405079;0,3490507;1,1285743;0,0157583;0,0366067;0,1483386;1,68971;0,0127778;1,8690468;0,0009506;0,5132961;NA;NA;NA;NA;1;2010-02-01
"63";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;3;0,9021007;0,6805319;0,6968662;2,2259638;0,0491525;0,0805157;0,2967141;3,7232411;0,0208813;3,2579372;0,0008011;0,9944655;NA;NA;NA;NA;1;2010-03-01
"64";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;4;0,5605515;0,4227523;0,3531248;1,0925646;0;0;0,1156369;1,5803905;0;2,3635771;0,001309;0,9604509;NA;NA;NA;NA;1;2010-04-01
"65";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;5;0,578766;0,4363998;0,2822789;0,8307068;0;0;0,0658292;1,054786;0;2,7009919;0,0023049;1,1789061;NA;NA;NA;NA;1;2010-05-01
"66";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;6;0,5657468;0,4265504;0,2349676;0,6711228;0;0;0,0552203;0,6490557;0,0022022;2,7431958;0,0027906;1,4911817;NA;NA;NA;NA;1;2010-06-01
"67";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;7;0;0;0;0;0;0;0;0;0;0;0,0129127;0;NA;NA;NA;NA;1;2010-07-01
"68";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2010-08-01
"69";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;9;0;0;0;0;0;0;0;0;0;0;1e-07;0;NA;NA;NA;NA;1;2010-09-01
"70";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;10;0,5037148;0,3801152;0,1502646;0,3892676;0,0017468;0,0077212;0,0280686;0,3659247;0,0023693;1,6924156;0,0001148;2,1861544;NA;NA;NA;NA;1;2010-10-01
"71";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;11;2,6073573;1,9674735;2,0105619;6,2330179;0,0893209;0,0911639;0,8260419;5,7992969;0,0555763;6,5472455;0;10,2385559;NA;NA;NA;NA;1;2010-11-01
"72";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;12;1,2377867;0,9339538;1,0272424;2,7089307;0,0326357;0,0448571;0,4392034;6,9386826;0,0354159;2,3551033;0,0006194;1,6724387;NA;NA;NA;NA;1;2010-12-01
"73";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;1;1,1989937;0,9040489;1,2728425;4,5830188;0,1224853;0,0629677;0,7013428;5,2126975;0,0500073;2,4495745;0;1,0684479;NA;NA;NA;NA;1;2011-01-01
"74";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;2;0,3627391;0,273443;0,3121644;1,0461217;0,0320564;0,041152;0,1458635;1,1095521;0,0127302;1,8731738;0,0008817;0,5170073;NA;NA;NA;NA;1;2011-02-01
"75";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;3;0,8180096;0,6164669;0,6619127;2,052716;0,0650894;0,0819197;0,2819507;3,1437483;0,0212508;3,2639873;0,0008582;0,973132;NA;NA;NA;NA;1;2011-03-01
