"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"49";2009;1;24224,1503906;61,0234566;45,2290726;7,9970217;44,5250931;4,7350097;9,2761984;2009-01-01
"50";2009;2;24224,140625;61,0234566;45,2290764;7,9970217;44,5250816;4,7350097;9,2761984;2009-02-01
"51";2009;3;24224,1210938;61,0234566;45,2290764;7,9970217;44,5250473;4,7350097;9,2761965;2009-03-01
"52";2009;4;24234,3359375;61,0261993;45,230072;7,9971471;44,5403175;4,7353706;9,276659;2009-04-01
"53";2009;5;24417,5292969;61,4015617;45,4004173;8,0256748;44,6902351;4,7579703;9,3055878;2009-05-01
"54";2009;6;24610,9570312;61,797905;45,7644806;8,090477;45,0517044;4,7894506;9,3499613;2009-06-01
"55";2009;7;24705,9414062;61,9925232;45,9442291;8,1222982;45,2292099;4,8082829;9,3593521;2009-07-01
"56";2009;8;24812,4882812;62,2108383;46,1466827;8,1579924;45,4283218;4,8294077;9,3739557;2009-08-01
"57";2009;9;24945,3125;62,4829903;46,3990669;8,2024918;45,6765404;4,8557425;9,3990479;2009-09-01
"58";2009;10;24951,0117188;62,4975815;46,4066734;8,2044001;45,687191;4,8566465;9,4014902;2009-10-01
"59";2009;11;24951,0117188;62,4975815;46,4066734;8,2044001;45,687191;4,8566465;9,4014902;2009-11-01
"60";2009;12;24950,9570312;62,4975777;46,4066734;8,2044001;45,6871147;4,8566461;9,4014893;2009-12-01
"61";2010;1;24950,9414062;62,49757;46,4066734;8,2044001;45,6870956;4,8566461;9,4014893;2010-01-01
"62";2010;2;24950,9335938;62,49757;46,4066734;8,2044001;45,6870842;4,8566461;9,4014893;2010-02-01
"63";2010;3;24950,9140625;62,49757;46,4066734;8,2044001;45,6870537;4,8566461;9,4014883;2010-03-01
"64";2010;4;24961,8261719;62,5008163;46,4078102;8,204545;45,7033653;4,8570633;9,4020166;2010-04-01
"65";2010;5;25162,4433594;62,9118767;46,6101074;8,2397861;45,8889961;4,8853722;9,4381275;2010-05-01
"66";2010;6;25414,34375;63,4280243;47,0887451;8,3241777;46,3597336;4,9269714;9,4962645;2010-06-01
"67";2010;7;25577,7929688;63,762928;47,3993225;8,3789368;46,665184;4,9593787;9,5417633;2010-07-01
"68";2010;8;25681,3398438;63,9750977;47,5960846;8,4136286;46,8586922;4,9799089;9,5559559;2010-08-01
"69";2010;9;25808,2910156;64,2352142;47,8373032;8,4561577;47,0959358;5,0050797;9,5813293;2010-09-01
