"";"Date";"V2";"Dry.weight";"Ca";"Mg";"K";"N";"P";"S";"V10";"V11";"V12";"V13";"V14";"V15"
"28";2007;4;13,5112343;775,9287109;82,7913208;38,8236885;98,5090637;20,3708344;34,6025505;"   1048.3754883";"    111.8612976";"     52.4555969";"    133.0979004";"     27.5235119";"     46.7523193"
"29";2007;5;26,44244;775,928772;82,7913208;38,8236885;98,5090561;20,3708344;34,605217;"   2051.7448730";"    218.9204559";"    102.6593018";"    260.4819641";"     53.8654556";"     91.5046387"
"30";2007;6;25,0094318;775,928772;82,7913132;38,8236885;98,5090561;20,3708344;34,6069679;"   1940.5538330";"    207.0563660";"     97.0958405";"    246.3655548";"     50.9463005";"     86.5500641"
"31";2007;7;18,6632442;775,928772;82,7913132;38,8236885;98,5090561;20,3708344;34,5963631;"   1448.1347656";"    154.5154572";"     72.4575958";"    183.8498535";"     38.0185852";"     64.5680389"
"32";2007;8;27,1248245;775,928772;82,7913132;38,8236847;98,5090561;20,3708324;34,5256653;"   2104.6931152";"    224.5699768";"    105.3085632";"    267.2040710";"     55.2555237";"     93.6502609"
"33";2007;9;55,1708679;775,928772;82,7913132;38,8236809;98,5090561;20,3708324;34,4768257;"   4280.8666992";"    456.7668762";"    214.1936188";"    543.4830322";"    112.3876572";"    190.2116394"
"34";2007;10;165,8196869;775,928772;82,7913132;38,8236809;98,5090561;20,3708324;34,4033127;"  12866.4267578";"   1372.8428955";"    643.7730713";"   1633.4739990";"    337.7885132";"    570.4746704"
"35";2007;11;63,8712845;775,928772;82,7913132;38,8236809;98,5090561;20,3708324;34,3866158;"   4955.9565430";"    528.7987671";"    247.9718323";"    629.1900024";"    130.1111145";"    219.6317291"
"36";2007;12;23,9517326;775,928833;82,7913132;38,8236809;98,5090561;20,3708324;33,8792381;"   1858.4840088";"    198.2995453";"     92.9894409";"    235.9462585";"     48.7916756";"     81.1466446"
"37";2008;1;17,2668533;775,928833;82,7913055;38,8236809;98,5090561;20,3708324;33,6911163;"   1339.7850342";"    142.9545441";"     67.0362854";"    170.0941467";"     35.1740189";"     58.1739578"
"38";2008;2;20,6155777;775,928833;82,7913055;38,8236809;98,5090561;20,3708344;32,9079704;"   1599.6220703";"    170.6790619";"     80.0372620";"    203.0821075";"     41.9956512";"     67.8416824"
"39";2008;3;20,9295197;775,928833;82,7913055;38,8236771;98,5090561;20,3708344;32,9006805;"   1623.9818115";"    173.2782288";"     81.2560959";"    206.1747284";"     42.6351776";"     68.8595428"
"40";2008;4;13,8134842;775,928833;82,7913055;38,8236771;98,5090561;20,3708363;32,9069061;"   1071.8280029";"    114.3636322";"     53.6290245";"    136.0753174";"     28.1392212";"     45.4559021"
"41";2008;5;27,0339622;775,928833;82,7913055;38,8236771;98,5090561;20,3708363;32,913208;"   2097.6430664";"    223.8177032";"    104.9557877";"    266.3090210";"     55.0704422";"     88.9774475"
"42";2008;6;25,5688972;775,928894;82,7913055;38,8236771;98,5090485;20,3708363;32,9173584;"   1983.9645996";"    211.6882477";"     99.2678604";"    251.8767853";"     52.0859833";"     84.1660538"
"43";2008;7;19,0807457;775,9289551;82,7913055;38,8236732;98,5090485;20,3708382;32,9254684;"   1480.5302734";"    157.9719849";"     74.0784607";"    187.9626007";"     38.8690758";"     62.8242455"
"44";2008;8;27,7316113;775,9289551;82,7913055;38,8236732;98,5090485;20,3708382;32,8998871;"   2151.7761230";"    229.5936279";"    107.6643066";"    273.1814575";"     56.4916191";"     91.2366867"
"45";2008;9;56,4050598;775,9289551;82,7912979;38,8236732;98,5090485;20,3708382;32,8628845;"   4376.6318359";"    466.9848022";"    218.9851532";"    555.6408691";"    114.9018326";"    185.3632965"
"46";2008;10;169,5291138;775,9290161;82,7912979;38,8236732;98,5090408;20,3708382;32,8076782;"  13154.2558594";"   1403.5535889";"    658.1743164";"   1670.0150146";"    345.3450012";"    556.1856689"
"47";2008;11;65,3000946;775,9290161;82,7912979;38,8236732;98,5090408;20,3708382;32,795063;"   5066.8242188";"    540.6279907";"    253.5189667";"    643.2650146";"    133.0217743";"    214.1520844"
"48";2008;12;24,4875374;775,9290161;82,7912979;38,8236732;98,5090408;20,3708382;32,312603;"   1900.0592041";"    202.7355042";"     95.0696182";"    241.2243958";"     49.8831673";"     79.1256104"
"49";2009;1;17,5691299;772,7835693;82,7912979;38,8236732;98,5090408;20,3708382;32,1339149;"   1357.7135010";"    145.4571075";"     68.2098160";"    173.0718079";"     35.7897911";"     56.4564896"
"50";2009;2;20,9764748;760,2410889;82,7912979;38,8236732;98,5090408;20,3708382;31,6160717;"   1594.7177734";"    173.6669464";"     81.4383774";"    206.6372375";"     42.7308350";"     66.3193741"
"51";2009;3;21,2959118;757,5495605;82,7912979;38,8236732;98,5090408;20,3708363;31,5362511;"   1613.2708740";"    176.3116150";"     82.6785507";"    209.7839966";"     43.3815536";"     67.1593246"
"52";2009;4;14,0553036;756,8109131;82,7912979;38,8236732;98,5090408;20,3708344;31,5453529;"   1063.7207031";"    116.3656769";"     54.5678520";"    138.4574432";"     28.6318264";"     44.3379517"
