"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"17435";713,3696289;260,4908447;217,4353485;6,1476278;0,0019939;584,7866821;"3";2465-11-01
"17436";713,4819336;260,5561829;217,6699829;6,2285905;0,0013024;584,7961426;"3";2465-12-01
"17437";713,4966431;260,5965576;217,9544678;6,2691555;0,0005064;584,8283691;"3";2466-01-01
"17438";713,4019775;260,5708618;217,9982147;6,2034264;0,0001551;584,8665771;"3";2466-02-01
"17439";713,3796387;260,5702209;218,0923462;6,2110548;0;584,8890991;"3";2466-03-01
"17440";713,2283325;260,5160217;217,9869232;6,1930156;0;584,9171753;"3";2466-04-01
"17441";712,612915;260,257782;217,4597015;6,1068602;0;585,0543823;"3";2466-05-01
"17442";712,2965088;260,0833435;217,2702789;6,1078825;0;585,1702271;"3";2466-06-01
"17443";711,7335205;259,7556152;217,0316162;6,1140966;0;585,4650269;"3";2466-07-01
"17444";711,8531494;259,8034058;217,0134735;6,4555812;0;585,296936;"3";2466-08-01
"17445";712,0818481;259,9777832;217,0516052;6,5401015;0;585,1656494;"3";2466-09-01
"17446";712,2765503;260,1261597;217,0870819;6,6215034;0;585,0680542;"3";2466-10-01
"17447";712,8597412;260,5465393;217,5121307;6,303061;0,0021016;585,0343628;"3";2466-11-01
"17448";712,989624;260,6243896;217,7605743;6,3272548;0,0013083;585,0441284;"3";2466-12-01
"17449";713,0394897;260,6936951;218,0617523;6,1755223;0,0007114;585,0797119;"3";2467-01-01
"17450";712,9598999;260,679718;218,1100006;6,0374393;0,0003792;585,1194458;"3";2467-02-01
"17451";712,9729614;260,7065735;218,2186279;5,9195342;2e-07;585,1435547;"3";2467-03-01
"17452";712,8397217;260,6661682;218,1186676;5,8373675;0;585,1721802;"3";2467-04-01
"17453";712,232666;260,414093;217,5914307;5,718709;0;585,3101196;"3";2467-05-01
"17454";711,9333496;260,2521973;217,4048004;5,6842141;0;585,4225464;"3";2467-06-01
"17455";711,3667603;259,9214172;217,1632996;5,6847167;0;585,7216187;"3";2467-07-01
"17456";711,4889526;259,9710999;217,144516;6,0012093;0;585,559082;"3";2467-08-01
"17457";711,7147827;260,1435547;217,182724;6,0798945;0;585,4325562;"3";2467-09-01
"17458";711,9052734;260,2889709;217,217926;6,1550803;0;585,3387451;"3";2467-10-01
"17459";712,4978638;260,7095947;217,6758728;6,1377201;0,0019883;585,2814331;"3";2467-11-01
"17460";712,5879517;260,7556152;217,8994598;6,2257452;0,0012817;585,2958984;"3";2467-12-01
"17461";711,8771362;260,2408752;217,7381134;5,743773;0,0003823;585,7057495;"3";2468-01-01
"17462";711,7390137;260,1817932;217,7720795;5,7444415;0,0001646;585,7559204;"3";2468-02-01
"17463";711,7119751;260,1777649;217,8639221;5,8164425;0;585,7739868;"3";2468-03-01
"17464";711,5493774;260,1151123;217,7542267;5,8073783;0;585,805603;"3";2468-04-01
"17465";710,9234009;259,8488159;217,2239227;5,7199874;0;585,9518433;"3";2468-05-01
"17466";710,6137695;259,6794434;217,0365906;5,7180371;0;586,0645752;"3";2468-06-01
"17467";710,0516968;259,3520813;216,7978973;5,7238474;0;586,3590698;"3";2468-07-01
"17468";710,1781616;259,4051514;216,7806702;6,0458717;0;586,1922607;"3";2468-08-01
"17469";710,4058838;259,57901;216,8188171;6,1251726;0;586,0620728;"3";2468-09-01
"17470";710,5995483;259,7267151;216,8542786;6,2014985;0;585,9653931;"3";2468-10-01
"17471";711,1372681;260,1083374;217,2727203;6,1455297;0,0019938;585,9206543;"3";2468-11-01
"17472";711,2495117;260,1730957;217,5069733;6,2254014;0,0013014;585,9304199;"3";2468-12-01
"17473";711,2659302;260,2139893;217,7919159;6,2670445;0,0005059;585,9625854;"3";2469-01-01
"17474";711,1719971;260,188385;217,8357697;6,2014375;0,0001543;586,0006104;"3";2469-02-01
"17475";711,151001;260,1880493;217,9300842;6,2094207;0;586,0230103;"3";2469-03-01
"17476";710,9991455;260,1329346;217,8242188;6,1900291;0;586,0516357;"3";2469-04-01
"17477";710,3852539;259,8753662;217,2973785;6,1043792;0;586,1884155;"3";2469-05-01
"17478";710,0710449;259,7020264;217,1083679;6,1058435;0;586,3036499;"3";2469-06-01
"17479";709,5093384;259,3748474;216,869812;6,1123476;0;586,5980835;"3";2469-07-01
"17480";709,630127;259,4236145;216,8518524;6,4543619;0;586,4298096;"3";2469-08-01
"17481";709,8579712;259,5976562;216,8899231;6,5388322;0;586,2984009;"3";2469-09-01
"17482";710,0519409;259,7458191;216,9253693;6,6202283;0;586,2006226;"3";2469-10-01
"17483";710,6331177;260,1639404;217,3493347;6,2991748;0,0021001;586,1674805;"3";2469-11-01
"17484";710,7625732;260,2408752;217,5970917;6,3222904;0,0013068;586,1774902;"3";2469-12-01
"17485";710,8138428;260,3105774;217,8986359;6,1718426;0,0007108;586,2129517;"3";2470-01-01
