"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"49";2009;1;8637,2548828;94,4639359;23,9800129;6,9691319;32,8373184;5,7587657;9,2561998;2009-01-01
"50";2009;2;8593,2041016;93,9821548;23,8577118;6,933589;32,6698456;5,7293954;9,208993;2009-02-01
"51";2009;3;8548,4824219;93,493042;23,733551;6,8975034;32,4998207;5,6995783;9,161067;2009-03-01
"52";2009;4;9165,1865234;94,2134094;23,7813931;6,9012847;32,5414352;5,7661085;9,2354546;2009-04-01
"53";2009;5;9322,3291016;94,7428284;24,0300198;6,9744587;32,8267975;5,8374596;9,3106041;2009-05-01
"54";2009;6;9325,4599609;94,5563889;24,078804;6,9880266;32,8936119;5,8343763;9,2965755;2009-06-01
"55";2009;7;9339,3232422;94,3156586;24,1538963;7,0089827;32,9954643;5,8455644;9,2725897;2009-07-01
"56";2009;8;9320,8378906;93,8826981;24,1357384;7,0029335;32,9706039;5,8358769;9,2309875;2009-08-01
"57";2009;9;9259,5693359;92,9929581;24,0197163;6,9681492;32,8120155;5,8026862;9,1462002;2009-09-01
"58";2009;10;9017,8505859;90,8832474;23,3622131;6,8083868;31,9487915;5,6676378;8,9443359;2009-10-01
"59";2009;11;8878,3193359;89,4770432;23,0007362;6,703043;31,4544563;5,5799441;8,8059425;2009-11-01
"60";2009;12;8825,9951172;88,9496994;22,8651829;6,6635385;31,2690811;5,5470581;8,7540436;2009-12-01
"61";2010;1;8788,4658203;88,5714722;22,767952;6,6352034;31,1361179;5,5234714;8,7168207;2010-01-01
"62";2010;2;8743,6572266;88,1198807;22,6518688;6,6013737;30,9773712;5,4953094;8,6723776;2010-02-01
"63";2010;3;8698,1660156;87,6614227;22,5340214;6,567029;30,8162041;5,4667192;8,6272583;2010-03-01
"64";2010;4;9324,5058594;88,4446487;22,5886536;6,5724535;30,8655262;5,535522;8,7047434;2010-04-01
"65";2010;5;9482,7128906;88,9747696;22,8547268;6,6507616;31,1738453;5,6105452;8,7857037;2010-05-01
"66";2010;6;9485,8964844;88,9456635;22,9154453;6,6671472;31,2569714;5,6096191;8,7756586;2010-06-01
"67";2010;7;9499,9990234;88,8598022;22,999445;6,6903796;31,3718395;5,6228533;8,784481;2010-07-01
"68";2010;8;9481,1962891;88,4612045;22,9908943;6,6870022;31,3603935;5,6153264;8,7462263;2010-08-01
"69";2010;9;9418,8740234;87,6356506;22,8929176;6,6572275;31,2270546;5,585876;8,6702042;2010-09-01
"70";2010;10;9172,9960938;85,7583237;22,3598766;6,511353;30,482111;5,4607315;8,4893246;2010-10-01
"71";2010;11;9031,0644531;84,4314194;22,0139122;6,4106045;30,0104694;5,3762393;8,3579721;2010-11-01
"72";2010;12;8977,8398438;83,933815;21,8841705;6,3728237;29,8336048;5,3445539;8,3087139;2010-12-01
"73";2011;1;8939,7548828;83,5777512;21,7913361;6,3457899;29,7070427;5,3218822;8,2734671;2011-01-01
"74";2011;2;8894,2832031;83,1526489;21,6804962;6,3135114;29,5559425;5,2948127;8,2313852;2011-02-01
"75";2011;3;8848,1191406;82,7210541;21,5679684;6,2807431;29,4025383;5,2673311;8,1886616;2011-03-01
"76";2011;4;9480,7773438;83,5352631;21,6300964;6,2880654;29,4581089;5,3395762;8,2706165;2011-04-01
"77";2011;5;9623,0488281;84,0475693;21,8869553;6,36518;29,7629375;5,4130468;8,3494205;2011-05-01
"78";2011;6;9626,2802734;84,0370331;21,9561729;6,3840442;29,8581963;5,4141626;8,3430052;2011-06-01
"79";2011;7;9640,5917969;83,8453064;22,0470581;6,4092803;29,982851;5,4293742;8,3282719;2011-07-01
"80";2011;8;9621,5097656;83,4789276;22,0465469;6,4082537;29,9829426;5,4238777;8,2937393;2011-08-01
"81";2011;9;9558,265625;82,7132645;21,963625;6,3828907;29,8712921;5,3978786;8,2178802;2011-09-01
"82";2011;10;9308,7490234;80,9708481;21,5122967;6,2492571;29,2596836;5,2803984;8,0567474;2011-10-01
"83";2011;11;9469,4619141;80,2703705;21,2552242;6,2530594;28,8893147;5,2318578;8,027585;2011-11-01
"84";2011;12;9415,4501953;79,8125229;21,1339912;6,2173929;28,7245369;5,2020168;7,9817967;2011-12-01
"85";2012;1;9376,8085938;79,4849777;21,0472546;6,1918764;28,6066532;5,1806679;7,9490399;2012-01-01
"86";2012;2;9330,6748047;79,0939102;20,9437046;6,1614122;28,4659042;5,1551785;7,9099307;2012-02-01
"87";2012;3;9283,8369141;78,6968842;20,8385715;6,1304832;28,3230152;5,1293006;7,8702254;2012-03-01
"88";2012;4;9792,9707031;79,7581787;20,9142876;6,1428375;28,3708115;5,2173791;7,971869;2012-04-01
"89";2012;5;9763,3847656;79,5618439;20,8584862;6,1304955;28,3039761;5,2088575;7,9543533;2012-05-01
"90";2012;6;9766,6630859;79,5478287;20,9365654;6,1515412;28,4116516;5,2161059;7,9511724;2012-06-01
"91";2012;7;9781,1826172;79,4018936;21,0346012;6,1785617;28,5463066;5,2332106;7,9417949;2012-07-01
"92";2012;8;9761,8242188;79,0643311;21,042511;6,1795688;28,5582352;5,229701;7,9099741;2012-08-01
"93";2012;9;9697,6572266;78,3521729;20,9754105;6,1579752;28,4688835;5,207088;7,8382092;2012-09-01
"94";2012;10;9444,5009766;76,7142944;20,5680313;6,0346732;27,9193325;5,0948191;7,6940165;2012-10-01
"95";2012;11;9677,7509766;76,1726837;20,4273434;6,0824499;27,6327438;5,0556436;7,6830082;2012-11-01
"96";2012;12;9622,9511719;75,7413635;20,311676;6,0480075;27,4762764;5,0270157;7,639503;2012-12-01
"97";2013;1;9583,9140625;75,4340973;20,2292747;6,0234733;27,3648109;5,0066233;7,6085119;2013-01-01
"98";2013;2;9537,3056641;75,0672531;20,1308956;5,9941797;27,2317333;4,982275;7,5715103;2013-02-01
"99";2013;3;9489,9873047;74,6948166;20,0310192;5,9644403;27,0966263;4,9575558;7,533946;2013-03-01
"100";2013;4;9893,5146484;75,7302094;20,0976124;5,9757986;27,1413746;5,0418482;7,6313634;2013-04-01
"101";2013;5;9863,625;75,5746384;20,0488892;5,9653053;27,0854435;5,0346503;7,6168137;2013-05-01
"102";2013;6;9866,9375;75,5685196;20,1337337;5,9878964;27,2030106;5,0446362;7,6110568;2013-06-01
"103";2013;7;9881,6054688;75,4420166;20,237196;6,01618;27,3455715;5,0633788;7,6004992;2013-07-01
"104";2013;8;9862,0478516;75,1299362;20,2515888;6,0186229;27,3670597;5,0615835;7,5720935;2013-08-01
"105";2013;9;9797,2216797;74,4893188;20,1967411;5,999691;27,2958622;5,0418887;7,5153193;2013-09-01
"106";2013;10;9541,4667969;72,9389191;19,8235703;5,8836775;26,7972584;4,9341726;7,3852248;2013-10-01
"107";2013;11;9777,1113281;72,427269;19,799572;5,9534168;26,5988979;4,896625;7,3676863;2013-11-01
"108";2013;12;9721,7490234;72,0171509;19,6874561;5,9197059;26,4482822;4,8688984;7,3259673;2013-12-01
"109";2014;1;9682,3154297;71,725029;19,6075993;5,8956938;26,3410015;4,8491483;7,2962513;2014-01-01
"110";2014;2;9635,2333984;71,3762589;19,5122528;5,8670249;26,2129135;4,8255687;7,2607718;2014-02-01
"111";2014;3;9587,4335938;71,0221634;19,4154568;5,8379192;26,0828762;4,80163;7,2247519;2014-03-01
"112";2014;4;9994,0585938;72,0767975;19,4855061;5,8500314;26,13204;4,8872509;7,3239241;2014-04-01
"113";2014;5;9963,8652344;71,9606323;19,4421349;5,8409538;26,0850143;4,881248;7,3119383;2014-05-01
"114";2014;6;9967,2109375;71,9137878;19,5325603;5,864852;26,2112103;4,8934069;7,3139949;2014-06-01
"115";2014;7;9982,0292969;71,7787628;19,6405792;5,8942223;26,360733;4,9135332;7,3035746;2014-07-01
"116";2014;8;9962,2714844;71,4895706;19,660183;5,8978472;26,3904171;4,9132028;7,2762671;2014-08-01
"117";2014;9;9896,7871094;70,8670654;19,6150188;5,8810611;26,3346214;4,8960133;7,2161694;2014-09-01
"118";2014;10;9638,4335938;69,3944168;19,268446;5,7708044;25,8787823;4,7923045;7,0992541;2014-10-01
"119";2014;11;9876,4726562;68,9108505;19,3153877;5,8548856;25,7395554;4,7561927;7,0758934;2014-11-01
"120";2014;12;9820,5478516;68,5206375;19,2060146;5,821733;25,5938091;4,7292614;7,0358267;2014-12-01
"121";2015;1;9780,796875;68,2432861;19,1282711;5,7981677;25,4902096;4,7101183;7,0073466;2015-01-01
"122";2015;2;9733,3359375;67,9121323;19,0354538;5,7700324;25,3665218;4,6872625;6,9733438;2015-02-01
"123";2015;3;9685,1523438;67,575943;18,9412212;5,7414684;25,2409458;4,6640587;6,9388227;2015-03-01
"124";2015;4;10074,4931641;68,6371384;19,0112419;5,753767;25,2920284;4,7496691;7,038198;2015-04-01
"125";2015;5;10044,0566406;68,5477371;18,9721851;5,7458506;25,2525768;4,7447066;7,0285683;2015-05-01
"126";2015;6;10047,4296875;68,3778229;19,0669899;5,7707701;25,3858643;4,7588267;7,0095654;2015-06-01
