"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"50";2;2009;187836,265625;138,3979797;147,1657867;20,9394035;95,9231796;12,3276653;19,2415314;2009-02-01
"51";3;2009;187842,625;138,3982697;147,1657867;20,9394035;95,9231339;12,3276978;19,2415981;2009-03-01
"52";4;2009;187995,5625;138,4174957;147,1749115;20,9404125;95,9515686;12,330081;19,2443256;2009-04-01
"53";5;2009;189401,734375;139,118988;147,70961;21,0111618;96,2546005;12,3850327;19,2996349;2009-05-01
"54";6;2009;190896,625;139,9035187;148,8249817;21,1695805;96,9869995;12,4623804;19,3833256;2009-06-01
"55";7;2009;191676,1875;140,2845764;149,4556274;21,260704;97,3998032;12,5149784;19,403944;2009-07-01
"56";8;2009;192522,21875;140,7104645;150,1280212;21,3558578;97,8342514;12,5708122;19,4338093;2009-08-01
"57";9;2009;193546,78125;141,2407074;150,9182892;21,4666939;98,3444214;12,6369534;19,4815464;2009-09-01
"58";10;2009;193585,84375;141,268692;150,9380798;21,4709225;98,3637466;12,6388206;19,4857731;2009-10-01
"59";11;2009;193588,296875;141,269577;150,9380798;21,4710732;98,3634186;12,6388359;19,4859829;2009-11-01
"60";12;2009;193591,21875;141,2697906;150,9380798;21,4710732;98,3632812;12,6388426;19,4860172;2009-12-01
"61";1;2010;193594,125;141,2698975;150,9380798;21,4710732;98,3632431;12,6388454;19,4860344;2010-01-01
"62";2;2010;193597,09375;141,2700195;150,9380798;21,4710732;98,3632278;12,6388531;19,4860573;2010-02-01
"63";3;2010;193603;141,2702942;150,9380798;21,4710732;98,3631821;12,6388826;19,4861183;2010-03-01
"64";4;2010;193755,40625;141,2896881;150,9473267;21,4720955;98,3930588;12,6413288;19,4888763;2010-04-01
"65";5;2010;195238,359375;142,0261688;151,5340271;21,5512486;98,7333221;12,703867;19,5509701;2010-05-01
"66";6;2010;197190,03125;143,0520172;152,9693146;21,7497044;99,6552887;12,8037195;19,6566219;2010-06-01
"67";7;2010;198490,453125;143,7176361;153,9570923;21,8874931;100,2898102;12,8864365;19,7447968;2010-07-01
"68";8;2010;199327,109375;144,1335144;154,6136475;21,9799976;100,7120743;12,9409494;19,7737885;2010-08-01
