"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"13";0,0769603;0,0435802;0,0032296;0,0113173;0,0744575;0,357429;0;0,0016567;0,0028981;0,0008284;0,0010863;0,0126642;0,0182204;0;0,0089362;0,0063143;0,0016898;0,003546;0,0268766;0,0557422;0;0,0901741;0,0502868;0,002752;0,010089;0,0650631;0,4042993;0;0,0710253;0,0409369;0,0033593;0,0099148;0,0678138;0,3318497;0;0,0659236;0,0360799;0,0035467;0,0100596;0,0688705;0,3082502;0;0,0421947;0,0247211;0,0046732;0,0108084;0,0741321;0,2210178;0;0,0270681;0,016036;0,0033909;0,007438;0,0518012;0,1451724;0;2005-11-01;0,383939
"14";0,0965154;0,0531959;0,0021314;0,008713;0,0569574;0,4234279;0;0,0013674;0,0022928;0,0006546;0,0009137;0,010231;0,0146954;0;0,0016851;0,0028841;0,0008202;0,0011183;0,0127535;0,0183158;0;0,0704721;0,0391765;0,0023258;0,0083953;0,0532752;0,3173946;0;0,0573385;0,0327839;0,002802;0,0082949;0,0556289;0,2681237;0;0,0544334;0,0294534;0,0029594;0,0084757;0,0569314;0,2540626;0;0,0443098;0,0255736;0,0034589;0,008998;0,0605273;0,219357;0;0,0203578;0,0121498;0,0026813;0,0057729;0,0405546;0,1104526;0;2005-12-01;0,3464795
"15";0,1005886;0,0554164;0,0022255;0,0091018;0,0593961;0,441276;0;0,0013732;0,0022972;0,0006552;0,0009166;0,0102466;0,014728;0;0,0016984;0,0028969;0,0008222;0,0011247;0,0127982;0,0184014;0;0,067259;0,0372914;0,0022832;0,008251;0,0518733;0,3034062;0;0,0538303;0,0306512;0,0027849;0,0082119;0,0544455;0,2529594;0;0,0506447;0,0272703;0,0029639;0,0084275;0,0559252;0,2381071;0;0,0371671;0,0213244;0,0031019;0,0079618;0,0531737;0,1854525;0;0,0169948;0,0101839;0,0022409;0,0048456;0,0341331;0,0924151;0;2006-01-01;0,3295561
"16";0,0660753;0,0372107;0,0023064;0,0083904;0,0554769;0,3013135;0;0,0012953;0,0021762;0,0006195;0,0008598;0,0096594;0,0139048;0;0,0016144;0,0027576;0,0007797;0,0010608;0,0121108;0,0174586;0;0,0597433;0,033164;0,0022642;0,0079647;0,0500298;0,2720622;0;0,0498642;0,0283987;0,0026963;0,0078834;0,0521907;0,2354683;0;0,0459539;0,0247748;0,0029072;0,0081171;0,0537907;0,2181273;0;0,0303799;0,0174829;0,0029174;0,0071683;0,0481403;0,1549114;0;0,0156396;0,0093474;0,0020413;0,0044408;0,03119;0,0848405;0;2006-02-01;0,2705659
"17";0,0844924;0,0476728;0,0030643;0,0111;0,0734104;0,3869049;0;0,0015912;0,0027509;0,0007849;0,0010487;0,0120839;0,01738;0;0,0019716;0,0034713;0,0009853;0,0012886;0,0151059;0,0217378;0;0,0678451;0,0377409;0,0028867;0,0098524;0,0620067;0,3123763;0;0,0561613;0,0320741;0,0034762;0,0098013;0,0649866;0,26946;0;0,0497966;0,0270072;0,00382;0,0100987;0,0671269;0,2426242;0;0,0148053;0,0100035;0,00265;0,0052191;0,0397946;0,0890658;0;0,0139992;0,0087757;0,0021553;0,0044223;0,0322542;0,0795788;0;2006-03-01;0,2906627
"18";0,0867288;0,0503975;0,0059696;0,0182487;0,1215537;0,4289469;0;0,0021304;0,0039629;0,0011332;0,001366;0,0168732;0,0242816;0;0,0026467;0,0050067;0,0014244;0,0016826;0,0211369;0,0304327;0;0,0801647;0,044773;0,0041017;0,01341;0,0847282;0,3766157;0;0,0680846;0,0390992;0,0048926;0,0133269;0,0887023;0,3335065;0;0,0596979;0,0326746;0,0053998;0,0136864;0,0914592;0,298757;0;0,0212172;0,0134342;0,0034548;0,0070538;0,0515374;0,1225715;0;0,0144313;0,0092798;0,0024381;0,0048399;0,0359104;0,084273;0;2006-04-01;0,3351016
"19";0,0927068;0,0552856;0,0110883;0,028565;0,1928695;0,503087;0;0,0028551;0,0057315;0,0016496;0,0017922;0,0238185;0,0341835;0;0,0035663;0,0072573;0,0020779;0,0022183;0,0299271;0,0429878;0;0,0996744;0,0558775;0,0067783;0,0206259;0,1308314;0,4850591;0;0,0840072;0,0486483;0,0080773;0,0202899;0,1361119;0,4302209;0;0,0700835;0,0392179;0,0088018;0,020164;0,1370932;0,3728895;0;0,0121887;0,0107916;0,0034092;0,0055368;0,0489424;0,0886377;0;0,013439;0,0097877;0,0029655;0,0052919;0,0423584;0,0865283;0;2006-05-01;0,378521
"20";0,0718435;0,0476097;0,01448;0,0299791;0,218183;0,4461309;0;0,0033013;0,007008;0,0020297;0,0020488;0,0287315;0,0410861;0;0,0040928;0,0087915;0,0025346;0,0025176;0,0357957;0,0512351;0;0,0173386;0,0162482;0,0053522;0,0086685;0,0769834;0,1322828;0;0,0517852;0,0328028;0,0098587;0,018886;0,1383558;0,3089689;0;0,0249145;0,0206163;0,0070101;0,0112941;0,0971934;0,1774415;0;0,0042759;0,0087315;0,0026277;0,0027129;0,0371053;0,0527759;0;0,0067105;0,007568;0,0025062;0,003456;0,0348474;0,0570306;0;2006-06-01;0,1842623
"21";0,0337022;0,0333951;0,0118073;0,0174445;0,1613492;0,2696514;0;0,0038858;0,007871;0,0023731;0,0024365;0,0331551;0,0474387;0;0,0077779;0,01134;0,0035674;0,0045693;0,0507547;0,0768474;0;0,1240363;0,0703572;0,0100263;0,0288008;0,1855653;0,6199706;0;0,1256175;0,073777;0,0106399;0,0277288;0,1887588;0,6342081;0;0,1016269;0,0572181;0,0127405;0,0292879;0,1998641;0,5417095;0;0,0043198;0,0100467;0,0029296;0,0027287;0,0411393;0,0578625;0;0,0039766;0,0074073;0,0023127;0,0024465;0,032106;0,0464144;0;2006-07-01;0,404943
"22";0,0259149;0,0328944;0,0114442;0,0146531;0,1546197;0,2404284;0;0,0109992;0,0112857;0,0038984;0,0058576;0,0544138;0,0895361;0;0,0201858;0,0171473;0,0056521;0,0099866;0,0828299;0,1460574;0;0,166322;0,0942661;0,0104766;0,0329998;0,2118417;0,8057661;0;0,1517427;0,0890368;0,0119659;0,032277;0,2191483;0,7593256;0;0,1361407;0,0761826;0,0136124;0,0341709;0,2312822;0,6982338;0;0,0081184;0,0125779;0,0040699;0,0047421;0,0561799;0,0842;0;0,0174789;0,0136919;0,0046676;0,0075799;0,0634113;0,1203254;0;2006-08-01;0,5369026
"23";0,0415232;0,03286;0,0110061;0,0192546;0,1568481;0,2886755;0;0,0159647;0,0116497;0,0037784;0,0071063;0,0550335;0,1055791;0;0,0251256;0,0170599;0,0051275;0,0107053;0,0785229;0,1578644;0;0,142842;0,0806972;0,0086301;0,0274306;0,1754983;0,6875812;0;0,1298617;0,0758821;0,009846;0,026778;0,1812361;0,6452828;0;0,1178067;0,0656024;0,011033;0,0281539;0,1901105;0,5969269;0;0,0172602;0,0158949;0,005417;0,0082463;0,0745949;0,1306649;0;0,0326196;0,0205014;0,0061391;0,0117406;0,0857459;0,1935113;0;2006-09-01;0,5230037
