"";"X";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date";"AEC_SO4_L1";"AEC_PO4_L1";"AEC_Cl_L1";"AEC_SO4_L2";"AEC_PO4_L2";"AEC_Cl_L2";"AEC_SO4_L3";"AEC_PO4_L3";"AEC_Cl_L3";"AEC_SO4_L4";"AEC_PO4_L4";"AEC_Cl_L4";"AEC_SO4_L5";"AEC_PO4_L5";"AEC_Cl_L5";"AEC_SO4_L6";"AEC_PO4_L6";"AEC_Cl_L6";"AEC_SO4_L7";"AEC_PO4_L7";"AEC_Cl_L7";"AEC_SO4_L8";"AEC_PO4_L8";"AEC_Cl_L8";"CEC_Ca_L1";"CEC_Mg_L1";"CEC_K_L1";"CEC_Na_L1";"CEC_NH4_L1";"CEC_Al_L1";"CEC_H_L1";"CEC_Ca_L2";"CEC_Mg_L2";"CEC_K_L2";"CEC_Na_L2";"CEC_NH4_L2";"CEC_Al_L2";"CEC_H_L2";"CEC_Ca_L3";"CEC_Mg_L3";"CEC_K_L3";"CEC_Na_L3";"CEC_NH4_L3";"CEC_Al_L3";"CEC_H_L3";"CEC_Ca_L4";"CEC_Mg_L4";"CEC_K_L4";"CEC_Na_L4";"CEC_NH4_L4";"CEC_Al_L4";"CEC_H_L4";"CEC_Ca_L5";"CEC_Mg_L5";"CEC_K_L5";"CEC_Na_L5";"CEC_NH4_L5";"CEC_Al_L5";"CEC_H_L5";"CEC_Ca_L6";"CEC_Mg_L6";"CEC_K_L6";"CEC_Na_L6";"CEC_NH4_L6";"CEC_Al_L6";"CEC_H_L6";"CEC_Ca_L7";"CEC_Mg_L7";"CEC_K_L7";"CEC_Na_L7";"CEC_NH4_L7";"CEC_Al_L7";"CEC_H_L7";"CEC_Ca_L8";"CEC_Mg_L8";"CEC_K_L8";"CEC_Na_L8";"CEC_NH4_L8";"CEC_Al_L8";"CEC_H_L8"
"28";28;30,5470238;41,7587585;11,3117371;54,6447716;2,6791861;1,8242245;26,873867;76,4080429;2,3311188;793,2631226;4,9511719;3,5243003;99,9531174;32,2574005;4,1295824;32,9453888;35,0241776;23,9795151;62,9550781;0;0;28,222208;76,1699753;2,1828103;1083,1706543;4,640625;1,2449329;124,2490082;56,2794456;42,901062;62,5138359;26,8237267;17,2384682;57,0005646;0;0;28,4959717;78,664093;2,0021901;1134,836792;4,8574219;1,606214;139,2621155;49,8773575;39,882473;10,7362032;18,1979599;13,8478489;48,9157677;0;0;13,4324989;62,3643723;0,9102906;566,5523682;4,5449219;0,0499598;62,9047546;31,5206375;36,8727188;10,2577343;17,4777069;13,0851698;60,7492332;0;0,3252228;13,4695015;68,8329697;0,5024394;628,7208862;4,5097656;0,0616932;68,9474716;35,8393478;51,0838509;10,7630959;17,1980362;16,3285141;69,9153748;0;0;13,4515781;70,9198074;0,6457707;545,6946411;4,7441406;0,0204537;64,7168732;26,232233;65,2377777;14,9953012;21,8112335;15,9771166;83,4280243;0;0,1333724;13,5105906;75,5563431;0,6305573;650,0477905;4,9765625;0,008536;82,4726868;25,8686085;79,6122971;10,7822714;24,2431965;16,829546;91,3505402;0;0,3132179;13,4470758;78,7857361;0,4860939;637,1061401;5,0625;0,00644;82,6599884;23,5243721;90,1986237;NA;8478,1103516;9994,5068359;54,7517738;9043,5146484;9994,5068359;54,1310539;9043,5146484;9994,5068359;54,7517738;3204,7961426;9994,5068359;71,8305511;3042,2385254;9994,5068359;72,7813492;3042,2385254;9994,5068359;74,0723648;3042,2385254;9994,5068359;75,3188095;3042,2385254;9994,5068359;76,2422562;62878,6640625;17191,4277344;11620,5507812;1559,3497314;10,4112577;11042,1220703;7007,8925781;44726,4296875;15849,5263672;8507,4638672;744,5077515;0;20709,6484375;6399,2680664;38891,9023438;16687,9179688;7648,7265625;1517,4726562;0;31546,4453125;4778,5063477;31848,5097656;13495,8769531;5459,4135742;578,5405273;0;33179,8867188;4608,2114258;25050,671875;12553,7509766;4240,9038086;703,1724854;0,0002259;41729,953125;5357,2724609;20387,0039062;11763,4814453;3166,7045898;406,7754211;0;50118,3085938;5687,7333984;16524,6796875;3049,190918;2458,4882812;340,0187073;0,0004729;58622,3203125;5459,7255859;14564,4794922;3032,1513672;1926,3094482;339,2037354;0,0011257;64076,7617188;5379,9272461
"29";29;45,3829689;61,9501152;14,2242756;69,1105881;4,9158201;3,1782434;27,1465893;93,0934677;1,7964275;1384,3649902;4,9179688;4,2109051;172,8407593;57,8867302;7,642241;55,2572784;58,7646828;32,2749519;85,222023;0;0;28,5580349;99,1788177;1,5504333;2099,0473633;4,5625;1,960698;234,4878998;115,3533478;102,1654587;107,8629913;46,3011894;23,8821774;79,2631073;0;0;29,0136547;103,7013931;0,3804451;2311,2348633;4,796875;2,2560613;278,5783386;106,6275253;79,0873337;12,3836021;20,9896698;15,0328074;53,2387466;0;0;12,9112701;67,7696686;0;747,2384644;4,4609375;0,0791667;80,515831;44,0239105;50,872097;13,9742928;23,809082;15,6240568;72,5558853;0;2,9062216;12,8182487;76,6729355;0;1034,3734131;4,4199219;0,1046463;109,7840652;62,611515;74,7093201;13,9138288;22,2319851;19,0059013;81,5613556;0;0,351241;12,8170328;80,8098831;0;767,2096558;4,7089844;0,0249197;89,9839478;37,884346;88,1243439;21,5723782;31,3550587;19,6253757;102,0523453;0;2,2607734;13,5332756;86,316658;0;1082,630127;4,8574219;0,0136662;132,855545;47,5828133;100,0741501;14,6854477;32,9966125;20,1418705;109,2028046;0;2,8100564;13,168663;90,4021149;0;1007,9998169;4,9082031;0,0113389;125,5068283;42,4931526;112,3760529;NA;8478,1103516;9994,5068359;60,4904633;9043,5146484;9994,5068359;61,3718414;9043,5146484;9994,5068359;62,365593;3204,7961426;9994,5068359;73,269989;3042,2385254;9994,5068359;74,7091141;3042,2385254;9994,5068359;75,6140594;3042,2385254;9994,5068359;76,9490356;3042,2385254;9994,5068359;77,8690872;62877,3867188;17166,1816406;11620,9365234;1568,3862305;14,4253254;11044,6816406;7039,8442383;44724,6953125;15854,5185547;8502,6787109;748,3775635;0;20703,9179688;6410,9980469;38876,453125;16688,078125;7650,7880859;1523,5424805;0;31547,9375;4796,5585938;31850,7988281;13496,4326172;5459,2553711;580,019165;0;33176,2148438;4612,2817383;25050,3828125;12553,0195312;4240,3339844;703,2681274;0,0016902;41727,6796875;5366,9448242;20386,7597656;11763,0693359;3166,2819824;407,6306152;2,6e-06;50116,2460938;5694,6674805;16522,7675781;3046,6245117;2457,8295898;338,5149841;0,0065246;58621,3632812;5473,746582;14563,171875;3029,8032227;1925,6333008;338,6907959;0,0084356;64075,2304688;5392,7651367
"30";30;102,0801697;139,1838226;25,2488708;123,5083084;0;0;34,1867332;160,1706848;4,3999958;3928,0163574;4,7285156;12,3780518;463,5672913;191,1021576;24,896225;139,5836945;148,4729004;61,1278076;163,6022949;0;0;34,0678596;176,9189758;3,5509572;6445,8276367;4,3613281;8,2239027;669,1826782;405,1219177;375,4524536;213,4880981;91,6552429;36,8708763;123,1262283;0;0;26,506876;159,8797913;0;4670,2182617;4,9160156;1,7375629;582,7678223;195,6018829;164,5332336;21,1007748;35,7631569;23,2422905;82,5484619;0;0;16,4853935;102,6011276;0;1475,213623;4,3613281;0,1937165;153,1513824;92,7175522;102,9786682;20,1472073;34,3247299;19,4953232;90,800766;0;0;11,7109346;87,9691162;0;1633,6856689;4,3339844;0,1845871;167,8292694;104,4516983;123,9323273;19,2737484;30,7961731;23,5353489;101,7374725;0;0;12,0168762;99,447998;0;1118,7475586;4,6757812;0,0320387;129,81987;56,6380653;136,8947144;33,5135536;48,6658516;25,9840107;135,5128326;0;0;14,1775846;109,5870972;0;1740,1999512;4,7929688;0,019834;209,5024261;80,530899;145,3688965;24,4422302;54,8497581;28,6691074;156,2237701;0;0;14,290185;124,3352966;0;1783,8045654;4,7871094;0,0219416;214,3704224;82,9303589;175,0838318;NA;8478,1103516;9994,5068359;69,1095047;9043,5146484;9994,5068359;71,7863083;9043,5146484;9994,5068359;72,9528503;3204,7961426;9994,5068359;74,8331604;3042,2385254;9994,5068359;76,7355118;3042,2385254;9994,5068359;77,8196564;3042,2385254;9994,5068359;79,1797104;3042,2385254;9994,5068359;80,2006073;62823,0703125;17131,5449219;11590,5244141;1574,9067383;0;11053,5253906;7229,7148438;44709,0234375;15852,0869141;8495,0927734;757,8748169;0;20695,5898438;6470,2382812;38858,5390625;16682,84375;7645,5302734;1531,8841553;0;31547,8242188;4840,121582;31849,0742188;13495,0429688;5454,6733398;581,192688;0;33171,890625;4634,6567383;25048,546875;12551,5078125;4235,8105469;704,5918579;0;41724,7382812;5385,5307617;20384,8222656;11761,9228516;3161,6765137;410,0142517;0;50113,8320312;5710,3837891;16518,8710938;3043,0617676;2455,1835938;339,1402283;0;58620,0546875;5494,7475586;14557,9755859;3024,9008789;1921,1088867;339,610199;0;64073,1835938;5422,6572266
"31";31;145,8367157;198,8230591;27,2086849;134,6464233;0;0;28,2887287;178,0904999;0;4717,3618164;5,1835938;2,0829086;630,1990967;156,027832;66,1540756;179,6815338;191,1950989;51,8850784;143,4847412;0;0;18,4719086;151,5954437;0;6853,4956055;4,6171875;1,1956556;780,0288086;362,2205505;731,9291992;222,6394958;95,5962296;27,5940571;92,8242416;0;0;14,7034264;116,40625;0;4203,1962891;5,6464844;0,119357;613,4903564;87,0423126;178,7056732;25,5628738;43,3297615;23,4677715;84,5720901;0;0;14,3231592;116,9550781;0;1524,4586182;4,3632812;0,1613529;158,382019;95,6944275;175,4057159;21,4781418;36,594101;18,58041;87,1620407;0;0;11,0573711;88,741066;0;1516,6619873;4,3710938;0,1272103;158,0419159;94,7350922;177,0355225;20,5390472;32,8190231;21,8535748;95,6758728;0;0;10,7316608;95,8366852;0;1071,7054443;4,734375;0,0201186;126,711319;51,9062576;173,3473511;36,5839653;53,1008682;24,0470982;127,459053;0;0;11,6226044;52,4679718;0;1643,4857178;6,1875;0,0003462;255,8773804;18,036871;161,0822144;27,7389545;62,1905174;25,9416008;144,6027374;0;0;10,930481;124,0467377;0;1677,0325928;5,0117188;0,0070491;214,7604065;64,7450333;200,0434723;NA;8488,4150391;9994,5068359;83,8124084;9043,5146484;9994,5068359;92,2861176;9043,5146484;9994,5068359;87,2246704;3204,7961426;9994,5068359;80,5220642;3042,2385254;9994,5068359;79,0007629;3042,2385254;9994,5068359;80,987915;3042,2385254;9994,5068359;82,7408981;3042,2385254;9994,5068359;84,621376;62776,3007812;17116,9199219;11561,5185547;1589,2772217;0;11050,421875;7376,5878906;44701,1015625;15855,1445312;8495,6601562;783,1392822;0;20679,1054688;6503,5546875;38842,140625;16677,9140625;7640,8066406;1542,1845703;0;31547,265625;4878,7822266;31848,9824219;13496,2226562;5452,1523438;589,4465332;0;33167,3203125;4640,7509766;25047,9902344;12551,8681641;4231,9814453;709,0189819;0;41721,5585938;5394,6289062;20383,3847656;11761,4951172;3157,6474609;414,7294006;0;50111,1132812;5721,6914062;16515,9882812;3041,1784668;2453,5524902;344,4486084;0;58618,46875;5505,25;14553,375;3021,1623535;1917,9104004;346,8198242;0;64070,453125;5443,3989258
"32";32;158,4289703;216,0298309;24,5543633;122,4959259;0;0;18,1267681;162,9898071;0;4423,5976562;6,3417969;0,0904417;697,3843994;39,8818245;97,187645;176,6313019;188,0705261;47,3052025;132,861557;0;0;12,9297609;139,0625;0;6168,1459961;4,8671875;0,3526269;759,072937;268,951416;1011,5301514;217,8678894;93,5595474;27,2736073;91,8771362;0;0;12,9297609;116,015625;0;3782,876709;6,4414062;0,0182739;600,5413208;29,9381618;192,1036987;21,8164845;36,9844704;18,8243294;68,5421982;0;0;9,7217588;103,125;0;1189,0776367;4,3808594;0,1101758;124,3666306;73,8129883;217,7742462;19,571703;33,3491364;16,9550381;79,9652176;0;0;9,3677549;85,546875;0;1289,1627197;4,4199219;0,0885014;136,8263245;78,0341263;222,4345093;19,6496353;31,3999805;20,6885986;91,2073822;0;0;9,3788233;100;0;964,5348511;4,7304688;0,019218;113,9001846;46,8556328;207,5263214;35,5744247;51,6317024;23,1272545;123,3082962;0;0;10,7013741;71,09375;0;1479,137085;6,1308594;0,0003767;229,1033783;17,4194813;171,1990356;26,7554588;59,9770126;24,8754044;139,8451691;0;0;9,8888655;120,3125076;0;1509,3293457;5,234375;0,0034595;203,9601288;47,5947609;216,6039276;NA;8498,7255859;9994,5068359;93,4073563;9043,5146484;9994,5068359;96,4959564;9043,5146484;9994,5068359;87,3074112;3204,7961426;9994,5068359;83,7259064;3042,2385254;9994,5068359;79,9535294;3042,2385254;9994,5068359;81,6522064;3042,2385254;9994,5068359;76,4086914;3042,2385254;9994,5068359;85,7275314;62729,7460938;17107,3476562;11530,6357422;1597,87854;0;11046,4267578;7522,7451172;44698,1015625;15864,3017578;8491,0664062;794,9346313;0;20661,6386719;6536,5087891;38830,2265625;16674,9589844;7633,1557617;1542,8375244;0;31546,71875;4917,1181641;31849,3886719;13498,1953125;5448,8662109;595,2041016;0;33163,171875;4645,6943359;25047,9414062;12553,0449219;4227,8686523;712,1407471;0;41718,6640625;5402,1542969;20382,4882812;11761,7773438;3153,0148926;417,0096741;0;50108,484375;5732,8759766;16513,9882812;3040,5844727;2451,1452637;346,1452026;0;58616,9140625;5515,8720703;14549,8574219;3020,0029297;1913,65625;349,0093689;0;64067,8125;5462,9848633
"33";33;164,1387482;223,8522034;26,5261917;132,3439789;0;0;22,7526989;170,193634;0;4002,7062988;9,6855469;4,59e-05;666,9742432;0,1435058;117,1873856;171,3934021;182,6217499;46,5687065;132,2771912;0;0;14,3872671;139,84375;0;5551,3310547;5,0976562;0,1628505;726,5838623;198,6380157;1291,3751221;212,8866425;91,4325943;26,9371471;90,8710403;0;0;14,3872671;116,40625;0;3404,5888672;9,2851562;2,6e-05;567,166748;0,2647551;204,3679047;18,6863003;31,6820889;17,408041;63,7169189;0;0;10,1465483;104,1015625;0;927,4805298;4,4003906;0,0986808;97,7230988;56,8569984;269,9263;17,80513;30,3420162;16,1552124;76,5026245;0;0;9,8657866;85,3515625;0;1095,7883301;4,4667969;0,0685352;118,3245926;64,3068085;273,3007507;18,5931606;29,7141075;20,094595;89,0711823;0;0;9,8747797;98,046875;0;868,0813599;4,7890625;0,015081;104,3844299;40,2958031;245,1713104;34,2152863;49,6584473;22,6588039;121,2673492;0;0;10,9493523;70,9960938;0;1331,2233887;7,2890625;2,58e-05;218,7163849;3,1541927;180,9334564;25,5010071;57,1617241;24,2323704;137,1218872;0;0;10,2891893;121,8750076;0;1358,3963623;5,3632812;0,0024403;188,607132;37,7922783;234,0096893;NA;8498,7255859;9994,5068359;89,4168472;9043,5146484;9994,5068359;96,3562775;9043,5146484;9994,5068359;87,2246704;3204,7961426;9994,5068359;83,4283218;3042,2385254;9994,5068359;80,0364761;3042,2385254;9994,5068359;82,3456345;3042,2385254;9994,5068359;76,4637146;3042,2385254;9994,5068359;85,6323853;62689,1992188;17099,0898438;11499,8105469;1593,7398682;0;11042,3701172;7667,5844727;44695,2421875;15874,4423828;8485,3632812;803,414917;0;20644,9550781;6569,1977539;38818,2929688;16672,0527344;7625,5087891;1543,4550781;0;31546,1894531;4955,5151367;31849,9960938;13500,1904297;5444,6679688;597,8572388;0;33159,8828125;4651,9223633;25048,0292969;12554,3408203;4223,5522461;714,3047485;0;41716,1523438;5409,1025391;20381,75;11762,2861328;3148,2333984;418,6452026;0;50106,0625;5743,8652344;16512,0625;3040,1906738;2448,5866699;347,0910645;0;58615,4492188;5526,4384766;14546,4414062;3019,1242676;1909,2650146;350,4878235;0;64065,3515625;5481,9848633
"34";34;104,6388931;142,6723938;19,0173645;94,4037476;0;0;19,6756401;56,8649979;0;2219,3613281;10,3027344;9e-06;369,8707581;0,022797;74,1943741;157,8543091;168,306488;44,665863;128,0249634;0;0;14,3872671;139,0625;0;4996,1977539;5,1640625;0,1336635;664,4291382;168,2705231;1472,354126;207,1976776;88,9992294;26,5549183;89,6914062;0;0;14,3872671;116,015625;0;3064,1298828;9,9375;5,8e-06;510,6218262;0,0665405;211,8325043;16,2158146;27,4962883;16,205389;59,5762253;0;0;10,1465483;104,1015625;0;723,4348145;4,4238281;0,0866091;76,8938446;43,6786232;313,5393372;15,9547148;27,1912079;15,2791233;72,6263046;0;0;9,8657866;85,3515625;0;931,420105;4,4921875;0,0598792;101,5027313;53,7339554;314,5345764;17,3422222;27,7170696;19,3816109;86,3584747;0;0;9,8747797;97,8515625;0;781,2731934;4,7988281;0,0145036;94,224144;35,9880486;275,6783752;32,8555298;47,6859894;22,1850109;119,1482239;0;0;10,9493523;70,3125;0;1198,1010742;9,2890625;3e-07;199,5910492;0,0924791;188,7135468;24,2335243;54,320797;23,5778236;134,2447662;0;0;10,2891893;121,2890701;0;1222,5566406;5,5566406;0,0014895;175,8747864;27,8846722;249,2588348;NA;8498,7255859;9994,5068359;80;9043,5146484;9994,5068359;96,4959564;9043,5146484;9994,5068359;87,3074112;3204,7961426;9994,5068359;83,4283218;3042,2385254;9994,5068359;80,0364761;3042,2385254;9994,5068359;82,4125671;3042,2385254;9994,5068359;76,5185165;3042,2385254;9994,5068359;85,7747345;62663,234375;17087,9375;11476,4716797;1582,5040283;0;11038,328125;7788,4179688;44693,21875;15884,1787109;8480,2949219;810,2305298;0;20630,21875;6596,4223633;38808,1796875;16669,5800781;7618,8144531;1543,9898682;0;31545,6816406;4988,3432617;31850,3847656;13501,7480469;5440,9643555;600,0820923;0;33157,2265625;4657,4052734;25048,0820312;12555,5302734;4219,8037109;716,3572998;0;41714,0195312;5414,7709961;20381,1171875;11762,8193359;3144,0908203;420,2728882;0;50103,8828125;5753,2036133;16510,3789062;3039,9462891;2446,3684082;347,9932556;0;58614,0664062;5535,671875;14543,4892578;3018,5224609;1905,4622803;351,9571838;0;64063,0742188;5498,2070312
"35";35;60,4320908;82,3372269;16,3472958;82,4911499;1,1343515;1,0934408;28,9882183;99,9861603;2,4076445;1573,0623779;5,6621094;0,5283769;230,1524048;32,0246468;36,7649612;71,7934036;76,7089691;33,850975;96,1138916;0;0;26,0042553;116,4794006;2,3202367;2542,1347656;4,6308594;1,2039957;290,6593933;133,0297546;389,1694641;134,3688049;57,8389893;22,8047218;77,6494141;0;0;23,1257648;116,3657532;1,8458086;2662,5830078;4,9589844;0,9119666;336,2070007;107,5569;323,4960327;25,4891129;43,1811066;20,6793213;75,4226379;0;0;12,6289787;107,772316;0,489362;1366,4337158;4,3886719;0,109331;143,3393402;84,3996124;318,5775452;14,2853737;24,34828;14,4585924;68,8778;0;0;11,6088991;85,3515625;0;791,7070923;4,4746094;0,0657288;85,7322235;46,2189522;340,9321899;16,1379681;25,7940521;18,6981182;83,5722961;0;0;11,6106291;97,8515625;0;703,145874;4,7402344;0,0184388;83,2881165;33,9028664;295,3444519;31,3407631;45,5028458;21,6693363;116,6906586;0;0;11,817277;70,5078125;0;1078,2908936;9,6152344;1e-07;179,6707611;0,0443899;194,4307251;22,9489555;51,4662895;22,9478779;131,1621246;0;0;11,6903229;121,4843826;0;1100,3009033;5,6386719;0,0012166;160,4031982;22,9803009;260,3097229;NA;8478,1103516;9994,5068359;61,8705025;9043,5146484;9994,5068359;75,728157;9043,5146484;9994,5068359;81,2064972;3204,7961426;9994,5068359;83,3067551;3042,2385254;9994,5068359;80,0364761;3042,2385254;9994,5068359;82,4125671;3042,2385254;9994,5068359;76,4086914;3042,2385254;9994,5068359;85,7275314;62679,890625;17079,9609375;11480,9638672;1609,3011475;4,2663374;11034,2041016;7748,0112305;44709,921875;15923,7109375;8461,8027344;800,8599854;0;20612,1191406;6565,9555664;38777,2734375;16691,65625;7627,3930664;1558,2630615;0;31545,25;4984,3461914;31877,9628906;13501,1132812;5440,0126953;595,2324219;0;33147,0546875;4639,8588867;25049,5605469;12557,3447266;4220,1831055;718,003418;0;41712,21875;5411,4985352;20382,2480469;11764,2353516;3144,4384766;421,6273193;0;50101,9257812;5752,059082;16511,0136719;3041,0895996;2446,6147461;348,9612427;0;58612,78125;5535,0493164;14544,3154297;3020,1564941;1905,8044434;353,378479;0;64060,9765625;5497,6079102
"36";36;26,2585144;35,7455711;9,398057;46,8540306;1,0493555;0,8903053;22,0799141;52,5034599;1,0756915;775,8720093;4,984375;2,5831308;98,6422806;30,6697216;14,1897831;41,1891441;44,06073;23,960331;67,8626938;0;0;23,0259476;80,7801208;0,9699761;1446,6324463;4,6171875;1,1252444;164,6480865;76,4573212;159,2528229;95,8396378;41,3416519;19,1445026;65,7806015;0;0;23,1061554;100,2696838;0,8803526;1881,8798828;4,8535156;1,3098304;230,6734009;82,9732513;225,490036;23,9038105;40,4319611;19,9298897;72,0387268;0;0;12,6981859;100,7210846;0,525394;1313,5450439;4,3828125;0,1121576;137,4864502;81,4377518;261,3684692;16,9787922;28,9486408;15,872406;75,1697998;0;0;12,1653471;93,6941528;0,3212739;1071,5791016;4,3496094;0,133491;110,7490463;67,847496;291,360199;16,449297;26,2942009;18,9942989;84,3401718;0;0;12,1049089;96,7626724;0,3825506;867,8937988;4,5507812;0,0448633;96,5600815;48,0888824;303,5292969;27,4205723;39,8253326;20,2719345;109,3469086;0;0;11,9562178;72,65625;0,0162011;934,3780518;9,5253906;1e-07;155,6838379;0,0458356;216,932724;21,6163464;48,4992867;22,2748451;127,8054428;0;0;11,8904848;121,2890701;0;990,270874;5,7617188;0,0009027;146,9968109;18,0483398;267,787323;NA;8457,5195312;9994,5068359;47,9960403;9043,5146484;9994,5068359;65,0263596;9043,5146484;9994,5068359;74,7145157;3211,1330566;9994,5068359;82,4125671;3042,2385254;9994,5068359;81,3985977;3042,2385254;9994,5068359;82,0045319;3042,2385254;9994,5068359;77,1591721;3042,2385254;9994,5068359;85,7747345;62691,5351562;17068,328125;11481,9951172;1590,0976562;6,0429044;11036,9560547;7756,003418;44718,5273438;15945,3876953;8448,3515625;797,6071167;0;20600,5878906;6556,7197266;38738,6367188;16710,40625;7637,9365234;1574,638916;0;31546,1699219;4994,6464844;31930,3242188;13502,0878906;5439,0766602;589,803772;0;33125,8007812;4603,5029297;25053,6308594;12563,5722656;4222,2553711;714,1462402;0;41705,0429688;5414,3945312;20383,1699219;11765,9013672;3143,3632812;418,7231445;0;50097,6523438;5763,8115234;16511,5996094;3042,2756348;2447,0307617;349,6003418;0;58611,4960938;5534,0507812;14545,0341797;3021,6494141;1906,1257324;354,7987366;0;64059,0585938;5497,1923828
"37";37;18,5658073;25,2071342;7,6488609;40,9073753;0,5489165;0,713882;20,7682858;72,4970551;0,4819109;273,7859802;5,0214844;2,1465888;35,150425;10,4805756;4,2862659;21,9650421;23,5362797;16,8064938;47,4800758;0;0;21,3711834;71,0273895;0,4129689;509,551178;4,7578125;0,5597116;60,6878166;24,237381;40,1931381;49,2947502;21,3294106;13,2334127;45,9975281;0;0;21,3868866;78,2746201;0,3603579;726,7982178;4,9628906;0,8177598;91,8708115;29,2622299;74,218956;15,5619326;26,2516155;15,8843164;56,1397209;0;0;12,595541;85,0746384;0,2443164;691,7303467;4,5195312;0,0523539;76,1206284;39,1677513;119,342804;12,8835182;21,9835892;13,8222494;64,3078384;0;0;12,1723652;86,7954407;0,1752682;684,9367676;4,4433594;0,0785788;73,3292007;40,8269348;155,8413239;13,8128691;22,0856476;17,3407021;74,0797577;0;0;12,176857;89,491684;0,1916086;665,1150513;4,5957031;0,035844;75,1521835;35,700325;187,6098938;18,5855064;26,9874363;17,3173237;89,3836365;0;0;12,9268847;91,3077316;0,2016257;708,1856079;5,0214844;0,0070101;90,9214706;27,1094646;205,355545;12,7944231;28,6108837;17,1770096;92,6383057;0;0;12,1514311;89,774147;0,1687075;644,6000977;5,1582031;0,004334;85,6057053;21,827652;200,1097565;NA;8395,8994141;9994,5068359;63,4666672;9043,5146484;9994,5068359;64,7887344;9043,5146484;9994,5068359;67,1854706;3230,1806641;9994,5068359;79,4432526;3042,2385254;9994,5068359;80,2818146;3042,2385254;9994,5068359;80,6403351;3042,2385254;9994,5068359;79,9950714;3042,2385254;9994,5068359;80,7961349;62656,1328125;17013,875;11468,3320312;1703,7373047;5,9464455;11049,6025391;7798,1162109;44726,9335938;15975,4707031;8419,0224609;792,8201294;0;20591,1054688;6542,1899414;38676,796875;16735,1132812;7655,9541016;1596,6625977;0;31548,4765625;5021,8466797;32012,5820312;13500,6054688;5435,4116211;576,30896;0;33100,5703125;4534,8930664;25062,7890625;12578,0878906;4228,3417969;702,5823364;0;41690,2539062;5416,9545898;20383,2851562;11769,0458984;3135,9399414;401,9035339;0;50082,9882812;5825,4243164;16506,9746094;3040,7531738;2451,7138672;335,1722717;0;58606,7109375;5570,5439453;14567,5830078;3016,2983398;1904,4664307;333,2055664;0;64048,5039062;5517,9916992
