 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2009;           6;   3081.0305176;   9994.5068359;     89.4614182;    117.3598251;    367.7460938;     26.3741837
        2009;           7;   3086.6586914;   9994.5068359;     93.8653107;    117.5742035;    367.7460938;     27.6724968
        2009;           8;   3086.6586914;   9994.5068359;     93.8882675;    117.5742035;    367.7460938;     27.6792660
        2009;           9;   3086.6586914;   9994.5068359;     93.8422394;    117.5742035;    367.7460938;     27.6656952
        2009;          10;   3086.6586914;   9994.5068359;     93.9338608;    117.5742035;    367.7460938;     27.6927071
        2009;          11;   3086.6586914;   9994.5068359;     90.8539124;    117.5742035;    367.7460938;     26.7847042
        2009;          12;   3086.6586914;   9994.5068359;     88.4898148;    117.5742035;    367.7460938;     26.0877438
        2010;           1;   3086.6586914;   9994.5068359;     85.6283951;    117.5742035;    367.7460938;     25.2441673
        2010;           2;   3086.6586914;   9994.5068359;     84.5498734;    117.5742035;    367.7460938;     24.9262066
        2010;           3;   3086.6586914;   9994.5068359;     83.5085602;    117.5742035;    367.7460938;     24.6192169
        2010;           4;   3086.6586914;   9994.5068359;     83.5334930;    117.5742035;    367.7460938;     24.6265678
        2010;           5;   3086.6586914;   9994.5068359;     84.3228836;    117.5742035;    367.7460938;     24.8592854
        2010;           6;   3086.6586914;   9994.5068359;     85.8060532;    117.5742035;    367.7460938;     25.2965393
        2010;           7;   3092.2910156;   9994.5068359;     87.8757629;    117.7887497;    367.7460938;     25.9067154
        2010;           8;   3097.9267578;   9994.5068359;     92.4972229;    118.0034180;    367.7460938;     27.2691689
        2010;           9;   3097.9267578;   9994.5068359;     92.5272141;    118.0034180;    367.7460938;     27.2780094
        2010;          10;   3097.9267578;   9994.5068359;     92.4670639;    118.0034180;    367.7460938;     27.2602806
        2010;          11;   3097.9267578;   9994.5068359;     90.0718460;    118.0034180;    367.7460938;     26.5541420
        2010;          12;   3097.9267578;   9994.5068359;     87.7220306;    118.0034180;    367.7460938;     25.8613930
        2011;           1;   3097.9267578;   9994.5068359;     85.5683823;    118.0034180;    367.7460938;     25.2264729
        2011;           2;   3097.9267578;   9994.5068359;     83.5085602;    118.0034180;    367.7460938;     24.6192169
        2011;           3;   3097.9267578;   9994.5068359;     81.3496170;    118.0034180;    367.7460938;     23.9827347
        2011;           4;   3097.9267578;   9994.5068359;     80.6533966;    118.0034180;    367.7460938;     23.7774830
        2011;           5;   3097.9267578;   9994.5068359;     80.5220642;    118.0034180;    367.7460938;     23.7387657
        2011;           6;   3097.9267578;   9994.5068359;     82.4569397;    118.0034180;    367.7460938;     24.3091869
        2011;           7;   3103.5668945;   9994.5068359;     85.2413101;    118.2182541;    367.7460938;     25.1300507
        2011;           8;   3103.5668945;   9994.5068359;     87.6283417;    118.2182541;    367.7460938;     25.8337708
        2011;           9;   3103.5668945;   9994.5068359;     87.6909256;    118.2182541;    367.7460938;     25.8522224
        2011;          10;   3103.5668945;   9994.5068359;     87.6283417;    118.2182541;    367.7460938;     25.8337708
        2011;          11;   3103.5668945;   9994.5068359;     87.4696655;    118.2182541;    367.7460938;     25.7869930
        2011;          12;   3103.5668945;   9994.5068359;     86.9054794;    118.2182541;    367.7460938;     25.6206646
        2012;           1;   3103.5668945;   9994.5068359;     84.5049057;    118.2182541;    367.7460938;     24.9129505
        2012;           2;   3103.5668945;   9994.5068359;     83.1008224;    118.2182541;    367.7460938;     24.4990101
        2012;           3;   3103.5668945;   9994.5068359;     81.1640015;    118.2182541;    367.7460938;     23.9280128
