"","Site","Atm_Max_Ca_Leach","Atm_Max_Ca_Weath","Atm_Max_K_Leach","Atm_Max_K_Weath","Atm_Max_Mg_Leach","Atm_Min_Ca_Leach","Atm_Min_Ca_Weath","Atm_Min_K_Leach","Atm_Min_K_Weath","Atm_Min_Mg_Leach","Ex_Max_Ca_Leach","Ex_Max_Ca_Weath","Ex_Max_K_Leach","Ex_Max_K_Weath","Ex_Max_Mg_Leach","Ex_Min_Ca_Leach","Ex_Min_Ca_Weath","Ex_Min_K_Leach","Ex_Min_K_Weath","Ex_Min_Mg_Leach","Grwth_Max_Ca_Leach","Grwth_Max_Ca_Weath","Grwth_Max_K_Leach","Grwth_Max_K_Weath","Grwth_Max_Mg_Leach","Grwth_Min_Ca_Leach","Grwth_Min_Ca_Weath","Grwth_Min_K_Leach","Grwth_Min_K_Weath","Grwth_Min_Mg_Leach","Min_Max_Ca_Leach","Min_Max_Ca_Weath","Min_Max_K_Leach","Min_Max_K_Weath","Min_Max_Mg_Leach","Min_Min_Ca_Leach","Min_Min_Ca_Weath","Min_Min_K_Leach","Min_Min_K_Weath","Min_Min_Mg_Leach","Nit_Max_Ca_Leach","Nit_Max_Ca_Weath","Nit_Max_K_Leach","Nit_Max_K_Weath","Nit_Max_Mg_Leach","Nit_Min_Ca_Leach","Nit_Min_Ca_Weath","Nit_Min_K_Leach","Nit_Min_K_Weath","Nit_Min_Mg_Leach","SOMP_Max_Ca_Leach","SOMP_Max_Ca_Weath","SOMP_Max_K_Leach","SOMP_Max_K_Weath","SOMP_Max_Mg_Leach","SOMP_Min_Ca_Leach","SOMP_Min_Ca_Weath","SOMP_Min_K_Leach","SOMP_Min_K_Weath","SOMP_Min_Mg_Leach"
"4","LN_SED",-2.29522635884086,-0.0851424016793895,10.7771189290362,1.81295001858713,2.41601898003806,3.56159326505199,0.218362922031875,-11.5769614244868,-1.59219703612525,-3.10141758382153,-3.87753324752681,-1.77649478002429,48.3741815879042,-1.0010239118817,-0.382315586703169,-6.47769583651965,-1.79541331391617,-37.9545958904046,-2.76981927095842,-4.58505120715215,0.649442816110267,-0.0757419308509906,5.17528160657241,0.00779366907911784,0.376699243894004,-0.963323777750214,0.128142923044236,-3.22813751607773,0.0913031893422355,-0.713767405245034,-3.89632436663494,37.1526342176491,61.8038701377275,377.874419640215,-0.923325544541856,-3.38903522049003,-40.8564188625024,70.5771582104875,378.883521632437,-0.110296413604816,0.0717057901044557,-1.8026651849149,-0.0996961538593908,-1.86474194363913,-0.0188023920192415,0.0507686490405501,-1.73982255989946,-0.115894263369031,-1.67650137484807,-0.0290842726681197,0.0179963238374368,-1.80378553017074,-0.153604789090376,-1.83314314261657,-0.04119004217419,0.146809248327505,-1.79912786261303,-0.0989001809089382,-1.79153919748469,0.0131297693776495
"3","LN_BAS",4.48427765373475,-4.45782790857953,39.460257916546,1.77112337723091,4.03526233487813,-5.09419107973342,5.23852352532823,-38.0319773452182,-1.59450549633279,-6.00165077617553,13.7397327750903,-1.36856737910301,24.7975688450075,0.809571916838573,0.866436383770696,-15.3098367124441,1.74514957471177,-16.225538053873,-0.95316326725634,-11.404661850216,2.66095344328836,-0.231648020854681,7.3821623959029,-0.305048627976454,0.0787541124415504,-2.37959753305622,0.171699202799248,-5.71516018821129,0.466717019972906,-0.150730711054738,18.2963137519455,38.146147071066,-4.42888658037328,2.98771346705497,-0.0259317706146024,-19.7162092030233,-40.2749287095774,10.9399128339097,-2.08135649769495,-1.76782187741882,0.341927126801905,0.110840180410757,0.157971338464326,-0.206714385667282,0.213863956010059,-0.420717802775707,-0.13047822698373,-0.210764272069986,0.232583806102183,-0.295162023399222,-0.138280264436418,0.0218354066388968,-0.36733609346938,-0.0155821782725417,0.0347746349747497,0.310279782976865,-0.0471196958175152,0.843132352698926,0.0359055850065828,-0.0789941222730953
"2","HN_SED",16.0532364448092,-0.756218609355712,1.78534722401126,-0.47749256991085,38.977039356014,-29.5421589296744,1.10354712125852,-7.55444330957313,1.49363430767655,-39.6996104043673,4.28304624447478,-0.12140650299514,14.6200242199075,0.0266767018799165,5.01417970831186,1.26010007404074,0.234012775896102,-9.6803261637066,0.109065190270397,-4.63738375172422,1.66600611873563,-0.172242482262232,-0.260931602251849,-0.716196376714671,0.083266285372983,-2.35052511402601,0.22715099632498,0.910150888527804,0.944817856866479,-0.0364978085727683,2.89995616949418,41.3309856085573,-3.42867622553906,0.221537878535997,-0.179107192269607,-3.2905588976209,-41.3427571615785,3.26719872585665,-0.18208756323176,0.156852073242507,0.0636638597807975,-0.00422950701702207,0.107686568771491,-0.00923006911019704,0.00137201587653718,-0.876862075433029,0.0549224707140127,-1.29472097070902,0.586207632431607,-0.0418739904466235,0,0,0,0,0,0,0,0,0,0
"1","HN_BAS",10.1666797187268,-5.05791201645762,40.1542667816,0.274534888758668,33.8675524746914,-7.41071186835702,7.99739317744201,-26.7267918072297,-1.38774659969508,-32.2848232756888,-10.5305137012429,0.761166552658781,-68.4788379845389,-0.875854950023182,11.3678352227649,25.3234984694727,0.661081029293012,504.384028827887,-0.312327382465997,4.89050541062695,5.91965992092755,0.634272416158352,17.6298906544876,-1.42389486438341,1.07619556533779,-0.687027432536339,0.558940642212334,8.86595091230236,0.368583431179849,0.23420842513593,25.8570550043508,41.8725983799792,-8.21958500235148,2.13493551021004,16.2623248861148,-17.3541500299882,-42.0170156159287,100.0999296468,-3.37739753605081,-1.02425076569452,1.96513092355233,0.750672830986689,13.7120118061434,-0.662553027757477,7.45192156115761,-2.31464472859515,-0.155025167945375,-8.36358229991189,0.160233879208051,7.04818081463273,1.71159159543847,0.686992390220492,10.8093413668331,-0.619880335625124,7.42170015021879,1.71161887996028,0.686990953160743,10.8094109734305,-0.619891987196431,7.42169511761342
