"";"variable";"value";"Inc";"Site";"value2";"Sens";"Response"
"1";"PerChange_LNSED_Min";0,330237932325601;"Lower";"LN SED";"NR";"Exch";"Bio"
"2";"PerChange_HNSED_Min";-15,3670116986387;"Lower";"HN SED";" ";"Exch";"Bio"
"3";"PerChange_LNBAS_Min";-14,2188635195968;"Lower";"LN BAS";" ";"Exch";"Bio"
"4";"PerChange_HNBAS_Min";-25,6684126202823;"Lower";"HN BAS";" ";"Exch";"Bio"
"5";"PerChange_LNSED_Max";-0,0473502153657939;"Upper";"LN SED";"NR";"Exch";"Bio"
"6";"PerChange_HNSED_Max";11,579377594008;"Upper";"HN SED";" ";"Exch";"Bio"
"7";"PerChange_LNBAS_Max";11,924791265431;"Upper";"LN BAS";" ";"Exch";"Bio"
"8";"PerChange_HNBAS_Max";20,6659229998938;"Upper";"HN BAS";" ";"Exch";"Bio"
