"";"variable";"value";"Inc";"Site";"value2";"Sens";"Response"
"1";"PerChange_LNSED_Min";-0,00324492539459949;"Lower";"LN SED";" ";"Nit";"Bio"
"2";"PerChange_HNSED_Min";0,646219441862654;"Lower";"HN SED";" ";"Nit";"Bio"
"3";"PerChange_LNBAS_Min";-0,136913983318311;"Lower";"LN BAS";" ";"Nit";"Bio"
"4";"PerChange_HNBAS_Min";0,56181330300865;"Lower";"HN BAS";" ";"Nit";"Bio"
"5";"PerChange_LNSED_Max";0,00188925750097509;"Upper";"LN SED";" ";"Nit";"Bio"
"6";"PerChange_HNSED_Max";-0,0863550208845073;"Upper";"HN SED";" ";"Nit";"Bio"
"7";"PerChange_LNBAS_Max";-0,621891097910341;"Upper";"LN BAS";" ";"Nit";"Bio"
"8";"PerChange_HNBAS_Max";-0,0732959524896831;"Upper";"HN BAS";" ";"Nit";"Bio"
