"","Site","Atm_Max","Atm_Min","Ex_Max","Ex_Min","Grwth_Max","Grwth_Min","Mineral_Max","Mineral_Min","Nit_Max","Nit_Min","SOMP_Max","SOMP_Min"
"4","LN_SED",-0.101986399861968,0.0976659174588622,-0.141366225890271,0.0557838048297904,-6.69910164728867,9.59824932737309,1.68440731271343,-1.80228335336811,-0.0919174089189687,-0.0930889866015535,0.142563213636424,-0.522671900791772
"3","LN_BAS",0.701872858726158,-2.31881778016732,0.757065578790064,-7.83176840865446,-4.85889100719773,5.5643434903418,0.678776505761668,-2.31524522095078,0.00143060085799672,0.000615885485465322,0.243242563468864,-0.478088608237871
"2","HN_SED",48.125301144209,-33.523221160136,8.53501034732643,-15.4967830519677,-0.871595643973067,1.46405960742429,5.72525009878332,-5.24229666478089,-0.0522129202987667,0.953585811285817,0.00687686757535219,0.00687686757535219
"1","HN_BAS",27.0518589043268,-28.2541240450019,7.29717017585536,-24.4417430457924,-0.656172672203559,-0.321417713801824,3.42575629684551,-12.8459460896641,-0.491127157847057,0.137996618298194,-0.393386659323129,-0.393393135336733
