"";"variable";"value";"Inc";"Site";"value2";"Sens";"Response"
"1";"PerChange_LNSED_Min";0,0923782596111593;"Lower";"LN SED";" ";"Atm";"Bio"
"2";"PerChange_HNSED_Min";-33,523221160136;"Lower";"HN SED";" ";"Atm";"Bio"
"3";"PerChange_LNBAS_Min";-2,66325062768927;"Lower";"LN BAS";"";"Atm";"Bio"
"4";"PerChange_HNBAS_Min";-27,648997252001;"Lower";"HN BAS";" ";"Atm";"Bio"
"5";"PerChange_LNSED_Max";-0,108643782993358;"Upper";"LN SED";"";"Atm";"Bio"
"6";"PerChange_HNSED_Max";48,125301144209;"Upper";"HN SED";" ";"Atm";"Bio"
"7";"PerChange_LNBAS_Max";0,92517431011351;"Upper";"LN BAS";" ";"Atm";"Bio"
"8";"PerChange_HNBAS_Max";27,9533493076699;"Upper";"HN BAS";" ";"Atm";"Bio"
