 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;  20274.8730469;  11626.5410156;   3247.8161621;    612.0573730;      0.0000180;  50402.9179688;   5036.0664062;   1160.5762939;    403.6042175;    181.3672638;     20.0972595;      0.0000004;   1942.3673096
        2005;           2;  20275.4648438;  11628.0439453;   3246.2607422;    610.1763916;      0.0000327;  50400.7148438;   5041.7685547;   1160.6102295;    403.6564331;    181.2804108;     20.0354977;      0.0000007;   1942.2822266
        2005;           3;  20275.9453125;  11629.6464844;   3243.9418945;    607.2633057;      0.0000510;  50397.8750000;   5051.6147461;   1160.6378174;    403.7120361;    181.1509094;     19.9398441;      0.0000010;   1942.1729736
        2005;           4;  20275.6230469;  11629.6992188;   3243.0021973;    607.0289917;      0.0000237;  50395.5820312;   5059.9033203;   1160.6192627;    403.7138672;    181.0984497;     19.9321499;      0.0000005;   1942.0844727
        2005;           5;  20273.0429688;  11627.1152344;   3240.3547363;    607.6539917;      0.0000000;  50393.6601562;   5078.3315430;   1160.4716797;    403.6241455;    180.9505768;     19.9526711;      0.0000000;   1942.0104980
        2005;           6;  20271.5312500;  11626.2294922;   3238.7519531;    611.3370972;      0.0000000;  50391.4335938;   5087.4658203;   1160.3851318;    403.5934143;    180.8610992;     20.0736122;      0.0000000;   1941.9246826
        2005;           7;  20270.4980469;  11626.1103516;   3237.6777344;    616.6411133;      0.0000000;  50388.8828125;   5093.4184570;   1160.3259277;    403.5892334;    180.8011017;     20.2477703;      0.0000000;   1941.8265381
        2005;           8;  20269.6894531;  11626.3496094;   3235.0986328;    617.3341064;      0.0000000;  50386.4648438;   5103.3940430;   1160.2795410;    403.5975952;    180.6570587;     20.2705231;      0.0000000;   1941.7330322
        2005;           9;  20269.2226562;  11626.9404297;   3232.9406738;    618.2742310;      0.0000000;  50384.2382812;   5111.3637695;   1160.2529297;    403.6181335;    180.5365601;     20.3013954;      0.0000000;   1941.6472168
        2005;          10;  20269.8359375;  11627.9101562;   3233.2277832;    618.9970093;      0.0000000;  50382.1640625;   5113.2680664;   1160.2879639;    403.6517334;    180.5525970;     20.3251266;      0.0000000;   1941.5673828
        2005;          11;  20277.3144531;  11643.5185547;   3224.8615723;    611.6807251;      0.0000035;  50372.0117188;   5113.1738281;   1160.7160645;    404.1936035;    180.0853882;     20.0848942;      0.0000001;   1941.1760254
        2005;          12;  20281.0156250;  11651.3310547;   3219.7963867;    607.6124268;      0.0000097;  50366.8398438;   5114.8266602;   1160.9281006;    404.4647522;    179.8025513;     19.9513092;      0.0000002;   1940.9768066
        2006;           1;  20284.9628906;  11659.6718750;   3213.2897949;    602.0932617;      0.0000189;  50362.3710938;   5115.6347656;   1161.1540527;    404.7543640;    179.4392090;     19.7700825;      0.0000004;   1940.8046875
        2006;           2;  20285.7968750;  11661.3017578;   3212.5437012;    602.0267944;      0.0000356;  50361.3398438;   5114.7036133;   1161.2016602;    404.8109131;    179.3975372;     19.7679024;      0.0000007;   1940.7648926
        2006;           3;  20286.6738281;  11663.2412109;   3210.9394531;    601.1524048;      0.0000428;  50359.8828125;   5115.8745117;   1161.2518311;    404.8782349;    179.3079529;     19.7391891;      0.0000009;   1940.7087402
        2006;           4;  20286.3164062;  11663.1298828;   3209.7014160;    600.0559692;      0.0000017;  50358.6835938;   5122.6430664;   1161.2314453;    404.8743286;    179.2388306;     19.7031860;      0.0000000;   1940.6625977
        2006;           5;  20283.8886719;  11660.8593750;   3206.7680664;    600.2266235;      0.0000000;  50357.6835938;   5137.7885742;   1161.0924072;    404.7955322;    179.0750122;     19.7087898;      0.0000000;   1940.6239014
        2006;           6;  20282.1933594;  11659.7666016;   3205.3410645;    604.8831177;      0.0000000;  50356.3867188;   5144.1782227;   1160.9953613;    404.7575989;    178.9953308;     19.8616886;      0.0000000;   1940.5738525
        2006;           7;  20281.2382812;  11659.8554688;   3203.1608887;    607.2728882;      0.0000000;  50355.1015625;   5149.7724609;   1160.9407959;    404.7607117;    178.8735809;     19.9401588;      0.0000000;   1940.5245361
        2006;           8;  20280.4941406;  11660.2812500;   3200.5615234;    608.3529663;      0.0000000;  50353.9726562;   5155.2802734;   1160.8980713;    404.7755127;    178.7284241;     19.9756241;      0.0000000;   1940.4808350
        2006;           9;  20279.8300781;  11660.6386719;   3198.2905273;    609.3298340;      0.0000000;  50352.9687500;   5159.9702148;   1160.8601074;    404.7878723;    178.6016083;     20.0077000;      0.0000000;   1940.4423828
        2006;          10;  20280.4355469;  11661.6093750;   3198.6372070;    610.2578125;      0.0000000;  50352.0820312;   5158.2426758;   1160.8947754;    404.8216248;    178.6209564;     20.0381699;      0.0000000;   1940.4079590
        2006;          11;  20287.2656250;  11675.4228516;   3192.1870117;    607.6830444;      0.0000062;  50344.2851562;   5149.4057617;   1161.2857666;    405.3011169;    178.2607574;     19.9536285;      0.0000001;   1940.1076660
        2006;          12;  20291.1503906;  11683.2646484;   3188.0146484;    605.4556885;      0.0000110;  50339.6250000;   5146.1904297;   1161.5081787;    405.5733337;    178.0277557;     19.8804893;      0.0000002;   1939.9279785
        2007;           1;  20292.8496094;  11686.7119141;   3185.9133301;    604.1209717;      0.0000176;  50337.3281250;   5146.3720703;   1161.6054688;    405.6930237;    177.9104462;     19.8366642;      0.0000004;   1939.8394775
        2007;           2;  20294.3925781;  11690.0898438;   3182.8715820;    601.4241943;      0.0000294;  50334.7070312;   5150.0966797;   1161.6937256;    405.8102722;    177.7405548;     19.7481136;      0.0000006;   1939.7385254
        2007;           3;  20294.6757812;  11690.8544922;   3181.8364258;    600.2321167;      0.0000544;  50333.2500000;   5154.6113281;   1161.7099609;    405.8367920;    177.6827698;     19.7089710;      0.0000011;   1939.6823730
        2007;           4;  20294.5410156;  11691.1318359;   3180.8115234;    599.8340454;      0.0000077;  50331.5312500;   5160.9028320;   1161.7022705;    405.8464355;    177.6255035;     19.6959000;      0.0000002;   1939.6160889
        2007;           5;  20292.2753906;  11689.1425781;   3177.9177246;    600.3419800;      0.0000000;  50330.2226562;   5175.8002930;   1161.5725098;    405.7774048;    177.4639282;     19.7125797;      0.0000000;   1939.5657959
        2007;           6;  20290.7031250;  11688.2646484;   3175.9541016;    603.6057129;      0.0000000;  50328.7226562;   5183.8403320;   1161.4825439;    405.7468872;    177.3542786;     19.8197441;      0.0000000;   1939.5080566
        2007;           7;  20289.3769531;  11687.7890625;   3174.4438477;    608.2698975;      0.0000000;  50326.9570312;   5189.4497070;   1161.4066162;    405.7303772;    177.2699432;     19.9728966;      0.0000000;   1939.4398193
        2007;           8;  20288.7753906;  11688.4746094;   3171.8198242;    609.5029907;      0.0000000;  50325.4101562;   5195.5395508;   1161.3721924;    405.7542114;    177.1233978;     20.0133858;      0.0000000;   1939.3803711
        2007;           9;  20288.2480469;  11689.0732422;   3169.5334473;    610.6342773;      0.0000000;  50324.0507812;   5200.7670898;   1161.3420410;    405.7749939;    176.9957123;     20.0505314;      0.0000000;   1939.3278809
        2007;          10;  20288.9160156;  11690.1445312;   3169.8823242;    611.5709229;      0.0000000;  50322.8359375;   5199.5136719;   1161.3802490;    405.8121643;    177.0152130;     20.0812874;      0.0000000;   1939.2810059
        2007;          11;  20291.3964844;  11694.9609375;   3168.5607910;    611.0155640;      0.0000077;  50318.6562500;   5199.4335938;   1161.5222168;    405.9793396;    176.9414062;     20.0630531;      0.0000002;   1939.1199951
        2007;          12;  20297.0039062;  11706.2675781;   3162.8312988;    607.3372192;      0.0000073;  50309.2812500;   5202.7700195;   1161.8431396;    406.3718567;    176.6214600;     19.9422722;      0.0000001;   1938.7586670
        2008;           1;  20300.0683594;  11712.3710938;   3159.1042480;    605.1007080;      0.0000142;  50304.9453125;   5203.7485352;   1162.0185547;    406.5837402;    176.4133301;     19.8688335;      0.0000003;   1938.5915527
        2008;           2;  20301.2441406;  11714.8164062;   3157.1677246;    603.5977783;      0.0000276;  50302.6914062;   5206.5834961;   1162.0859375;    406.6686401;    176.3051910;     19.8194847;      0.0000006;   1938.5046387
        2008;           3;  20302.2402344;  11716.9042969;   3155.7368164;    603.0404053;      0.0000395;  50300.7343750;   5208.2324219;   1162.1428223;    406.7410889;    176.2252808;     19.8011837;      0.0000008;   1938.4293213
        2008;           4;  20302.9824219;  11718.7246094;   3154.3225098;    602.9550781;      0.0000000;  50298.8437500;   5210.1171875;   1162.1855469;    406.8043213;    176.1463013;     19.7983818;      0.0000000;   1938.3564453
        2008;           5;  20300.5742188;  11716.5527344;   3151.0302734;    602.5225220;      0.0000000;  50297.8164062;   5226.1943359;   1162.0476074;    406.7288818;    175.9624481;     19.7841778;      0.0000000;   1938.3168945
        2008;           6;  20298.0957031;  11714.2695312;   3148.3720703;    603.9434814;      0.0000000;  50296.4375000;   5241.0761719;   1161.9056396;    406.6496277;    175.8140259;     19.8308372;      0.0000000;   1938.2636719
        2008;           7;  20296.4433594;  11713.3105469;   3147.0012207;    609.3082886;      0.0000000;  50294.6562500;   5247.5957031;   1161.8111572;    406.6163330;    175.7374420;     20.0069942;      0.0000000;   1938.1950684
        2008;           8;  20295.7675781;  11713.9160156;   3144.2788086;    610.4808350;      0.0000000;  50293.0781250;   5254.2661133;   1161.7724609;    406.6373901;    175.5854492;     20.0454960;      0.0000000;   1938.1343994
        2008;           9;  20295.1777344;  11714.4472656;   3141.9052734;    611.5554810;      0.0000000;  50291.6796875;   5259.8837891;   1161.7386475;    406.6558228;    175.4528809;     20.0807819;      0.0000000;   1938.0804443
        2008;          10;  20295.8457031;  11715.5195312;   3142.2487793;    612.4825439;      0.0000000;  50290.4218750;   5258.7709961;   1161.7768555;    406.6930237;    175.4720764;     20.1112213;      0.0000000;   1938.0318604
        2008;          11;  20300.2304688;  11724.1435547;   3139.1831055;    611.3265381;      0.0000066;  50282.2187500;   5261.7753906;   1162.0279541;    406.9924011;    175.3008728;     20.0732651;      0.0000001;   1937.7158203
        2008;          12;  20305.2890625;  11733.8720703;   3135.6142578;    611.6550293;      0.0000020;  50273.7304688;   5260.8647461;   1162.3175049;    407.3301086;    175.1015930;     20.0840473;      0.0000000;   1937.3887939
        2009;           1;  20308.3710938;  11739.7949219;   3133.0200195;    611.8930054;      0.0000074;  50268.6406250;   5260.2968750;   1162.4938965;    407.5357056;    174.9567108;     20.0918636;      0.0000001;   1937.1926270
        2009;           2;  20309.5996094;  11742.1572266;   3132.6899414;    614.1060181;      0.0000190;  50266.0234375;   5259.3022461;   1162.5642090;    407.6177673;    174.9382935;     20.1645317;      0.0000004;   1937.0916748
        2009;           3;  20311.2578125;  11745.4580078;   3130.7011719;    613.8741455;      0.0000264;  50262.7734375;   5261.1806641;   1162.6593018;    407.7322693;    174.8272095;     20.1569157;      0.0000005;   1936.9665527
        2009;           4;  20311.3476562;  11746.0869141;   3129.4714355;    613.5927124;      0.0000000;  50260.7187500;   5267.4257812;   1162.6641846;    407.7541504;    174.7585449;     20.1476765;      0.0000000;   1936.8873291
        2009;           5;  20309.3359375;  11744.8427734;   3126.0053711;    614.5751343;      0.0000000;  50258.1992188;   5283.8505859;   1162.5491943;    407.7109375;    174.5649872;     20.1799335;      0.0000000;   1936.7901611
        2009;           6;  20306.6582031;  11742.2851562;   3123.3898926;    616.4053345;      0.0000000;  50256.0078125;   5302.0073242;   1162.3958740;    407.6221619;    174.4189606;     20.2400303;      0.0000000;   1936.7055664
        2009;           7;  20304.9062500;  11741.2138672;   3122.6577148;    624.1472168;      0.0000000;  50253.0742188;   5309.0986328;   1162.2956543;    407.5849915;    174.3780518;     20.4942379;      0.0000000;   1936.5927734
        2009;           8;  20304.3984375;  11742.1386719;   3119.8859863;    625.4331665;      0.0000000;  50250.4492188;   5317.6108398;   1162.2664795;    407.6170654;    174.2232666;     20.5364609;      0.0000000;   1936.4914551
        2009;           9;  20304.0136719;  11743.0371094;   3117.4895020;    626.6799927;      0.0000000;  50248.1093750;   5324.9526367;   1162.2445068;    407.6482849;    174.0894470;     20.5774040;      0.0000000;   1936.4012451
        2009;          10;  20304.8574219;  11744.3886719;   3117.8623047;    627.7133789;      0.0000000;  50246.0000000;   5325.3164062;   1162.2927246;    407.6951904;    174.1102600;     20.6113358;      0.0000000;   1936.3199463
        2009;          11;  20308.3613281;  11751.0185547;   3115.4379883;    627.3491211;      0.0000071;  50239.5625000;   5327.2412109;   1162.4934082;    407.9253540;    173.9748688;     20.5993748;      0.0000001;   1936.0721436
        2009;          12;  20311.2656250;  11756.4560547;   3113.3930664;    627.9177856;      0.0000067;  50234.5585938;   5327.0302734;   1162.6595459;    408.1141357;    173.8606873;     20.6180477;      0.0000001;   1935.8790283
        2010;           1;  20313.6933594;  11761.1582031;   3110.6469727;    627.6422729;      0.0000207;  50230.1445312;   5329.2729492;   1162.7985840;    408.2773438;    173.7073517;     20.6089993;      0.0000004;   1935.7089844
        2010;           2;  20314.6933594;  11763.1542969;   3109.3105469;    627.5060425;      0.0000374;  50227.7031250;   5331.8598633;   1162.8558350;    408.3466492;    173.6327057;     20.6045265;      0.0000007;   1935.6151123
        2010;           3;  20316.3203125;  11766.3339844;   3107.4975586;    628.0109253;      0.0000433;  50224.5859375;   5332.9506836;   1162.9489746;    408.4570007;    173.5314636;     20.6211033;      0.0000009;   1935.4948730
        2010;           4;  20317.4394531;  11768.8779297;   3105.3796387;    628.2324219;      0.0000000;  50221.4218750;   5337.1523438;   1163.0130615;    408.5452881;    173.4132080;     20.6283779;      0.0000000;   1935.3728027
        2010;           5;  20315.6445312;  11767.8750000;   3101.7734375;    628.2715454;      0.0000000;  50219.7421875;   5351.1782227;   1162.9101562;    408.5104980;    173.2118225;     20.6296635;      0.0000000;   1935.3082275
        2010;           6;  20314.8886719;  11768.8291016;   3097.8698730;    629.2765503;      0.0000000;  50215.9804688;   5365.1523438;   1162.8669434;    408.5436401;    172.9938202;     20.6626644;      0.0000000;   1935.1633301
        2010;           7;  20312.7148438;  11767.1103516;   3095.4440918;    631.9015503;      0.0000000;  50213.6953125;   5379.4199219;   1162.7425537;    408.4839783;    172.8583679;     20.7488556;      0.0000000;   1935.0751953
        2010;           8;  20311.0136719;  11766.1611328;   3094.7023926;    640.0078735;      0.0000000;  50210.6757812;   5386.3227539;   1162.6451416;    408.4510193;    172.8169403;     21.0150337;      0.0000000;   1934.9586182
        2010;           9;  20310.8808594;  11767.5009766;   3092.3430176;    641.5809937;      0.0000000;  50208.0546875;   5392.7065430;   1162.6375732;    408.4974976;    172.6851959;     21.0666866;      0.0000000;   1934.8575439
        2010;          10;  20312.0468750;  11769.3994141;   3092.7668457;    642.9325562;      0.0000000;  50205.6132812;   5391.9819336;   1162.7042236;    408.5634155;    172.7088623;     21.1110649;      0.0000000;   1934.7636719
        2010;          11;  20317.1582031;  11778.8330078;   3089.6174316;    643.0053711;      0.0000024;  50195.5937500;   5395.9340820;   1162.9969482;    408.8908997;    172.5329895;     21.1134567;      0.0000000;   1934.3775635
        2010;          12;  20321.9433594;  11787.7373047;   3085.7966309;    644.0486450;      0.0000089;  50186.7421875;   5397.9497070;   1163.2707520;    409.2000122;    172.3196259;     21.1477127;      0.0000002;   1934.0364990
        2011;           1;  20323.9414062;  11791.4609375;   3083.6403809;    643.5920410;      0.0000191;  50183.1914062;   5399.9340820;   1163.3851318;    409.3292542;    172.1992188;     21.1327190;      0.0000004;   1933.8997803
        2011;           2;  20324.8847656;  11793.2382812;   3082.3608398;    643.0305786;      0.0000291;  50181.2773438;   5402.0605469;   1163.4390869;    409.3909607;    172.1277618;     21.1142845;      0.0000006;   1933.8258057
        2011;           3;  20327.2324219;  11797.6113281;   3079.6184082;    643.0952759;      0.0000376;  50177.9843750;   5401.1494141;   1163.5736084;    409.5427856;    171.9746246;     21.1164093;      0.0000008;   1933.6988525
        2011;           4;  20328.1269531;  11799.6123047;   3077.6442871;    642.9671021;      0.0000000;  50175.8281250;   5403.9941406;   1163.6247559;    409.6122437;    171.8643799;     21.1121979;      0.0000000;   1933.6158447
        2011;           5;  20326.0507812;  11798.0791016;   3074.1362305;    642.4650269;      0.0000000;  50175.1250000;   5417.4785156;   1163.5058594;    409.5590210;    171.6684723;     21.0957127;      0.0000000;   1933.5888672
        2011;           6;  20323.1914062;  11795.2783203;   3070.6018066;    641.7393188;      0.0000000;  50174.1562500;   5435.9223633;   1163.3422852;    409.4617615;    171.4710999;     21.0718842;      0.0000000;   1933.5515137
        2011;           7;  20321.4882812;  11794.3398438;   3068.2583008;    644.9547729;      0.0000000;  50173.0039062;   5443.5126953;   1163.2447510;    409.4291992;    171.3402405;     21.1774673;      0.0000000;   1933.5072021
        2011;           8;  20320.1601562;  11794.0195312;   3065.8605957;    647.9921875;      0.0000000;  50171.7656250;   5449.9912109;   1163.1687012;    409.4180908;    171.2063446;     21.2772026;      0.0000000;   1933.4594727
        2011;           9;  20319.4160156;  11794.4023438;   3063.2990723;    649.1049805;      0.0000000;  50170.6757812;   5455.5073242;   1163.1260986;    409.4313354;    171.0632935;     21.3137398;      0.0000000;   1933.4174805
        2011;          10;  20320.0390625;  11795.4082031;   3063.6354980;    650.0880127;      0.0000000;  50169.7070312;   5453.7866211;   1163.1617432;    409.4663086;    171.0820770;     21.3460178;      0.0000000;   1933.3800049
        2011;          11;  20323.7949219;  11802.1201172;   3062.0776367;    651.1948853;      0.0000024;  50163.8671875;   5450.9951172;   1163.3767090;    409.6992798;    170.9950867;     21.3823643;      0.0000000;   1933.1550293
        2011;          12;  20327.3730469;  11808.4492188;   3060.5383301;    652.6508789;      0.0000016;  50158.3007812;   5447.8618164;   1163.5816650;    409.9189758;    170.9091187;     21.4301701;      0.0000000;   1932.9404297
        2012;           1;  20331.1191406;  11815.1093750;   3057.9006348;    653.3197632;      0.0000099;  50153.4960938;   5443.5405273;   1163.7960205;    410.1502075;    170.7618408;     21.4521370;      0.0000002;   1932.7552490
