 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;  24882.0136719;  12340.8701172;   4241.0019531;    694.2297363;      0.0105628;  42041.2382812;   5185.7675781;   1479.5921631;    445.0327148;    246.0236359;     23.6803913;      0.0002195;   1683.0310059
        2005;           2;  24879.1191406;  12336.4716797;   4240.3486328;    691.7125854;      0.0203441;  42039.9921875;   5207.3925781;   1479.4201660;    444.8740540;    245.9857483;     23.5945320;      0.0004228;   1682.9810791
        2005;           3;  24874.4277344;  12329.5039062;   4239.8706055;    688.9077759;      0.0283679;  42038.1640625;   5239.5009766;   1479.1412354;    444.6228027;    245.9580231;     23.4988594;      0.0005895;   1682.9078369
        2005;           4;  24871.2812500;  12324.8535156;   4239.4477539;    688.1058350;      0.0131649;  42036.6328125;   5260.9746094;   1478.9541016;    444.4551392;    245.9334869;     23.4715042;      0.0002736;   1682.8465576
        2005;           5;  24866.9785156;  12319.2441406;   4236.1884766;    686.2900391;      0.0000000;  42035.1562500;   5290.2749023;   1478.6981201;    444.2528076;    245.7444305;     23.4095688;      0.0000000;   1682.7874756
        2005;           6;  24865.1601562;  12317.7304688;   4234.6704102;    690.0972290;      0.0000000;  42033.3125000;   5300.3027344;   1478.5900879;    444.1982422;    245.6563568;     23.5394325;      0.0000000;   1682.7136230
        2005;           7;  24864.0000000;  12317.3017578;   4233.2529297;    694.2783203;      0.0000000;  42031.2304688;   5306.7031250;   1478.5211182;    444.1827698;    245.5741272;     23.6820507;      0.0000000;   1682.6303711
        2005;           8;  24863.5937500;  12318.1152344;   4230.8569336;    695.2607422;      0.0000000;  42029.3671875;   5313.0234375;   1478.4969482;    444.2121277;    245.4351349;     23.7155609;      0.0000000;   1682.5556641
        2005;           9;  24863.3085938;  12318.9501953;   4228.7934570;    696.2351685;      0.0000000;  42027.7148438;   5318.0864258;   1478.4799805;    444.2422485;    245.3154297;     23.7487965;      0.0000000;   1682.4896240
        2005;          10;  24864.1386719;  12320.3261719;   4229.0742188;    697.1561890;      0.0000000;  42026.2382812;   5316.8886719;   1478.5292969;    444.2918396;    245.3317261;     23.7802124;      0.0000000;   1682.4302979
        2005;          11;  24854.7539062;  12309.0039062;   4232.5854492;    698.1979980;      0.0014084;  42019.7187500;   5373.2475586;   1477.9713135;    443.8835449;    245.5354004;     23.8157501;      0.0000293;   1682.1694336
        2005;          12;  24848.4863281;  12300.6816406;   4233.7387695;    695.0270996;      0.0058585;  42016.6250000;   5413.6132812;   1477.5986328;    443.5834045;    245.6022949;     23.7075901;      0.0001218;   1682.0455322
        2006;           1;  24840.5058594;  12289.8417969;   4234.7231445;    688.4993896;      0.0113493;  42013.8359375;   5465.3041992;   1477.1241455;    443.1925049;    245.6594086;     23.4849262;      0.0002359;   1681.9339600
        2006;           2;  24840.2265625;  12289.7158203;   4235.5786133;    689.8646240;      0.0223659;  42013.2421875;   5465.4199219;   1477.1072998;    443.1880188;    245.7090454;     23.5314941;      0.0004648;   1681.9101562
        2006;           3;  24838.5390625;  12287.7060547;   4236.8261719;    690.7738647;      0.0233618;  42012.2656250;   5473.9497070;   1477.0070801;    443.1155090;    245.7814026;     23.5625095;      0.0004855;   1681.8709717
        2006;           4;  24836.0917969;  12284.2275391;   4236.2509766;    688.8418579;      0.0045053;  42011.3828125;   5490.6796875;   1476.8616943;    442.9900818;    245.7480469;     23.4966106;      0.0000936;   1681.8356934
        2006;           5;  24832.4062500;  12279.7080078;   4232.8681641;    686.9913940;      0.0000000;  42010.5312500;   5515.0693359;   1476.6424561;    442.8271179;    245.5517883;     23.4334888;      0.0000000;   1681.8015137
        2006;           6;  24830.2851562;  12277.7714844;   4231.7924805;    692.6898804;      0.0000000;  42009.2578125;   5522.3833008;   1476.5163574;    442.7572632;    245.4894104;     23.6278648;      0.0000000;   1681.7506104
        2006;           7;  24829.4843750;  12278.0087891;   4229.2099609;    693.4529419;      0.0000000;  42008.1093750;   5528.8666992;   1476.4686279;    442.7658386;    245.3395844;     23.6538963;      0.0000000;   1681.7045898
        2006;           8;  24828.6640625;  12278.2138672;   4226.6274414;    694.2180176;      0.0000000;  42007.0742188;   5535.0209961;   1476.4197998;    442.7731934;    245.1897736;     23.6799908;      0.0000000;   1681.6630859
        2006;           9;  24827.9550781;  12278.4150391;   4224.3798828;    694.9307861;      0.0000000;  42006.1406250;   5540.3007812;   1476.3776855;    442.7804871;    245.0593719;     23.7043056;      0.0000000;   1681.6258545
        2006;          10;  24828.4433594;  12279.2294922;   4224.5805664;    695.5894165;      0.0000000;  42005.2929688;   5539.2548828;   1476.4067383;    442.8098450;    245.0710297;     23.7267704;      0.0000000;   1681.5919189
        2006;          11;  24821.7480469;  12272.6044922;   4230.2441406;    700.6551514;      0.0027203;  41999.8085938;   5571.6791992;   1476.0086670;    442.5708923;    245.3995819;     23.8995647;      0.0000565;   1681.3724365
        2006;          12;  24814.6835938;  12263.0859375;   4231.0410156;    695.9245605;      0.0062891;  41996.8554688;   5617.4150391;   1475.5886230;    442.2276611;    245.4458160;     23.7382011;      0.0001307;   1681.2540283
        2007;           1;  24811.6601562;  12259.0927734;   4231.6088867;    694.2510986;      0.0104544;  41995.4296875;   5637.2060547;   1475.4086914;    442.0836182;    245.4787445;     23.6811199;      0.0002173;   1681.1970215
        2007;           2;  24807.2558594;  12253.1777344;   4232.2885742;    691.7957764;      0.0175476;  41993.7460938;   5664.3740234;   1475.1468506;    441.8703308;    245.5181885;     23.5973682;      0.0003647;   1681.1297607
        2007;           3;  24804.7011719;  12249.4404297;   4231.9477539;    689.2780762;      0.0328006;  41992.7382812;   5683.0244141;   1474.9949951;    441.7355652;    245.4983978;     23.5114880;      0.0006817;   1681.0892334
        2007;           4;  24801.8789062;  12245.4833984;   4231.6108398;    688.1265869;      0.0061525;  41991.4570312;   5701.8740234;   1474.8270264;    441.5928955;    245.4788513;     23.4722099;      0.0001279;   1681.0379639
        2007;           5;  24798.2285156;  12241.0615234;   4228.2353516;    686.5313721;      0.0000000;  41990.3437500;   5726.4560547;   1474.6099854;    441.4334106;    245.2830353;     23.4177990;      0.0000000;   1680.9935303
        2007;           6;  24796.3476562;  12239.5488281;   4226.2197266;    689.3486328;      0.0000000;  41988.9960938;   5736.3671875;   1474.4981689;    441.3788452;    245.1661072;     23.5138950;      0.0000000;   1680.9394531
        2007;           7;  24794.8691406;  12238.6953125;   4224.7114258;    693.8640747;      0.0000000;  41987.3828125;   5742.8930664;   1474.4102783;    441.3480530;    245.0786285;     23.6679192;      0.0000000;   1680.8748779
        2007;           8;  24794.2265625;  12239.2167969;   4222.1064453;    694.7800293;      0.0000000;  41985.9453125;   5749.1767578;   1474.3720703;    441.3668823;    244.9274902;     23.6991653;      0.0000000;   1680.8173828
        2007;           9;  24793.6542969;  12239.6582031;   4219.8315430;    695.6026001;      0.0000000;  41984.6562500;   5754.4960938;   1474.3380127;    441.3828430;    244.7955322;     23.7272224;      0.0000000;   1680.7658691
        2007;          10;  24794.3281250;  12240.7675781;   4220.0786133;    696.4142456;      0.0000000;  41983.5000000;   5753.5454102;   1474.3780518;    441.4227905;    244.8098602;     23.7549057;      0.0000000;   1680.7194824
        2007;          11;  24791.0000000;  12237.2285156;   4221.7436523;    699.4932861;      0.0019648;  41979.7968750;   5773.4174805;   1474.1801758;    441.2951660;    244.9064484;     23.8599339;      0.0000408;   1680.5711670
        2007;          12;  24782.0253906;  12226.2060547;   4224.2602539;    700.6552124;      0.0037767;  41974.1757812;   5826.6323242;   1473.6464844;    440.8977051;    245.0524597;     23.8995647;      0.0000785;   1680.3461914
        2008;           1;  24776.6406250;  12219.2832031;   4225.3627930;    699.7139282;      0.0092942;  41971.6718750;   5858.6186523;   1473.3262939;    440.6480713;    245.1164093;     23.8674603;      0.0001932;   1680.2459717
        2008;           2;  24773.4492188;  12214.9052734;   4225.4370117;    697.9643555;      0.0175848;  41970.3710938;   5879.4599609;   1473.1365967;    440.4901733;    245.1207123;     23.8077793;      0.0003654;   1680.1938477
        2008;           3;  24770.4257812;  12210.8603516;   4225.9511719;    697.6651611;      0.0236588;  41969.1015625;   5897.3344727;   1472.9567871;    440.3443298;    245.1505432;     23.7975769;      0.0004917;   1680.1429443
        2008;           4;  24767.2851562;  12206.7050781;   4225.8774414;    697.0516968;      0.0000054;  41967.8164062;   5916.3393555;   1472.7700195;    440.1944885;    245.1462708;     23.7766495;      0.0000001;   1680.0916748
        2008;           5;  24763.3554688;  12201.8710938;   4222.0073242;    694.0300293;      0.0000000;  41966.9726562;   5943.3022461;   1472.5362549;    440.0201416;    244.9217529;     23.6735821;      0.0000000;   1680.0578613
        2008;           6;  24759.7187500;  12197.5214844;   4219.0581055;    694.0440674;      0.0000000;  41965.6718750;   5966.1391602;   1472.3201904;    439.8633118;    244.7506714;     23.6740589;      0.0000000;   1680.0057373
        2008;           7;  24757.7753906;  12195.9482422;   4217.6992188;    699.3244019;      0.0000000;  41963.9140625;   5974.4218750;   1472.2044678;    439.8065796;    244.6718292;     23.8541737;      0.0000000;   1679.9355469
        2008;           8;  24757.0410156;  12196.3603516;   4214.9975586;    700.1621704;      0.0000000;  41962.3281250;   5981.6728516;   1472.1608887;    439.8214111;    244.5151367;     23.8827496;      0.0000000;   1679.8718262
        2008;           9;  24756.5000000;  12196.8886719;   4212.6752930;    701.0386963;      0.0000000;  41960.9062500;   5987.4663086;   1472.1286621;    439.8404541;    244.3803711;     23.9126472;      0.0000000;   1679.8150635
        2008;          10;  24757.2324219;  12198.0917969;   4212.9355469;    701.9005737;      0.0000000;  41959.6328125;   5986.3149414;   1472.1722412;    439.8838501;    244.3954773;     23.9420452;      0.0000000;   1679.7640381
        2008;          11;  24751.0390625;  12191.9775391;   4216.4130859;    709.2616577;      0.0011141;  41953.2226562;   6019.1215820;   1471.8039551;    439.6633606;    244.5972443;     24.1931362;      0.0000232;   1679.5074463
        2008;          12;  24745.3964844;  12186.1318359;   4219.7207031;    714.8004150;      0.0000018;  41948.0546875;   6048.7695312;   1471.4685059;    439.4525757;    244.7890930;     24.3820648;      0.0000000;   1679.3005371
        2009;           1;  24741.0546875;  12181.0009766;   4221.4125977;    716.5342407;      0.0045006;  41945.1171875;   6073.3461914;   1471.2102051;    439.2675476;    244.8872375;     24.4412060;      0.0000935;   1679.1828613
        2009;           2;  24738.7011719;  12177.9365234;   4222.3564453;    718.1062622;      0.0119813;  41943.5742188;   6086.3266602;   1471.0703125;    439.1569824;    244.9420013;     24.4948254;      0.0002490;   1679.1212158
        2009;           3;  24734.9199219;  12173.1162109;   4223.3046875;    718.3361816;      0.0159018;  41941.6718750;   6107.9619141;   1470.8454590;    438.9832153;    244.9970093;     24.5026703;      0.0003305;   1679.0449219
        2009;           4;  24731.9902344;  12169.1328125;   4222.9482422;    717.2530518;      0.0000000;  41940.3671875;   6127.1416016;   1470.6711426;    438.8395691;    244.9763336;     24.4657230;      0.0000000;   1678.9927979
        2009;           5;  24726.5566406;  12162.5849609;   4220.2011719;    717.2004395;      0.0000000;  41938.5078125;   6159.4853516;   1470.3481445;    438.6033936;    244.8169861;     24.4639282;      0.0000000;   1678.9183350
        2009;           6;  24722.3242188;  12157.3076172;   4217.0668945;    716.8562622;      0.0000000;  41936.7851562;   6187.1860352;   1470.0964355;    438.4130859;    244.6351624;     24.4521904;      0.0000000;   1678.8493652
