 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2007;           3;  16401.3261719;   2984.5659180;   2496.9387207;    433.9012146;      0.0265565;  58708.0585938;   5436.5981445;    849.3618164;     93.7312775;    126.1460114;     12.8894320;      0.0004806;   2046.7818604
        2007;           4;  16398.3417969;   2981.9445801;   2496.8676758;    432.1179504;      0.0087345;  58706.7187500;   5453.9291992;    849.2072144;     93.6489563;    126.1424179;     12.8364582;      0.0001581;   2046.7351074
        2007;           5;  16393.5781250;   2976.8745117;   2494.5400391;    429.8719177;      0.0000000;  58705.3984375;   5482.0468750;    848.9605713;     93.4897232;    126.0248260;     12.7697382;      0.0000000;   2046.6889648
        2007;           6;  16390.9863281;   2974.7617188;   2493.8615723;    432.8265991;      0.0000000;  58703.7109375;   5494.4257812;    848.8263550;     93.4233780;    125.9905472;     12.8575096;      0.0000000;   2046.6303711
        2007;           7;  16389.0820312;   2973.5898438;   2493.8242188;    437.8954773;      0.0000000;  58701.6406250;   5501.4472656;    848.7277222;     93.3865662;    125.9886627;     13.0080853;      0.0000000;   2046.5578613
        2007;           8;  16388.3593750;   2974.0239258;   2492.5168457;    438.8206482;      0.0000000;  58699.7265625;   5508.3535156;    848.6903076;     93.4002075;    125.9226151;     13.0355692;      0.0000000;   2046.4914551
        2007;           9;  16387.8183594;   2974.5361328;   2491.4123535;    439.7401428;      0.0000000;  58697.9609375;   5513.8769531;    848.6622314;     93.4162827;    125.8668213;     13.0628834;      0.0000000;   2046.4298096
        2007;          10;  16388.7187500;   2975.8024902;   2491.7500000;    440.6399231;      0.0000000;  58696.3281250;   5513.1733398;    848.7089233;     93.4560623;    125.8838730;     13.0896120;      0.0000000;   2046.3728027
        2007;          11;  16387.9843750;   2977.4736328;   2493.0229492;    441.2243652;      0.0053153;  58693.6250000;   5517.4370117;    848.6708374;     93.5085449;    125.9481735;     13.1069727;      0.0000962;   2046.2785645
        2007;          12;  16379.3164062;   2979.3339844;   2498.6469727;    439.1722717;      0.0042475;  58686.1210938;   5550.1879883;    848.2219849;     93.5669632;    126.2323074;     13.0460138;      0.0000769;   2046.0169678
