"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9175.8632812
"2","H1","Sedimentary","Low","DW_Brk",24093.6503906
"3","H1","Sedimentary","Low","DW_Brh",10078.546875
"4","H1","Sedimentary","Low","DW_Bol",177169.453125
"5","H2","Sedimentary","Low","DW_F",11120.1845703
"6","H2","Sedimentary","Low","DW_Brk",22153.4199219
"7","H2","Sedimentary","Low","DW_Brh",10791.7675781
"8","H2","Sedimentary","Low","DW_Bol",146874.078125
"9","H3","Sedimentary","Low","DW_F",11063.3417969
"10","H3","Sedimentary","Low","DW_Brk",20979.21875
"11","H3","Sedimentary","Low","DW_Brh",10398.4921875
"12","H3","Sedimentary","Low","DW_Bol",139346.0625
"13","H4","Sedimentary","Low","DW_F",11034.4648438
"14","H4","Sedimentary","Low","DW_Brk",20325.4277344
"15","H4","Sedimentary","Low","DW_Brh",10195.7070312
"16","H4","Sedimentary","Low","DW_Bol",134976.3125
"17","H5","Sedimentary","Low","DW_F",10997.7451172
"18","H5","Sedimentary","Low","DW_Brk",20026.4726562
"19","H5","Sedimentary","Low","DW_Brh",10098.2246094
"20","H5","Sedimentary","Low","DW_Bol",132960.4375
"21","H6","Sedimentary","Low","DW_F",10946.3730469
"22","H6","Sedimentary","Low","DW_Brk",19452.4902344
"23","H6","Sedimentary","Low","DW_Brh",9885.7236328
"24","H6","Sedimentary","Low","DW_Bol",129214.71875
"25","H7","Sedimentary","Low","DW_F",10881.4980469
"26","H7","Sedimentary","Low","DW_Brk",18735.6875
"27","H7","Sedimentary","Low","DW_Brh",9610.4667969
"28","H7","Sedimentary","Low","DW_Bol",124605.6875
"29","H8","Sedimentary","Low","DW_F",10806.6386719
"30","H8","Sedimentary","Low","DW_Brk",17924.6113281
"31","H8","Sedimentary","Low","DW_Brh",9277.9697266
"32","H8","Sedimentary","Low","DW_Bol",119455.78125
"33","H9","Sedimentary","Low","DW_F",10720.1845703
"34","H9","Sedimentary","Low","DW_Brk",17095.6992188
"35","H9","Sedimentary","Low","DW_Brh",8933.6992188
"36","H9","Sedimentary","Low","DW_Bol",114224.140625
"37","H10","Sedimentary","Low","DW_F",10620.0058594
"38","H10","Sedimentary","Low","DW_Brk",16283.2988281
"39","H10","Sedimentary","Low","DW_Brh",8590.7382812
"40","H10","Sedimentary","Low","DW_Bol",109119.8515625
"41","H11","Sedimentary","Low","DW_F",9838.3945312
"42","H11","Sedimentary","Low","DW_Brk",15158.8515625
"43","H11","Sedimentary","Low","DW_Brh",8196.7373047
"44","H11","Sedimentary","Low","DW_Bol",101561.421875
"45","H12","Sedimentary","Low","DW_F",7546.4677734
"46","H12","Sedimentary","Low","DW_Brk",3273.861084
"47","H12","Sedimentary","Low","DW_Brh",2044.8945312
"48","H12","Sedimentary","Low","DW_Bol",25634.9707031
"49","H13","Sedimentary","Low","DW_F",6556.1953125
"50","H13","Sedimentary","Low","DW_Brk",2384.380127
"51","H13","Sedimentary","Low","DW_Brh",1512.5355225
"52","H13","Sedimentary","Low","DW_Bol",19694.3476562
"53","H1","Sedimentary","High","DW_F",9086.6328125
"54","H1","Sedimentary","High","DW_Brk",27938.2519531
"55","H1","Sedimentary","High","DW_Brh",11281.9355469
"56","H1","Sedimentary","High","DW_Bol",202017.3125
"57","H2","Sedimentary","High","DW_F",10565.8613281
"58","H2","Sedimentary","High","DW_Brk",6080.9541016
"59","H2","Sedimentary","High","DW_Brh",4067.3598633
"60","H2","Sedimentary","High","DW_Bol",44373
"61","H3","Sedimentary","High","DW_F",10422.0322266
"62","H3","Sedimentary","High","DW_Brk",4611.1962891
"63","H3","Sedimentary","High","DW_Brh",2948.4707031
"64","H3","Sedimentary","High","DW_Bol",39258.0585938
"65","H4","Sedimentary","High","DW_F",10350.5546875
"66","H4","Sedimentary","High","DW_Brk",4332.300293
"67","H4","Sedimentary","High","DW_Brh",2975.7578125
"68","H4","Sedimentary","High","DW_Bol",40020.1835938
"69","H5","Sedimentary","High","DW_F",10073.7167969
"70","H5","Sedimentary","High","DW_Brk",4056.0256348
"71","H5","Sedimentary","High","DW_Brh",3558.7451172
"72","H5","Sedimentary","High","DW_Bol",41523.3789062
"73","H6","Sedimentary","High","DW_F",10011.7998047
"74","H6","Sedimentary","High","DW_Brk",3990.0449219
"75","H6","Sedimentary","High","DW_Brh",3594.2827148
"76","H6","Sedimentary","High","DW_Bol",41114.6289062
"77","H7","Sedimentary","High","DW_F",10014.0898438
"78","H7","Sedimentary","High","DW_Brk",3958.0913086
"79","H7","Sedimentary","High","DW_Brh",3556.0048828
"80","H7","Sedimentary","High","DW_Bol",40913.4570312
"81","H8","Sedimentary","High","DW_F",10020.9384766
"82","H8","Sedimentary","High","DW_Brk",3942.5644531
"83","H8","Sedimentary","High","DW_Brh",3530.682373
"84","H8","Sedimentary","High","DW_Bol",40817.4453125
"85","H9","Sedimentary","High","DW_F",10027.7548828
"86","H9","Sedimentary","High","DW_Brk",3930.0810547
