"";"SO4";"PO4";"Cl";"group_id";"Date"
"17699";46,371273;318,293457;36,6588707;"3";2487-11-01
"17700";46,3094978;318,293457;36,2558479;"3";2487-12-01
"17701";46,2476921;318,293457;35,5960274;"3";2488-01-01
"17702";46,2476921;318,293457;35,4349937;"3";2488-02-01
"17703";46,2476921;318,293457;35,1853943;"3";2488-03-01
"17704";46,3094978;318,293457;35,5111542;"3";2488-04-01
"17705";46,371273;318,293457;36,0029106;"3";2488-05-01
"17706";46,4330025;318,293457;36,4958954;"3";2488-06-01
"17707";46,4946899;318,293457;37,1189194;"3";2488-07-01
"17708";46,5563431;318,293457;37,3954811;"3";2488-08-01
"17709";46,5563431;318,293457;37,3954811;"3";2488-09-01
"17710";46,5563431;318,293457;37,3954811;"3";2488-10-01
"17711";46,4330025;318,293457;36,0747604;"3";2488-11-01
"17712";46,371273;318,293457;35,8482285;"3";2488-12-01
"17713";46,2476921;318,293457;35,3689728;"3";2489-01-01
"17714";46,2476921;318,293457;35,4349937;"3";2489-02-01
"17715";46,1858406;318,293457;35,721447;"3";2489-03-01
"17716";46,1858406;318,293457;36,0212021;"3";2489-04-01
"17717";46,1858406;318,293457;36,3883133;"3";2489-05-01
"17718";46,2476921;318,293457;36,9424248;"3";2489-06-01
"17719";46,3094978;318,293457;37,4964256;"3";2489-07-01
"17720";46,3094978;318,293457;37,9955444;"3";2489-08-01
"17721";46,3094978;318,293457;38,0041199;"3";2489-09-01
"17722";46,3094978;318,293457;37,986824;"3";2489-10-01
"17723";46,1858406;318,293457;35,7104187;"3";2489-11-01
"17724";46,1239471;318,293457;36,0921936;"3";2489-12-01
"17725";45,9380302;318,293457;34,7932701;"3";2490-01-01
"17726";45,9380302;318,293457;34,6824341;"3";2490-02-01
"17727";45,9380302;318,293457;34,9325638;"3";2490-03-01
"17728";45,9380302;318,293457;35,2438049;"3";2490-04-01
"17729";45,9380302;318,293457;35,6311646;"3";2490-05-01
"17730";45,9380302;318,293457;36,1763573;"3";2490-06-01
"17731";46,0000458;318,293457;36,8121185;"3";2490-07-01
"17732";46,0620232;318,293457;37,4167213;"3";2490-08-01
"17733";46,0620232;318,293457;37,4374123;"3";2490-09-01
"17734";46,0620232;318,293457;37,4374123;"3";2490-10-01
"17735";45,8759804;318,293457;36,4160576;"3";2490-11-01
"17736";45,8138847;318,293457;36,2712173;"3";2490-12-01
"17737";45,6273575;318,293457;35,584156;"3";2491-01-01
"17738";45,5650978;318,293457;35,460743;"3";2491-02-01
"17739";45,5650978;318,293457;35,2148209;"3";2491-03-01
"17740";45,5650978;318,293457;35,3554688;"3";2491-04-01
"17741";45,5650978;318,293457;35,721447;"3";2491-05-01
"17742";45,5650978;318,293457;36,1094208;"3";2491-06-01
"17743";45,6273575;318,293457;36,7301064;"3";2491-07-01
"17744";45,6895752;318,293457;37,3046684;"3";2491-08-01
"17745";45,6895752;318,293457;37,3283005;"3";2491-09-01
"17746";45,6895752;318,293457;37,3046684;"3";2491-10-01
"17747";45,440464;318,293457;35,9178009;"3";2491-11-01
"17748";45,3156586;318,293457;35,7648125;"3";2491-12-01
"17749";45,1281548;318,293457;35,3823624;"3";2492-01-01
"17750";45,0655594;318,293457;35,460743;"3";2492-02-01
"17751";45,0029373;318,293457;35,7860756;"3";2492-03-01
"17752";45,0029373;318,293457;36,0921936;"3";2492-04-01
"17753";45,0655594;318,293457;36,443222;"3";2492-05-01
"17754";45,0655594;318,293457;36,9067802;"3";2492-06-01
"17755";45,1281548;318,293457;37,4772415;"3";2492-07-01
"17756";45,1906891;318,293457;37,9689407;"3";2492-08-01
"17757";45,1906891;318,293457;37,9504356;"3";2492-09-01
"17758";45,1906891;318,293457;38,0679321;"3";2492-10-01
"17759";44,9402695;318,293457;35,6541901;"3";2492-11-01
"17760";44,8148079;318,293457;36,0392685;"3";2492-12-01
"17761";44,5633965;318,293457;34,7200203;"3";2493-01-01
"17762";44,5633965;318,293457;34,6052666;"3";2493-02-01
