"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2183397,5;447881,0488281;105641,4560548;275911,142578;179681,8085937;87328,720703;328809,814453;57716,2440184;18666,0434263;46448,1785889;19335,6363525;13317,220787;328809,8261718;59550,8720093;19738,7875443;60870,1782225;19335,6352387;13317,2212525;-0,0117188000585884;-1834,6279909;-1072,744118;-14421,9996336;0,00111379999725614;-0,000465499999336316
"2";2006;1780995,6171875;421423,1406251;91106,7902833;228280,2089845;169451,3710939;72181,0041504;333322,6936032;56796,2790528;18657,3362428;46540,1702882;20085,2417602;13359,6549837;333322,7075198;58992,4370117;19941,4655837;63804,0888672;20085,2388763;13359,6552277;-0,0139165999717079;-2196,1579589;-1284,1293409;-17263,918579;0,00288389999695937;-0,000243999998929212
"3";2007;1394072,9023438;396947,0039061;77281,7280273;183079,897461;159854,6982422;57699,8703613;330199,0075684;54755,0150147;18403,4360048;45963,5592043;20184,5445709;13151,7069246;330199,0039063;57150,3900453;19804,0594482;64793,6026613;20184,5409394;13151,7064363;0,00366210000356659;-2395,3750306;-1400,6234434;-18830,043457;0,00363149999975576;0,000488299998323782
"4";2008;919135,7011719;367471,2988282;61416,9586181;104131,4096679;149137,2128906;41572,4074706;330305,6936032;54296,4302978;18360,3553161;45897,3773191;20482,890274;13106,594757;324520,9907223;56901,4530791;19883,5640181;60714,0512697;20482,887787;13106,5955353;5784,7028809;-2605,0227813;-1523,208702;-14816,6739506;0,00248699999792734;-0,000778300000092713
"5";2009;616965,783203;403000,4277343;62187,5556641;41968,5205078;168599,1894532;38576,7731932;331105,3146973;53616,9431154;18353,4825745;45961,3226317;20932,9685366;13089,3453828;302164,7446289;56397,1910707;19979,1379396;58636,7220458;20932,9663695;13089,3451996;28940,5700684;-2780,2479553;-1625,6553651;-12675,3994141;0,00216709999949671;0,000183199999810313
"6";2010;548244,8203124;496943,8046875;82115,4521484;39980,0202637;203602,5654296;50824,3105468;330579,4763185;51446,4490965;18279,6972655;45818,847656;18997,7761686;13023,3672178;302207,2050782;54342,561493;19973,0972137;58964,0334473;18997,7745818;13023,3669738;28372,2712403;-2896,1123965;-1693,3999482;-13145,1857913;0,00158680000095046;0,000243999998929212
"7";2011;464332,6943359;556129,8906249;99538,3969727;37872,140152;213872,9667969;59919,2302247;329392,2919924;43560,0950928;18163,2895204;45561,9576418;16552,3190918;12923,9764864;302849,9035646;46637,8110046;19962,8793488;59330,1479491;16552,3171081;12923,9772188;26542,3884278;-3077,7159118;-1799,5898284;-13768,1903073;0,00198369999998249;-0,000732399999833433
"8";2012;438328,425293;562610,2851562;118684,6088865;36183,7192689;215522,6464844;70374,6791992;327553,843994;42339,5167237;18037,7133484;45243,3638917;16123,877655;12824,5847168;300184,4404294;45590,5046082;19938,6252899;60224,2879638;16123,8760223;12824,584961;27369,4035646;-3250,9878845;-1900,9119415;-14980,9240721;0,00163269999939075;-0,000244200000452111
"9";2013;436745,4042969;564310,921875;137231,0576171;36140,8811188;215675,9375001;80357,7939453;325474,6921387;41516,7701416;17879,6018679;44876,5379639;16083,2297823;12697,0906448;298880,9721677;44942,591339;19882,745697;61122,8641357;16083,2277373;12697,0911789;26593,719971;-3425,8211974;-2003,1438291;-16246,3261718;0,00204500000108965;-0,000534099999640603
"10";2014;444894,1904297;566168,7578126;154606,0292969;34792,9333649;216075,9228515;90189,864258;324556,9069824;41015,3437501;17593,3913268;44706,015625;16020,7224426;12638,3464281;299473,6921386;44613,5015564;19697,2984315;61853,3828126;16020,7201844;12638,3468169;25083,2148438;-3598,1578063;-2103,9071047;-17147,3671876;0,00225819999832311;-0,000388800001019263
