"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"35585";0,1047293;0,0873526;0;4,7843742;0,3045516;234,8620758;"6";2405-05-01
"35586";0,07202;0,0703079;0;4,7389364;0,3366644;234,8654633;"6";2405-06-01
"35587";0,0489306;0,0556021;0;4,6835351;0,4209984;234,8426971;"6";2405-07-01
"35588";0,0401866;0,0594733;0;4,9199653;0,3189169;234,7715302;"6";2405-08-01
"35589";0,0238622;0,0602969;0;4,9959397;0,2121552;234,760437;"6";2405-09-01
"35590";0,030362;0,0678708;0,0002033;5,0582852;0,1048247;234,7566528;"6";2405-10-01
"35591";0,0767723;0,0931434;0,014938;5,0975313;0,1014138;234,926712;"6";2405-11-01
"35592";0,0978915;0,1033637;0,0214746;5,1383877;0,0856783;235,0857544;"6";2405-12-01
"35593";0,1106924;0,1084862;0,0258924;5,1212339;0,1215397;235,303833;"6";2406-01-01
"35594";0,111075;0,1064008;0,0262652;5,0868764;0,1235054;235,37117;"6";2406-02-01
"35595";0,117563;0,1110492;0,0278801;5,1045413;0,1453774;235,450531;"6";2406-03-01
"35596";0,1061156;0,1080399;0,0198905;5,1008863;0,0585313;235,5103302;"6";2406-04-01
"35597";0,0764833;0,0859018;0;4,9848475;0,0133016;235,5913849;"6";2406-05-01
"35598";0,0442344;0,0681209;0;4,9353981;0,0366274;235,6331177;"6";2406-06-01
"35599";0,0222376;0,0526935;0;4,8753757;0,1160312;235,6415863;"6";2406-07-01
"35600";0,0056091;0,0548169;0;5,1177387;0,0008672;235,5804138;"6";2406-08-01
"35601";0;0,0543031;0;5,2008648;0;235,5734711;"6";2406-09-01
"35602";0,00478;0,0613061;0,0002044;5,2643328;0;235,5709534;"6";2406-10-01
"35603";0,0435877;0,0886256;0,0112649;5,2796841;0;235,75737;"6";2406-11-01
"35604";0,0643661;0,1003444;0,0164209;5,305481;0;235,9240112;"6";2406-12-01
"35605";0,0789732;0,1080374;0,020062;5,276288;0,0386517;236,1453857;"6";2407-01-01
"35606";0,0810366;0,1068788;0,020457;5,2412624;0;236,2272339;"6";2407-02-01
"35607";0,0872993;0,1115913;0,0217365;5,2417555;0;236,3314209;"6";2407-03-01
"35608";0,0707617;0,1060735;0,0053457;5,2221456;0;236,4005127;"6";2407-04-01
"35609";0,0354915;0,0809732;0;5,0945597;0;236,484375;"6";2407-05-01
"35610";0;0,0544486;0;5,0385737;0;236,5418854;"6";2407-06-01
"35611";0;0,0334252;0;4,9725356;0;236,6017303;"6";2407-07-01
"35612";0;0,0239875;0;5,2210593;0;236,5420074;"6";2407-08-01
"35613";0;0,0095254;0;5,3122354;0;236,5352631;"6";2407-09-01
"35614";0,005876;0,0129412;0,0002113;5,3703661;0;236,5356598;"6";2407-10-01
"35615";0,007079;0,0630992;0,0020386;5,3754344;0;236,7268066;"6";2407-11-01
"35616";0,009099;0,0836642;0,0031134;5,3772726;0;236,9056244;"6";2407-12-01
"35617";0,0130546;0,0957766;0,0043572;5,2988482;0,0245582;237,158844;"6";2408-01-01
"35618";0,0150858;0,094609;0,0045703;5,2436199;0;237,2510681;"6";2408-02-01
"35619";0,0187592;0,0999163;0,0051279;5,2256622;0;237,3661652;"6";2408-03-01
"35620";0,004516;0,0958638;0;5,2106843;0;237,4347687;"6";2408-04-01
"35621";0;0,0597261;0;5,081346;0;237,5184784;"6";2408-05-01
"35622";0;0,037763;0;5,0440531;0;237,5688782;"6";2408-06-01
"35623";0;0,0214199;0;4,9877982;0;237,6244659;"6";2408-07-01
"35624";0;0,0129224;0;5,2395463;0;237,5626068;"6";2408-08-01
"35625";0;0,0011691;0;5,3206387;0;237,5592346;"6";2408-09-01
"35626";0,0059681;0,0039295;0,0001967;5,3792405;0;237,5593109;"6";2408-10-01
"35627";0,0057414;0,0504073;0,0001121;5,3305101;0;237,7658997;"6";2408-11-01
"35628";0,0063256;0,0716549;0,0001112;5,3254128;0;237,9415741;"6";2408-12-01
"35629";0,0077503;0,0864384;0,0001295;5,2577252;0,0302933;238,1810608;"6";2409-01-01
"35630";0,0094738;0,0863915;0,0001951;5,2058039;0;238,2692413;"6";2409-02-01
"35631";0,0118419;0,0929966;0,0002192;5,1940694;0;238,3800354;"6";2409-03-01
"35632";0;0,0893174;0;5,1790175;0;238,4476929;"6";2409-04-01
