"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"13";0,0293583;0,0329945;0,0606858;0,0082057;0,2104423;0,3246513;0,0031308;0,0253774;0,0316507;0,0584206;0,006895;0,1936932;0,3011498;0,0032724;0,0263662;0,0345534;0,0636222;0,0068293;0,2058543;0,3218709;0,0042863;0,0682606;0,0646347;0,037655;0,0293315;0,2441707;0,516668;0,0088358;0,0622711;0,0584332;0,0335784;0,025501;0,2158379;0,4596317;0,0087591;0,0586502;0,0552798;0,0319205;0,0243695;0,2055919;0,4368508;0,0080219;0,0067664;0,0064715;0,0039158;0,0031889;0,0256273;0,0534855;0,0007837;0,0004943;0,0004801;0,0002959;0,0002365;0,0019185;0,0039798;5,71e-05;2005-11-01;0,2775445
"14";0,025306;0,0278777;0,0511649;0,006997;0,1786372;0,2754329;0,0028778;0,0223075;0,024604;0,04517;0,0062154;0,1579416;0,2434268;0,0024069;0,024993;0,0272008;0,050229;0,0068869;0,1764297;0,2716659;0,0028244;0,0492466;0,0456397;0,0269088;0,0235002;0,1810209;0,3801734;0,0057874;0,0475188;0,0438656;0,0253694;0,021681;0,1696254;0,3589848;0,0058348;0,045716;0,0423078;0,0245016;0,0207868;0,1634827;0,3458017;0,0056431;0,0060001;0,0056145;0,0033283;0,0028317;0,0221406;0,0464912;0,0007001;0,0004272;0,0004066;0,0002472;0,0002073;0,0016301;0,0033943;4,89e-05;2005-12-01;0,2215152
"15";0,0263791;0,0286662;0,0526252;0,0073272;0,1847951;0,2846009;0,0029123;0,0224204;0,0240595;0,0440486;0,0063018;0,155943;0,2398653;0,0022823;0,0251027;0,0259904;0,0478074;0,0070378;0,1717439;0,2634487;0,0025392;0,0403217;0,0375979;0,0225887;0,0199854;0,1516449;0,3167961;0,0045389;0,0410743;0,0376131;0,022067;0,0199297;0,1497922;0,3152685;0,0047242;0,039911;0,0365834;0,021459;0,0193086;0,1455666;0,3063443;0,0046116;0,0047314;0,0044148;0,0026418;0,0023086;0,0176669;0,0369819;0,0005374;0,0003489;0,0003318;0,0002021;0,0001715;0,0013337;0,0027769;3,94e-05;2006-01-01;0,2002895
"16";0,0233972;0,0250658;0,0457593;0,006607;0,1622969;0,2496149;0,0023162;0,0211016;0,0228949;0,0419969;0,0059114;0,1478295;0,2275572;0,0022029;0,0235902;0,0245878;0,0452836;0,0066041;0,1621004;0,2487627;0,002415;0,040273;0,0373033;0,0222264;0,0198047;0,1496386;0,3135819;0,004548;0,0385911;0,0353816;0,0207857;0,0187328;0,1408222;0,2964171;0,0044134;0,0360108;0,0331717;0,019618;0,0175853;0,1325781;0,2784294;0,0041002;0,0040061;0,0037713;0,0022769;0,0019641;0,0151163;0,0315725;0,0004515;0,0003073;0,0002935;0,0001792;0,0001509;0,0011775;0,0024511;3,46e-05;2006-02-01;0,1872773
"17";0,0287425;0,0319678;0,0581943;0,0081365;0,2032048;0,3133811;0,0028636;0,0261466;0,0289855;0,0532483;0,0073284;0,1856416;0,2861346;0,0027443;0,029199;0,0311597;0,0575001;0,0081753;0,2036156;0,3129181;0,0030122;0,0492399;0,045815;0,0273514;0,024048;0,1831798;0,3838466;0,0055738;0,0466719;0,0430088;0,025359;0,0225729;0,1708585;0,3594633;0,0053232;0,0419084;0,0389861;0,0232716;0,0204711;0,1558552;0,3266251;0,0047404;0,0032256;0,003256;0,0019864;0,0015061;0,0125907;0,0261946;0,0003712;0,0003155;0,0003077;0,0001897;0,0001536;0,0012267;0,0025469;3,56e-05;2006-03-01;0,2254494
"18";0,0294211;0,0425874;0,0737213;0,008231;0,2360022;0,3724201;0,0035537;0,036094;0,0428608;0,0794323;0,010044;0,268158;0,4150363;0,0040662;0,0410058;0,0466691;0,0870117;0,0113906;0,2986628;0,4607187;0,0045377;0,0697971;0,0651784;0,038705;0,0331792;0,2567631;0,5399974;0,0079536;0,0638721;0,0593508;0,0349986;0,0301907;0,2328131;0,4908187;0,0072946;0,0565444;0,0530885;0,0317569;0,027042;0,2098338;0,4403611;0,0064155;0,0041705;0,0041186;0,0025446;0,0019894;0,0162282;0,0337148;0,0004769;0,0003854;0,0003737;0,0002297;0,000186;0,0014855;0,00309;4,38e-05;2006-04-01;0,3012904
"19";0,0400102;0,0632337;0,1092817;0,0110588;0,3390523;0,5384932;0,0053274;0,0497938;0,0654164;0,1226061;0,0136446;0,3964885;0,617349;0,0062955;0,0574009;0,0700906;0,1320624;0,0158591;0,439503;0,6805238;0,0066706;0,1096521;0,1029032;0,0608608;0,0507456;0,3991691;0,8426892;0,0124697;0,0990151;0,0929216;0,0547848;0,045478;0,3592081;0,7590206;0,0113256;0,0819398;0,0781537;0,0472018;0,0384292;0,3061779;0,6419894;0,0093221;0,0065175;0,0063476;0,0039041;0,0030831;0,0250134;0,0521014;0,0007491;0,0005685;0,0005503;0,0003374;0,0002696;0,0021737;0,0045303;6,52e-05;2006-05-01;0,4448979
"20";0,0689583;0,0928549;0,1714394;0,0192787;0,5516274;0,8609165;0,0080413;0,0579092;0,0822706;0,1552289;0,0156939;0,4869707;0,7616532;0,0079134;0,0672591;0,0852748;0,161632;0,0186335;0,5298709;0,8217788;0,0077512;0,1280026;0,1227452;0,0737734;0,0583487;0,4759334;0,9995864;0,0146629;0,1250883;0,1196913;0,070693;0,0547207;0,4537796;0,9596381;0,0147134;0,0974561;0,0943742;0,0576499;0,0451705;0,3694609;0,7719799;0,0111618;0,0085265;0,0082583;0,0050579;0,0039993;0,0325784;0,0679007;0,0009804;0,0007357;0,0007101;0,0004333;0,0003444;0,0027983;0,0058387;8,45e-05;2006-06-01;0,5539358
"21";0,0716538;0,1142482;0,2150535;0,018732;0,6469849;1,0205725;0,0118978;0,0598099;0,0921336;0,1741219;0,0159401;0,5310715;0,8349494;0,0089969;0,0798207;0,1040788;0,1983435;0,0219542;0,6416829;0,9966962;0,0096963;0,152331;0,1463873;0,0880747;0,0690854;0,5659391;1,1892724;0,0173735;0,1463864;0,140434;0,0833386;0,0643538;0,5337654;1,1276311;0,0169828;0,1116916;0,1090481;0,0670536;0,0514828;0,4262918;0,889414;0,0128342;0,0082037;0,0082393;0,0051738;0,0037984;0,032415;0,0670398;0,0009707;0,0007637;0,0007546;0,0004697;0,0003565;0,0029836;0,0061847;8,88e-05;2006-07-01;0,6306608
"22";0,0835841;0,128742;0,2452737;0,0225968;0,7488971;1,1755294;0,0116552;0,0671495;0,1055631;0,1998082;0,0177804;0,6039135;0,9507395;0,0105304;0,0910422;0,1194733;0,228309;0,0250426;0,7356507;1,1428262;0,0111359;0,1684933;0,1625789;0,0985388;0,0767641;0,6297881;1,3216223;0,019109;0,1647627;0,1582603;0,094543;0,0733187;0,6050445;1,2760751;0,0187866;0,1221931;0,1205101;0,0746422;0,0558441;0,4692573;0,9778743;0,0141629;0,00897;0,0091161;0,0057482;0,0040869;0,0355826;0,0735565;0,0010777;0,0008822;0,0008737;0,0005442;0,0004088;0,0034408;0,0071377;0,0001026;2006-08-01;0,7070771
"23";0,0627016;0,083977;0,1563081;0,0175193;0,5055485;0,7878409;0,0070377;0,0521236;0,0792466;0,1491529;0,0138463;0,4570166;0,7184292;0,0079417;0,069112;0,0870911;0,1650564;0,0191278;0,5418186;0,8400736;0,0080381;0,1242049;0,1209993;0,0742445;0,0572281;0,4718743;0,9858068;0,0142671;0,1274617;0,1223596;0,0736972;0,0580972;0,4739781;0,9957181;0,0145089;0,0936079;0,0931327;0,0580113;0,0428621;0,3630396;0,754648;0,0109913;0,0083051;0,008518;0,0053771;0,003743;0,0330388;0,0682801;0,001011;0,000867;0,0008567;0,0005326;0,0004014;0,0033695;0,0069964;0,0001007;2006-09-01;0,5383838
"24";0,0334244;0,0420364;0,0764678;0,0094258;0,256074;0,3980967;0,003409;0,0308392;0,0437111;0,0810694;0,0082079;0,2560063;0,4013464;0,0045174;0,0407258;0,0480856;0,0899104;0,0112928;0,3046131;0,4708661;0,0045331;0,0737812;0,0712674;0,0436256;0,0349538;0,281639;0,5871456;0,0084626;0,0759481;0,0721119;0,0433027;0,0355894;0,283365;0,5939797;0,0087205;0,0573315;0,0563525;0,0349378;0,0271122;0,2230052;0,4628169;0,0066479;0,0061854;0,0063562;0,0040033;0,0028184;0,0247278;0,0510494;0,0007504;0,0006716;0,000659;0,0004083;0,0003157;0,0026095;0,0054158;7,78e-05;2006-10-01;0,3189072
"25";0,029965;0,03396;0,0625715;0,0083126;0,2157488;0,3331099;0,0033694;0,0270581;0,0315895;0,0583227;0,0074768;0,1985774;0,3071913;0,0031345;0,0308681;0,0337548;0,0625585;0,0085796;0,2189291;0,3369872;0,0033433;0,056249;0,0530359;0,0319429;0,0271685;0,2112899;0,4418422;0,0064019;0,0557914;0,0517801;0,030568;0,0265542;0,2041186;0,4297194;0,0063944;0,0541848;0,0502949;0,0296768;0,0257502;0,1981511;0,417196;0,0062216;0,0065568;0,0062472;0,0037845;0,003126;0,024698;0,0516526;0,0007462;0,0005099;0,0004915;0,0003006;0,0002432;0,0019454;0,0040563;5,83e-05;2006-11-01;0,2611831
"26";0,0254709;0,0274633;0,0503699;0,0070976;0,1776677;0,2734503;0,0027432;0,0225132;0,0245269;0,0450011;0,0062903;0,1581629;0,2435515;0,0023847;0,0251816;0,0261936;0,0482217;0,0070473;0,1728726;0,2652648;0,002574;0,0428503;0,0400472;0,024076;0,0211439;0,1611268;0,336679;0,0048296;0,0424051;0,0389932;0,0229991;0,020649;0,1555223;0,3269522;0,0048334;0,0409337;0,0376629;0,0222284;0,0199351;0,1502653;0,3158191;0,0046678;0,0052805;0,0049718;0,0029929;0,0025598;0,0197937;0,0414254;0,0005965;0,0003946;0,0003784;0,000231;0,0001915;0,0015074;0,0031415;4,46e-05;2006-12-01;0,2050299
"27";0,0259587;0,0277489;0,0508289;0,0072826;0,1801545;0,2770504;0,0026723;0,0224592;0,0243134;0,0445802;0,0062887;0,1571514;0,2418794;0,0023441;0,0250282;0,0259559;0,0477501;0,0070153;0,1714332;0,2629997;0,0025343;0,0408732;0,0380077;0,0227732;0,0202397;0,1531157;0,3201928;0,0045981;0,0391216;0,0359425;0,0212398;0,0191983;0,1439137;0,3022849;0,004436;0,0372377;0,0342896;0,0203215;0,0183143;0,1375025;0,2885464;0,0042146;0,004383;0,0041252;0,0024897;0,0021501;0,0165197;0,0345199;0,0004922;0,0003371;0,0003218;0,0001962;0,0001654;0,0012886;0,0026845;3,78e-05;2007-01-01;0,1953987
"28";0,0243494;0,0261517;0,0479617;0,006815;0,1694676;0,260709;0,0025545;0,0210711;0,022867;0,041936;0,0059065;0,1476382;0,2272624;0,0021901;0,0233052;0,0242983;0,0446931;0,006542;0,1600634;0,2456351;0,0023474;0,0373644;0,0349918;0,0210809;0,0184805;0,140812;0,2941319;0,0041898;0,0367548;0,033849;0,0200378;0,0180127;0,1353641;0,2843112;0,0041547;0,0351914;0,0324578;0,0192491;0,0172679;0,1299128;0,2727017;0,0039742;0,0039813;0,0037465;0,0022601;0,001952;0,01499;0,0313346;0,0004465;0,000303;0,0002898;0,0001768;0,0001486;0,0011589;0,0024145;3,39e-05;2007-02-01;0,1823206
"29";0,0251656;0,0297444;0,0532254;0,0071603;0,1824328;0,2828587;0,002501;0,0262115;0,0293477;0,0540032;0,0073156;0,1873782;0,289017;0,0028271;0,0295731;0,0316451;0,0584866;0,0082506;0,206739;0,317787;0,0031164;0,049918;0,0463325;0,0275878;0,0243517;0,1850205;0,3880746;0,005649;0,0457996;0,0422409;0,0249631;0,0222417;0,1680615;0,3534074;0,0051931;0,0417177;0,0387846;0,0231422;0,0203961;0,1549544;0,324888;0,0047014;0,0043858;0,0041585;0,0025221;0,0021461;0,016623;0,0346999;0,0004922;0,0003476;0,0003327;0,0002031;0,00017;0,0013293;0,0027695;3,9e-05;2007-03-01;0,2231189
"30";0,035602;0,0457341;0,0822629;0,0100476;0,2718193;0,4238243;0,0038852;0,0357927;0,0436132;0,0810099;0,0098832;0,2705195;0,4194358;0,0042338;0,0410488;0,047263;0,0882455;0,011356;0,3013929;0,4652958;0,0046539;0,0698191;0,0650795;0,0385952;0,0332273;0,2562121;0,5392374;0,0079292;0,0616416;0,0573969;0,0339924;0,0293077;0,2258024;0,475455;0,0070027;0,0502633;0,0479177;0,0290633;0,0241221;0,1896119;0,396488;0,0056864;0,0047119;0,0045427;0,0027811;0,0022744;0,0180467;0,0375963;0,0005341;0,0003829;0,000371;0,0002277;0,0001845;0,0014717;0,0030641;4,34e-05;2007-04-01;0,2992623
"31";0,0548511;0,0719483;0,1316715;0,0153869;0,4290277;0,6689435;0,0062277;0,0493573;0,0674548;0,1264283;0,0133534;0,4024419;0,6284978;0,0067485;0,0576958;0,0730227;0,1378747;0,0157493;0,4519766;0,701622;0,0072308;0,1102107;0,103342;0,0611038;0,0510699;0,4009241;0,8465719;0,0125112;0,0979252;0,091912;0,0542485;0,0450805;0,3557189;0,7513807;0,0111829;0,0780097;0,0747931;0,0453837;0,0365994;0,2929515;0,6135841;0,0088881;0,0068187;0,0065867;0,0040317;0,0032348;0,0260159;0,0542493;0,0007811;0,0005909;0,0005674;0,0003456;0,0002804;0,0022395;0,0046775;6,75e-05;2007-05-01;0,4554594
"32";0,0733235;0,099629;0,1879175;0,0202269;0,6003171;0,9357181;0,0089791;0,046772;0,0741814;0,1373996;0,0118399;0,413501;0,6542734;0,0087988;0,0637356;0,0899607;0,1711113;0,0170879;0,537654;0,8401054;0,0089881;0,1339421;0,1271836;0,075682;0,0609604;0,49059;1,0345932;0,0152645;0,1229107;0,1165928;0,0689668;0,0552606;0,446748;0,9441707;0,0141022;0,0903612;0,0881417;0,0541406;0,0417937;0,3438443;0,7180619;0,0104171;0,0078937;0,0077217;0,0047681;0,0037024;0,0304524;0,0633314;0,000913;0,0006761;0,0006589;0,0004057;0,0003173;0,0025989;0,0054095;7,8e-05;2007-06-01;0,5396149
