"";"SO4";"PO4";"Cl";"group_id";"Date"
"11105";19,4048862;350,1469421;5,2434001;"2";2434-05-01
"11106";19,292635;350,1469421;5,4007692;"2";2434-06-01
"11107";19,292635;350,1469421;5,7297144;"2";2434-07-01
"11108";19,236454;350,1469421;6,10637;"2";2434-08-01
"11109";19,1802387;350,1469421;6,10637;"2";2434-09-01
"11110";19,1521149;350,1469421;6,0896759;"2";2434-10-01
"11111";19,292635;350,1469421;5,580533;"2";2434-11-01
"11112";19,3768349;350,1469421;5,5856433;"2";2434-12-01
"11113";19,4609604;350,1469421;5,334404;"2";2435-01-01
"11114";19,4889812;350,1469421;5,3952994;"2";2435-02-01
"11115";19,5450058;350,1469421;5,5907435;"2";2435-03-01
"11116";19,5450058;350,1469421;5,7681012;"2";2435-04-01
"11117";19,4889812;350,1469421;6,0044379;"2";2435-05-01
"11118";19,3768349;350,1469421;6,2200856;"2";2435-06-01
"11119";19,3487778;350,1469421;6,6259627;"2";2435-07-01
"11120";19,292635;350,1469421;7,0977645;"2";2435-08-01
"11121";19,236454;350,1469421;7,0977645;"2";2435-09-01
"11122";19,2083511;350,1469421;7,0552893;"2";2435-10-01
"11123";19,3487778;350,1469421;5,1012063;"2";2435-11-01
"11124";19,4609604;350,1469421;5,8152952;"2";2435-12-01
"11125";19,5450058;350,1469421;4,7943673;"2";2436-01-01
"11126";19,5730019;350,1469421;4,7400594;"2";2436-02-01
"11127";19,6289692;350,1469421;4,9961066;"2";2436-03-01
"11128";19,6289692;350,1469421;5,131413;"2";2436-04-01
"11129";19,5730019;350,1469421;5,289269;"2";2436-05-01
"11130";19,4609604;350,1469421;5,5288858;"2";2436-06-01
"11131";19,4609604;350,1469421;5,8799362;"2";2436-07-01
"11132";19,4048862;350,1469421;6,2749572;"2";2436-08-01
"11133";19,3487778;350,1469421;6,2749572;"2";2436-09-01
"11134";19,3207092;350,1469421;6,3057408;"2";2436-10-01
"11135";19,4609604;350,1469421;5,9694972;"2";2436-11-01
"11136";19,5730019;350,1469421;5,9340563;"2";2436-12-01
"11137";19,6569424;350,1469421;5,367785;"2";2437-01-01
"11138";19,6849022;350,1469421;5,1731815;"2";2437-02-01
"11139";19,7128563;350,1469421;5,0522151;"2";2437-03-01
"11140";19,6849022;350,1469421;5,1434088;"2";2437-04-01
"11141";19,6289692;350,1469421;5,2434001;"2";2437-05-01
"11142";19,5169983;350,1469421;5,4007692;"2";2437-06-01
"11143";19,5169983;350,1469421;5,7297144;"2";2437-07-01
"11144";19,4609604;350,1469421;6,10637;"2";2437-08-01
"11145";19,4048862;350,1469421;6,10637;"2";2437-09-01
"11146";19,3487778;350,1469421;6,0896759;"2";2437-10-01
"11147";19,4889812;350,1469421;5,580533;"2";2437-11-01
"11148";19,5730019;350,1469421;5,5856433;"2";2437-12-01
"11149";19,6849022;350,1469421;5,334404;"2";2438-01-01
"11150";19,7128563;350,1469421;5,3952994;"2";2438-02-01
"11151";19,7687378;350,1469421;5,5907435;"2";2438-03-01
"11152";19,7687378;350,1469421;5,7681012;"2";2438-04-01
"11153";19,7128563;350,1469421;6,0044379;"2";2438-05-01
"11154";19,6009903;350,1469421;6,2200856;"2";2438-06-01
