 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2007;           3;  29833.9570312;  17541.9121094;   4035.4309082;     66.8361282;      0.0011829;  18639.1464844;   1477.3448486;   1020.5211792;    363.8963623;    134.6644592;      1.3114498;      0.0000141;    429.2371521
        2007;           4;  29841.6386719;  17541.4921875;   4011.5246582;     68.1053543;      0.0000000;  18637.0957031;   1491.5755615;   1020.7839966;    363.8876648;    133.8666992;      1.3363543;      0.0000000;    429.1899414
        2007;           5;  29836.6406250;  17537.9609375;   4005.2827148;     73.4939041;      0.0000000;  18634.4179688;   1517.5236816;   1020.6130981;    363.8143921;    133.6584015;      1.4420875;      0.0000000;    429.1282654
        2007;           6;  29828.3417969;  17535.5390625;   4007.1574707;     81.3998108;      0.0000000;  18630.3046875;   1541.4302979;   1020.3292236;    363.7641602;    133.7209473;      1.5972164;      0.0000000;    429.0335083
        2007;           7;  29820.6796875;  17539.1777344;   4003.4228516;     82.2969437;      0.0000000;  18626.0156250;   1565.3127441;   1020.0671387;    363.8396606;    133.5963287;      1.6148198;      0.0000000;    428.9347534
        2007;           8;  29812.9238281;  17543.3222656;   3999.7253418;     83.1250229;      0.0000000;  18621.4843750;   1588.9173584;   1019.8018188;    363.9256287;    133.4729309;      1.6310682;      0.0000000;    428.8304138
        2007;           9;  29806.7207031;  17547.3105469;   3996.7001953;     84.1867828;      0.0000000;  18616.9199219;   1609.0646973;   1019.5895996;    364.0083313;    133.3719788;      1.6519020;      0.0000000;    428.7253113
        2007;          10;  29830.1875000;  17562.7714844;   3953.0603027;     76.7819824;      0.0000000;  18610.4882812;   1601.4600830;   1020.3923340;    364.3291016;    131.9156952;      1.5066059;      0.0000000;    428.5771790
        2007;          11;  29845.4101562;  17567.1503906;   3912.7517090;     73.9882812;      0.0002899;  18606.8789062;   1616.1873779;   1020.9130249;    364.4199219;    130.5705872;      1.4517883;      0.0000035;    428.4940491
        2007;          12;  29868.3710938;  17570.0957031;   3823.0063477;     70.2878418;      0.0009319;  18603.6582031;   1667.5568848;   1021.6984863;    364.4810486;    127.5757370;      1.3791788;      0.0000111;    428.4198914
        2008;           1;  29881.4804688;  17572.0000000;   3763.4973145;     68.2823410;      0.0012480;  18602.3535156;   1702.9359131;   1022.1468506;    364.5205078;    125.5898819;      1.3398271;      0.0000149;    428.3898315
        2008;           2;  29889.1484375;  17571.6679688;   3730.6037598;     66.5007324;      0.0013549;  18601.3808594;   1725.9523926;   1022.4091797;    364.5136414;    124.4921951;      1.3048686;      0.0000162;    428.3674316
        2008;           3;  29900.0585938;  17572.4667969;   3692.3510742;     67.1391220;      0.0016447;  18599.9335938;   1744.5085449;   1022.7823486;    364.5302124;    123.2156906;      1.3173950;      0.0000197;    428.3341064
        2008;           4;  29909.5703125;  17572.8671875;   3659.5939941;     67.0338287;      0.0000000;  18598.2988281;   1762.3571777;   1023.1077271;    364.5384827;    122.1225815;      1.3153288;      0.0000000;    428.2964172
