 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2009;           6;   3529.2990723;   9994.5068359;     75.6723633;    168.0535583;    459.7099915;     27.8879356
        2009;           7;   3535.9487305;   9994.5068359;     84.6213760;    168.3702240;    459.7099915;     31.1859627
        2009;           8;   3535.9487305;   9994.5068359;     85.1912155;    168.3702240;    459.7099915;     31.3959713
        2009;           9;   3535.9487305;   9994.5068359;     85.2413101;    168.3702240;    459.7099915;     31.4144306
        2009;          10;   3535.9487305;   9994.5068359;     83.7259064;    168.3702240;    459.7099915;     30.8559494
        2009;          11;   3549.2666016;   9994.5068359;     79.2240295;    169.0043793;    459.7099915;     29.1968498
        2009;          12;   3562.6098633;   9994.5068359;     76.1863251;    169.6397247;    459.7099915;     28.0773506
        2010;           1;   3575.9777832;   9994.5068359;     73.0972748;    170.2762604;    459.7099915;     26.9389286
        2010;           2;   3582.6713867;   9994.5068359;     72.0551682;    170.5950012;    459.7099915;     26.5548744
        2010;           3;   3596.0769043;   9994.5068359;     72.7813492;    171.2333221;    459.7099915;     26.8224983
        2010;           4;   3609.5075684;   9994.5068359;     74.6466827;    171.8728333;    459.7099915;     27.5099392
        2010;           5;   3609.5075684;   9994.5068359;     76.3534393;    171.8728333;    459.7099915;     28.1389389
        2010;           6;   3616.2324219;   9994.5068359;     79.0457458;    172.1930542;    459.7099915;     29.1311474
        2010;           7;   3616.2324219;   9994.5068359;     81.5080032;    172.1930542;    459.7099915;     30.0385761
        2010;           8;   3622.9633789;   9994.5068359;     89.9174118;    172.5135651;    459.7099915;     33.1377411
        2010;           9;   3622.9633789;   9994.5068359;     89.8620377;    172.5135651;    459.7099915;     33.1173363
        2010;          10;   3629.7006836;   9994.5068359;     86.4100037;    172.8343811;    459.7099915;     31.8451385
        2010;          11;   3643.1940918;   9994.5068359;     79.0007629;    173.4768677;    459.7099915;     29.1145706
        2010;          12;   3670.2556152;   9994.5068359;     75.8458252;    174.7654572;    459.7099915;     27.9518642
        2011;           1;   3683.8242188;   9994.5068359;     72.0179520;    175.4115448;    459.7099915;     26.5411587
        2011;           2;   3690.6176758;   9994.5068359;     68.6336365;    175.7350311;    459.7099915;     25.2939186
        2011;           3;   3711.0361328;   9994.5068359;     68.0762100;    176.7072754;    459.7099915;     25.0884838
        2011;           4;   3724.6794434;   9994.5068359;     67.5493088;    177.3569183;    459.7099915;     24.8943043
        2011;           5;   3724.6794434;   9994.5068359;     68.1233368;    177.3569183;    459.7099915;     25.1058540
        2011;           6;   3724.6794434;   9994.5068359;     69.9108200;    177.3569183;    459.7099915;     25.7646046
        2011;           7;   3724.6794434;   9994.5068359;     74.5210037;    177.3569183;    459.7099915;     27.4636211
        2011;           8;   3724.6794434;   9994.5068359;     78.4477386;    177.3569183;    459.7099915;     28.9107590
        2011;           9;   3724.6794434;   9994.5068359;     78.5416412;    177.3569183;    459.7099915;     28.9453678
        2011;          10;   3724.6794434;   9994.5068359;     79.2681961;    177.3569183;    459.7099915;     29.2131252
        2011;          11;   3738.3479004;   9994.5068359;     77.8196564;    178.0077972;    459.7099915;     28.6792870
        2011;          12;   3752.0417480;   9994.5068359;     74.8639984;    178.6598358;    459.7099915;     27.5900249
        2012;           1;   3772.6291504;   9994.5068359;     70.7383652;    179.6401520;    459.7099915;     26.0695858
        2012;           2;   3779.5039062;   9994.5068359;     67.9340515;    179.9674835;    459.7099915;     25.0360966
        2012;           3;   3800.1662598;   9994.5068359;     64.6034164;    180.9513855;    459.7099915;     23.8086395
        2012;           4;   3807.0661621;   9994.5068359;     65.4389114;    181.2799225;    459.7099915;     24.1165466
