"";"SO4";"PO4";"Cl";"group_id";"Date"
"12775";46,1126518;177,4894257;27,7244434;"3";2077-07-01
"12776";46,1896172;177,4894257;28,2503357;"3";2077-08-01
"12777";46,1896172;177,4894257;28,2709656;"3";2077-09-01
"12778";46,1896172;177,4894257;28,2503357;"3";2077-10-01
"12779";46,1896172;177,4894257;27,8874283;"3";2077-11-01
"12780";46,1896172;177,4894257;27,8505554;"3";2077-12-01
"12781";46,1896172;177,4894257;27,4687748;"3";2078-01-01
"12782";46,1896172;177,4894257;27,2981033;"3";2078-02-01
"12783";46,2665405;177,4894257;27,0661888;"3";2078-03-01
"12784";46,2665405;177,4894257;27,079298;"3";2078-04-01
"12785";46,2665405;177,4894257;27,252121;"3";2078-05-01
"12786";46,343399;177,4894257;27,5084095;"3";2078-06-01
"12787";46,4202118;177,4894257;26,2989407;"3";2078-07-01
"12788";46,4969711;177,4894257;26,7636013;"3";2078-08-01
"12789";46,4969711;177,4894257;26,7636013;"3";2078-09-01
"12790";46,4969711;177,4894257;26,7636013;"3";2078-10-01
"12791";46,4969711;177,4894257;27,4071255;"3";2078-11-01
"12792";46,4969711;177,4894257;27,5278072;"3";2078-12-01
"12793";46,4969711;177,4894257;27,3205681;"3";2079-01-01
"12794";46,4969711;177,4894257;27,4279766;"3";2079-02-01
"12795";46,4969711;177,4894257;27,5563984;"3";2079-03-01
"12796";46,4969711;177,4894257;27,6908302;"3";2079-04-01
"12797";46,4969711;177,4894257;27,8946686;"3";2079-05-01
"12798";46,5736809;177,4894257;28,1404419;"3";2079-06-01
"12799";46,6503372;177,4894257;28,4727249;"3";2079-07-01
"12800";46,7269402;177,4894257;29,0049782;"3";2079-08-01
"12801";46,7269402;177,4894257;28,9885197;"3";2079-09-01
"12802";46,7269402;177,4894257;28,9885197;"3";2079-10-01
"12803";46,7269402;177,4894257;27,2166862;"3";2079-11-01
"12804";46,7269402;177,4894257;27,6822815;"3";2079-12-01
"12805";46,7269402;177,4894257;26,5810127;"3";2080-01-01
"12806";46,7269402;177,4894257;26,5278587;"3";2080-02-01
"12807";46,7269402;177,4894257;26,7793026;"3";2080-03-01
"12808";46,7269402;177,4894257;26,9145317;"3";2080-04-01
"12809";46,7269402;177,4894257;27,1051903;"3";2080-05-01
"12810";46,7269402;177,4894257;27,3426952;"3";2080-06-01
"12811";46,8034935;177,4894257;27,7244434;"3";2080-07-01
"12812";46,8799973;177,4894257;28,2503357;"3";2080-08-01
"12813";46,8799973;177,4894257;28,2709656;"3";2080-09-01
"12814";46,8799973;177,4894257;28,2503357;"3";2080-10-01
"12815";46,8799973;177,4894257;27,8874283;"3";2080-11-01
"12816";46,8799973;177,4894257;27,8505554;"3";2080-12-01
"12817";46,8799973;177,4894257;27,4687748;"3";2081-01-01
"12818";46,8799973;177,4894257;27,2981033;"3";2081-02-01
"12819";46,8799973;177,4894257;27,0661888;"3";2081-03-01
"12820";46,8799973;177,4894257;27,079298;"3";2081-04-01
"12821";46,8799973;177,4894257;27,252121;"3";2081-05-01
"12822";46,8799973;177,4894257;27,5084095;"3";2081-06-01
"12823";46,9564476;177,4894257;26,2989407;"3";2081-07-01
"12824";47,0328407;177,4894257;26,7636013;"3";2081-08-01
"12825";47,0328407;177,4894257;26,7636013;"3";2081-09-01
"12826";47,0328407;177,4894257;26,7636013;"3";2081-10-01
"12827";46,9564476;177,4894257;27,4071255;"3";2081-11-01
"12828";46,9564476;177,4894257;27,5278072;"3";2081-12-01
"12829";46,8799973;177,4894257;27,3205681;"3";2082-01-01
"12830";46,8799973;177,4894257;27,4279766;"3";2082-02-01
"12831";46,8799973;177,4894257;27,5563984;"3";2082-03-01
"12832";46,8799973;177,4894257;27,6908302;"3";2082-04-01
"12833";46,8799973;177,4894257;27,8946686;"3";2082-05-01
"12834";46,8799973;177,4894257;28,1404419;"3";2082-06-01
"12835";46,8799973;177,4894257;28,4727249;"3";2082-07-01
"12836";46,9564476;177,4894257;29,0049782;"3";2082-08-01
"12837";46,8799973;177,4894257;28,9885197;"3";2082-09-01
"12838";46,8799973;177,4894257;28,9885197;"3";2082-10-01
"12839";46,8034935;177,4894257;27,2166862;"3";2082-11-01
"12840";46,8034935;177,4894257;27,6822815;"3";2082-12-01
"12841";46,7269402;177,4894257;26,5810127;"3";2083-01-01
"12842";46,7269402;177,4894257;26,5278587;"3";2083-02-01
"12843";46,7269402;177,4894257;26,7793026;"3";2083-03-01
"12844";46,7269402;177,4894257;26,9145317;"3";2083-04-01
"12845";46,7269402;177,4894257;27,1051903;"3";2083-05-01
"12846";46,7269402;177,4894257;27,3426952;"3";2083-06-01
"12847";46,7269402;177,4894257;27,7244434;"3";2083-07-01
"12848";46,8034935;177,4894257;28,2503357;"3";2083-08-01
"12849";46,7269402;177,4894257;28,2709656;"3";2083-09-01
"12850";46,7269402;177,4894257;28,2503357;"3";2083-10-01
"12851";46,6503372;177,4894257;27,8874283;"3";2083-11-01
"12852";46,5736809;177,4894257;27,8505554;"3";2083-12-01
"12853";46,4969711;177,4894257;27,4687748;"3";2084-01-01
"12854";46,4969711;177,4894257;27,2981033;"3";2084-02-01
"12855";46,4969711;177,4894257;27,0661888;"3";2084-03-01
"12856";46,4969711;177,4894257;27,079298;"3";2084-04-01
"12857";46,4969711;177,4894257;27,252121;"3";2084-05-01
"12858";46,4202118;177,4894257;27,5084095;"3";2084-06-01
"12859";46,4202118;177,4894257;26,2989407;"3";2084-07-01
"12860";46,4969711;177,4894257;26,7636013;"3";2084-08-01
"12861";46,4202118;177,4894257;26,7636013;"3";2084-09-01
"12862";46,4202118;177,4894257;26,7636013;"3";2084-10-01
"12863";46,343399;177,4894257;27,4071255;"3";2084-11-01
"12864";46,2665405;177,4894257;27,5278072;"3";2084-12-01
"12865";46,1896172;177,4894257;27,3205681;"3";2085-01-01
"12866";46,1896172;177,4894257;27,4279766;"3";2085-02-01
"12867";46,1896172;177,4894257;27,5563984;"3";2085-03-01
"12868";46,1896172;177,4894257;27,6908302;"3";2085-04-01
"12869";46,1896172;177,4894257;27,8946686;"3";2085-05-01
"12870";46,1126518;177,4894257;28,1404419;"3";2085-06-01
"12871";46,1126518;177,4894257;28,4727249;"3";2085-07-01
"12872";46,1126518;177,4894257;29,0049782;"3";2085-08-01
"12873";46,0356331;177,4894257;28,9885197;"3";2085-09-01
"12874";46,0356331;177,4894257;28,9885197;"3";2085-10-01
"12875";45,9585609;177,4894257;27,2166862;"3";2085-11-01
"12876";45,8814392;177,4894257;27,6822815;"3";2085-12-01
"12877";45,8042603;177,4894257;26,5810127;"3";2086-01-01
"12878";45,8042603;177,4894257;26,5278587;"3";2086-02-01
"12879";45,8042603;177,4894257;26,7793026;"3";2086-03-01
"12880";45,8042603;177,4894257;26,9145317;"3";2086-04-01
"12881";45,8042603;177,4894257;27,1051903;"3";2086-05-01
"12882";45,7270279;177,4894257;27,3426952;"3";2086-06-01
"12883";45,7270279;177,4894257;27,7244434;"3";2086-07-01
"12884";45,8042603;177,4894257;28,2503357;"3";2086-08-01
"12885";45,7270279;177,4894257;28,2709656;"3";2086-09-01
"12886";45,7270279;177,4894257;28,2503357;"3";2086-10-01
"12887";45,6497498;177,4894257;27,8874283;"3";2086-11-01
"12888";45,5724182;177,4894257;27,8505554;"3";2086-12-01
"12889";45,4950294;177,4894257;27,4687748;"3";2087-01-01
"12890";45,4950294;177,4894257;27,2981033;"3";2087-02-01
"12891";45,4950294;177,4894257;27,0661888;"3";2087-03-01
"12892";45,4950294;177,4894257;27,079298;"3";2087-04-01
"12893";45,4950294;177,4894257;27,252121;"3";2087-05-01
"12894";45,4175873;177,4894257;27,5084095;"3";2087-06-01
"12895";45,4175873;177,4894257;26,2989407;"3";2087-07-01
"12896";45,4175873;177,4894257;26,7636013;"3";2087-08-01
"12897";45,3400993;177,4894257;26,7636013;"3";2087-09-01
"12898";45,3400993;177,4894257;26,7636013;"3";2087-10-01
"12899";45,1849594;177,4894257;27,4071255;"3";2087-11-01
"12900";45,1849594;177,4894257;27,5278072;"3";2087-12-01
"12901";45,1073112;177,4894257;27,3205681;"3";2088-01-01
"12902";45,1073112;177,4894257;27,4279766;"3";2088-02-01
"12903";45,0296021;177,4894257;27,5563984;"3";2088-03-01
"12904";45,0296021;177,4894257;27,6908302;"3";2088-04-01
"12905";45,0296021;177,4894257;27,8946686;"3";2088-05-01
"12906";44,8740425;177,4894257;28,1404419;"3";2088-06-01
"12907";44,8740425;177,4894257;28,4727249;"3";2088-07-01
"12908";44,8740425;177,4894257;29,0049782;"3";2088-08-01
"12909";44,7961807;177,4894257;28,9885197;"3";2088-09-01
