YEAR;Total Uptake kg/ha/yr;;;;;;Litterfall kg/ha/yr;;;;;;Litter mineralisation kg/ha/yr;;;;;;SOM mineralisation kg/ha/yr;;;;;;
;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;
        2005;      9.5089531;      8.3807182;      1.4470637;     14.4450760;      1.0985022;      0.8221478;      6.1059499;      2.9897053;      0.8502178;      4.0827503;      0.6930506;      0.5178333;      8.3142166;      3.7909653;      1.0411860;      0.9355483;      0.0900830;      0.5819054;   -337.0166931;      0.0000000;      0.0000000;     -0.0003677;      0.0000000;    -75.8498688;
        2006;      9.9211159;      8.7842903;      1.5111177;     15.6682892;      1.1463245;      0.7848668;      6.3341737;      3.0928524;      0.8808752;      4.2053618;      0.7189295;      0.5314927;      8.2611570;      3.7795172;      1.0398694;      1.1414361;      0.1287200;      0.5837560;   -171.1490326;      0.0000000;      0.0000000;     -0.0009473;      0.0000000;    -37.2004204;
        2007;     10.1681995;      8.9595919;      1.5473166;     15.2606726;      1.1746495;      0.8732270;      6.0490098;      2.9649107;      0.8494876;      4.0253882;      0.6935686;      0.5042365;      7.8919654;      3.6221437;      0.9984583;      1.2844712;      0.1592349;      0.5624615;    -84.1285934;      0.0000000;      0.0000000;     -0.0012382;      0.0000000;    -16.8599796;
        2008;     10.4203539;      9.1761742;      1.5855024;     14.9857111;      1.2037499;      0.8962827;      5.7332802;      2.8045533;      0.8068715;      3.8064053;      0.6633042;      0.4715986;      7.8960943;      3.6345797;      1.0038016;      1.4569268;      0.1918091;      0.5667281;    -25.7034779;      0.0000000;      0.0000000;     -0.0014182;      0.0000000;     -3.6457624;
        2009;     10.6998520;      9.4527054;      1.6290333;     14.8091726;      1.2361940;      0.9178463;      5.4691458;      2.6700461;      0.7695138;      3.6283581;      0.6379859;      0.4438941;      7.5605950;      3.4888873;      0.9653422;      1.5421562;      0.2118756;      0.5457035;     -6.6440029;      0.0000000;      0.0000000;     -0.0016894;      0.0000000;      1.3852259;
        2010;     10.8851767;      9.6132870;      1.6571449;     14.6248827;      1.2575889;      1.0137941;      5.2406178;      2.5529890;      0.7358270;      3.4750912;      0.6162187;      0.4202807;      9.0124321;      4.1679306;      1.1551949;      1.9972038;      0.2834094;      0.6534103;     23.8608913;      0.0000000;      0.0000000;     -0.0018240;      0.0000000;      8.1076479;
        2011;     11.0563107;      9.7514019;      1.6827680;     14.4678431;      1.2772933;      0.9516729;      5.0449505;      2.4488833;      0.7061189;      3.3350201;      0.5972499;      0.3998655;      7.2903285;      3.3780079;      0.9377432;      1.7354840;      0.2528495;      0.5304863;     18.0914307;      0.0000000;      0.0000000;     -0.0018715;      0.0000000;      7.0308814;
        2012;     11.1413622;      9.7697678;      1.6938424;     14.2551441;      1.2868273;      0.9492419;      4.8436971;      2.3306239;      0.6772591;      3.1765962;      0.5743163;      0.3805662;      7.1827483;      3.3333354;      0.9268025;      1.8176513;      0.2706465;      0.5241770;     29.2774410;      0.0000000;      0.0000000;     -0.0018967;      0.0000000;      9.5958910;
        2013;     11.2618713;      9.8442917;      1.7111348;     14.0846539;      1.3005855;      0.9899399;      4.6790047;      2.2343626;      0.6566344;      3.0512953;      0.5577794;      0.3651333;      8.5007963;      3.9492233;      1.1000174;      2.2658191;      0.3436385;      0.6218004;     33.4267273;      0.0000000;      0.0000000;     -0.0019597;      0.0000000;     10.6901770;
        2014;     11.3449039;      9.8927088;      1.7229533;     13.9458656;      1.3100500;      0.9781238;      4.5373774;      2.1631663;      0.6424055;      2.9562228;      0.5461216;      0.3516097;      8.7223539;      4.0554023;      1.1320220;      2.4358823;      0.3756571;      0.6392109;     36.3561134;      0.0000000;      0.0000000;     -0.0022311;      0.0000000;     11.8038473;
        2015;     11.4279385;      9.9411240;      1.7347714;     13.8468761;      1.3195148;      0.9250928;      4.4176359;      2.1106586;      0.6323616;      2.8842406;      0.5378689;      0.3392030;      7.0596914;      3.2848594;      0.9191650;      2.0569406;      0.3221033;      0.5181310;     22.2735119;      0.0000000;      0.0000000;     -0.0022068;      0.0000000;      8.8559036;
