YEAR;Wet Deposition kg/ha/yr;;;;;;;;;;Dry Deposition kg/ha/yr;;;;;;;;;;Total Deposition kg/ha/yr;;;;;;;;;;Throughfall kg/ha/yr;;;;;;;;;;Net Foliar exhanges kg/ha/yr;;;;;;;;;;Litterflow flux kg/ha/yr;;;;;;;;;;Leaching flux kg/ha/yr;;;;;;;;;;Weathering flux kg/ha/yr;;;;;;;
;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;NO3;NH4;Ntot;SO4;Na;Cl;Al;Ca;Mg;K;Na;Al;Si;P;
        2005;      1.2278032;      1.9669576;      0.8485563;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.2278032;      1.9669576;      0.8485563;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      1.2278032;      1.9669576;      9.5897436;      0.7547224;      0.2925608;      1.0472832;      2.2504513;     18.1370316;     32.9326515;      0.0000000;      0.0000000;      0.0000000;      8.7411871;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.0187678;      3.0081434;      2.5190005;      5.8341804;      1.3644537;      7.1986337;      2.3404505;     18.1370316;     32.9326515;      0.0000000;     23.2444630;     17.1112938;     11.1647730;     18.9976120;      0.5838629;     19.5814743;     10.5415525;     27.7688007;     59.2074280;      0.0136242;      8.8215714;     10.4045534;     18.5737438;      2.6110849;     64.0969315;    100.9612122;      0.9892809;
        2006;      1.7354697;      1.9960107;      0.8007448;      0.5367520;      0.2228113;      0.7595634;      2.5736566;     18.1626148;     32.5074997;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.7354697;      1.9960107;      0.8007448;      0.5367520;      0.2228113;      0.7595634;      2.5736566;     18.1626148;     32.5074997;      0.0000000;      1.7354697;      1.9960107;      9.7502899;      0.5367519;      0.2228113;      0.7595633;      2.5736566;     18.1626148;     32.5074959;      0.0000000;      0.0000000;      0.0000000;      8.9495459;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.5149875;      3.0358803;      1.9421819;      5.5663476;      1.3721288;      6.9384770;      2.7022562;     18.1626148;     32.5074959;      0.0000000;     21.2568150;     13.8828125;     10.2001448;     19.6773605;      0.9929343;     20.6702919;     10.8330708;     24.6448536;     35.0619888;      0.0126757;      8.5862684;     10.1043930;     18.0065441;      2.5332644;     62.2340698;     97.9249649;      0.9505128;
        2007;      1.1175578;      1.8584390;      0.7791315;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.1175578;      1.8584390;      0.7791315;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      1.1175578;      1.8584390;      9.1546707;      0.4527804;      0.2234250;      0.6762054;      2.2584698;     16.5240726;     30.2306385;      0.0000000;      0.0000000;      0.0000000;      8.3755388;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.7397013;      2.8568969;      2.0636034;      5.4009786;      1.1949368;      6.5959153;      2.4175560;     16.5240726;     30.2306385;      0.0000000;     16.5614967;      9.6687660;      6.8419738;     16.4475441;      0.8051845;     17.2527294;      6.5549417;     16.3217278;     25.0939598;      0.0277703;      8.7639847;     10.1308098;     17.8814926;      2.5886266;     62.2734184;     98.1825867;      1.0021280;
        2008;      1.0586964;      1.6681712;      0.7000706;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.0586964;      1.6681712;      0.7000706;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      1.0586964;      1.6681712;      8.6300268;      0.6939852;      0.2739046;      0.9678898;      2.1990352;     15.1959076;     27.5807381;      0.0000000;      0.0000000;      0.0000000;      7.9299564;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.6932755;      2.6719723;      2.1569982;      5.5158448;      1.3141230;      6.8299685;      2.3906646;     15.1959076;     27.5807381;      0.0000000;     21.2678871;     12.4358044;      8.4251270;     22.5366116;      1.0939895;     23.6306000;      7.8088202;     19.7901688;     30.5086498;      0.0613822;      9.5579567;     11.0019226;     19.7648792;      2.8087137;     68.6969681;    107.9061279;      1.0710100;
        2009;      1.2023857;      1.4673746;      0.5938997;      0.4605203;      0.2283966;      0.6889169;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.2023857;      1.4673746;      0.5938997;      0.4605203;      0.2283966;      0.6889169;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      1.2023857;      1.4673746;      8.1574097;      0.4605204;      0.2283966;      0.6889170;      2.0605628;     12.9780483;     23.4686279;      0.0000000;      0.0000000;      0.0000000;      7.5635104;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.6912732;      2.4327166;      2.1360569;      5.1313667;      1.2327125;      6.3640795;      2.2722404;     12.9780483;     23.4686279;      0.0000000;     19.1042900;     11.7474928;      7.3251710;     22.3580093;      1.0489916;     23.4069996;      6.2612042;     17.3286781;     26.4529705;      0.0795201;      9.0423565;     10.2109385;     17.8175526;      2.7165787;     62.9994164;     99.4188461;      0.9654363;
        2010;      1.5207080;      2.3192356;      1.0080230;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296265;     37.5112877;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.5207080;      2.3192356;      1.0080230;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296265;     37.5112877;      0.0000000;      1.5207080;      2.3192356;      8.2618151;      0.6959020;      0.3263514;      1.0222534;      3.1264272;     20.4296284;     37.5112877;      0.0000000;      0.0000000;      0.0000000;      7.2537909;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.6886377;      3.4744301;      3.0052280;      6.1551733;      1.5952672;      7.7504401;      3.4095721;     20.4296284;     37.5112877;      0.0000000;     24.8073883;     16.6194496;     10.6945448;     30.1193810;      1.8201201;     31.9395027;      9.7517309;     25.1728344;     38.0235062;      0.1388176;      9.8515120;     10.9778843;     19.2929497;      2.9250925;     68.2241364;    107.5242615;      1.0987033;
        2011;      1.1393536;      1.7076086;      0.7358245;      0.7821590;      0.3771561;      1.1593152;      2.2812150;     15.4312725;     28.2076893;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.1393536;      1.7076086;      0.7358245;      0.7821590;      0.3771561;      1.1593152;      2.2812150;     15.4312725;     28.2076893;      0.0000000;      1.1385736;      1.7060726;      7.1266451;      0.7819558;      0.3771468;      1.1591024;      2.2780106;     15.4179955;     28.1848793;      0.0000000;      0.0000000;      0.0000000;      6.9811497;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.5165820;      2.6438158;      2.4707632;      5.1670766;      1.3673533;      6.5344296;      2.5306234;     15.4179955;     28.1848793;      0.0000000;     14.9983912;     11.2498922;      7.8916092;     18.8598022;      1.3278546;     20.1876545;      8.6345263;     18.2399006;     27.9135475;      0.0745665;     10.0299425;     11.4400959;     20.5459404;      2.9303968;     71.5786896;    112.4206238;      1.1560299;
        2012;      1.9081720;      2.4432185;      0.9702218;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.9081720;      2.4432185;      0.9702218;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      1.9081722;      2.4432182;      7.6823030;      0.6735101;      0.3343196;      1.0078298;      3.2941868;     21.5319824;     38.9500084;      0.0000000;      0.0000000;      0.0000000;      6.7120805;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.2415075;      3.3700209;      2.7878737;      4.6819835;      1.6616814;      6.3436646;      3.5645807;     21.5319824;     38.9500084;      0.0000000;     21.7989388;     18.1840630;     12.3847208;     29.3050156;      1.9373519;     31.2423630;     13.3881636;     27.7654209;     44.4937706;      0.1252642;     10.1476612;     11.5482531;     20.6308937;      2.9780927;     72.0290680;    113.3009949;      1.1732327;
        2013;      0.8577881;      1.2337577;      0.5467663;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.8577881;      1.2337577;      0.5467663;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.8577881;      1.2337577;      6.4685030;      0.4361660;      0.2020221;      0.6381882;      1.8263128;     10.8601274;     19.8937721;      0.0000000;      0.0000000;      0.0000000;      6.4606781;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      4.8070111;      2.3337750;      2.8125861;      5.9814024;      1.1083807;      7.0897827;      2.1696305;     10.8601274;     19.8937721;      0.0000000;      8.9524183;      7.7598362;      3.8251746;     13.6730356;      0.5973821;     14.2704172;      3.2926662;      8.4357901;     14.6460037;      0.2051515;     10.2413597;     11.8946133;     21.0378456;      2.9123302;     72.6636353;    114.8189468;      1.3674539;
        2014;      1.3629998;      2.1131113;      0.9137254;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      1.3629998;      2.1131113;      0.9137254;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      1.3629998;      2.1131113;      7.1799259;      0.8800701;      0.4287173;      1.3087875;      2.7588701;     19.0352097;     34.7411957;      0.0000000;      0.0000000;      0.0000000;      6.2662015;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      5.4184027;      3.2451332;      3.3496084;      6.1823215;      1.6132268;      7.7955489;      3.1341763;     19.0352097;     34.7411957;      0.0000000;     24.9107418;     23.3620319;     12.3750658;     44.4179955;      1.7697858;     46.1877823;     10.3183746;     27.9043846;     40.1332893;      0.3843194;     10.3047485;     11.7656374;     20.9584332;      2.9982607;     73.0472107;    115.0474319;      1.2461306;
