Year;Month;Species;Concentration_Shallow;Concentration_Deep;SD_S;SD_D;Conc_S_3;Conc_D_3;SD_S_3;SD_D_3
2006;1;SO4;9.483933941;14.74370309;0;0;0.336465253;0.260949106;0.102748329;0.087262904
2006;2;SO4;9.483933941;15.6177754;0;0.03168451;0.142465398;0.338519868;0.051486108;0.048674338
2006;3;SO4;9.483933941;16.16163269;0;0.003208956;0.125964938;0.36355311;0;0.046619998
2006;4;SO4;8.744174775;16.11719772;0.027686207;0.014061663;0.195395296;0.34264684;0.036787706;0.081079923
2006;5;SO4;9.483933941;14.74370309;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;SO4;8.858077436;14.57488009;0;0;0.192534484;#DIV/0!;0.035694183;#DIV/0!
2005;1;Ca;20.17573214;14.94000993;0.089253587;0.048763738;0.716266885;0.818929933;0.063258814;0.720930979
2005;2;Ca;17.83684729;10.7801738;0.130747351;0.054888273;0.898488714;0.476929664;0.552584344;0.175975065
2005;3;Ca;13.35117353;9.852957942;0;0.059903612;1.8171159;0.502681242;0;0.100976204
2005;4;Ca;16.66564992;11.53837043;0.141358475;0.147311428;0.839595083;0.629945791;0.633110419;0.317106704
2005;5;Ca;10.92912769;10.4943673;0;0;2.3713506;0.840230007;0;0.35922616
2005;6;Ca;16.66564992;11.35984634;0;0.147559347;0.60730992;0.622501247;0;0.267861652
2005;7;Ca;15.38946669;13.34206446;0;0;2.28036096;0.46657065;0;0
2005;8;Ca;16.66564992;11.35984634;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;Ca;16.66564992;11.35984634;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;Ca;16.66564992;11.35984634;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;Ca;16.66564992;11.35984634;0;0;1.13822548;#DIV/0!;0;#DIV/0!
2005;12;Ca;20.06956671;11.35984634;0.080982125;0.165246202;1.010125018;0.472227743;0.737553599;0.103096446
2006;1;Ca;12.7452845;12.97325755;0;0;1.626358;0.703843;0.7802764;0.27972853
2006;2;Ca;16.66564992;11.35984634;0;0;4.0945905;0.4294152;0;0
2006;3;Ca;16.66564992;11.35984634;0;0;2.5508026;0.379710067;0;0.014896205
2006;4;Ca;16.66564992;10.48034603;0.324634548;0.025627954;0.92600248;0.488666267;0.515141255;0.312049878
2006;5;Ca;20.67885435;10.56092068;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;Ca;16.66564992;11.35984634;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;1;Mg;21.95413535;13.06387009;0.093910769;0.012195732;0.558860815;0.45949528;0.084735465;0.107231624
2005;2;Mg;21.4975602;16.77828422;0.098902891;0.032586281;0.455588729;0.452647771;0.124972785;0.086372615
2005;3;Mg;16.65443878;15.80085287;0;0.067197899;0.603192;0.406334942;0;0.071446275
2005;4;Mg;20.13408122;17.23786444;0.084772176;0.081675613;0.528839457;0.482062304;0.206515622;0.071124981
2005;5;Mg;14.99853189;17.9094099;0;0;0.8157042;0.65352075;0;0.16346287
