Shallow and Deep fluxes;Depth;NH4;NO3;TN;DOC;TP;Cl;SO4;Ca;Mg;K;Na;Al;Si
;20;0.226815548;0.046737109;1.323415091;21.55065485;0.041998024;60.11735996;2.668578698;8.737652977;6.446549381;4.094044761;31.82825342;0.375563744;27.01882463
;100;0.169280514;0.070566266;0.6489175;6.546246332;0.018557208;34.54328319;3.992500069;5.394147994;5.008157445;1.807078485;22.43218422;0.142911611;25.30554142
