"";"YEAR";"Month";"C";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";"        2005";"           1";5927,7128906;155,255127;125,0416412;23,3463154;22,2420597;18,9179974;13,57656;2005-01-01
"2";"        2005";"           2";5920,4711914;155,1132507;124,3480377;23,2231579;22,1958313;18,8182755;13,5054502;2005-02-01
"3";"        2005";"           3";5908,5615234;154,8972321;123,457489;23,0632;22,1142311;18,6887341;13,4129381;2005-03-01
"4";"        2005";"           4";5892,644043;154,6263428;122,5342636;22,8948498;21,9989147;18,5523624;13,3153582;2005-04-01
"5";"        2005";"           5";5876,515625;154,3390808;121,3951492;22,6900749;21,8925152;18,3865261;13,1969118;2005-05-01
"6";"        2005";"           6";5861,8603516;154,0783691;120,3635788;22,5048389;21,7985401;18,2365074;13,0897789;2005-06-01
"7";"        2005";"           7";5868,3217773;154,1600342;120,3118668;22,5010757;21,8610268;18,23353;13,0880651;2005-07-01
"8";"        2005";"           8";5881,7075195;154,3422241;120,4005737;22,5263176;21,9823303;18,2540874;13,1034393;2005-08-01
"9";"        2005";"           9";5886,3974609;154,3580475;119,6720734;22,40695;22,0551872;18,1575546;13,0353575;2005-09-01
"10";"        2005";"          10";5943,9326172;155,0947876;119,2585983;22,3809147;22,6038055;18,137064;13,0242167;2005-10-01
"11";"        2005";"          11";5957,2583008;155,2427368;118,762001;22,307003;22,7442036;18,0773964;12,9827061;2005-11-01
"12";"        2005";"          12";5953,1196289;155,1576233;118,2279205;22,2134666;22,7243385;18,0016766;12,9286728;2005-12-01
"13";"        2006";"           1";5938,7089844;154,928299;117,5484314;22,0875912;22,6154041;17,8996849;12,8554821;2006-01-01
"14";"        2006";"           2";5926,5195312;154,7319794;116,934166;21,9745331;22,5258751;17,8080959;12,7897825;2006-02-01
"15";"        2006";"           3";5912,7338867;154,5114136;116,264946;21,8510895;22,4250488;17,7080879;12,7180357;2006-03-01
"16";"        2006";"           4";5892,5297852;154,1959381;115,4209824;21,6934547;22,2740669;17,580349;12,6263056;2006-04-01
"17";"        2006";"           5";5869,277832;153,8266296;114,383606;21,5010376;22,1049099;17,4244766;12,5144243;2006-05-01
"18";"        2006";"           6";5843,5620117;153,4190369;113,2860107;21,2968235;21,9184933;17,2590637;12,3956175;2006-06-01
"19";"        2006";"           7";5845,3608398;153,435318;113,2139282;21,2859249;21,9369087;17,2502975;12,3893909;2006-07-01
"20";"        2006";"           8";5852,1342773;153,5226135;113,2565994;21,2980175;21,9948292;17,2602043;12,3966112;2006-08-01
"21";"        2006";"           9";5841,7397461;153,3319244;112,4977188;21,1621914;21,9314766;17,1503181;12,3178196;2006-09-01
"22";"        2006";"          10";5859,5639648;153,5080566;111,9466705;21,0817261;22,1070213;17,0856972;12,2719383;2006-10-01
"23";"        2006";"          11";5855,3251953;153,4083099;111,3601532;20,9794655;22,091114;17,0030231;12,2127161;2006-11-01
"24";"        2006";"          12";5844,699707;153,2345734;110,8376083;20,8835068;22,0178089;16,9253216;12,1569271;2006-12-01
"25";"        2007";"           1";5833,7207031;153,0592957;110,3525467;20,7936935;21,9407291;16,8525753;12,1046782;2007-01-01
"26";"        2007";"           2";5820,1459961;152,8432312;109,7634277;20,6845284;21,8460999;16,7641544;12,041172;2007-02-01
"27";"        2007";"           3";5803,03125;152,5738831;109,0625229;20,554081;21,726593;16,6584778;11,9652586;2007-03-01
"28";"        2007";"           4";5784,0385742;152,2800598;108,354805;20,4212704;21,5925198;16,5508614;11,8879261;2007-04-01
"29";"        2007";"           5";5770,6269531;152,0609589;107,7469482;20,309269;21,5027199;16,4601955;11,8228092;2007-05-01
"30";"        2007";"           6";5759,7363281;151,8796234;107,2339172;20,2150326;21,4306087;16,3839378;11,7680273;2007-06-01
"31";"        2007";"           7";5755,425293;151,8016968;106,9741898;20,1681652;21,4044533;16,3460445;11,7408142;2007-07-01
