"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"597";724,7531738;228,5230865;138,7063751;6,5208392;0;1088,7397461;"5";2010-09-01
"598";725,135437;228,7532959;138,8508301;6,749959;0;1088,3352051;"5";2010-10-01
"599";725,9172974;229,2342682;139,0667725;7,1728401;0,0071775;1087,7929688;"5";2010-11-01
"600";726,145752;229,3756561;139,233017;7,4476886;0,0144493;1087,6439209;"5";2010-12-01
"601";726,2012329;229,4120789;139,3656158;7,652988;0,0281762;1087,6031494;"5";2011-01-01
"602";726,0522461;229,3227386;139,3135376;7,5413008;0,0366943;1087,7010498;"5";2011-02-01
"603";725,9599609;229,2688293;139,3283234;7,5575323;0,0490822;1087,7318115;"5";2011-03-01
"604";725,8269653;229,1912537;139,2928925;7,489646;0;1087,8143311;"5";2011-04-01
"605";725,4176025;228,9598236;139,1519775;7,2439599;0;1088,1550293;"5";2011-05-01
"606";725,1053467;228,7874603;139,0864105;7,1500273;0;1088,3521729;"5";2011-06-01
"607";723,9676514;228,1174927;138,8458099;6,7668462;0;1089,3728027;"5";2011-07-01
"608";723,0570679;227,5854492;138,7358856;6,6117334;0;1090,1047363;"5";2011-08-01
"609";723,449646;227,8343964;138,882309;6,852262;0;1089,6715088;"5";2011-09-01
"610";723,814209;228,0536652;139,023941;7,0885038;0;1089,2814941;"5";2011-10-01
"611";724,56427;228,5173798;139,2500305;7,494173;0,0059634;1088,7662354;"5";2011-11-01
"612";724,7838135;228,6540985;139,4205017;7,7455058;0,0137718;1088,6280518;"5";2011-12-01
"613";724,8551636;228,7012024;139,5866852;7,8727722;0,0264767;1088,5889893;"5";2012-01-01
"614";724,7305908;228,6272278;139,5549927;7,758162;0,0338192;1088,6723633;"5";2012-02-01
"615";724,6530762;228,582962;139,5878143;7,7156396;0,0439238;1088,7064209;"5";2012-03-01
"616";724,5248413;228,5085754;139,5599365;7,6218152;0;1088,7910156;"5";2012-04-01
"617";724,1130371;228,2757721;139,4223938;7,3715906;0;1089,1356201;"5";2012-05-01
"618";723,8075562;228,1078033;139,3621521;7,2671351;0;1089,3322754;"5";2012-06-01
"619";722,6773682;227,4429016;139,1259308;6,8861594;0;1090,3459473;"5";2012-07-01
