"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"49";2009;1;22674,6328125;55,7218933;41,5422173;7,263526;40,5178642;4,2818236;8,7760324;2009-01-01
"50";2009;2;22674,6289062;55,7218933;41,5422173;7,263526;40,5178566;4,2818236;8,7760324;2009-02-01
"51";2009;3;22674,6171875;55,7218933;41,5422173;7,2635255;40,5178413;4,2818236;8,7760324;2009-03-01
"52";2009;4;22684,9140625;55,7247925;41,5434456;7,26366;40,5332375;4,2822013;8,7765512;2009-04-01
"53";2009;5;22878,4296875;55,8922386;41,7032051;7,2868466;40,8225517;4,3005629;8,8020973;2009-05-01
"54";2009;6;23079,8535156;56,1714897;42,0009499;7,3355799;41,0661774;4,3325124;8,8200436;2009-06-01
"55";2009;7;23251,8085938;56,5238228;42,2554893;7,3773012;41,27388;4,3551345;8,8374109;2009-07-01
"56";2009;8;23396,5136719;56,8203239;42,501194;7,4177232;41,4752007;4,372983;8,8540211;2009-08-01
"57";2009;9;23505,3730469;57,0433731;42,6733055;7,4457021;41,6143646;4,3870001;8,8681145;2009-09-01
"58";2009;10;23505,2753906;57,0431175;42,6733055;7,4457021;41,6142197;4,3869882;8,8680725;2009-10-01
"59";2009;11;23505,1347656;57,0430641;42,6733055;7,4457021;41,6140099;4,3869863;8,8680553;2009-11-01
"60";2009;12;23505,0957031;57,0430565;42,6733055;7,4457021;41,6139488;4,3869858;8,8680544;2009-12-01
"61";2010;1;23505,0878906;57,0430565;42,6733055;7,4457021;41,6139412;4,3869858;8,8680544;2010-01-01
"62";2010;2;23505,0820312;57,0430565;42,6733055;7,4457021;41,6139374;4,3869858;8,8680544;2010-02-01
"63";2010;3;23505,0742188;57,0430565;42,6733055;7,4457021;41,6139221;4,3869858;8,8680544;2010-03-01
"64";2010;4;23515,40625;57,0460091;42,6745567;7,4458389;41,6293678;4,3873706;8,8685818;2010-04-01
"65";2010;5;23712,1308594;57,2213249;42,8404579;7,4700565;41,923481;4,4065289;8,895299;2010-05-01
"66";2010;6;23914,7675781;57,507679;43,1452408;7,5201182;42,1739883;4,4386702;8,9262953;2010-06-01
"67";2010;7;24117,9785156;57,924057;43,4513359;7,5704684;42,4249039;4,4658804;8,9473391;2010-07-01
"68";2010;8;24259,5820312;58,2142029;43,6960106;7,6108685;42,6263275;4,4836612;8,9639387;2010-08-01
"69";2010;9;24398,1757812;58,4981766;43,9189415;7,6472301;42,807373;4,5018167;8,9853687;2010-09-01
"70";2010;10;24398,0859375;58,4979439;43,9189415;7,6472301;42,8072357;4,5018058;8,9853287;2010-10-01
"71";2010;11;24397,9511719;58,4978905;43,9189415;7,6472301;42,8070335;4,5018039;8,9853125;2010-11-01
"72";2010;12;24397,9140625;58,4978905;43,9189415;7,6472301;42,8069839;4,5018034;8,9853125;2010-12-01
"73";2011;1;24397,9082031;58,4978752;43,9189415;7,6472301;42,8069687;4,5018039;8,9853125;2011-01-01
"74";2011;2;24397,9023438;58,4978752;43,9189453;7,6472301;42,8069649;4,5018039;8,9853106;2011-02-01
"75";2011;3;24397,8925781;58,4978752;43,9189453;7,6472301;42,8069496;4,5018039;8,9853106;2011-03-01
"76";2011;4;24408,5039062;58,5010681;43,9202843;7,647377;42,8228149;4,5022178;8,9858818;2011-04-01
"77";2011;5;24613,234375;58,6963806;44,1001053;7,67417;43,128891;4,5235362;9,0157404;2011-05-01
"78";2011;6;24785,3476562;59,0490341;44,364109;7,717721;43,3470917;4,5418458;9,0346479;2011-06-01
"79";2011;7;24914,5410156;59,3137474;44,5625725;7,7505107;43,5107956;4,5595059;9,0481644;2011-07-01
"80";2011;8;25004,7539062;59,4986;44,7215614;7,7768793;43,6425056;4,5710711;9,0587635;2011-08-01
"81";2011;9;25101,21875;59,6962585;44,8797836;7,8027925;43,7717628;4,5839653;9,0714769;2011-09-01
"82";2011;10;25101,1347656;59,6960373;44,8797836;7,8027925;43,771637;4,5839558;9,0714407;2011-10-01
"83";2011;11;25101,0058594;59,6959915;44,8797836;7,8027925;43,7714462;4,5839539;9,0714254;2011-11-01
"84";2011;12;25100,9726562;59,6959839;44,8797836;7,8027925;43,771389;4,5839539;9,0714245;2011-12-01
"85";2012;1;25100,9648438;59,6959839;44,8797836;7,8027925;43,7713776;4,5839539;9,0714245;2012-01-01
"86";2012;2;25100,9589844;59,6959839;44,8797874;7,8027925;43,7713737;4,5839539;9,0714245;2012-02-01
"87";2012;3;25100,9492188;59,6959839;44,8797874;7,8027925;43,7713623;4,5839539;9,0714254;2012-03-01
"88";2012;4;25111,3378906;59,6991081;44,8810959;7,802937;43,7868919;4,5843606;9,0719843;2012-04-01
"89";2012;5;25314,1621094;59,8979301;45,0610237;7,8298326;44,0901146;4,6057382;9,101923;2012-05-01
"90";2012;6;25501,9453125;60,2826881;45,3521843;7,878068;44,3322372;4,6259956;9,12257;2012-06-01
"91";2012;7;25636,4882812;60,5583687;45,5611191;7,912734;44,5056305;4,6446471;9,136795;2012-07-01
"92";2012;8;25725,7402344;60,7412453;45,7201424;7,9392247;44,638195;4,6562557;9,1474009;2012-08-01
"93";2012;9;25820,8398438;60,9361;45,8777809;7,9651461;44,7677269;4,6691399;9,160059;2012-09-01
"94";2012;10;25820,7617188;60,9359016;45,8777809;7,9651461;44,7676086;4,6691303;9,1600246;2012-10-01
"95";2012;11;25820,640625;60,9358559;45,8777809;7,9651461;44,7674294;4,6691289;9,1600094;2012-11-01
"96";2012;12;25820,6054688;60,9358482;45,8777809;7,9651461;44,7673759;4,6691289;9,1600094;2012-12-01
"97";2013;1;25820,5976562;60,9358482;45,8777809;7,9651461;44,7673683;4,6691289;9,1600094;2013-01-01
"98";2013;2;25820,59375;60,9358482;45,8777809;7,9651461;44,7673531;4,6691289;9,1600084;2013-02-01
