"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"54";6;2009;20331,2714844;31,1379757;5,0253553;20,0722828;2,2115204;4,4526529;2009-06-01
"55";7;2009;20435,2714844;31,269907;5,0453191;20,1439915;2,2196021;4,4586453;2009-07-01
"56";8;2009;20526,2695312;31,4023209;5,0654302;20,2162628;2,2262316;4,4646039;2009-08-01
"57";9;2009;20610,7695312;31,5168095;5,082612;20,2779274;2,2326581;4,4708447;2009-09-01
"58";10;2009;20614,0195312;31,5168095;5,082612;20,2779007;2,232887;4,4716396;2009-10-01
"59";11;2009;20617,2675781;31,5168095;5,082612;20,2778606;2,2329121;4,4718838;2009-11-01
"60";12;2009;20620,5175781;31,5168095;5,082612;20,2778492;2,2329206;4,4719195;2009-12-01
"61";1;2010;20623,5429688;31,5168095;5,082612;20,2778473;2,2329245;4,4719324;2010-01-01
"62";2;2010;20626,5664062;31,5168095;5,082612;20,2778473;2,2329319;4,4719515;2010-02-01
"63";3;2010;20632,6191406;31,5168095;5,082612;20,2778435;2,2329679;4,472014;2010-03-01
"64";4;2010;20708,265625;31,5246544;5,0834041;20,2806129;2,2346303;4,4742208;2010-04-01
"65";5;2010;20859,5585938;31,6339855;5,0981388;20,3333225;2,2433329;4,4859419;2010-05-01
"66";6;2010;20956,3847656;31,7587929;5,117064;20,4016514;2,2492933;4,4943914;2010-06-01
"67";7;2010;21053,2109375;31,8837795;5,136044;20,4698982;2,2569516;4,5001121;2010-07-01
"68";8;2010;21137,9335938;32,0092316;5,1551671;20,5386944;2,2632351;4,5057774;2010-08-01
"69";9;2010;21216,6054688;32,1176796;5,1714973;20,5973644;2,2693222;4,5127172;2010-09-01
"70";10;2010;21219,6308594;32,1176796;5,1714973;20,5973377;2,2695358;4,5134573;2010-10-01
"71";11;2010;21222,65625;32,1176796;5,1714973;20,5973034;2,2695591;4,5136752;2010-11-01
"72";12;2010;21225,6816406;32,1176796;5,1714973;20,5972939;2,269567;4,5137072;2010-12-01
"73";1;2011;21228,484375;32,1176796;5,1714973;20,5972919;2,2695713;4,51372;2011-01-01
"74";2;2011;21231,2871094;32,1176796;5,1714973;20,59729;2,2695787;4,5137386;2011-02-01
"75";3;2011;21236,890625;32,1176796;5,1714973;20,5972862;2,2696142;4,5138001;2011-03-01
"76";4;2011;21306,9316406;32,1252365;5,172267;20,5999813;2,2712324;4,5159497;2011-04-01
"77";5;2011;21447,015625;32,2306786;5,1867709;20,6519833;2,2798481;4,5276046;2011-05-01
"78";6;2011;21536,6699219;32,348526;5,2047195;20,7168674;2,2854815;4,5332232;2011-06-01
"79";7;2011;21626,3242188;32,4665565;5,2227211;20,7817154;2,2927201;4,5385747;2011-07-01
"80";8;2011;21704,7695312;32,5850296;5,2408619;20,8470955;2,298661;4,5438328;2011-08-01
"81";9;2011;21777,6152344;32,6874161;5,2563434;20,9028149;2,3044121;4,5493093;2011-09-01
"82";10;2011;21780,4179688;32,6874161;5,2563434;20,9027939;2,3046103;4,549994;2011-10-01
"83";11;2011;21783,2207031;32,6874161;5,2563434;20,9027615;2,3046324;4,550189;2011-11-01
"84";12;2011;21786,0234375;32,6874161;5,2563434;20,9027519;2,3046396;4,5502186;2011-12-01
"85";1;2012;21788,7128906;32,6874161;5,2563434;20,90275;2,3046432;4,55023;2012-01-01
"86";2;2012;21791,4042969;32,6874161;5,2563434;20,9027462;2,3046503;4,5502472;2012-02-01
"87";3;2012;21796,78125;32,6874161;5,2563434;20,9027443;2,3046844;4,5503063;2012-03-01
"88";4;2012;21864,0234375;32,6946831;5,2570829;20,9053402;2,3062394;4,5523682;2012-04-01
"89";5;2012;21998,5058594;32,796917;5,2711911;20,9560032;2,3146114;4,5636926;2012-05-01
"90";6;2012;22084,5742188;32,9112816;5,288682;21,0193501;2,3200958;4,5690913;2012-06-01
"91";7;2012;22170,6445312;33,0258179;5,3062267;21,0826664;2,3271437;4,5742822;2012-07-01
"92";8;2012;22245,9550781;33,1408043;5,3239107;21,1465225;2,3329291;4,5793881;2012-08-01
"93";9;2012;22315,8867188;33,2401428;5,3389912;21,2008934;2,3385253;4,5846977;2012-09-01
"94";10;2012;22318,5761719;33,2401428;5,3389912;21,2008762;2,3387136;4,5853553;2012-10-01
"95";11;2012;22321,2675781;33,2401428;5,3389912;21,2008457;2,3387341;4,5855346;2012-11-01
"96";12;2012;22323,9570312;33,2401428;5,3389912;21,2008381;2,3387415;4,5855622;2012-12-01
"97";1;2013;22326,3105469;33,2401428;5,3389912;21,2008343;2,3387454;4,5855737;2013-01-01
"98";2;2013;22328,6640625;33,2401428;5,3389912;21,2008324;2,3387523;4,5855908;2013-02-01
"99";3;2013;22333,3710938;33,2401428;5,3389912;21,2008286;2,3387856;4,5856481;2013-03-01
"100";4;2013;22392,2070312;33,2469215;5,3396945;21,2032986;2,3402703;4,5876179;2013-04-01
"101";5;2013;22509,8789062;33,3413353;5,3531966;21,2518673;2,3483891;4,5968428;2013-05-01
"102";6;2013;22585,1875;33,4430275;5,3688064;21,3083344;2,3532646;4,6037955;2013-06-01
"103";7;2013;22660,4980469;33,5448761;5,3844652;21,3648453;2,3595307;4,6084809;2013-07-01
"104";8;2013;22726,3945312;33,6471291;5,4002523;21,4218464;2,3646755;4,6130948;2013-08-01
"105";9;2013;22787,5820312;33,7354431;5,4137058;21,4703484;2,3696487;4,6192622;2013-09-01
"106";10;2013;22789,9375;33,7354431;5,4137058;21,4703331;2,3698137;4,6198378;2013-10-01
"107";11;2013;22792,2890625;33,7354431;5,4137058;21,4703064;2,369832;4,6199894;2013-11-01
"108";12;2013;22794,6445312;33,7354431;5,4137058;21,4702988;2,369838;4,6200128;2013-12-01
"109";1;2014;22796,8847656;33,7354431;5,4137058;21,470295;2,3698413;4,6200237;2014-01-01
"110";2;2014;22799,125;33,7354431;5,4137058;21,470295;2,3698483;4,6200399;2014-02-01
"111";3;2014;22803,609375;33,7354431;5,4137058;21,4702911;2,3698797;4,6200938;2014-03-01
"112";4;2014;22859,6445312;33,7419319;5,4143796;21,4726562;2,3712995;4,6219754;2014-04-01
"113";5;2014;22971,7109375;33,8327637;5,4274158;21,5195923;2,379133;4,6326356;2014-05-01
"114";6;2014;23043,4355469;33,9304733;5,4424543;21,5740452;2,3838236;4,6365757;2014-06-01
"115";7;2014;23115,1582031;34,0283356;5,457541;21,62854;2,3898523;4,641016;2014-07-01
"116";8;2014;23177,9179688;34,1265984;5,4727535;21,6835175;2,394803;4,6454229;2014-08-01
"117";9;2014;23236,1933594;34,2114449;5,4857111;21,730278;2,399586;4,6500168;2014-09-01
"118";10;2014;23238,4355469;34,2114449;5,4857111;21,7302647;2,3997421;4,6505647;2014-10-01
"119";11;2014;23240,6757812;34,2114449;5,4857111;21,7302399;2,3997595;4,6507039;2014-11-01
"120";12;2014;23242,9179688;34,2114449;5,4857111;21,7302361;2,399765;4,6507258;2014-12-01
"121";1;2015;23245,046875;34,2114449;5,4857111;21,7302322;2,3997686;4,6507368;2015-01-01
"122";2;2015;23247,1757812;34,2114449;5,4857111;21,7302303;2,3997753;4,6507525;2015-02-01
"123";3;2015;23251,4335938;34,2114449;5,4857111;21,7302303;2,3998079;4,6508069;2015-03-01
"124";4;2015;23304,6660156;34,2178154;5,4863801;21,7325802;2,4012213;4,6526809;2015-04-01
"125";5;2015;23411,1308594;34,3065948;5,4993815;21,7794743;2,4090962;4,6574278;2015-05-01
"126";6;2015;23479,2675781;34,4002266;5,5138283;21,8317966;2,4135952;4,6610723;2015-06-01
"127";7;2015;23547,4042969;34,4940033;5,5283217;21,8841953;2,4193785;4,6652498;2015-07-01
"128";8;2015;23607,0234375;34,5881729;5,5429382;21,9370632;2,4241283;4,6693668;2015-08-01
"129";9;2015;23662,3847656;34,6694717;5,5553832;21,9820099;2,4287148;4,6736469;2015-09-01
"130";10;2015;23664,5136719;34,6694717;5,5553832;21,9820004;2,428863;4,6741672;2015-10-01
"131";11;2015;23666,6425781;34,6694717;5,5553832;21,9819756;2,4288793;4,6742945;2015-11-01
"132";12;2015;23668,7714844;34,6694717;5,5553832;21,9819717;2,4288847;4,6743155;2015-12-01
"133";1;2016;23670,7890625;34,6694717;5,5553823;21,9819698;2,4288886;4,6743259;2016-01-01
"134";2;2016;23672,8046875;34,6694717;5,5553823;21,9819679;2,4288948;4,6743412;2016-02-01
"135";3;2016;23676,8398438;34,6694717;5,5553823;21,9819679;2,4289258;4,6743932;2016-03-01
"136";4;2016;23727,2695312;34,6755829;5,5560236;21,9842224;2,4302795;4,676188;2016-04-01
"137";5;2016;23828,1328125;34,7610779;5,5686197;22,0297127;2,4379072;4,68081;2016-05-01
"138";6;2016;23892,6835938;34,8508644;5,5825038;22,0800533;2,4422209;4,6843266;2016-06-01
"139";7;2016;23957,234375;34,9408035;5,5964341;22,1304798;2,4477658;4,6883597;2016-07-01
"140";8;2016;24013,7148438;35,0311089;5,6104827;22,1813602;2,4523208;4,6924143;2016-08-01
"141";9;2016;24066,1640625;35,109066;5,6224418;22,2246056;2,4567177;4,696537;2016-09-01
"142";10;2016;24068,1816406;35,109066;5,6224418;22,2245922;2,4568589;4,6970305;2016-10-01
"143";11;2016;24070,1972656;35,109066;5,6224418;22,2245731;2,4568744;4,6971474;2016-11-01
"144";12;2016;24072,2148438;35,109066;5,6224418;22,2245636;2,4568796;4,697166;2016-12-01
"145";1;2017;24074,1191406;35,109066;5,6224427;22,2245636;2,456883;4,6971765;2017-01-01
"146";2;2017;24076,0234375;35,109066;5,6224427;22,2245617;2,4568892;4,6971903;2017-02-01
"147";3;2017;24079,8339844;35,109066;5,6224427;22,2245617;2,4569178;4,6972384;2017-03-01
"148";4;2017;24127,4628906;35,1148376;5,6230469;22,2266884;2,4581945;4,6989288;2017-04-01
"149";5;2017;24222,7226562;35,1959915;5,6350274;22,2699795;2,4654422;4,7033434;2017-05-01
"150";6;2017;24283,6875;35,2812805;5,648252;22,317955;2,469548;4,7073598;2017-06-01
"151";7;2017;24344,6503906;35,3667107;5,6615214;22,3660164;2,4748259;4,7112279;2017-07-01
"152";8;2017;24397,9960938;35,452507;5,6749067;22,4145184;2,479162;4,715014;2017-08-01
"153";9;2017;24447,5292969;35,5265503;5,6862941;22,455719;2,483345;4,7189226;2017-09-01
"154";10;2017;24449,4335938;35,5265503;5,6862941;22,4557076;2,4834771;4,719388;2017-10-01
"155";11;2017;24451,3378906;35,5265503;5,6862941;22,4556904;2,4834917;4,7194939;2017-11-01
"156";12;2017;24453,2421875;35,5265503;5,6862941;22,4556808;2,4834969;4,7195125;2017-12-01
"157";1;2018;24455,1464844;35,5265503;5,6862941;22,4556808;2,4835005;4,7195225;2018-01-01
"158";2;2018;24457,0507812;35,5265503;5,6862941;22,4556789;2,4835069;4,7195373;2018-02-01
"159";3;2018;24460,8613281;35,5265503;5,6862941;22,4556789;2,4835384;4,7195888;2018-03-01
"160";4;2018;24508,4921875;35,5325203;5,6869273;22,4579086;2,48488;4,7213664;2018-04-01
"161";5;2018;24603,75;35,6158676;5,6994967;22,5034428;2,492558;4,7263446;2018-05-01
"162";6;2018;24664,7148438;35,7016792;5,7128234;22,5518246;2,4966927;4,7308531;2018-06-01
"163";7;2018;24725,6796875;35,787632;5,7261958;22,6003246;2,5020082;4,7347965;2018-07-01
"164";8;2018;24779,0234375;35,873951;5,7396855;22,6492786;2,5063758;4,7386613;2018-08-01
"165";9;2018;24828,5566406;35,9484329;5,7511582;22,6908493;2,5105877;4,7426047;2018-09-01
"166";10;2018;24830,4609375;35,9484329;5,7511582;22,6908436;2,5107203;4,7430706;2018-10-01
"167";11;2018;24832,3652344;35,9484329;5,7511582;22,6908226;2,5107346;4,7431722;2018-11-01
"168";12;2018;24834,2695312;35,9484329;5,7511582;22,6908169;2,5107396;4,7431908;2018-12-01
"169";1;2019;24835,953125;35,9484406;5,7511582;22,690815;2,5107427;4,7431993;2019-01-01
"170";2;2019;24837,6347656;35,9484406;5,7511582;22,690815;2,5107484;4,7432122;2019-02-01
"171";3;2019;24840,9960938;35,9484406;5,7511582;22,6908092;2,5107753;4,743257;2019-03-01
"172";4;2019;24883,0234375;35,9536896;5,7517152;22,6927719;2,5119531;4,7448134;2019-04-01
"173";5;2019;24967,0722656;36,0278397;5,7629261;22,733408;2,5187845;4,7540178;2019-05-01
"174";6;2019;25020,8632812;36,1043282;5,7748585;22,7767544;2,5224805;4,7570953;2019-06-01
"175";7;2019;25074,65625;36,1809425;5,7868333;22,8202152;2,5272322;4,7606063;2019-07-01
"176";8;2019;25121,7226562;36,2575836;5,7989163;22,8640919;2,5311379;4,7640452;2019-08-01
"177";9;2019;25165,4296875;36,3242569;5,8091831;22,9013138;2,5349004;4,767549;2019-09-01
"178";10;2019;25167,1113281;36,3242569;5,8091831;22,9013081;2,5350156;4,7679601;2019-10-01
"179";11;2019;25168,7929688;36,3242569;5,8091831;22,901289;2,5350285;4,7680469;2019-11-01
"180";12;2019;25170,4765625;36,3242569;5,8091831;22,9012833;2,5350327;4,7680621;2019-12-01
"181";1;2020;25172,046875;36,3242569;5,8091831;22,9012833;2,5350356;4,7680707;2020-01-01
"182";2;2020;25173,6152344;36,3242607;5,8091831;22,9012814;2,5350413;4,7680836;2020-02-01
"183";3;2020;25176,7539062;36,3242607;5,8091831;22,9012814;2,5350678;4,7681274;2020-03-01
"184";4;2020;25215,9765625;36,3292656;5,8097205;22,9031792;2,5362072;4,76963;2020-04-01
"185";5;2020;25294,4238281;36,3997765;5,8205848;22,9426193;2,5428803;4,7787876;2020-05-01
"186";6;2020;25344,6308594;36,4714432;5,8318105;22,9834118;2,5463586;4,7826204;2020-06-01
"187";7;2020;25394,8398438;36,5432281;5,8430781;23,0243301;2,5508306;4,7860169;2020-07-01
"188";8;2020;25438,7695312;36,6147575;5,8544517;23,0656605;2,5545082;4,7893734;2020-08-01
"189";9;2020;25479,5625;36,6775017;5,8641052;23,100687;2,5580459;4,7927179;2020-09-01
"190";10;2020;25481,1328125;36,6775017;5,8641052;23,1006794;2,5581517;4,7931018;2020-10-01
"191";11;2020;25482,703125;36,6775017;5,8641043;23,1006641;2,5581632;4,793179;2020-11-01
"192";12;2020;25484,2734375;36,6775017;5,8641043;23,1006603;2,558167;4,7931933;2020-12-01
"193";1;2021;25485,9550781;36,6775017;5,8641043;23,1006584;2,5581701;4,7932019;2021-01-01
"194";2;2021;25487,6367188;36,6775017;5,8641043;23,1006584;2,5581758;4,7932148;2021-02-01
"195";3;2021;25490,9980469;36,6775017;5,8641043;23,1006546;2,5582023;4,7932591;2021-03-01
"196";4;2021;25533,0253906;36,6827164;5,8646579;23,1026077;2,559371;4,7947979;2021-04-01
"197";5;2021;25617,0742188;36,7571335;5,8759379;23,1435966;2,5662415;4,8042073;2021-05-01
"198";6;2021;25670,8671875;36,8341179;5,888011;23,1875839;2,5699842;4,8072963;2021-06-01
"199";7;2021;25724,6582031;36,9112358;5,9001279;23,2316837;2,5747972;4,8108482;2021-07-01
"200";8;2021;25771,7265625;36,9878769;5,9123592;23,276226;2,5787547;4,8143454;2021-08-01
"201";9;2021;25815,4316406;37,0554771;5,92274;23,3139668;2,5825617;4,8179083;2021-09-01
"202";10;2021;25817,1132812;37,0554771;5,92274;23,313961;2,5826745;4,8183198;2021-10-01
"203";11;2021;25818,796875;37,0554771;5,92274;23,3139439;2,5826871;4,8183999;2021-11-01
"204";12;2021;25820,4785156;37,0554771;5,92274;23,31394;2,5826912;4,8184152;2021-12-01
"205";1;2022;25821,9355469;37,0554771;5,92274;23,3139381;2,5826941;4,8184233;2022-01-01
"206";2;2022;25823,3945312;37,0554771;5,92274;23,31394;2,5826991;4,8184352;2022-02-01
"207";3;2022;25826,3066406;37,055481;5,92274;23,3139381;2,5827241;4,8184762;2022-03-01
"208";4;2022;25862,7265625;37,060173;5,9232445;23,3157177;2,5837922;4,8198838;2022-04-01
"209";5;2022;25935,5703125;37,126667;5,9335594;23,35322;2,5901279;4,8286047;2022-05-01
"210";6;2022;25982,1914062;37,1939621;5,9441304;23,391674;2,5933957;4,8332715;2022-06-01
"211";7;2022;26028,8125;37,2613869;5,9547405;23,4302597;2,5975978;4,8364134;2022-07-01
"212";8;2022;26069,6074219;37,3278122;5,9654517;23,4692383;2,6010542;4,8394732;2022-08-01
"213";9;2022;26107,484375;37,3874817;5,9745402;23,5022488;2,6043775;4,8431354;2022-09-01
"214";10;2022;26108,9433594;37,3874817;5,9745402;23,5022411;2,6044757;4,843492;2022-10-01
"215";11;2022;26110,4003906;37,3874779;5,9745402;23,5022278;2,6044865;4,8435602;2022-11-01
"216";12;2022;26111,8574219;37,3874779;5,9745402;23,5022259;2,6044903;4,8435726;2022-12-01
"217";1;2023;26113,3164062;37,3874779;5,9745402;23,5022221;2,6044931;4,8435807;2023-01-01
"218";2;2023;26114,7734375;37,3874817;5,9745402;23,5022221;2,6044984;4,8435926;2023-02-01
"219";3;2023;26117,6855469;37,3874817;5,9745402;23,5022221;2,6045229;4,8436327;2023-03-01
"220";4;2023;26154,1054688;37,3921738;5,9750438;23,5040035;2,6055899;4,845036;2023-04-01
"221";5;2023;26226,9511719;37,4590874;5,9854565;23,5419331;2,6119852;4,8538442;2023-05-01
"222";6;2023;26273,5722656;37,5268097;5,9961267;23,5808277;2,6152837;4,8571353;2023-06-01
"223";7;2023;26320,1933594;37,5946541;6,0068374;23,6198597;2,6195257;4,8602853;2023-07-01
"224";8;2023;26360,9863281;37,6610794;6,0176492;23,6592922;2,6230154;4,8633661;2023-08-01
"225";9;2023;26398,8652344;37,7215385;6,0268226;23,6926727;2,6263685;4,8664808;2023-09-01
"226";10;2023;26400,3222656;37,7215385;6,0268226;23,6926689;2,6264658;4,866837;2023-10-01
"227";11;2023;26401,7792969;37,7215385;6,026823;23,6926556;2,6264763;4,8669033;2023-11-01
"228";12;2023;26403,2382812;37,7215385;6,026823;23,6926517;2,6264801;4,8669162;2023-12-01
"229";1;2024;26404,6953125;37,7215385;6,026823;23,6926517;2,626483;4,8669238;2024-01-01
"230";2;2024;26406,1523438;37,7215385;6,026823;23,6926517;2,6264884;4,8669357;2024-02-01
"231";3;2024;26409,0644531;37,7215385;6,026823;23,6926479;2,626513;4,8669758;2024-03-01
"232";4;2024;26445,4863281;37,7262383;6,0273285;23,6944351;2,6275835;4,8683844;2024-04-01
"233";5;2024;26518,3300781;37,7931442;6,0377455;23,7323608;2,6339865;4,8771973;2024-05-01
"234";6;2024;26564,9511719;37,8607559;6,048388;23,7711277;2,6372762;4,8804283;2024-06-01
"235";7;2024;26611,5722656;37,9284935;6,0590706;23,8100319;2,6415064;4,8835616;2024-07-01
"236";8;2024;26652,3652344;37,994915;6,0698566;23,8493309;2,6449859;4,886641;2024-08-01
"237";9;2024;26690,2441406;38,0551605;6,0790033;23,8826084;2,6483302;4,8897381;2024-09-01
"238";10;2024;26691,7011719;38,0551605;6,0790033;23,8826027;2,6484282;4,8900943;2024-10-01
"239";11;2024;26693,1601562;38,0551605;6,0790033;23,8825874;2,6484387;4,8901577;2024-11-01
"240";12;2024;26694,6171875;38,0551605;6,0790033;23,8825855;2,6484425;4,8901706;2024-12-01
"241";1;2025;26695,9609375;38,0551605;6,0790033;23,8825836;2,6484449;4,8901782;2025-01-01
"242";2;2025;26697,3066406;38,0551605;6,0790033;23,8825836;2,6484497;4,8901887;2025-02-01
"243";3;2025;26699,9980469;38,0551682;6,0790033;23,8825817;2,6484721;4,8902249;2025-03-01
"244";4;2025;26733,6171875;38,0594902;6,0794678;23,8842239;2,6494544;4,8915157;2025-04-01
"245";5;2025;26800,859375;38,1215897;6,0891581;23,9195442;2,6554012;4,8983564;2025-05-01
"246";6;2025;26843,8945312;38,1844635;6,0990953;23,9557838;2,6584704;4,9027309;2025-06-01
"247";7;2025;26886,9296875;38,2474556;6,1090708;23,9921551;2,6624181;4,9057012;2025-07-01
"248";8;2025;26924,5820312;38,3087654;6,119051;24,0289097;2,6656668;4,9086485;2025-08-01
"249";9;2025;26959,5488281;38,3652382;6,1276784;24,0599976;2,6687858;4,912467;2025-09-01
"250";10;2025;26960,8945312;38,365242;6,1276779;24,0599918;2,6688745;4,9127955;2025-10-01
"251";11;2025;26962,2382812;38,365242;6,1276779;24,0599804;2,6688843;4,9128518;2025-11-01
"252";12;2025;26963,5839844;38,365242;6,1276779;24,0599785;2,6688876;4,9128637;2025-12-01
"253";1;2026;26964,9296875;38,365242;6,1276779;24,0599747;2,6688905;4,9128709;2026-01-01
"254";2;2026;26966,2734375;38,365242;6,1276779;24,0599747;2,668895;4,9128819;2026-02-01
"255";3;2026;26968,9648438;38,365242;6,1276779;24,0599747;2,6689177;4,9129181;2026-03-01
"256";4;2026;27002,5859375;38,3695374;6,12814;24,0616093;2,6698952;4,9141994;2026-04-01
"257";5;2026;27069,8261719;38,4313736;6,1377788;24,0967293;2,6758094;4,9223008;2026-05-01
"258";6;2026;27112,8613281;38,4941025;6,1477003;24,1329079;2,6788764;4,9248857;2026-06-01
"259";7;2026;27155,8964844;38,5569458;6,1576605;24,1692142;2,6828218;4,9278183;2026-07-01
"260";8;2026;27193,5507812;38,6182594;6,1676407;24,2059059;2,6860683;4,9306941;2026-08-01
"261";9;2026;27228,515625;38,6744499;6,1762385;24,2369347;2,689184;4,9336147;2026-09-01
"262";10;2026;27229,8613281;38,6744499;6,1762395;24,2369289;2,6892724;4,9339428;2026-10-01
"263";11;2026;27231,2070312;38,6744499;6,1762395;24,2369175;2,6892819;4,9339967;2026-11-01
"264";12;2026;27232,5507812;38,6744461;6,17624;24,2369156;2,6892855;4,9340086;2026-12-01
"265";1;2027;27233,7851562;38,6744461;6,17624;24,2369137;2,6892881;4,9340158;2027-01-01
"266";2;2027;27235,0175781;38,6744499;6,1762395;24,2369137;2,6892927;4,9340258;2027-02-01
"267";3;2027;27237,4824219;38,6744461;6,1762395;24,2369099;2,6893141;4,9340611;2027-03-01
"268";4;2027;27268,3007812;38,6784897;6,1766791;24,238472;2,6902483;4,9352832;2027-04-01
"269";5;2027;27329,9394531;38,7367287;6,185977;24,2724552;2,6960053;4,9388132;2027-05-01
"270";6;2027;27369,3867188;38,7947617;6,1952085;24,30616;2,698858;4,9411497;2027-06-01
"271";7;2027;27408,8359375;38,8529129;6,2044773;24,3400154;2,7025285;4,94384;2027-07-01
