"";"Harvest";"Rock_Type";"N";"Harvest_Type";"value"
"103";"H3";"Sedimentary";"High";"80_BO";118740,9750977
"104";"H4";"Sedimentary";"High";"80_BO";118836,6040039
"105";"H5";"Sedimentary";"High";"80_BO";120804,7490234
"106";"H6";"Sedimentary";"High";"80_BO";123447,4672852
"107";"H1";"Basalt";"Low";"80_BO";661013,4101563
"108";"H2";"Basalt";"Low";"80_BO";509392,9008789
"109";"H3";"Basalt";"Low";"80_BO";340402,0558472
"110";"H4";"Basalt";"Low";"80_BO";67587,0914307
"111";"H5";"Basalt";"Low";"80_BO";55977,8279114
"112";"H6";"Basalt";"Low";"80_BO";66535,1022644
"113";"H1";"Basalt";"High";"80_BO";201045,8310548
"114";"H2";"Basalt";"High";"80_BO";61787,4941406
"115";"H3";"Basalt";"High";"80_BO";56954,7097168
"116";"H4";"Basalt";"High";"80_BO";57167,1591797
"117";"H5";"Basalt";"High";"80_BO";57401,7148437
"118";"H6";"Basalt";"High";"80_BO";57640,357422
"119";"H1";"Sedimentary";"Low";"80_WTH";653911,9443359
"120";"H2";"Sedimentary";"Low";"80_WTH";584161,8076172
"121";"H3";"Sedimentary";"Low";"80_WTH";457625,6162109
"122";"H4";"Sedimentary";"Low";"80_WTH";335401,8701171
"123";"H5";"Sedimentary";"Low";"80_WTH";92713,1099854
"124";"H6";"Sedimentary";"Low";"80_WTH";92675,6567383
"125";"H1";"Sedimentary";"High";"80_WTH";344936,0317382
"126";"H2";"Sedimentary";"High";"80_WTH";101447,708496
"127";"H3";"Sedimentary";"High";"80_WTH";99783,5986329
"128";"H4";"Sedimentary";"High";"80_WTH";100969,8740235
"129";"H5";"Sedimentary";"High";"80_WTH";101822,4101562
"130";"H6";"Sedimentary";"High";"80_WTH";102909,4785155
"131";"H1";"Basalt";"Low";"80_WTH";661013,4101563
"132";"H2";"Basalt";"Low";"80_WTH";373053,9707031
"133";"H3";"Basalt";"Low";"80_WTH";241221,3530274
"134";"H4";"Basalt";"Low";"80_WTH";165833,2219238
"135";"H5";"Basalt";"Low";"80_WTH";58211,3678284
"136";"H6";"Basalt";"Low";"80_WTH";63488,8585207
"137";"H1";"Basalt";"High";"80_WTH";201045,8310548
"138";"H2";"Basalt";"High";"80_WTH";42604,7531738
"139";"H3";"Basalt";"High";"80_WTH";38794,9978027
"140";"H4";"Basalt";"High";"80_WTH";38878,2260742
"141";"H5";"Basalt";"High";"80_WTH";39094,942871
"142";"H6";"Basalt";"High";"80_WTH";39259,3437501
