"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;7,1070211;9,9009151;17,4272244;1,6146154;54,307608;86,3152953;1,8199572
"2";2006;7,031806;9,6758162;16,9261986;1,5637251;52,8344734;84,0580088;1,889502
"3";2007;7,0432817;9,5587366;16,6720339;1,5501409;52,2141389;83,0698147;1,9323805
"4";2008;7,0473344;9,5361231;16,6206339;1,5453715;52,0727288;82,8493429;1,9472682
"5";2009;7,0495872;9,5610015;16,6573866;1,5404496;52,1034516;82,9274193;1,9639984
"6";2010;7,0758645;9,5603602;16,662032;1,5488858;52,1982236;83,0466698;1,9625241
"7";2011;7,0684139;9,5714335;16,687536;1,5504783;52,2589845;83,1444941;1,9521883
"8";2012;7,0591255;9,5989866;16,7363663;1,5462884;52,3164674;83,261801;1,9569604
"9";2013;7,0641682;9,5683003;16,6812198;1,5492725;52,2372145;83,1104266;1,9512411
"10";2014;7,0549902;9,5813117;16,7123037;1,5508629;52,3095151;83,2253261;1,9392461
"11";2015;7,0486979;9,6197437;16,7857033;1,5490805;52,4383655;83,4518154;1,9401984
"12";2016;7,0532191;9,5888255;16,7305722;1,5522721;52,360918;83,3024789;1,9334116
"13";2017;7,0431518;9,601548;16,7607193;1,5533124;52,4259397;83,4075748;1,9222319
"14";2018;7,04041;9,6466019;16,8489633;1,5531343;52,5992495;83,701845;1,9220642
"15";2019;7,0401973;9,6051544;16,771725;1,5543577;52,4592777;83,4552421;1,9162374
"16";2020;7,0305208;9,619188;16,8051551;1,5556824;52,5334918;83,5741815;1,9046296
"17";2021;7,0286206;9,6651271;16,8953094;1,5555488;52,7108389;83,8750453;1,9051726
"18";2022;7,0317168;9,6294226;16,8302152;1,5582747;52,609703;83,6876486;1,8981821
"19";2023;7,0225086;9,6419406;16,8590295;1,5588196;52,6674421;83,7830212;1,8892439
"20";2024;7,0247788;9,6952117;16,9653375;1,5603859;52,8929306;84,157565;1,888968
"21";2025;7,0234808;9,6475153;16,8743594;1,5607914;52,7184249;83,8565893;1,8842266
"22";2026;7,0167207;9,6659791;16,9155956;1,5623821;52,8109316;84,0062167;1,8747098
"23";2027;7,0153294;9,7088436;17,0005851;1,5621142;52,9763458;84,2867339;1,8760345
"24";2028;7,0176577;9,668952;16,9258558;1,5642078;52,8506327;84,0610435;1,869953
"25";2029;7,008026;9,6778454;16,9459633;1,5635958;52,8801672;84,1143177;1,8638691
"26";2030;7,0135555;9,7326113;17,0562266;1,5660069;53,1214807;84,511601;1,8642032
"27";2031;7,0121477;9,6839765;16,9625652;1,5663478;52,9414058;84,2020094;1,8594754
"28";2032;7,0039185;9,6960106;16,9893032;1,5663542;52,9901699;84,2850456;1,8529804
"29";2033;7,0100985;9,7525829;17,1041188;1,5691507;53,2440474;84,7013562;1,8528729
"30";2034;7,0083097;9,703097;17,0082674;1,5692903;53,0578144;84,3824939;1,8483353
"31";2035;7,0030232;9,7188346;17,0416971;1,5697759;53,1247992;84,4949682;1,8432818
"32";2036;7,0111455;9,7731318;17,1516406;1,572601;53,3694592;84,895822;1,844779
"33";2037;7,0064465;9,71827;17,0440746;1,5716551;53,149601;84,5250971;1,8405214
"34";2038;7,0012406;9,7322504;17,0737161;1,5719542;53,2075264;84,6230936;1,8359899
"35";2039;7,0098284;9,7881521;17,1875315;1,5749949;53,4616973;85,0387225;1,8373798
"36";2040;7,0028659;9,7271096;17,0661555;1,5728805;53,2035177;84,6088051;1,8341787
"37";2041;6,9989236;9,7458058;17,1055433;1,573722;53,2857342;84,7456043;1,8294479
"38";2042;7,0103811;9,8020215;17,2200613;1,5773933;53,5479001;85,1720817;1,831591
"39";2043;7,0063872;9,7481169;17,1134901;1,5765479;53,3309912;84,8067379;1,8277302
"40";2044;6,9903988;9,7392562;17,0932899;1,5717003;53,240737;84,6775042;1,8274416
"41";2045;7,0095136;9,8102741;17,2398862;1,5784938;53,5965501;85,2481627;1,8280804
"42";2046;7,0018894;9,7492775;17,1178662;1,5762563;53,3357075;84,8149103;1,8246559
"43";2047;6,9970124;9,7635187;17,1464887;1,5759205;53,3857178;84,903194;1,8223107
"44";2048;7,004688;9,8086837;17,2383203;1,5778033;53,5857255;85,2319522;1,8257546
"45";2049;7,0005219;9,7537072;17,1285704;1,5767115;53,360408;84,8540482;1,8223824
"46";2050;6,9929104;9,7611051;17,1427338;1,5753104;53,3714137;84,8811229;1,8203583
"47";2051;7,0095799;9,8233395;17,2709261;1,5804957;53,6757306;85,3715281;1,8230725
"48";2052;6,9929481;9,7474268;17,1165797;1,574801;53,3172855;84,7887884;1,8209125
"49";2053;6,9867708;9,7568255;17,134891;1,5738688;53,3411564;84,8355432;1,8188879
"50";2054;7,0074772;9,8274261;17,2815941;1,5809752;53,7007002;85,4104318;1,8200193
"51";2055;6,9941864;9,7567506;17,1377511;1,5762998;53,3728567;84,8754639;1,8181684
"52";2056;6,979692;9,7517247;17,1245863;1,5717659;53,2995475;84,7741144;1,8184988
"53";2057;7,000833;9,8183244;17,2628561;1,5787838;53,6417929;85,3203002;1,8200748
"54";2058;6,9919127;9,7555221;17,13557;1,5756999;53,3623568;84,8602842;1,8178854
"55";2059;6,9788328;9,7542199;17,1300974;1,5717303;53,3095511;84,7913198;1,8180431
"56";2060;7,0001088;9,8191829;17,2654543;1,5787776;53,6464616;85,3280234;1,8195703
"57";2061;6,9924877;9,7618043;17,1497674;1,5766017;53,3984861;84,9171588;1,8161632
"58";2062;6,9747571;9,7480634;17,1166269;1,5700723;53,2663896;84,7262231;1,8190228
"59";2063;7,0075767;9,8324586;17,2941491;1,5816619;53,73092;85,4582914;1,8186173
"60";2064;6,9906506;9,7578912;17,1406092;1,5754296;53,368888;84,8731964;1,8178548
"61";2065;6,9761677;9,7524077;17,1250511;1,5704389;53,2862723;84,7591605;1,8195464
"62";2066;6,9994897;9,8157373;17,2573216;1,5779288;53,6216505;85,2912341;1,8215443
"63";2067;6,9877275;9,7521679;17,1279299;1,5739734;53,32955;84,8137263;1,8192903
"64";2068;6,9721346;9,743717;17,1056967;1,5683612;53,2277192;84,6701959;1,8216635
"65";2069;6,9968457;9,8074055;17,2386825;1,5762262;53,5682643;85,2094793;1,8238303
"66";2070;6,98338;9,743156;17,1078319;1,571756;53,2684656;84,7210381;1,8214859
"67";2071;6,9669004;9,7332423;17,0824093;1,5657569;53,1562816;84,5618126;1,8241515
"68";2072;6,9924152;9,7985968;17,2192518;1,5741371;53,5093975;85,1199287;1,8256086
"69";2073;6,9790873;9,7323391;17,0835345;1,5691937;53,1956322;84,6102917;1,8246838
"70";2074;6,9634544;9,7248185;17,0631927;1,5637186;53,0985382;84,4742854;1,826681
"71";2075;6,9896976;9,7920543;17,204688;1,5726432;53,4659426;85,0537564;1,8272953
"72";2076;6,9771499;9,7286869;17,0752818;1,5682472;53,1701391;84,5719133;1,8255849
"73";2077;6,9600892;9,7167886;17,0450434;1,5618371;53,0444116;84,3920158;1,8288364
"74";2078;6,9865888;9,7834246;17,1852368;1,5707723;53,4092707;84,9672386;1,8296322
"75";2079;6,9736089;9,7202541;17,056506;1,5662683;53,1139078;84,4863297;1,8278463
"76";2080;6,9577181;9,7136887;17,037866;1,5607474;53,0194356;84,3551774;1,8298121
"77";2081;6,9825292;9,772098;17,1600125;1,5684336;53,3367176;84,8559853;1,8323509
"78";2082;6,9701874;9,7120535;17,0378794;1,5642487;53,0576373;84,4010727;1,8303432
