 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2007;           4;    951.1229248;    181.7691345;   1007.8945312;    396.4769592;    285.2313232;  31403.2695312;   1976.8132324;     37.1280823;      4.3030424;     38.3824615;      8.8779554;      3.8912947;    825.2790527
        2007;           5;    941.3660889;    174.2336884;   1004.6060181;    394.2375183;    313.1165161;  31390.5722656;   2027.1767578;     36.7472115;      4.1246548;     38.2572289;      8.8278093;      4.2717209;    824.9453735
        2007;           6;    937.3408813;    171.7947998;   1003.2160645;    399.0755920;    313.0363464;  31375.6738281;   2081.4326172;     36.5900841;      4.0669188;     38.2042961;      8.9361448;      4.2706275;    824.5538330
        2007;           7;    935.4548340;    171.1683807;   1002.9682617;    408.5204163;    303.6197510;  31357.9687500;   2139.7141113;     36.5164642;      4.0520892;     38.1948624;      9.1476345;      4.1421609;    824.0885620
        2007;           8;    934.8641357;    171.6413116;   1000.5759277;    409.6948242;    294.0794067;  31341.7382812;   2199.4829102;     36.4934082;      4.0632849;     38.1037560;      9.1739311;      4.0120053;    823.6619873
        2007;           9;    933.7167358;    171.5252686;    998.3981323;    410.3875122;    284.7786255;  31326.3300781;   2258.9531250;     36.4486160;      4.0605378;     38.0208206;      9.1894417;      3.8851187;    823.2570801
        2007;          10;    934.2251587;    171.9735260;    998.4831543;    410.6893005;    279.6719971;  31311.2636719;   2306.9667969;     36.4684601;      4.0711493;     38.0240593;      9.1961994;      3.8154507;    822.8611450
        2007;          11;    937.2159424;    172.1826477;    999.0061035;    410.2632751;    271.4685059;  31284.9570312;   2387.6921387;     36.5852089;      4.0760999;     38.0439720;      9.1866608;      3.7035339;    822.1697998
        2007;          12;    982.1318970;    187.9215698;   1008.7476807;    413.3442383;    273.9739685;  31167.9785156;   2601.9260254;     38.3385506;      4.4486895;     38.4149513;      9.2556496;      3.7377155;    819.0955811
        2008;           1;    995.5479736;    190.5588226;   1013.2676392;    409.7937927;    272.8135071;  31117.0781250;   2722.6630859;     38.8622627;      4.5111213;     38.5870819;      9.1761475;      3.7218835;    817.7578735
        2008;           2;    998.4819336;    188.7682648;   1014.6016235;    403.9267273;    278.4389038;  31091.4140625;   2796.3151855;     38.9767914;      4.4687338;     38.6378784;      9.0447712;      3.7986283;    817.0834961
        2008;           3;    998.6370850;    186.0679626;   1015.4439697;    399.7705078;    287.2684631;  31073.0078125;   2851.1049805;     38.9828491;      4.4048090;     38.6699600;      8.9517059;      3.9190865;    816.5997314
        2008;           4;    997.9065552;    183.3424683;   1015.8064575;    396.5112915;    296.7909851;  31055.6621094;   2903.5249023;     38.9543304;      4.3402877;     38.6837616;      8.8787241;      4.0489984;    816.1439209
        2008;           5;    986.6511230;    174.6290131;   1011.7716064;    391.7490234;    326.8494263;  31045.7812500;   2951.6967773;     38.5149612;      4.1340132;     38.5301056;      8.7720871;      4.4590735;    815.8842773
        2008;           6;    976.1309814;    167.0283813;   1009.0700684;    391.9227295;    359.4294739;  31030.7578125;   3003.0485840;     38.1043015;      3.9540827;     38.4272270;      8.7759771;      4.9035497;    815.4894409
        2008;           7;    974.0054932;    166.1897278;   1008.8171387;    401.3843079;    349.7253418;  31013.8125000;   3060.3012695;     38.0213280;      3.9342291;     38.4175949;      8.9878426;      4.7711601;    815.0440674
        2008;           8;    973.1812134;    166.3815613;   1006.3280029;    402.4134216;    339.7545776;  30998.1406250;   3119.9755859;     37.9891510;      3.9387703;     38.3228035;      9.0108862;      4.6351328;    814.6322632
        2008;           9;    971.8892822;    166.0999298;   1004.0755005;    403.0238647;    330.0065613;  30983.1816406;   3179.4787598;     37.9387169;      3.9321032;     38.2370262;      9.0245552;      4.5021448;    814.2391357
        2008;          10;    972.3673706;    166.4965363;   1004.1546631;    403.2933655;    324.6598511;  30968.5253906;   3226.6354980;     37.9573784;      3.9414921;     38.2400398;      9.0305901;      4.4292021;    813.8539429
        2008;          11;    985.8124390;    174.0268097;   1007.3109741;    402.7734985;    332.5140076;  30898.0332031;   3385.6535645;     38.4822235;      4.1197572;     38.3602409;      9.0189486;      4.5363531;    812.0013428
        2008;          12;   1009.5406494;    189.1093903;   1014.1834106;    406.0799561;    326.1530762;  30800.9433594;   3595.5012207;     39.4084816;      4.4768090;     38.6219559;      9.0929871;      4.4495740;    809.4498291
        2009;           1;   1016.5469971;    193.6040802;   1017.6675415;    403.8658142;    322.1156921;  30741.3359375;   3754.0629883;     39.6819801;      4.5832124;     38.7546349;      9.0434084;      4.3944931;    807.8833618
        2009;           2;   1015.8977051;    192.4826813;   1018.8836670;    403.0602417;    322.7398376;  30712.6894531;   3842.5761719;     39.6566353;      4.5566654;     38.8009491;      9.0253687;      4.4030085;    807.1305542
        2009;           3;   1020.3583984;    195.5750427;   1021.6672363;    403.0778198;    325.9090881;  30677.9589844;   3925.7387695;     39.8307610;      4.6298714;     38.9069519;      9.0257626;      4.4462447;    806.2178955
        2009;           4;   1016.6523438;    191.9318695;   1021.5588379;    399.9595337;    336.1391907;  30657.9863281;   3993.2883301;     39.6860924;      4.5436258;     38.9028244;      8.9559374;      4.5858097;    805.6929321
        2009;           5;   1006.0996704;    183.5985413;   1018.8585815;    398.6661987;    365.0578918;  30638.3554688;   4064.9897461;     39.2741585;      4.3463502;     38.7999916;      8.9269772;      4.9803362;    805.1770630
        2009;           6;    992.1906128;    173.5155487;   1015.8198853;    397.8567505;    415.1107788;  30615.9238281;   4134.1347656;     38.7312012;      4.1076541;     38.6842728;      8.9088526;      5.6631866;    804.5875854
        2009;           7;    990.3520508;    172.9665985;   1017.1989746;    413.5982971;    402.7747498;  30586.8222656;   4221.4648438;     38.6594315;      4.0946589;     38.7367935;      9.2613382;      5.4948912;    803.8227539
        2009;           8;    990.5612793;    173.9886322;   1014.7212524;    414.9475098;    389.1423645;  30560.1015625;   4313.8168945;     38.6675987;      4.1188536;     38.6424332;      9.2915506;      5.3089104;    803.1204834
        2009;           9;    989.6112671;    174.0213623;   1012.4265137;    415.6353149;    375.6211243;  30534.5312500;   4407.4033203;     38.6305161;      4.1196284;     38.5550461;      9.3069525;      5.1244459;    802.4485474
        2009;          10;    990.1813965;    174.4769592;   1012.5047607;    415.9052429;    365.9988098;  30509.4042969;   4490.0942383;     38.6527710;      4.1304140;     38.5580292;      9.3129959;      4.9931722;    801.7882080
        2009;          11;   1000.9844971;    183.4600525;   1015.6304932;    416.3085632;    364.1986694;  30438.2636719;   4662.1567383;     39.0744820;      4.3430715;     38.6770592;      9.3220282;      4.9686136;    799.9186401
        2009;          12;   1011.5260010;    192.6683197;   1019.9487915;    416.9880981;    355.1859131;  30369.8789062;   4831.9760742;     39.4859810;      4.5610604;     38.8415108;      9.3372440;      4.8456569;    798.1215210
        2010;           1;   1018.2881470;    199.3566132;   1024.5024414;    414.9845581;    359.7782593;  30318.6562500;   4951.5576172;     39.7499466;      4.7193923;     39.0149193;      9.2923803;      4.9083085;    796.7753906
        2010;           2;   1016.4298096;    198.0822144;   1025.7011719;    411.4390564;    367.8181763;  30295.3437500;   5022.1040039;     39.6774063;      4.6892238;     39.0605698;      9.2129889;      5.0179935;    796.1627197
        2010;           3;   1017.7963257;    200.1784515;   1028.5002441;    410.1799316;    376.6510925;  30269.7773438;   5081.4257812;     39.7307510;      4.7388482;     39.1671638;      9.1847935;      5.1384969;    795.4908447
        2010;           4;   1017.9119263;    201.3212738;   1030.6337891;    409.0559082;    386.6096497;  30247.8144531;   5133.9008789;     39.7352638;      4.7659020;     39.2484131;      9.1596251;      5.2743573;    794.9136353
        2010;           5;   1009.1361694;    194.4043427;   1027.1217041;    405.2536011;    404.1598816;  30237.3144531;   5186.4140625;     39.3926926;      4.6021566;     39.1146660;      9.0744829;      5.5137887;    794.6376953
        2010;           6;   1000.3020630;    188.0730896;   1025.0063477;    402.1796570;    445.7104492;  30211.4101562;   5258.1108398;     39.0478439;      4.4522767;     39.0341110;      9.0056515;      6.0806465;    793.9569092
        2010;           7;    987.0942383;    178.1260529;   1021.7723389;    400.8282471;    493.6339417;  30192.6640625;   5317.4565430;     38.5322571;      4.2167993;     38.9109535;      8.9753904;      6.7344465;    793.4642944
        2010;           8;    984.9817505;    177.3923950;   1022.8678589;    415.7960510;    482.7023621;  30168.2578125;   5391.1289062;     38.4497986;      4.1994309;     38.9526749;      9.3105516;      6.5853109;    792.8228760
        2010;           9;    985.3563232;    178.5413513;   1020.7062378;    417.1759033;    469.8738708;  30145.9726562;   5468.5024414;     38.4644203;      4.2266302;     38.8703537;      9.3414488;      6.4102974;    792.2371826
        2010;          10;    986.6296387;    179.5916443;   1020.8765259;    417.8078308;    461.3676453;  30124.6132812;   5535.8022461;     38.5141258;      4.2514944;     38.8768387;      9.3555984;      6.2942505;    791.6759033
        2010;          11;    999.2217407;    196.5771027;   1026.6722412;    419.4992065;    454.8926392;  30038.2890625;   5734.5742188;     39.0056686;      4.6535931;     39.0975494;      9.3934736;      6.2059150;    789.4073486
        2010;          12;   1013.6809082;    216.2704315;   1036.5491943;    421.4556580;    446.7543335;  29954.1308594;   5914.9218750;     39.5700989;      5.1197953;     39.4736824;      9.4372816;      6.0948873;    787.1956787
        2011;           1;   1015.8225708;    221.4858093;   1040.7413330;    419.7933960;    442.3473511;  29922.6699219;   5996.5693359;     39.6537056;      5.2432599;     39.6333275;      9.4000607;      6.0347648;    786.3687744
        2011;           2;   1014.4069824;    221.3385010;   1041.9884033;    416.2500305;    441.9780884;  29908.4218750;   6044.9951172;     39.5984421;      5.2397723;     39.6808167;      9.3207169;      6.0297265;    785.9943237
        2011;           3;   1017.5411987;    227.5297241;   1047.6223145;    416.0112000;    447.0689392;  29888.1718750;   6076.7680664;     39.7207909;      5.3863382;     39.8953667;      9.3153687;      6.0991793;    785.4622192
        2011;           4;   1017.2875977;    229.0346680;   1050.0662842;    415.1619568;    452.4832764;  29877.0195312;   6100.5566406;     39.7108917;      5.4219642;     39.9884415;      9.2963514;      6.1730452;    785.1691284
        2011;           5;   1009.6207275;    222.2261200;   1045.9835205;    410.3273010;    466.8102722;  29873.0781250;   6135.9472656;     39.4116058;      5.2607851;     39.8329582;      9.1880951;      6.3685026;    785.0655518
        2011;           6;    998.3787231;    211.8576355;   1041.7382812;    405.3172302;    505.2853699;  29866.5722656;   6169.4609375;     38.9727631;      5.0153308;     39.6712914;      9.0759087;      6.8934026;    784.8945923
