"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;2197552,546875;413604,5683595;97616,0571289;245097,6777345;169299,1904297;75157,4003904;329989,4296876;51116,6518555;16791,6005858;41886,1494142;18076,718567;12023,6901857;329989,4433593;52951,2804414;17864,3389663;54401,7275392;18076,7174071;12023,6900636;-0,0136717000277713;-1834,6285859;-1072,7383805;-12515,578125;0,00115989999903832;0,000122099998407066
"2";2006;1795149,8359375;386663,6035154;83124,8491211;172136,2919921;159345,2373046;60041,1765137;330199,0075684;54755,0153806;18403,4362182;45963,5598143;20184,544861;13151,7077028;330199,0039063;56951,1596831;19687,5661926;61092,576538;20184,542053;13151,7078249;0,00366210000356659;-2196,1443025;-1284,1299744;-15129,0167237;0,00280799999745796;-0,000122100000226055
"3";2007;1408226,4648437;360280,9160157;69059,7485352;100645,6762695;149732,5966797;45474,6789549;330305,6936032;54296,4309082;18360,3554079;45897,3776857;20482,8908691;13106,5953979;330305,7094723;56691,7970733;19760,9730454;62575,9606933;20482,8862303;13106,5953979;-0,0158690999960527;-2395,3661651;-1400,6176375;-16678,5830076;0,00463880000097561;0
"4";2008;1010637,8203124;335030,8613282;54632,0217284;32136,0996093;140998,8925783;30557,3764649;331105,3146973;53616,9433592;18353,482727;45961,3229979;20932,9689941;13089,3458251;331105,3149414;56215,1073456;19872,673233;64187,2132569;20932,9669191;13089,3468629;-0,000244099996052682;-2598,1639864;-1519,190506;-18225,890259;0,00207500000033178;-0,00103780000063125
"5";2009;719443,1328125;325322,0195314;45287,2307128;15204,0352784;139030,1748046;19847,9005127;330579,4763185;52875,9328612;18279,6972658;45818,8481443;21140,3782959;13023,367859;330579,5019532;55655,7312623;19905,0898742;64794,8214112;21140,3759768;13023,367859;-0,0256346999667585;-2779,79840110001;-1625,3926084;-18975,9732669;0,00231910000366042;0
"6";2010;645331,1542968;322798,9980471;37256,1982422;13488,833496;141166,0996093;10125,6595458;329392,2919924;51958,7648923;18163,2897339;45561,9582521;21286,7506102;12923,9770509;329392,3176271;54930,5460968;19900,9398651;65330,640503;21286,7501219;12923,977173;-0,0256346999667585;-2971,7812045;-1737,6501312;-19768,6822509;0,000488299996504793;-0,000122100000226055
"7";2011;637206,65625;328890,8085936;31773,9975588;14441,40625;147913,6142579;5972,6631165;327553,843994;51248,5207521;18037,713562;45243,3645021;21176,242798;12824,585083;327553,8544919;54402,0395202;19881,6312867;66019,6704103;21176,23999;12824,5853272;-0,0104979000170715;-3153,5187681;-1843,9177247;-20776,3059082;0,00280800000109593;-0,000244200000452111
"8";2012;610916,5332032;334545,1972657;25862,6811523;15547,3365478;155131,5947266;6120,0800477;325474,6921387;50015,3762209;17879,602173;44876,5383301;21177,163086;12697,0911252;325474,6752927;53352,7839354;19831,0465089;66766,0201418;21177,1605227;12697,0911252;0,0168459999840707;-3337,4077145;-1951,4443359;-21889,4818117;0,00256330000047456;0
"9";2013;585542,4121094;340560,0390625;20628,1844482;18434,9526367;162774,1074218;7186,5739441;324556,9394531;49514,8488771;17807,6464842;44706,0161132;21182,204712;12638,3484498;324556,9472656;53025,5340881;19860,4058074;67654,8813478;21182,2023923;12638,3493651;-0,0078125;-3510,685211;-2052,7593232;-22948,8652346;0,00231970000095316;-0,000915299999178387
"10";2014;553856,9648437;344277,9042967;16137,1668091;20420,520996;171361,4150391;7901,5602724;323639,0998533;49014,3168943;17735,6920778;44535,5026857;21187,2486571;12579,6069338;323639,0979001;52206,1712341;19886,6041565;68581,7019044;21187,2442625;12579,6069338;0,00195320002967492;-3191,8543398;-2150,9120787;-24046,1992187;0,0043946000005235;0
