"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"19023";0;0,0470062;2,0979912;0,5930309;7,63e-05;1269,4211426;"4";2102-03-01
"19024";0;0,0430306;2,0496323;0,5686201;6,89e-05;1269,4356689;"4";2102-04-01
"19025";0;0,036546;2,0019417;0,5557892;0,0002169;1269,4438477;"4";2102-05-01
"19026";0;0,0334548;1,9703922;0,5365118;0,0003797;1269,4449463;"4";2102-06-01
"19027";0;0,0270618;1,9342989;0,5241926;0,0009149;1269,4445801;"4";2102-07-01
"19028";0,001498;0,0325945;1,9432464;0,6108312;0,0006851;1269,3997803;"4";2102-08-01
"19029";0,0034109;0,0426225;1,9538747;0,787232;0,0005109;1269,3166504;"4";2102-09-01
"19030";0,0047802;0,047683;1,9562695;0,8176981;0,0002955;1269,2967529;"4";2102-10-01
"19031";0;0,0633838;2,0153353;0,5500005;0,0001077;1269,3668213;"4";2102-11-01
"19032";0;0,0615312;1,9688537;0,5726824;0,0001072;1269,3806152;"4";2102-12-01
"19033";0;0,0589483;1,9284079;0,6363765;5,52e-05;1269,4379883;"4";2103-01-01
"19034";0;0,049668;1,8742918;0,6285854;0;1269,463623;"4";2103-02-01
"19035";0;0,0490279;1,8420119;0,6274108;0,0001222;1269,4805908;"4";2103-03-01
"19036";0;0,0459449;1,8043534;0,6234296;0,0001644;1269,4869385;"4";2103-04-01
"19037";0;0,0398889;1,7649145;0,6158705;0,0003199;1269,4909668;"4";2103-05-01
"19038";0;0,0362612;1,7347362;0,6064768;0,0004136;1269,4869385;"4";2103-06-01
"19039";0;0,0295512;1,7033923;0,5943258;0,0009303;1269,4853516;"4";2103-07-01
"19040";0,001484;0,0354822;1,7115996;0,6925383;0,000694;1269,4345703;"4";2103-08-01
"19041";0,0033185;0,0454437;1,7210293;0,8863412;0,0005111;1269,3444824;"4";2103-09-01
"19042";0,0046282;0,0505193;1,7232369;0,9187774;0,0002941;1269,3240967;"4";2103-10-01
"19043";0;0,0616132;1,76846;0,4992609;0,000106;1269,4544678;"4";2103-11-01
"19044";0;0,0589047;1,7238488;0,5459314;0,0001049;1269,4560547;"4";2103-12-01
"19045";0;0,0558363;1,6839129;0,5392621;8,64e-05;1269,5372314;"4";2104-01-01
"19046";0;0,0473223;1,6387212;0,518113;3,03e-05;1269,5664062;"4";2104-02-01
"19047";0;0,0465946;1,61587;0,4993939;0,0001592;1269,5887451;"4";2104-03-01
"19048";0;0,0426734;1,5824096;0,4914434;0,0001965;1269,5957031;"4";2104-04-01
"19049";0;0,0368647;1,5488733;0,484491;0,0003674;1269,5998535;"4";2104-05-01
"19050";0;0,0330533;1,5212572;0,4758797;0,0004327;1269,5957031;"4";2104-06-01
"19051";0;0,0268138;1,4940149;0,4664043;0,0009505;1269,5930176;"4";2104-07-01
"19052";0,0014772;0,0323133;1,5015746;0,5438408;0,0007058;1269,5512695;"4";2104-08-01
"19053";0,0033276;0,0417732;1,510188;0,6982446;0,000522;1269,4770508;"4";2104-09-01
"19054";0,004665;0,0467417;1,5123321;0,7253488;0,0003009;1269,4587402;"4";2104-10-01
"19055";0;0,0618589;1,5447797;0,5767006;0,0001057;1269,4814453;"4";2104-11-01
"19056";0;0,0603015;1,5026972;0,6140006;0,0001055;1269,4862061;"4";2104-12-01
"19057";0;0,0589026;1,4648876;0,6717179;5,99e-05;1269,543457;"4";2105-01-01
"19058";0;0,049705;1,4147497;0,6498878;0;1269,5726318;"4";2105-02-01
"19059";0;0,0482386;1,3801273;0,5928129;9,14e-05;1269,6098633;"4";2105-03-01
"19060";0;0,0442506;1,3439053;0,5683925;9,43e-05;1269,6230469;"4";2105-04-01
"19061";0;0,0367775;1,3066576;0,555411;0,0001918;1269,6303711;"4";2105-05-01
"19062";0;0,0330824;1,2796177;0,5358089;0,0003541;1269,6300049;"4";2105-06-01
"19063";0;0,0265296;1,2572223;0,5235077;0,000883;1269,6280518;"4";2105-07-01
"19064";0,0015088;0,0321914;1,2640587;0,6117606;0,0006683;1269,5823975;"4";2105-08-01
"19065";0,0034146;0,0418394;1,2716318;0,7862442;0,0004971;1269,5;"4";2105-09-01
"19066";0,0048122;0,0470968;1,2736855;0,8185399;0,0002896;1269,479126;"4";2105-10-01
"19067";0;0,0636423;1,2965196;0,549358;0,000107;1269,552002;"4";2105-11-01
"19068";0;0,0622901;1,2601184;0,5725626;0,0001071;1269,5645752;"4";2105-12-01
"19069";0;0,0595721;1,2277184;0,6348106;6,3e-05;1269,6236572;"4";2106-01-01
"19070";0;0,0506171;1,184749;0,6285161;0;1269,6467285;"4";2106-02-01
"19071";0;0,0495765;1,1520231;0,6273054;0,0001123;1269,6621094;"4";2106-03-01
"19072";0;0,04597;1,1211559;0,6232576;0,0001391;1269,6671143;"4";2106-04-01
"19073";0;0,0394209;1,0920094;0,6156092;0,0002732;1269,6705322;"4";2106-05-01
"19074";0;0,0359359;1,0696754;0,6081556;0,00039;1269,6645508;"4";2106-06-01
"19075";0;0,028841;1,0515542;0,5941747;0,0008975;1269,6628418;"4";2106-07-01
"19076";0,001486;0,0346544;1,0576606;0,6923404;0,0006737;1269,6109619;"4";2106-08-01
"19077";0,0033433;0,0446915;1,0643169;0,8882481;0,000499;1269,5198975;"4";2106-09-01
"19078";0,0046617;0,0496897;1,0661715;0,9206933;0,000288;1269,4984131;"4";2106-10-01
"19079";0;0,0618429;1,0847058;0,4987759;0,0001054;1269,62854;"4";2106-11-01
"19080";0;0,0597626;1,0544769;0,5460376;0,0001051;1269,6287842;"4";2106-12-01
"19081";0;0,0561322;1,0271646;0,5359033;9,22e-05;1269,7106934;"4";2107-01-01
"19082";0;0,0479162;0,9913975;0,5160217;4,4e-05;1269,7392578;"4";2107-02-01
"19083";0;0,0461741;0,9660517;0,4986082;0,0001437;1269,7600098;"4";2107-03-01
"19084";0;0,0424403;0,9409248;0,4923524;0,0001787;1269,7657471;"4";2107-04-01
"19085";0;0,0363995;0,9179212;0,4853969;0,0003386;1269,7687988;"4";2107-05-01
"19086";0;0,0324812;0,8987492;0,4768066;0,000416;1269,7645264;"4";2107-06-01
"19087";0;0,0260862;0,8839269;0,4673217;0,0009274;1269,7606201;"4";2107-07-01
