"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"22";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2006;10;0,5486124;0,5350568;0,1584029;0,271749;0,5830088;0,0010605;0,0559724;0,2603432;0,0462982;5,9472423;1,16e-05;2,8283195;NA;NA;NA;NA;1;2006-10-01
"23";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2006;11;5,4440112;5,2761617;3,9452376;7,2261448;4,9152164;0,0574864;3,6659963;11,700738;0,2347927;49,7049866;1,3e-06;23,2124405;NA;NA;NA;NA;1;2006-11-01
"24";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2006;12;1,5248599;1,4638237;1,5335208;3,0445442;0,8447626;0,0288019;1,9908947;6,2032051;0,1375474;9,6002064;6e-07;3,2784033;NA;NA;NA;NA;1;2006-12-01
"25";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;1;0,7977675;0,760693;0,8140467;1,6325358;0,460489;0,0173842;1,0795538;3,1490655;0,0994258;5,2927799;6e-07;1,4867173;NA;NA;NA;NA;1;2007-01-01
"26";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;2;1,2006562;1,133433;1,2445657;2,6442988;0,5894994;0,0327634;1,6860267;5,2866178;0,1666872;7,8559098;6e-07;1,4133453;NA;NA;NA;NA;1;2007-02-01
"27";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;3;0,7810037;0,7287891;0,5851475;1,2262523;0,5978931;0,0166702;0,5694327;2,276556;0,1690781;7,5057511;2,1e-06;1,1626049;NA;NA;NA;NA;1;2007-03-01
"28";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;4;0,9369531;0,8663698;0,6443165;1,3462235;0,7464328;0,0178118;0,5626866;2,3411605;0,1637451;9,4486151;2,2e-06;1,9447867;NA;NA;NA;NA;1;2007-04-01
"29";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;5;0,4412336;0,4058257;0,2083549;0,4274275;0,3793491;0,0049109;0,1144507;0,6267042;0,1097497;5,7341161;1,21e-05;1,3002774;NA;NA;NA;NA;1;2007-05-01
"30";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;6;0;0;0;0;0;0;0;0;0;0;1,67e-05;0;NA;NA;NA;NA;1;2007-06-01
"31";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;7;0;0;0;0;0;0;0;0;0;0;9e-07;0;NA;NA;NA;NA;1;2007-07-01
"32";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2007-08-01
"33";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2007-09-01
"34";"C:/Users/siahl/Documents/NutsforSEDHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2007;10;2,7402892;2,5767126;1,2168493;2,4478951;2,8939843;0,0110963;0,6539081;3,7606516;0,222617;22,999012;2,9e-06;18,0720596;NA;NA;NA;NA;1;2007-10-01
