 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2009;           6;   3042.2385254;   9994.5068359;     81.6522064;    120.9214249;    383.7378540;     21.5303421
        2009;           7;   3042.2385254;   9994.5068359;     82.4125671;    120.9214249;    383.7378540;     21.7308369
        2009;           8;   3042.2385254;   9994.5068359;     82.4125671;    120.9214249;    383.7378540;     21.7308369
        2009;           9;   3042.2385254;   9994.5068359;     82.4125671;    120.9214249;    383.7378540;     21.7308369
        2009;          10;   3042.2385254;   9994.5068359;     80.5220642;    120.9214249;    383.7378540;     21.2323418
        2009;          11;   3042.2385254;   9994.5068359;     76.9490356;    120.9214249;    383.7378540;     20.2901917
        2009;          12;   3042.2385254;   9994.5068359;     75.0172348;    120.9214249;    383.7378540;     19.7808075
        2010;           1;   3042.2385254;   9994.5068359;     73.0276260;    120.9214249;    383.7378540;     19.2561817
        2010;           2;   3042.2385254;   9994.5068359;     72.7813492;    120.9214249;    383.7378540;     19.1912422
        2010;           3;   3042.2385254;   9994.5068359;     72.8521194;    120.9214249;    383.7378540;     19.2099018
        2010;           4;   3042.2385254;   9994.5068359;     73.8758011;    120.9214249;    383.7378540;     19.4798317
        2010;           5;   3042.2385254;   9994.5068359;     76.1863251;    120.9214249;    383.7378540;     20.0890789
        2010;           6;   3042.2385254;   9994.5068359;     78.0162506;    120.9214249;    383.7378540;     20.5716000
        2010;           7;   3042.2385254;   9994.5068359;     82.9330292;    120.9214249;    383.7378540;     21.8680744
        2010;           8;   3042.2385254;   9994.5068359;     82.9962769;    120.9214249;    383.7378540;     21.8847523
        2010;           9;   3042.2385254;   9994.5068359;     82.9330292;    120.9214249;    383.7378540;     21.8680744
        2010;          10;   3042.2385254;   9994.5068359;     82.6108017;    120.9214249;    383.7378540;     21.7831078
        2010;          11;   3042.2385254;   9994.5068359;     79.4866257;    120.9214249;    383.7378540;     20.9593124
        2010;          12;   3042.2385254;   9994.5068359;     76.0171356;    120.9214249;    383.7378540;     20.0444641
        2011;           1;   3042.2385254;   9994.5068359;     73.4746628;    120.9214249;    383.7378540;     19.3740578
        2011;           2;   3042.2385254;   9994.5068359;     71.3715363;    120.9214249;    383.7378540;     18.8194981
        2011;           3;   3042.2385254;   9994.5068359;     69.0848999;    120.9214249;    383.7378540;     18.2165489
        2011;           4;   3042.2385254;   9994.5068359;     68.6792908;    120.9214249;    383.7378540;     18.1096001
        2011;           5;   3042.2385254;   9994.5068359;     69.4811401;    120.9214249;    383.7378540;     18.3210316
        2011;           6;   3042.2385254;   9994.5068359;     72.1293335;    120.9214249;    383.7378540;     19.0193157
        2011;           7;   3042.2385254;   9994.5068359;     73.2699890;    120.9214249;    383.7378540;     19.3200893
        2011;           8;   3042.2385254;   9994.5068359;     73.2699890;    120.9214249;    383.7378540;     19.3200893
        2011;           9;   3042.2385254;   9994.5068359;     73.2699890;    120.9214249;    383.7378540;     19.3200893
        2011;          10;   3042.2385254;   9994.5068359;     72.9225693;    120.9214249;    383.7378540;     19.2284813
        2011;          11;   3042.2385254;   9994.5068359;     74.2341843;    120.9214249;    383.7378540;     19.5743313
        2011;          12;   3042.2385254;   9994.5068359;     74.5210037;    120.9214249;    383.7378540;     19.6499596
        2012;           1;   3042.2385254;   9994.5068359;     72.2399139;    120.9214249;    383.7378540;     19.0484753
        2012;           2;   3042.2385254;   9994.5068359;     70.7383652;    120.9214249;    383.7378540;     18.6525421
        2012;           3;   3042.2385254;   9994.5068359;     65.6017151;    120.9214249;    383.7378540;     17.2980938
        2012;           4;   3042.2385254;   9994.5068359;     64.0842438;    120.9214249;    383.7378540;     16.8979568
        2012;           5;   3042.2385254;   9994.5068359;     65.3843307;    120.9214249;    383.7378540;     17.2407722
        2012;           6;   3042.2385254;   9994.5068359;     69.8257599;    120.9214249;    383.7378540;     18.4119015
        2012;           7;   3042.2385254;   9994.5068359;     69.9108200;    120.9214249;    383.7378540;     18.4343338
        2012;           8;   3042.2385254;   9994.5068359;     69.8257599;    120.9214249;    383.7378540;     18.4119015
        2012;           9;   3042.2385254;   9994.5068359;     69.9108200;    120.9214249;    383.7378540;     18.4343338
        2012;          10;   3042.2385254;   9994.5068359;     71.2937393;    120.9214249;    383.7378540;     18.7989845
        2012;          11;   3042.2385254;   9994.5068359;     72.9576721;    120.9214249;    383.7378540;     19.2377377
        2012;          12;   3042.2385254;   9994.5068359;     70.7786713;    120.9214249;    383.7378540;     18.6631718
        2013;           1;   3042.2385254;   9994.5068359;     70.6979523;    120.9214249;    383.7378540;     18.6418839
        2013;           2;   3042.2385254;   9994.5068359;     70.6574478;    120.9214249;    383.7378540;     18.6312046
        2013;           3;   3042.2385254;   9994.5068359;     71.2937393;    120.9214249;    383.7378540;     18.7989845
        2013;           4;   3042.2385254;   9994.5068359;     72.8521194;    120.9214249;    383.7378540;     19.2099018
        2013;           5;   3042.2385254;   9994.5068359;     75.3188095;    120.9214249;    383.7378540;     19.8603306
        2013;           6;   3042.2385254;   9994.5068359;     77.1591721;    120.9214249;    383.7378540;     20.3456001
        2013;           7;   3042.2385254;   9994.5068359;     81.9349823;    120.9214249;    383.7378540;     21.6049042
        2013;           8;   3042.2385254;   9994.5068359;     81.8649750;    120.9214249;    383.7378540;     21.5864468
        2013;           9;   3042.2385254;   9994.5068359;     81.7945175;    120.9214249;    383.7378540;     21.5678673
        2013;          10;   3042.2385254;   9994.5068359;     81.3250504;    120.9214249;    383.7378540;     21.4440765
        2013;          11;   3045.3247070;   9994.5068359;     84.5139236;    121.0440903;    383.7378540;     22.2849274
        2013;          12;   3048.4123535;   9994.5068359;     82.5780258;    121.1668243;    383.7378540;     21.7744656
        2014;           1;   3048.4123535;   9994.5068359;     79.7435760;    121.1668243;    383.7378540;     21.0270672
        2014;           2;   3048.4123535;   9994.5068359;     73.0972748;    121.1668243;    383.7378540;     19.2745438
        2014;           3;   3048.4123535;   9994.5068359;     70.2468185;    121.1668243;    383.7378540;     18.5229301
        2014;           4;   3048.4123535;   9994.5068359;     70.2883453;    121.1668243;    383.7378540;     18.5338783
        2014;           5;   3048.4123535;   9994.5068359;     72.2031403;    121.1668243;    383.7378540;     19.0387783
        2014;           6;   3048.4123535;   9994.5068359;     75.9602661;    121.1668243;    383.7378540;     20.0294724
        2014;           7;   3048.4123535;   9994.5068359;     77.3659973;    121.1668243;    383.7378540;     20.4001389
        2014;           8;   3048.4123535;   9994.5068359;     77.4681931;    121.1668243;    383.7378540;     20.4270859
