Year;Month;Species;Concentration_Shallow;Concentration_Deep
2005;10;Mg;47.66316073;34.51185418
2005;11;Mg;44.3912089;34.380436
2005;12;Mg;38.4441646;33.31166771
2006;1;Mg;47.66316073;34.51185418
2006;2;Mg;36.25749071;32.34283091
2006;3;Mg;70.70186678;39.92478337
2006;4;Mg;63.41653276;37.22761623
2006;5;Mg;33.3870779;22.59721026
2006;6;Mg;33.3870779;17.86709385
2005;1;K;3.171526778;3.585354641
2005;2;K;1.78737319;1.985387556
2005;3;K;3.351714522;2.535483043
2005;4;K;2.991398334;3.212413209
2005;5;K;2.979835457;2.301855372
2005;6;K;2.645717109;2.075021714
2005;7;K;2.979835457;1.009619036
2005;8;K;2.979835457;2.640607607
2005;9;K;2.979835457;2.640607607
2005;10;K;2.979835457;2.640607607
2005;11;K;1.088226807;0.743610885
2005;12;K;1.732064433;1.626443954
2006;1;K;2.979835457;2.640607607
2006;2;K;1.347396285;4.78797756
2006;3;K;2.590312053;1.034599558
2006;4;K;2.433516616;2.036055092
2006;5;K;2.979835457;2.640607607
2006;6;K;3.25685352;1.794312207
2005;1;Na;231.6212853;203.7196146
2005;2;Na;188.614808;207.5798623
2005;3;Na;229.2599732;211.871299
2005;4;Na;224.217795;192.6648862
2005;5;Na;245.1319898;218.4359309
2005;6;Na;244.5298421;226.9931743
2005;7;Na;245.1319898;201.2236141
2005;8;Na;245.1319898;222.5439137
2005;9;Na;245.1319898;222.5439137
2005;10;Na;245.1319898;222.5439137
2005;11;Na;258.3815997;219.4693054
2005;12;Na;225.393584;224.4402152
2006;1;Na;245.1319898;222.5439137
2006;2;Na;199.6935749;224.83041
2006;3;Na;302.4623056;288.7255842
2006;4;Na;262.1912414;242.6705243
2006;5;Na;245.1319898;222.5439137
2006;6;Na;307.044579;224.4274306
2005;1;Al;1.547949359;0.47296184
2005;2;Al;1.537565107;0.658580461
2005;3;Al;2.588644533;0.608516228
2005;4;Al;2.095576833;0.424473238
2005;5;Al;3.352912582;0.576858116
2005;6;Al;2.284060348;0.580868354
2005;7;Al;3.352912582;0.288735954
2005;8;Al;3.352912582;0.602460522
2005;9;Al;3.352912582;0.602460522
2005;10;Al;3.352912582;0.602460522
2005;11;Al;1.940828491;0.448718253
2005;12;Al;1.990147842;0.697475645
2006;1;Al;3.352912582;0.602460522
2006;2;Al;1.624359161;0.637584651
2006;3;Al;3.734178666;0.703487974
2006;4;Al;3.977107809;0.785518133
2006;5;Al;3.352912582;0.602460522
2006;6;Al;5.321283694;0.623500403
2005;1;ChargeB;-11.28515276;4.822917502
2005;2;ChargeB;68.75203771;23.93360726
2005;3;ChargeB;25.62159785;9.650333738
2005;4;ChargeB;37.43533858;66.32650762
2005;5;ChargeB;15.42064678;37.19756245
2005;6;ChargeB;20.1736013;16.48972368
2005;7;ChargeB;16.02279441;38.35983898
2005;8;ChargeB;16.02279441;29.89768675
2005;9;ChargeB;16.02279441;33.17723061
2005;10;ChargeB;29.27240433;30.10262232
2005;11;ChargeB;-21.33317923;27.18436817
2005;12;ChargeB;35.36594918;57.37997211
2006;1;ChargeB;-3.865033092;54.77158205
2006;2;ChargeB;138.8613985;110.9798515
2006;3;ChargeB;-32.8731417;36.67436907
2006;4;ChargeB;-21.08273564;37.28143189
2006;5;ChargeB;49.38321801;15.34945268
2006;6;ChargeB;49.38321801;15.34945268
