Depth;NH4;NO3;TN;DOC;TP;Cl;SO4;Ca;Mg;K;Na;Al;Si
20;0.247777178;9.763424509;16.05235558;16.52820633;0.015397959;147.7048599;7.135287478;14.6687802;16.66489783;1.089048305;84.64727009;1.026315671;15.44797242
100;0.207849949;5.757736987;11.92369571;10.69157732;0.024684756;105.034089;6.944387278;9.669335876;11.42146102;1.013541339;70.18746399;0.216742935;20.16864975
