"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"Al";"Si";"P";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;1;0,1401984;0,1329622;0,2457841;0,0391577;0,916353;1,3970031;0,0140188;"Layer 1";2005-01-01
"2";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;2;0,1298916;0,1241895;0,2298501;0,0362476;0,8539498;1,3024876;0,0130364;"Layer 1";2005-02-01
"3";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;3;0,1639207;0,1613277;0,2992883;0,0457799;1,0959767;1,6746055;0,0165933;"Layer 1";2005-03-01
"4";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;4;0,279108;0,2808856;0,5295692;0,0767785;1,9118215;2,9235268;0,0305851;"Layer 1";2005-04-01
"5";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;5;0,3808066;0,408138;0,7761345;0,1054642;2,7197192;4,1718235;0,041006;"Layer 1";2005-05-01
"6";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;6;0,4846871;0,5386627;1,0368714;0,1340319;3,57446;5,4893785;0,0522669;"Layer 1";2005-06-01
"7";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;7;0,5119282;0,6014119;1,1750187;0,1418633;3,9632978;6,0976648;0,0535353;"Layer 1";2005-07-01
"8";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;8;0,3312674;0,4612021;0,8630288;0,0927309;2,7705841;4,3233914;0,0352307;"Layer 1";2005-08-01
"9";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;9;0,1969595;0,3018454;0,53491;0,0546468;1,684109;2,6596656;0,0235256;"Layer 1";2005-09-01
"10";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;10;0,1480353;0,1822358;0,3332382;0,0417816;1,1272885;1,7488226;0,0144968;"Layer 1";2005-10-01
"11";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;11;0,1593125;0,1581256;0,2938849;0,0444355;1,0733095;1,6406525;0,0161146;"Layer 1";2005-11-01
"12";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2005;12;0,1333326;0,127037;0,2345881;0,0372957;0,8735288;1,3321193;0,0132031;"Layer 1";2005-12-01
"13";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2006;1;0,134252;0,1292282;0,2384095;0,0376358;0,8833342;1,3480074;0,0132312;"Layer 1";2006-01-01
"14";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2006;2;0,1334422;0,1263379;0,2340054;0,0371571;0,8728859;1,3305504;0,0135272;"Layer 1";2006-02-01
"15";"C:/Users/siahl/Documents/NutsforSEDHN/40_BO/Output data/Weathering/Weathering Layer 1.csv";2006;3;0,162028;0,1598931;0,2963428;0,0453077;1,0837643;1,656307;0,0163511;"Layer 1";2006-03-01
