;Min Manual;Uptake;Leach;Diff_Manual;Minz;Somz;Diff_Minz;Diff_SOMZ;MB_Minz
397;21.495894;25.8621826;4.2433273;0.1229613;45.721611;13.3958054;-15.6161011;16.7097045;-0.51233
398;21.693168;25.6480522;4.2976019;-0.3427177;46.1331863;13.2451286;-16.1875322;16.7005255;-0.252098
399;21.989828;23.3227959;5.6793985;-4.3464306;54.0362625;12.9879894;-25.0340681;16.014205;-0.429688
400;7.200858;0;21.8771824;-29.0780404;72.469223;11.360467;-50.5920406;10.5167154;-2.857022
401;5.270356;0;25.8790426;-31.1493986;63.6427116;10.3166819;-37.763669;15.5623607;-1.066506
402;4.793516;0.6724599;24.1920934;-28.3131495;55.7287102;9.9271669;-30.8641569;14.9373864;-0.587776
403;4.790086;0.6724599;23.1812033;-27.2988294;48.9025116;9.8020039;-25.0488484;14.0516593;-0.478436
404;4.968264;0.6724599;21.90254;-26.1983441;43.0070381;9.8102856;-20.4320382;12.7647143;-0.469448
405;5.23537;0.6724599;21.1053337;-25.6682438;37.9075508;9.9061956;-16.1297572;11.871598;-0.48545
406;5.550314;0.6724599;20.6591713;-25.5370254;33.489418;10.0626163;-12.1577868;11.2690149;-0.505722
407;5.898144;3.3622994;17.7587335;-20.2945781;29.6550312;10.2628508;-8.5339983;10.8581821;-0.52479
408;6.264706;5.4896593;15.0187324;-15.7937791;26.3213387;10.4938078;-5.812947;10.0145839;-0.541464
409;6.644008;7.8397985;12.5787188;-11.3829283;23.4175587;10.7490768;-2.9990414;9.6694405;-0.555674
410;7.028056;9.7398653;9.8880413;-7.176232;20.8833256;11.0178366;-1.255419;8.61007;-0.567784
411;7.483868;11.514596;7.9151314;-3.8844034;18.6671734;11.2940779;0.762554;8.1356495;-0.522522
412;7.997066;12.8931475;6.6012665;-1.705185;16.7251587;11.5748606;2.7692553;7.9195534;-0.489426
413;15.851122;23.1232147;2.9780091;4.2940836;15.8964157;12.7848158;10.2048081;13.316408;1.190896
414;18.605426;21.5182343;1.5828275;1.3299808;16.4239254;13.4591217;6.6771364;9.6419401;-0.007042
415;19.361006;21.719738;1.5329371;0.8257949;16.8480892;13.7187986;6.4045859;9.5338765;-0.240968
416;22.460774;22.3098793;0.9938082;-1.1447029;17.4242172;14.2814312;5.8794703;9.0222563;0.159614
417;25.03081;22.4338379;2.1834578;-4.7804299;18.4012184;14.6380863;6.2160773;9.9792094;0.197218
418;16.068976;22.7696438;4.6737896;2.0268782;19.7968407;14.8543501;7.6465927;12.5890833;-2.241316
419;17.127124;22.914402;4.9510336;0.8362444;21.7689323;15.0982656;6.0965033;12.76717;-0.564396
420;16.85152;23.0043812;4.4305857;1.7222755;23.7575397;15.1396742;3.6774272;12.2952927;-0.560084
421;16.430008;23.3069439;4.3662814;2.5106545;25.4945602;15.1060133;2.1786651;12.567212;-0.60452
422;19.559708;23.2936115;4.1106135;-0.37671;27.1810818;15.1038761;0.2231432;12.3003489;0.054404
423;19.152574;23.5495567;3.9265021;0.4704806;28.7821712;15.0922537;-1.3061124;12.3838051;-0.434616
424;18.110218;23.7501411;3.9661279;1.6737952;30.3030052;14.9852581;-2.5867362;12.7310109;-0.660912
425;21.103698;23.6938095;3.8645165;-1.274405;31.7365246;14.9081841;-4.1781986;12.6501419;0.110852
426;20.626648;23.9020634;3.8143184;-0.538903;33.0802956;14.8242941;-5.3639138;12.8920877;-0.3752
427;19.423068;24.0967579;3.8544031;0.8192868;34.3290062;14.6778927;-6.3778452;13.2732683;-0.657622
428;21.990542;23.9902401;3.7181417;-1.7184436;35.4964142;14.5559349;-7.7880324;13.1524469;0.111846
429;21.65765;24.1500683;3.7557492;-1.2633309;36.5942841;14.428503;-8.6884666;13.4773145;-0.33432
430;20.495986;24.2979393;3.8816762;-0.0797229;37.602787;14.2405558;-9.4231715;13.9390597;-0.583128
431;21.485142;24.1711826;3.6191017;-0.9330611;38.5302353;14.0936193;-10.739951;13.696665;-0.195734
432;21.801724;24.3072681;3.6539943;-1.1484502;39.3789177;13.9554987;-11.4176553;14.0057637;-0.267652
433;21.079114;24.4552937;3.7850667;-0.408887;40.1591377;13.7750349;-11.9187773;14.4653255;-0.452368
434;21.18578;24.2998219;3.7801671;-0.6661252;40.8780899;13.6275644;-12.7981009;14.4524246;-0.326536
435;21.298746;24.4293671;3.8962996;-0.7656785;41.5350952;13.4958553;-13.2094285;14.8298114;-0.288162
436;20.74891;24.5265903;4.0218486;-0.2441683;42.1395988;13.3051052;-13.5911599;15.2433337;-0.403662
437;20.392568;23.929884;3.9661829;-0.4288669;42.69524;12.7248383;-14.7991731;15.1712286;-0.054866
438;21.05362;24.0487995;3.9722721;-0.9770926;43.193325;12.6080914;-15.1722534;15.4129802;-0.124922
439;20.91124;24.1657391;4.045953;-0.7914539;43.6373405;12.4528723;-15.4256484;15.7588198;-0.255584
440;21.372792;23.9787216;4.0090038;-1.4030742;44.0382118;12.3233023;-16.0504864;15.6644231;-0.171024
