"";"Year";"Month";"N";"Ca";"Mg";"K";"S";"P"
"1";0;-11;-9,96865840000001;4,81950379999999;0,976797099999999;-6,1507473;1,4597779;-0,2060595
"2";0;-11;-10,951538;1,6319199;0,150457400000001;-5,853632;0,660530099999999;-0,561736100000001
"3";0;-11;-10,2931671;1,5171509;0,160272599999999;-5,015335;0,595268300000001;-0,4665728
"4";0;-11;-9,55851750000002;1,4514542;0,179012299999997;-4,23823549999999;0,545816500000001;-0,376297000000001
"5";0;-11;-8,71208190000002;1,430954;0,206916799999998;-3,2606506;0,510044099999998;-0,287939
"6";0;-11;-7,574173;1,3393631;0,207283;-2,5775833;0,464845699999998;-0,2323684
"7";0;-11;-6,80801400000001;1,22924809999999;0,1977215;-2,1058235;0,419731199999998;-0,181544299999999
"8";0;-11;-6,20837410000001;1,15407569999999;0,192121499999999;-1,735424;0,382143099999999;-0,1095696
"9";0;-11;-5,19515990000002;1,52268979999999;0,236671400000002;-1,3008499;0,3789386;-0,0192394
"10";0;-11;-5,19265740000003;1,7864228;0,2090073;-1,3114509;0,336399;-0,0424012999999999
"11";0;-11;-5,25765999999999;1,78153230000001;0,192539199999999;-1,2421189;0,303830099999999;-0,0483942000000006
"12";0;-11;-5,19656370000001;1,61295319999999;0,177110600000002;-0,941837300000003;0,274696400000002;-0,0491752000000005
"13";0;-11;-5,09426880000001;1,4439621;0,1597747;-0,6786995;0,2468605;-0,0498600000000007
"14";0;-11;-4,94570920000001;1,2693901;0,1435432;-0,482551600000001;0,2217913;-0,0489921999999989
"15";0;-11;-4,74609369999996;1,1008034;0,130575199999999;-0,320472699999996;0,200488099999999;-0,0456019000000012
"16";0;-11;-4,50610349999999;0,927963299999995;0,1208706;-0,198673300000003;0,1827097;-0,0400676999999998
"17";0;-11;-4,18945310000004;0,783954600000001;0,1182327;-0,071144100000005;0,1705255;-0,0292854000000009
"18";0;-11;-3,96136480000001;0,642013499999997;0,1077595;0,00210570000000132;0,154854799999999;-0,0264111000000007
"19";0;-11;-3,75369269999999;0,524112700000003;0,0964355000000019;0,0449105000000003;0,139715199999999;-0,0253534000000002
"20";0;-11;-3,51202389999997;0,450782800000006;0,0895595999999976;0,0695533999999967;0,1281395;-0,0213822999999991
"21";0;-11;-199,79245;-95,9488334;-17,0659752;-65,2986145;-14,9921121;-17,9158211
"22";0;-11;31,6927796000001;10,2329407;3,5927849;12,1033936;2,4856491;3,485672
"23";0;-11;29,1168213;8,7257386;3,0581398;10,2626419;2,1185608;2,9604797
"24";0;-11;26,696289;7,4457092;2,6043892;8,7032013;1,8068257;2,5151959
"25";0;-11;24,506897;6,3582917;2,2192021;7,38204959999999;1,542017;2,1376248
"26";0;-11;22,5229187;5,4341965;1,8921432;6,26264189999999;1,3170071;1,8174209
"27";0;-11;20,7218323;4,6486282;1,6143551;5,3141556;1,1257525;1,5458298
"28";0;-11;19,0840455;3,98056029999999;1,3783512;4,5103988;0,963119500000001;1,3154182
"29";0;-11;17,5921936;3,41215510000001;1,1777782;3,82925040000001;0,824773799999999;1,119914
"30";0;-11;16,2310485;2,9283676;1,0072527;3,2519645;0,7070341;0,953989099999999
"31";0;-11;14,9873047;2,51635739999999;0,862220799999999;2,7626457;0,606782900000001;0,813144699999999
"32";0;-11;13,8492432;2,1653061;0,738815300000001;2,3478165;0,5213757;0,6935501
"33";0;-11;12,8065185;1,86601259999999;0,633766199999998;1,9961319;0,4485788;0,5919743
"34";0;-11;11,8498535;1,6106948;0,544296299999999;1,697937;0,3864842;0,505678100000001
"35";0;-11;0,0418852999999899;-1,6775284;-0,5216789;-1,5958596;-0,257647500000001;-0,439055499999998
"36";0;-11;-0,0504149999999868;-1,4505463;-0,4534912;-1,3920593;-0,2233553;-0,3841334
"37";0;-11;-0,183380099999994;-1,27211;-0,400116000000001;-1,2354203;-0,197034799999999;-0,341327700000001
"38";0;-11;-2,82353209999999;-1,804924;-0,581975;-1,8081932;-0,3104686;-0,504864699999999
"39";0;-11;-4,0928955;-1,73818209999999;-0,631729099999999;-2,1505165;-0,344357500000001;-0,551447899999999
"40";0;-11;-7,3980407;-2,1974716;-0,8673687;-3,10638049999999;-0,4887237;-0,761153199999999
"41";0;-11;-8,80186470000001;-2,11077879999999;-0,919991499999998;-3,4849777;-0,523305899999999;-0,8092766
"42";0;-11;-6,68780520000001;-1,2689438;-0,657125499999999;-2,7064171;-0,369055700000001;-0,579263699999998
"43";0;-11;-6,86349480000001;-1,1014328;-0,625003800000002;-2,6667595;-0,352272000000001;-0,5521002
"44";0;-11;-7,51434330000001;-1,0846863;-0,6420517;-2,7781944;-0,3645534;-0,567969399999999
"45";0;-11;-7,85610969999999;-1,0390396;-0,633256899999999;-2,76587290000001;-0,361148799999999;-0,5608807
