 ;;Total litter;;;;;;;Coarse litter;;;;;;;Fine litter;;;;;;;Humus;;;;;;;
YEAR;Month;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha;C kg/ha;N kg/ha;Ca kg/ha;Mg kg/ha;K kg/ha;S kg/ha;P kg/ha
        2005;           1;   6996.1713867;    208.4990387;     94.5320663;     25.9454021;     21.2859306;      1.8646659;     14.4745102;   3276.8256836;     97.8181229;     44.3500824;     12.1723852;      9.9863749;      0.8748151;      6.7907710;     11.6156187;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3707.7304688;    110.6809311;     50.1819878;     13.7730169;     11.2995548;      0.9898508;      7.6837392
        2005;           2;   6991.9780273;    208.2297668;     94.4099731;     25.9118919;     21.2584381;      1.8622575;     14.4558153;   3270.1345215;     97.6183701;     44.2595177;     12.1475277;      9.9659824;      0.8730287;      6.7769046;     16.4369946;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3705.4072266;    110.6113892;     50.1504555;     13.7643642;     11.2924547;      0.9892288;      7.6789107
        2005;           3;   6978.6040039;    207.3723297;     94.0212250;     25.8051949;     21.1709023;      1.8545892;     14.3962908;   3248.8369141;     96.9825974;     43.9712639;     12.0684137;      9.9010763;      0.8673428;      6.7327676;     31.7432575;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3698.0234375;    110.3897171;     50.0499573;     13.7367811;     11.2698250;      0.9872464;      7.6635227
        2005;           4;   6964.9584961;    206.5000763;     93.6257477;     25.6966496;     21.0818501;      1.8467885;     14.3357353;   3227.1958008;     96.3365860;     43.6783752;     11.9880247;      9.8351240;      0.8615654;      6.6879196;     47.2549095;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3690.5075684;    110.1634750;     49.9473801;     13.7086258;     11.2467279;      0.9852229;      7.6478162
        2005;           5;   6947.5024414;    205.3879089;     93.1214981;     25.5582542;     20.9683094;      1.8368421;     14.2585258;   3199.6364746;     95.5139008;     43.3053665;     11.8856487;      9.7511339;      0.8542078;      6.6308069;     66.9416428;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3680.9245605;    109.8740082;     49.8161316;     13.6726046;     11.2171745;      0.9826341;      7.6277204
        2005;           6;   6928.8999023;    204.2071228;     92.5861511;     25.4113216;     20.8477650;      1.8262821;     14.1765556;   3170.4223633;     94.6418152;     42.9099693;     11.7771273;      9.6621008;      0.8464085;      6.5702643;     87.7334976;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3670.7438965;    109.5653305;     49.6761856;     13.6341934;     11.1856613;      0.9798735;      7.6062918
        2005;           7;   6926.9096680;    204.0811310;     92.5290146;     25.3956413;     20.8348961;      1.8251550;     14.1678076;   3167.3098145;     94.5488892;     42.8678398;     11.7655659;      9.6526155;      0.8455775;      6.5638142;     89.9477615;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3669.6523438;    109.5322266;     49.6611748;     13.6300755;     11.1822824;      0.9795775;      7.6039934
        2005;           8;   6926.1303711;    204.0317841;     92.5066376;     25.3895016;     20.8298626;      1.8247138;     14.1643829;   3166.0913086;     94.5125122;     42.8513451;     11.7610388;      9.6489019;      0.8452523;      6.5612888;     90.8143768;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3669.2253418;    109.5192642;     49.6552925;     13.6284609;     11.1809597;      0.9794616;      7.6030931
        2005;           9;   6922.5991211;    203.8083038;     92.4053345;     25.3616924;     20.8070450;      1.8227154;     14.1488676;   3160.5727539;     94.3477783;     42.7766609;     11.7405405;      9.6320839;      0.8437790;      6.5498528;     94.7365723;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3667.2902832;    109.4605331;     49.6286659;     13.6211529;     11.1749620;      0.9789363;      7.5990152
        2005;          10;   7953.4819336;    217.0088654;     98.8737717;     27.2055264;     29.0062294;      3.4131711;     15.5497961;   4177.2587891;    107.8013535;     49.3598251;     13.6158590;     17.8570957;      2.4364974;      7.9683456;    117.2347717;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;   3658.9890137;    109.2075119;     49.5139503;     13.5896683;     11.1491318;      0.9766735;      7.5814505
