"";"Harvest";"Rock_Type";"N";"value"
"130";"H4";"Sedimentary";"High";100969,8740235
"131";"H5";"Sedimentary";"High";101822,4101562
"132";"H6";"Sedimentary";"High";102909,4785155
"133";"H1";"Basalt";"Low";661013,4101563
"134";"H2";"Basalt";"Low";373053,9707031
"135";"H3";"Basalt";"Low";241221,3530274
"136";"H4";"Basalt";"Low";165833,2219238
"137";"H5";"Basalt";"Low";58211,3678284
"138";"H6";"Basalt";"Low";63488,8585207
"139";"H1";"Basalt";"High";201045,8310548
"140";"H2";"Basalt";"High";42604,7531738
"141";"H3";"Basalt";"High";38794,9978027
"142";"H4";"Basalt";"High";38878,2260742
"143";"H5";"Basalt";"High";39094,942871
"144";"H6";"Basalt";"High";39259,3437501
