"","Ca_Ex_R1","Mg_Ex_R1","K_Ex_R1","N_Ex_R1","SO4_Ex_R1","P_Ex_R1","Site","Harvest"
"1",-0.685914966666672,0.546842852380955,-0.375177838095238,1.79586407619048,-8.4873805,0.690794309523809,"LNS","40BO"
"2",-2.88615691428572,-1.73865147619047,-0.899113647619048,1.76390822380952,-8.53438559523809,0.69765659047619,"LNS","40WTH"
"3",-0.0329505606557383,2.66757261311476,-0.726983809836064,-5.2816727,-7.95383455081967,0.426869718032787,"LNS","80BO"
"4",-2.28358415901639,0.178737347540988,-1.28412362131147,-5.19276888852459,-7.95338101147541,0.43057957704918,"LNS","80WTH"
"5",20.3675633380952,-45.7896073904762,11.5410666095238,103.667863380952,-13.5742229904762,-0.203131804761905,"HNS","40BO"
"6",-5.60377827619048,-57.3251586,7.18792755238096,0.171831423809508,-13.5777771,-0.191671061904762,"HNS","40WTH"
"7",25.8896782737705,-7.31352586557377,-3.60210040163934,61.2997358786885,-8.46901383770492,-0.185145942622951,"HNS","80BO"
"8",4.13159606065573,-17.4912799737705,-4.53543092622951,5.10944925901639,-8.42615542786885,-0.183329131147541,"HNS","80WTH"
"9",15.6262225476191,-4.36155130952381,-0.392941361904764,2.8485529047619,-4.66053264761905,0.396845680952381,"LNB","40BO"
"10",3.82176803809524,-9.30309021428572,-2.76238390476191,3.83833070952381,-4.6776947,0.416333280952381,"LNB","40WTH"
"11",11.8215383163934,5.5265861852459,-16.3348731606557,-5.19494119016393,-7.99099916229508,0.236533524590164,"LNB","80BO"
"12",1.53128904590164,-0.903436211475409,-16.3478963442623,-4.97425463934426,-7.99028118524591,0.244498962295082,"LNB","80WTH"
"13",60.6000239285714,12.9900893619048,-1.04830646666667,133.6527181,-8.78843003333333,-0.75867659047619,"HNB","40BO"
"14",37.6681349619048,-40.3104892285714,-1.53610115238095,61.9254786952381,-8.81897772380952,-0.624308042857143,"HNB","40WTH"
"15",24.0862238508197,-8.64114488196722,-0.461585026229508,95.1383824327869,-13.7707857081967,-0.588199637704918,"HNB","80BO"
"16",2.46231217540984,-19.4650080770492,-0.870479026229508,31.4192048622951,-13.7708526983606,-0.58581717704918,"HNB","80WTH"
